amanda	amanda	amandama	amanda	N;NOM;SG	PROPN;NOM;MASC;SG
sein	pinnwand	sein	pinnwand	N;NOM;SG	
sein	mauern	sein	mauern	N;NOM;SG	V;NFIN
sein	mauer	sein	mauer	N;NOM;SG	
sein	sein	sein	sein	N;NOM;SG	DET;NOM;MASC;SG
sein	seins	sein	seins	N;NOM;SG	
segadust	verwechslung	segadus	verwechslung	N;PRT;SG	ADJ
segadust	verwirren	segadus	verwirren	N;PRT;SG	V;NFIN
segadust	durcheinander	segadus	durcheinander	N;PRT;SG	ADV
segadust	verwirrung	segadus	verwirrung	N;PRT;SG	
tšaikovski	tschaikowski	tšaikovski	tschaikowski	N;NOM;SG	PROPN;NOM;MASC;SG
lähenemise	konvergenz	lähenemine	konvergenz	N;GEN;SG	
lähenemise	annäherung	lähenemine	annäherung	N;GEN;SG	ADJ;FEM;SG
haritud	erzogen	haritud	erziehen	ADJ;PST;V.PTCP;PASS	V;V.PTCP
haritud	gebildet	haritud	bilden	ADJ;PST;V.PTCP;PASS	V;V.PTCP
haritud	ausgebildet	haritud	ausbilden	ADJ;PST;V.PTCP;PASS	V;V.PTCP
haritud	angebaut	haritud	anbauen	ADJ;PST;V.PTCP;PASS	V;V.PTCP
haritud	gezüchtet	haritud	züchten	ADJ;PST;V.PTCP;PASS	V;V.PTCP
valitsemine	governance	valitsemine	governance	N;NOM;SG	
valitsemine	steuerung	valitsemine	steuerung	N;NOM;SG	ADJ
kulud	ausgaben	kulu	ausgeben	N;NOM;PL	V;FIN
kulud	aufwendungen	kulu	aufwendingen	N;NOM;PL	V;NFIN
kulud	kosten	kulu	kosten	N;NOM;PL	V;NFIN
kulud	kosten	kulu	kosten	N;NOM;PL	V;NFIN
kulud	cost	kulu	cost	N;NOM;PL	ADJ
kulud	ausgaben	kulu	ausgeben	N;NOM;PL	V;FIN
kulud	kosten	kulu	kosten	N;NOM;PL	V;NFIN
kulud	spesen	kulu	spesen	N;NOM;PL	
kulud	unkosten	kulu	unkosten	N;NOM;PL	
kulud	aufwendungen	kulu	aufwendingen	N;NOM;PL	V;NFIN
professionaalne	fachmann	professionaalne	fachmann	ADJ;NOM;SG	
professionaalne	profi	professionaalne	profi	ADJ;NOM;SG	
professionaalne	professionelle	professionaalne	professionell	ADJ;NOM;SG	ADJ;NOM;FEM;PL
versailles	versailles	versa_illes	versailles	N;NOM;SG	PROPN;NOM;NEUT;SG
duo	duett	duo	duett	N;NOM;SG	
duo	duo	duo	duo	N;NOM;SG	
selgitas	erklärten	selgitama	erklärt	V;IND;SG;3;PST;FIN;ACT	V;IND;PL;3;PST;FIN
seattle	seattle	seadtlema	seattle	N;NOM;SG	PROPN;NOM;SG
teostatud	durchgeführt	teostama	durchführen	ADJ;PST;V.PTCP;PASS	V;V.PTCP
teostatud	ausgeführt	teostama	ausführen	ADJ;PST;V.PTCP;PASS	V;V.PTCP
armastas	liebten	armastama	lieben	V;IND;SG;3;PST;FIN;ACT	V;IND;PL;3;PST;FIN
jumalad	götter	jumal	gott	N;NOM;PL	
liitmise	addition	liitmine	addition	N;GEN;SG	
liitmise	summe	liitmine	summen	N;GEN;SG	
üldised	allgemeines	üldine	allgemein	ADJ;NOM;PL	ADJ;NOM;NEUT;SG
määra	set	määr	set	N;PRT;SG	
määra	festgelegt	määr	festlegen	N;PRT;SG	V;V.PTCP
määra	setzen	määr	setzen	N;PRT;SG	V;NFIN
määra	satz	määr	satz	N;PRT;SG	
määra	gesetzt	määr	setzen	N;PRT;SG	V;V.PTCP
määra	einstellen	määr	einstellen	N;PRT;SG	V;NFIN
gpu	gpu	gpu	gpu	N;NOM;SG	PROPN;NOM;SG
kiir	strahl	kiir	strahl	N;NOM;SG	
kiir	balken	kiir	balken	N;NOM;SG	V;NFIN
suurepärane	exzellente	suure_pärane	exzellent	ADJ;NOM;SG	ADJ;NOM;FEM;PL
suurepärane	ausgezeichnet	suure_pärane	auszeichnen	ADJ;NOM;SG	V;V.PTCP
missouri	missouri	mis_sour	missouri	N;NOM;SG	PROPN;NOM;MASC;SG
arhiivi	archive	arhiiv	archiv	N;PRT;SG	N;NOM;FEM;PL
arhiivi	archivierung	arhiiv	archivierung	N;PRT;SG	N;NOM;FEM;SG
arhiivi	archiv	arhiiv	archiv	N;PRT;SG	N;NOM;NEUT;SG
arhiivi	archivieren	arhiiv	archivieren	N;PRT;SG	V;NFIN
volkswagen	vw	volks_wagen	vw	N;NOM;SG	
volkswagen	volkswagen	volks_wagen	volkswagen	N;NOM;SG	PROPN;NOM;SG
michelle	michelle	michell	michell	PROPN;NOM;SG	PROPN;NOM;FEM;SG
michelle	bernd	michell	bernd	PROPN;NOM;SG	PROPN;NOM;MASC;SG
android	android	android	android	N;NOM;SG	PROPN;NOM;SG
infrastruktuuri	verkehrswege	infra_struktuur	verkehrsweg	N;PRT;SG	ADJ;NOM;FEM;PL
infrastruktuuri	infrastruktureinrichtungen	infra_struktuur	infrastruktureinrichtung	N;PRT;SG	V
infrastruktuuri	infrastruktur	infra_struktuur	infrastruktur	N;PRT;SG	ADJ
infrastruktuuri	infrastrukturen	infra_struktuur	infrastruktur	N;PRT;SG	V;NFIN
kaasatud	inbegriffen	kaasama	inbegreifen	V;PST;V.PTCP;PASS	ADJ
kaasatud	inklusive	kaasama	inklusive	V;PST;V.PTCP;PASS	ADP
kaasatud	involviert	kaasama	involvieren	V;PST;V.PTCP;PASS	ADJ;V.PTCP
kaasatud	beteiligt	kaasama	beteiligen	V;PST;V.PTCP;PASS	ADJ;V.PTCP
välimus	erscheinen	välimus	erscheinen	N;NOM;SG	V;NFIN
välimus	erscheinung	välimus	Erscheinung	N;NOM;SG	ADJ
välimus	auftritt	välimus	auftreten	N;NOM;SG	V;IND;SG;3;PRS;FIN
välimus	aussehen	välimus	aussehen	N;NOM;SG	V;NFIN
välimus	erscheinungsbild	välimus	erscheinungsbild	N;NOM;SG	ADJ
kaare	bogen	kaar	biegen	N;GEN;SG	
kaare	arch	kaar	arch	N;GEN;SG	
ahmed	ahmed	ahme	ahmed	N;NOM;PL	PROPN;NOM;MASC;SG
ahmed	ahmad	ahme	ahmad	N;NOM;PL	PROPN;NOM;MASC;SG
vladislav	wladislaw	vladislav	wladislaw	N;NOM;SG	PROPN;NOM;SG
