von	from	von	from	ADP	
das	tym	der	to	PRO;NOM;NEUT;SG	PRO;INS;NEUT;SG
das	że	der	że	PRO;NOM;NEUT;SG	PART
das	das	der	das	PRO;NOM;NEUT;SG	
des	des	der	des	DET;GEN;DEF;NEUT;SG	
mit	używanie	mit	używać	ADP	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
mit	użycie	mit	użyć	ADP	N;PFV;NOM;NEUT;SG;POS;V.MSDR
mit	używając	mit	używać	ADP	V;IPFV;PRS;V.CVB;ACT
mit	mit	mit	mit	ADP	N;NOM;MASC;SG
für	na	für	na	ADP	INTJ
für	za	für	za	ADP	PART
ein	jeden	ein	jeden	ADV	ADJ;NOM;MASC;SG
ein	jedna	ein	jeden	ADV	ADJ;NOM;FEM;SG
ein	en	ein	en	ADV	
ein	ein	ein	ein	ADV	
als	als	als	als	ADP	
eine	jeden	ein	jeden	DET;NOM;INDF;FEM;SG	ADJ;NOM;MASC;SG
eine	jedna	ein	jeden	DET;NOM;INDF;FEM;SG	ADJ;NOM;FEM;SG
wurde	była	werden	być	V;IND;SG;3;PST;FIN;PASS	V;IPFV;FEM;IND;SG;PST;FIN;ACT
wurde	był	werden	być	V;IND;SG;3;PST;FIN;PASS	V;IPFV;MASC;IND;SG;PST;FIN;ACT
wurde	było	werden	być	V;IND;SG;3;PST;FIN;PASS	V;IPFV;NEUT;IND;SG;PST;FIN;ACT
auch	nawet	auch	nawet	ADV	PART
auch	także	auch	także	ADV	PART
auch	też	auch	też	ADV	PART
auch	również	auch	również	ADV	PART
auch	tez	auch	tez	ADV	
auch	też	auch	też	ADV	PART
auch	too	auch	too	ADV	
auch	zbyt	auch	zbyt	ADV	PART
nach	after	nach	after	ADP	
nach	po	nach	po	ADP	INTJ
war	była	sein	być	V;IND;SG;3;PST;FIN	V;IPFV;FEM;IND;SG;PST;FIN;ACT
war	był	sein	być	V;IND;SG;3;PST;FIN	V;IPFV;MASC;IND;SG;PST;FIN;ACT
war	było	sein	być	V;IND;SG;3;PST;FIN	V;IPFV;NEUT;IND;SG;PST;FIN;ACT
bei	bei	bei	być	ADP	
aus	aus	aus	aus	ADP	
aus	from	aus	from	ADP	
aus	out	aus	out	ADP	
sie	ciebie	sie	ty	PRO;NOM;FEM;SG;3	PRO;GEN;MASC;SG;2
sie	ty	sie	ty	PRO;NOM;FEM;SG;3	PRO;NOM;MASC;SG;2
sie	oni	sie	on	PRO;NOM;FEM;SG;3	PRO;NOM;MASC;PL;3
bis	oczekiwanie	bis	oczekiwać	ADP	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
bis	bis	bis	bis	ADP	
ich	ich	ich	on	PRO;NOM;SG;1	PRO;GEN;MASC;PL;3
einer	jeden	ein	jeden	PRO;NOM;INDF;MASC;SG	ADJ;NOM;MASC;SG
einer	jedna	ein	jeden	PRO;NOM;INDF;MASC;SG	ADJ;NOM;FEM;SG
werden	will	werden	will	V;NFIN;PASS	V;PFV;IND;SG;2;PRS;FIN;ACT
werden	willa	werden	willa	V;NFIN;PASS	N;NOM;FEM;SG
werden	będzie	werden	być	V;NFIN;PASS	V;IPFV;IND;SG;3;FUT;FIN
sind	są	sein	być	V;IND;PL;3;PRS;FIN	V;IPFV;IND;PL;3;PRS;FIN;ACT
oder	odry	oder	odra	CONJ	
wird	will	werden	will	V;IND;SG;3;PRS;FIN;PASS	V;PFV;IND;SG;2;PRS;FIN;ACT
wird	willa	werden	willa	V;IND;SG;3;PRS;FIN;PASS	N;NOM;FEM;SG
wird	będzie	werden	być	V;IND;SG;3;PRS;FIN;PASS	V;IPFV;IND;SG;3;FUT;FIN
wird	staje	werden	stawać	V;IND;SG;3;PRS;FIN;PASS	V;IPFV;IND;SG;3;PRS;FIN;ACT
durch	thru	durch	terum	ADP	
durch	poprzez	durch	poprzez	ADP	
score	wynik	scoren	wynik	PROPN	N;NOM;MASC;SG
einen	jeden	ein	jeden	PRO;ACC;INDF;MASC;SG	ADJ;NOM;MASC;SG
einen	jedna	ein	jeden	PRO;ACC;INDF;MASC;SG	ADJ;NOM;FEM;SG
dass	że	dass	że	CONJ	PART
über	via	über	via	ADP	
über	ponad	über	ponad	ADP	PART
über	over	über	over	ADP	
über	odbiór	über	odbiór	ADP	N;NOM;MASC;SG
über	wyżej	über	wysoko	ADP	ADV;CMPR
über	ponad	über	ponad	ADP	PART
über	powyżej	über	powyżej	ADP	
wie	jak	wie	jak	ADP	ADV
