van	from	van	from	ADP	
een	biri	een	biri	DET;INDF	PRO;NOM;SG;3
een	bir	een	bir	DET;INDF	
voor	icin	voor	icin	ADP	
voor	için	voor	için	ADP	
met	with	met	with	ADP	
met	ile	met	ile	ADP	
zijn	onunki	zijn	onunki	V;PL;PRS;FIN	
zijn	onun	zijn	o	V;PL;PRS;FIN	PRO;GEN;SG;3
uit	from	uit	from	ADP	
uit	dışarı	uit	dışarı	ADP	
dat	bu	dat	bu	PRO;3	
aan	aan	aan	aan	ADP	INTJ
was	cila	zijn	cila	V;SG;PST;FIN	
was	balmumu	zijn	bal	V;SG;PST;FIN	N;NOM;SG;3
ook	ayrica	ook	ayrica	ADV	
ook	ayrıca	ook	ayrıca	ADV	
score	puan	score	pu	N;MASC+FEM;SG	
score	skor	score	skor	N;MASC+FEM;SG	
score	sayı	score	say	N;MASC+FEM;SG	
niet	olmaz	niet	ol	ADV	V;IPFV;IND;SG;3;NEG
niet	değil	niet	değil	ADV	
naam	adın	naam	ad	N;MASC+FEM;SG	
soort	kibar	soort	kibar	N;SG	
soort	nazik	soort	nazik	N;SG	ADJ
soort	tipi	soort	tip	N;SG	
soort	tip	soort	tip	N;SG	
soort	türü	soort	tür	N;SG	
soort	tür	soort	tür	N;SG	
soort	type	soort	type	N;SG	
soort	tür	soort	tür	N;SG	
soort	türler	soort	tür	N;SG	N;NOM;PL;3
familie	family	familie	family	N;MASC+FEM;SG	
familie	aile	familie	aile	N;MASC+FEM;SG	
eerst	öncelikle	eerst	öncelik	ADV	N;INS;SG;3
eerst	önce	eerst	önce	ADV	
eerst	ilk	eerst	ilk	ADV	
eerst	once	eerst	once	ADV	
deze	bu	deze	bu	PRO	
deze	şunlar	deze	şu	PRO	
maar	fakat	maar	fakat	CONJ	
wordt	haline	worden	hal	V;SG;PRS;FIN	N;DAT;SG;3
geldig	geçerli	geldig	geçerli	ADJ	
geldig	geçerlidir	geldig	geç	ADJ	
worden	haline	worden	hal	V;PL;PRS;FIN	N;DAT;SG;3
worden	olmak	worden	ol	V;PL;PRS;FIN	V;PFV;NOM;IND;POS;PRS;V.MSDR
dit	bu	dit	bu	PRO;3	
over	hakkında	over	hak	ADP	N;ESS;SG;3
over	yaklaşık	over	yaklaşık	ADP	
over	üzeri	over	üzer	ADP	
over	bitti	over	bit	ADP	V;PFV;IND;SG;3;POS;PST
dan	öyleyse	dan	öyleyse	ADV	
