que	że	que	że	CONJ	PART
del	del	del	del	ADP;MASC;SG	
una	jeden	uno	jeden	DET;INDF;FEM;SG	ADJ;NOM;MASC;SG
una	jedna	uno	jeden	DET;INDF;FEM;SG	ADJ;NOM;FEM;SG
para	na	para	na	ADP	INTJ
para	za	para	za	ADP	PART
como	jak	como	jak	CONJ	ADV
como	jak	como	jak	CONJ	ADV
como	like	como	lik	CONJ	
fue	była	ser	być	V;IND;SG;3;PST;FIN	V;IPFV;FEM;IND;SG;PST;FIN;ACT
fue	był	ser	być	V;IND;SG;3;PST;FIN	V;IPFV;MASC;IND;SG;PST;FIN;ACT
fue	było	ser	być	V;IND;SG;3;PST;FIN	V;IPFV;NEUT;IND;SG;PST;FIN;ACT
más	more	más	more	ADV	
sus	ich	su	on	DET;PL;3	PRO;GEN;MASC;PL;3
sus	jego	su	on	DET;PL;3	PRO;GEN;MASC;SG;3
sus	twoje	su	twój	DET;PL;3	DET;NOM;MASC;SG;2
sus	twój	su	twój	DET;PL;3	DET;NOM;MASC;SG;2
sus	twoja	su	twój	DET;PL;3	DET;NOM;FEM;SG;2
sus	twojego	su	twój	DET;PL;3	DET;GEN;MASC;SG;1
sus	twoim	su	twój	DET;PL;3	DET;INS;MASC;SG;2
sus	jego	su	on	DET;PL;3	PRO;GEN;MASC;SG;3
también	także	también	także	ADV	PART
también	też	también	też	ADV	PART
también	również	también	również	ADV	PART
también	tez	también	tez	ADV	
también	też	también	też	ADV	PART
también	too	también	too	ADV	
también	zbyt	también	zbyt	ADV	PART
entre	pośród	entre	pośród	ADP	
entre	entre	entre	entre	ADP	
entre	pomiędzy	entre	pomiędzy	ADP	
este	wschodnie	este	wschodni	PRO;MASC;SG	ADJ;NOM;NEUT;SG
este	east	este	east	PRO;MASC;SG	V;IPFV;IND;SG;PRS;FIN;ACT
este	wschód	este	wschód	PRO;MASC;SG	N;NOM;MASC;SG
este	wschodni	este	wschodni	PRO;MASC;SG	ADJ;NOM;MASC;SG
este	wschodnia	este	wschodnia	PRO;MASC;SG	ADJ;NOM;FEM;SG
dos	dos	dos	dosyć	NUM;PL	
son	są	ser	być	V;IND;PL;3;PRS;FIN	V;IPFV;IND;PL;3;PRS;FIN;ACT
sobre	kopercie	sobre	koperta	ADP	N;GEN;FEM;SG
sobre	koperta	sobre	koperta	ADP	N;NOM;FEM;SG
sobre	koperty	sobre	koperta	ADP	N;ACC;FEM;PL
desde	from	desde	from	ADP	
enlaces	łącza	enlace	łączyć	N;MASC;PL	
hasta	nawet	hasta	nawet	ADP	PART
externos	zewnętrzne	externo	zewnętrzny	ADJ;MASC;PL	ADJ;NOM;NEUT;SG
ciudad	town	ciudad	town	N;FEM;SG	
ciudad	city	ciudad	city	N;FEM;SG	
ciudad	ciudad	ciudad	ciudad	N;FEM;SG	
ser	bycie	ser	bycie	V;NFIN	
ser	będąc	ser	być	V;NFIN	V;IPFV;PRS;V.CVB;ACT
ser	bycia	ser	być	V;NFIN	
parte	imprezy	parte	impreza	N;FEM;SG	
parte	częściowo	parte	częściowo	N;FEM;SG	ADV
sin	grzechu	sin	grzech	ADP	N;GEN;MASC;SG
sin	grzechem	sin	grzech	ADP	N;INS;MASC;SG
sin	sin	sin	sin	ADP	
sin	grzech	sin	grzech	ADP	N;NOM;MASC;SG
donde	gdzie	donde	gdzie	PRO	ADV
san	san	san	san	N;MASC;SG	PROPN;NOM;MASC;SG
san	święty	san	święty	N;MASC;SG	
san	święta	san	święto	N;MASC;SG	
san	saint	san	saint	N;MASC;SG	
era	była	ser	być	V;IND;SG;3;IPFV;FIN	V;IPFV;FEM;IND;SG;PST;FIN;ACT
era	był	ser	być	V;IND;SG;3;IPFV;FIN	V;IPFV;MASC;IND;SG;PST;FIN;ACT
era	było	ser	być	V;IND;SG;3;IPFV;FIN	V;IPFV;NEUT;IND;SG;PST;FIN;ACT
nacional	krajowych	nacional	krajowy	ADJ;SG	ADJ;GEN;MASC;PL
nacional	nacional	nacional	nacional	ADJ;SG	PROPN;NOM;MASC;SG
primera	najpierw	primero	najpierw	ADJ;FEM;SG	ADV
team	team	team	team	N	
cuando	kiedy	cuando	kiedy	CONJ	ADV
utc	utc	utc	utco	N	
siglo	siglo	siglo	siglo	N;MASC;SG	
después	after	después	after	ADV	
después	po	después	po	ADV	INTJ
después	pozniej	después	pozno	ADV	V;PFV;IND;SG;FIN;ACT
otros	innych	otro	inny	PRO;MASC;PL	ADJ;GEN;MASC;PL
otros	inne	otro	inny	PRO;MASC;PL	ADJ;NOM;NEUT;SG
otros	pozostał	otro	pozostać	PRO;MASC;PL	V;PFV;MASC;IND;SG;PST;FIN;ACT
otros	inny	otro	inny	PRO;MASC;PL	ADJ;NOM;MASC;SG
otros	inne	otro	inny	PRO;MASC;PL	ADJ;NOM;NEUT;SG
otros	pozostał	otro	pozostać	PRO;MASC;PL	V;PFV;MASC;IND;SG;PST;FIN;ACT
otros	inni	otro	inny	PRO;MASC;PL	ADJ;NOM;MASC;PL
gran	big	gran	big	ADJ;SG	
gran	świetnie	gran	świetnie	ADJ;SG	ADV
gran	super	gran	super	ADJ;SG	
gran	wspaniale	gran	wspaniale	ADJ;SG	
gran	gran	gran	grano	ADJ;SG	
gran	grand	gran	grand	ADJ;SG	
unidos	zjednoczone	unido	zjednoczyć	ADJ;MASC;PL;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
unidos	united	unido	united	ADJ;MASC;PL;V.PTCP	
unidos	zjednoczona	unido	zjednoczyć	ADJ;MASC;PL;V.PTCP	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
puede	can	poder	can	V;IND;SG;3;PRS;FIN	
estado	state	estado	staty	N;MASC;SG	
uno	uno	uno	uno	PRO;MASC;SG	
uno	jeden	uno	jeden	PRO;MASC;SG	ADJ;NOM;MASC;SG
uno	jedna	uno	jeden	PRO;MASC;SG	ADJ;NOM;FEM;SG
primer	najpierw	primero	najpierw	ADJ;MASC;SG	ADV
había	mial	haber	mial	V;IND;SG;3;IPFV;FIN	V;IPFV;MASC;IND;SG;PST;FIN;ACT
había	miał	haber	mieć	V;IND;SG;3;IPFV;FIN	V;IPFV;MASC;IND;SG;PST;FIN;ACT
había	miała	haber	mieć	V;IND;SG;3;IPFV;FIN	V;IPFV;FEM;IND;SG;PST;FIN;ACT
había	miał	haber	mieć	V;IND;SG;3;IPFV;FIN	V;IPFV;MASC;IND;SG;PST;FIN;ACT
nueva	nowości	nuevo	nowość	ADJ;FEM;SG	N;ACC;FEM;PL
nueva	nowość	nuevo	nowość	ADJ;FEM;SG	N;NOM;FEM;SG
