فرس	tamma	فَرَس	tamma		N;NOM;SG
الذئاب	susia	ذَائِب	susia		N;PRT;PL
الذئاب	susien	ذَائِب	susi		N;GEN;PL
الذئاب	sudet	ذَائِب	sude		N;NOM;PL
كيب	kip	كيب	kip		N;NOM;SG
زر	painike	زر	painike		N;NOM;SG
زر	painiketta	زر	painike		N;PRT;SG
زر	nappi	زر	nappi		N;NOM;SG
القبلية	heimojen	قَبَلِيّ	heimo	ADJ;NOM;DEF;FEM;SG	N;GEN;PL
القبلية	heimo	قَبَلِيّ	heimo	ADJ;NOM;DEF;FEM;SG	N;NOM;SG
الطيبة	ystävällisyyttä	طَيِّب	ystävällisyys	N;NOM;DEF;SG	N;PRT;SG
جوقة	kuoron	جُوقَة	kuoro	N;NOM;INDF;SG	N;GEN;SG
موانئ	satamia	مِينَاء	satama	N;NOM;INDF;PL	N;PRT;PL
موانئ	satamien	مِينَاء	satama	N;NOM;INDF;PL	N;GEN;PL
ريفية	maaseudun	رِيفِيّ	maa#seutu	ADJ;NOM;INDF;FEM;SG	N;GEN;SG
ريفية	maaseutu	رِيفِيّ	maa#seutu	ADJ;NOM;INDF;FEM;SG	N;NOM;SG
ليلا	öitä	ليلا	yö	N;NOM;INDF;SG	N;PRT;PL
ليلا	yötä	ليلا	yö	N;NOM;INDF;SG	N;PRT;SG
ليلا	night	ليلا	nightä	N;NOM;INDF;SG	
العجز	vammaisuuden	عَجز	vammaisuus	N;NOM;DEF;SG	N;GEN;SG
الانتقام	kostoa	اِنتِقَام	kostoa	N;NOM;DEF;SG	N;PRT;SG
الانتقام	kostaa	اِنتِقَام	kosta	N;NOM;DEF;SG	V;IND;SG;FIN;ACT
الانتقام	koston	اِنتِقَام	kosto	N;NOM;DEF;SG	N;GEN;SG
بولونيا	bolognan	بُولُونِيَا	bologna		N;GEN;SG
نيكولا	nicola	نِيكُولَا	nicola		PROPN;NOM;SG
الفاكهة	hedelmät	فَاكِهَة	hedelmä	N;NOM;DEF;SG	N;NOM;PL
الفاكهة	hedelmiä	فَاكِهَة	hedelmä	N;NOM;DEF;SG	N;PRT;PL
حريق	tuli	حَرِيق	tulla	N;NOM;INDF;SG	V;IND;SG;0;PST;FIN;ACT
شواطئ	rantoja	شَاطِئ	ranta	N;NOM;INDF;PL	N;PRT;PL
شواطئ	rannoilla	شَاطِئ	ranta	N;NOM;INDF;PL	N;AT+ESS
;PL
الخلط	hämmennystä	خَلط	hämmennys	N;NOM;DEF;SG	N;PRT;SG
الخلط	sekaannusta	خَلط	sekaannus	N;NOM;DEF;SG	N;PRT;SG
الخلط	hämmentynyt	خَلط	hämmentyä	N;NOM;DEF;SG	V;NOM;SG;V.PTCP;ACT
الخلط	sekava	خَلط	sekava	N;NOM;DEF;SG	ADJ;NOM;SG
الخلط	sekaisin	خَلط	sekaisin	N;NOM;DEF;SG	ADV
زمان	zaman	زَمَان	zaman	N;NOM;INDF;SG	N;GEN;SG
المقابر	hautausmaa	مَقبَر	hautaus#maa	N;NOM;DEF;PL	N;NOM;SG
المقابر	hautausmaan	مَقبَر	hautaus#maa	N;NOM;DEF;PL	N;GEN;SG
المقابر	hautausmaalle	مَقبَر	hautaus#maka	N;NOM;DEF;PL	N;AT+ALL;SG
تصريح	valtuudet	تَصرِيح	valtuus	N;NOM;INDF;SG	N;NOM;PL
دلالة	merkityksen	دَلَالَة	merkitys	N;NOM;INDF;SG	N;GEN;SG
دلالة	merkitystä	دَلَالَة	merkitys	N;NOM;INDF;SG	N;PRT;SG
منفصل	erotettu	مُنفَصِل	erottaa	ADJ;NOM;INDF;MASC;SG	V;NOM;SG;V.PTCP;PASS
منفصل	erikseen	مُنفَصِل	erikseen	ADJ;NOM;INDF;MASC;SG	ADV
منفصل	erilliset	مُنفَصِل	erillinen	ADJ;NOM;INDF;MASC;SG	ADJ;NOM;PL
هود	hood	هود	hood		PROPN;NOM;SG
هود	huppu	هود	huppu		N;NOM;SG
بديلة	vaihtoehtoinen	بَدِيلَة	vaihto#ehtoinen	N;NOM;INDF;SG	ADJ;NOM;SG
بديلة	vaihtoehtoiset	بَدِيلَة	vaihto#ehtoinen	N;NOM;INDF;SG	ADJ;NOM;PL
بديلة	vaihtoehtoisia	بَدِيلَة	vaihto#ehtoinen	N;NOM;INDF;SG	ADJ;PRT;PL
بديلة	vaihtoehtoinen	بَدِيلَة	vaihto#ehtoinen	N;NOM;INDF;SG	ADJ;NOM;SG
الشهادات	todistusta	شَهَادَة	todistus	N;NOM;DEF;PL	N;PRT;SG
الشهادات	todistus	شَهَادَة	todistus	N;NOM;DEF;PL	N;NOM;SG
الشهادات	todistuksen	شَهَادَة	todistus	N;NOM;DEF;PL	N;GEN;SG
الشهادات	lausuntoja	شَهَادَة	lausunto	N;NOM;DEF;PL	N;PRT;PL
الشهادات	kokemuksia	شَهَادَة	kokemus	N;NOM;DEF;PL	N;PRT;PL
الشهادات	todistusten	شَهَادَة	todistus	N;NOM;DEF;PL	N;GEN;PL
الشهادات	todistuksia	شَهَادَة	todistus	N;NOM;DEF;PL	N;PRT;PL
التنبؤ	ennusteen	تَنَبُّؤ	ennuste	N;NOM;DEF;SG	N;GEN;SG
المشرف	ylläpitäjän	مُشرِف	ylläpitäjä	N;NOM;DEF;SG	N;GEN;SG
هيلين	helena	هيلين	helena		N;NOM;SG
هيلين	elli	هيلين	elli		N;NOM;SG
هيلين	helen	هيلين	heli		PROPN;NOM;SG
مثبطات	estäjien	مُثَبِّط	estäjä	N;NOM;INDF;PL	N;GEN;PL
الحمد	kiitosta	حَمد	kiitto	N;NOM;DEF;SG	N;PRT;SG
الانتقالية	siirtymäkauden	اِنتِقَالِيّ	siirtymä#kausi	ADJ;NOM;DEF;FEM;SG	N;GEN;SG
الانتقالية	siirtymä	اِنتِقَالِيّ	siirtymä	ADJ;NOM;DEF;FEM;SG	N;NOM;SG
التبغ	tupakan	التبغ	tupakka	N;NOM;DEF;SG	N;GEN;SG
التبغ	tupakkaa	التبغ	tupakka	N;NOM;DEF;SG	N;PRT;SG
اصدار	version	إِصدَار	versio	N;NOM;INDF;SG	N;GEN;SG
اصدار	versiota	إِصدَار	versio	N;NOM;INDF;SG	N;PRT;SG
اصدار	liikkeeseen	إِصدَار	liike	N;NOM;INDF;SG	N;IN+ALL;SG
ليلي	lilyn	لَيلِيّ	lily		N;GEN;SG
ليلي	lily	لَيلِيّ	lily		
فيشر	fisher	فيشر	fisher		PROPN;NOM;SG
كول	cole	كُول	cole		PROPN;NOM;SG
صغار	nuori	صَغِير	nuori	N;NOM;INDF;PL	ADJ;NOM;SG
صغار	youngin	صَغِير	young	N;NOM;INDF;PL	PROPN;GEN;SG
صغار	young	صَغِير	young	N;NOM;INDF;PL	PROPN;NOM;SG
راسل	russell	رَاسِل	russell		N;NOM;SG
صديقة	tyttöystävää	صَدِيقَة	tyttö#ystävä	N;NOM;INDF;SG	N;PRT;SG
صديقة	tyttöystävän	صَدِيقَة	tyttö#ystävä	N;NOM;INDF;SG	N;GEN;SG
الجمجمة	kallon	جُمجُمَة	kallo	N;NOM;DEF;SG	N;GEN;SG
الكبريت	rikkiä	كِبرِيت	rikki	N;NOM;DEF;SG	N;PRT;SG
الظل	varjot	ظِلّ	varjo	N;NOM;DEF;SG	N;NOM;PL
الظل	varjojen	ظِلّ	varja	N;NOM;DEF;SG	N;GEN;PL
الظل	varjoja	ظِلّ	varja	N;NOM;DEF;SG	N;PRT;PL
الظل	varjon	ظِلّ	varjo	N;NOM;DEF;SG	N;GEN;SG
الظل	varjoa	ظِلّ	varjo	N;NOM;DEF;SG	N;PRT;SG
كارتر	carter	كارتر	carter		PROPN;NOM;SG
نيفادا	nevadan	نيفادا	nevata		N;GEN;SG
القلم	kynän	قَلَم	kynä	N;NOM;DEF;SG	N;GEN;SG
