연결됨	con	연결+되+ㄴ	con	V	ADP
단색	sólida	단색	sólida		ADJ
리모콘	remotas	리모콘	remota	N	ADJ
게시글	posto	게시글	posto		N
게시글	poste	게시글	postar		N
게시글	correos	게시글	correo		N
게시글	correo	게시글	correo		N
게시글	de	게시글	de		ADP
윗층	arriba	윗층	arriba		ADV
헤어스타일	pelo	헤어스타일	pelo		N
레모네이드	limoada	레모네이드	limoar		V
스피드웨이	altamont	스피드웨+이	altamont		PROPN
커밋	suicidarse	커밋	suicidarse		V
휩트	torturen	휩트+아	torturar		V
배고픔	fame	배고픔	fame		N
욥기	traballo	욥기	traballo		N
굶주림	fame	굶주리+ㄹ	fame		N
현실주의	realismo	현실주의	realismo		N
물어본다	pregunta	묻+어+보+ㄴ다	pregunta	V	N
양털	la	양털	la		N
미묘	sutil	미묘	sutil		ADJ
미묘	sutís	미묘	suto		ADJ
터프	dura	터프	durar		V
터프	por	터프	por		ADP
터프	duro	터프	duro		ADJ
터프	duros	터프	duro		ADJ
터프	difícil	터프	difícil		ADJ
기후학	mudanza	기후학	mudanza		N
기후학	climática	기후학	climático		ADJ
기후학	clima	기후학	clima		N
기후학	cambio	기후학	cambio		N
기후학	climático	기후학	climático		ADJ
신세	lle	신세	lle		PRO
신세	debo	신세	deber		V
신세	debe	신세	deber		V
신세	debémosche	신세	debémosche		V
신세	a	신세	o		DET
신세	debes	신세	deber		V
위키드	malo	위키드	malo		PROPN
위키드	malvada	위키드	malvada		ADJ
목마른	sede	목마르+ㄴ	sede		N
프린팅	imprenta	프린팅	imprentar		N
불빛	luces	불빛	luz		N
불빛	as	불빛	o		DET
불빛	luz	불빛	luz		N
불빛	apaguen	불빛	apaguír		V
가운	vestido	가우+ㄴ	vestido		V
판매자	máis	판매자	máis	N	ADV
판매자	vendido	판매자	vendido	N	V
사월	abril	사월	abril		N
사월	de	사월	de		ADP
급진주의	radical	급진주의	radical		ADJ
급진주의	radicais	급진주의	radical		N
불투명	opaco	불투명	opaco		N
깜빡	esqueceu	깜빡	esquecer		V
깜빡	esquecín	깜빡	esquecín		V
