カースト	مقام.	カースト	مقام.	N	PROPN;NOM;MASC;SG;3
バラモン	برہمن	バラモン	برہمن	PROPN	PROPN;NOM;MASC;SG;3
バラモン	برہما	バラモン	برہما	PROPN	PROPN;NOM;MASC;SG;3
縮合	سُکھانا.	縮合	سُکھان	N	PROPN;NOM;MASC;SG;3
縮合	ست.	縮合	ست.	N	
ジオラマ	مختصر	ジオラマ	مختصر	N	ADJ
錠剤	حب	錠剤	حب	N	
マンゴー	انبہ.	マンゴー	انبہ.	N	PROPN;NOM;MASC;SG;3
マンゴー	انبہ.	マンゴー	انبہ.	N	PROPN;NOM;MASC;SG;3
マンゴー	آم	マンゴー	آم	N	PROPN;NOM;MASC;SG;3
ブレイズ	روشن	ブレイズ	روشن	PROPN	ADJ
ブレイズ	شعلہ	ブレイズ	شعلہ	PROPN	PROPN;NOM;MASC;SG;3
ブレイズ	بھونری.	ブレイズ	بھونری.	PROPN	PROPN;NOM;MASC;SG;3
ブレイズ	تابناک	ブレイズ	تابناک	PROPN	N;NOM;MASC;SG;3
ブレイズ	تابندہ	ブレイズ	تابندہ	PROPN	ADJ
冬眠	شتویّت	冬眠	شتویّت	V	PROPN;NOM;MASC;SG;3
ネメシス	مکافات	ネメシス	مکاف	PROPN	N;NOM;MASC;PL;3
ネメシス	پاداش	ネメシス	پاداش	PROPN	N;NOM;MASC;SG;3
尿素	یوریا	尿素	یوریا	N	PROPN;NOM;MASC;SG;3
守衛	دربان.	守衛	دربان.	N	PROPN;NOM;MASC;SG;3
エレジー	حزنیہ	エレジー	حزنیہ	N	PROPN;NOM;MASC;SG;3
失業者	نٹھلّا.	失業者	نٹھلّ	N	PROPN;NOM;MASC;SG;3
格付	جھڑکی	格付	جھڑکی	N	PROPN;NOM;MASC;SG;3
格付	جھاڑ.	格付	جھاڑ.	N	
プロテクト	محفوظ	プロテクト	محفوظ	N	ADJ
プロテクト	بچانا	プロテクト	بچا	N	V;MASC;SG;NFIN;ACT
プロテクト	محفوظ	プロテクト	محفوظ	N	ADJ
ジャンボリー	میلہ.	ジャンボリー	میلہ.	N	
象	دانت.	象	دانت.	N	PROPN;NOM;MASC;SG;3
象	دانت.	象	دانت.	N	PROPN;NOM;MASC;SG;3
象	عاج	象	عاج	N	
大騒ぎ	ہنگامہ	大騒ぎ	ہنگامہ	V	PROPN;NOM;MASC;SG;3
大騒ぎ	سراسیمگی.	大騒ぎ	سراسیمگی.	V	PROPN;NOM;MASC;SG;3
大騒ぎ	down	大騒ぎ	down	V	PROPN;NOM;MASC;SG;3
寛大	فیاضی	寛大	فیاضی	ADJ	N;NOM;MASC;SG;3
寛大	سخاوت	寛大	سخاوت	ADJ	N;NOM;FEM;SG;3
寛大	فیاضی	寛大	فیاضی	ADJ	N;NOM;MASC;SG;3
バベル	افراتفری-	バベル	افراتفرییی	PROPN	ADJ
ミュウ	شکروں	ミュウ	شکر	PROPN	N;ACC;MASC;PL;3
ミュウ	بند	ミュウ	بند	PROPN	ADJ
ミュウ	کریزکریں.	ミュウ	کریزکریں	PROPN	V;IND;PL;3;FUT;FIN;ACT
盲人	بہانہ	盲人	بہانہ	N	PROPN;NOM;MASC;SG;3
ストッパー	کسنا.	ストッパー	کسنا.	N	
縦長	خاکہ	縦長	خاکہ	ADJ	N;NOM;MASC;SG;3
恥辱	ذلّت	恥辱	ذلّت	N	PROPN;NOM;MASC;SG;3
恥辱	شرمناک	恥辱	شرمناک	N	ADJ
