del	del	del	del	ADP;MASC;SG	N;INDF;MASC+FEM;SG
los	de	él	de	PRO;ACC;MASC;PL;3	PRO;NOM;PL;3
los	den	él	den	PRO;ACC;MASC;PL;3	PRO;ACC;MASC+FEM;SG;3
con	med	con	med	ADP	ADV
las	de	él	de	PRO;ACC;FEM;PL;3	PRO;NOM;PL;3
las	den	él	den	PRO;ACC;FEM;PL;3	PRO;ACC;MASC+FEM;SG;3
una	et	uno	en	DET;INDF;FEM;SG	PRO;NEUT;SG
una	en	uno	en	DET;INDF;FEM;SG	PRO;MASC+FEM;SG
una	én	uno	en	DET;INDF;FEM;SG	PRO;MASC+FEM;SG
para	til	para	til	ADP	ADV
como	hvordan	como	hvordan	CONJ	ADV
como	gerne	como	gerne	CONJ	ADV
como	like	como	like	CONJ	
fue	var	ser	være	V;IND;SG;3;PST;FIN	V;IND;PST;FIN;ACT
fue	blev	ser	blive	V;IND;SG;3;PST;FIN	V;IND;PST;FIN;ACT
más	flere	más	mange	ADV	ADJ;CMPR;PL
sus	din	su	din	DET;PL;3	DET;MASC+FEM;SG;2
sus	its	su	itse	DET;PL;3	
entre	iblandt	entre	iblandt	ADP	ADV
entre	imellem	entre	imellem	ADP	ADV
este	east	este	east	PRO;MASC;SG	N;INDF;MASC+FEM;SG
este	østpå	este	østpå	PRO;MASC;SG	ADV
este	øst	este	øst	PRO;MASC;SG	N;INDF
años	år	año	år	N;MASC;PL	N;INDF;NEUT;SG
dos	dos	dos	dos	NUM;PL	
son	er	ser	være	V;IND;PL;3;PRS;FIN	V;IND;PRS;FIN;ACT
sobre	omkring	sobre	omkring	ADP	ADV
sobre	kuvert	sobre	kuvert	ADP	N;INDF;MASC+FEM;SG
sobre	konvolut	sobre	konvolut	ADP	N;INDF;MASC+FEM;SG
desde	siden	desde	siden	ADP	ADV
desde	fra	desde	fra	ADP	ADV
enlaces	link	enlace	link	N;MASC;PL	N;INDF;NEUT;SG
enlaces	links	enlace	links	N;MASC;PL	N;INDF;NEUT;SG
hasta	selv	hasta	selv	ADP	PRO
hasta	indtil	hasta	indtil	ADP	CONJ
ciudad	city	ciudad	city	N;FEM;SG	
ciudad	ciudad	ciudad	ciudad	N;FEM;SG	
ser	ridder	ser	ridder	V;NFIN	N;INDF;MASC+FEM;SG
parte	party	parte	party	N;FEM;SG	
sin	uden	sin	uden	ADP	ADV
sin	synder	sin	synde	ADP	N;INDF;MASC+FEM;PL
sin	synd	sin	synd	ADP	ADJ
donde	hvor	donde	hvor	PRO	ADV
san	san	san	san	N;MASC;SG	
san	saint	san	saint	N;MASC;SG	
era	var	ser	være	V;IND;SG;3;IPFV;FIN	V;IND;PST;FIN;ACT
era	blev	ser	blive	V;IND;SG;3;IPFV;FIN	V;IND;PST;FIN;ACT
nacional	nationale	nacional	national	ADJ;SG	ADJ;PL
nacional	nationalt	nacional	nationalt	ADJ;SG	ADV
nacional	national	nacional	national	ADJ;SG	
nacional	nacional	nacional	nacional	ADJ;SG	
primera	først	primero	først	ADJ;FEM;SG	ADV
team	hold	team	holde	N	V;IMP
cuando	da	cuando	da	CONJ	ADV
cuando	hvornår	cuando	hvornår	CONJ	ADV
siglo	siglo	siglo	siglo	N;MASC;SG	
españa	spanien	españa	spanie	N;FEM;SG	PROPN
otros	andet	otro	anden	PRO;MASC;PL	PRO;NEUT;SG
gran	big	gran	big	ADJ;SG	
gran	store	gran	stor	ADJ;SG	ADJ;PL
gran	gran	gran	gran	ADJ;SG	
gran	grand	gran	grand	ADJ;SG	
unidos	forenet	unido	forenet	ADJ;MASC;PL;V.PTCP	V;INDF;SG;PST;V.PTCP
unidos	united	unido	united	ADJ;MASC;PL;V.PTCP	
unidos	forenede	unido	forene	ADJ;MASC;PL;V.PTCP	V;PL;PST;V.PTCP
puede	can	poder	cinke	V;IND;SG;3;PRS;FIN	
estado	state	estado	state	N;MASC;SG	
uno	uno	uno	uno	PRO;MASC;SG	
lugar	place	lugar	place	N;MASC;SG	
primer	først	primero	først	ADJ;MASC;SG	ADV
población	indbyggere	población	indbygger	N;FEM;SG	N;INDF;MASC+FEM;PL
muy	meget	mucho	meget	ADV	ADJ;INDF;SG
había	havde	haber	have	V;IND;SG;3;IPFV;FIN	V;IND;PST;FIN;ACT
había	haft	haber	have	V;IND;SG;3;IPFV;FIN	V;INDF;SG;PST;V.PTCP
nueva	nye	nuevo	ny	ADJ;FEM;SG	ADJ;PL
fueron	var	ser	være	V;IND;PL;3;PST;FIN	V;IND;PST;FIN;ACT
historia	story	historia	story	N;FEM;SG	
eran	var	ser	være	V;IND;PL;3;IPFV;FIN	V;IND;PST;FIN;ACT
cual	hvilket	cual	hvilken	PRO;SG	PRO;NEUT;SG
cual	hvilken	cual	hvilken	PRO;SG	PRO;MASC+FEM;SG
cual	hvilke	cual	hvilken	PRO;SG	PRO;PL
forma	forme	forma	forme	N;FEM;SG	V;IMP;ACT
tres	tres	tres	tres	NUM;PL	
tres	three	tres	thre	NUM;PL	
grupo	grupo	grupo	grupo	N;MASC;SG	
general	generelt	general	generel	N;SG	ADV
general	generel	general	generel	N;SG	ADJ;INDF;MASC+FEM;SG
general	generelle	general	generel	N;SG	ADJ;PL
general	almindelig	general	almindelig	N;SG	ADJ;INDF;MASC+FEM;SG
guerra	war	guerra	war	N;FEM;SG	
guerra	krige	guerra	krig	N;FEM;SG	N;INDF;MASC+FEM;PL
aunque	selvom	aunque	selvom	CONJ	ADV
aunque	skønt	aunque	skøn	CONJ	ADJ;INDF;NEUT;SG
aunque	skønt	aunque	skøn	CONJ	ADJ;INDF;NEUT;SG
tras	efter	tras	efter	ADP	ADV
familia	familierne	familia	familie	N;FEM;SG	N;DEF;MASC+FEM;PL
familia	familier	familia	familie	N;FEM;SG	N;INDF;MASC+FEM;PL
familia	family	familia	family	N;FEM;SG	
además	plus	además	plus	ADV	N;INDF;MASC+FEM;SG
todo	alt	todo	al	PRO;MASC;SG	ADJ;NEUT;SG
