amino	amino	amino	amină		N;INDF;MASC;SG
allan	allan	allan	allan		PROPN
gore	gore	gore	gore		N;INDF;MASC;SG
temizlik	curățenie	temizlik	curățenie	N;NOM;SG;3	N;INDF;FEM;SG
temizlik	curățarea	temizlik	curățare	N;NOM;SG;3	N;DEF;FEM;SG
temizlik	curățare	temizlik	curățare	N;NOM;SG;3	N;INDF;FEM;SG
temizlik	curatenie	temizlik	curatenie	N;NOM;SG;3	N;INDF;FEM;SG
temizlik	purificare	temizlik	purificare	N;NOM;SG;3	N;INDF;FEM;SG
kapanış	închidere	kapa	închidere	V;PFV;NOM;IND;POS;PRS;V.MSDR;PASS	N;INDF;FEM;SG
kapanış	încheiere	kapa	încheiere	V;PFV;NOM;IND;POS;PRS;V.MSDR;PASS	N;INDF;FEM;SG
kapanış	închiderea	kapa	închidere	V;PFV;NOM;IND;POS;PRS;V.MSDR;PASS	N;DEF;FEM;SG
kapanış	închidere	kapa	închidere	V;PFV;NOM;IND;POS;PRS;V.MSDR;PASS	N;INDF;FEM;SG
kapanış	inchidere	kapa	inchidere	V;PFV;NOM;IND;POS;PRS;V.MSDR;PASS	N;INDF;FEM;SG
kapanış	epilog	kapa	epilog	V;PFV;NOM;IND;POS;PRS;V.MSDR;PASS	N;INDF;MASC;SG
galeri	galerie	galer	galerie		N;INDF;FEM;SG
galeri	galeria	galer	galerie		N;DEF;FEM;SG
dilek	doresc	dilek	dori		V;IND;PL;3;PRS;FIN
dilek	dorește	dilek	dori		V;IND;SG;3;PRS;FIN
dilek	dorind	dilek	dori		V;V.MSDR
nintendo	nintendo	nintendo	nintendo	PROPN;NOM;SG;3	N;INDF;MASC;SG
trans	trance	trans	trance		N;INDF;MASC;SG
trans	transa	trans	transa		N;DEF;FEM;SG
trans	transă	trans	trans		N;INDF;FEM;SG
zirvesi	summitul	zirve	summit	N;NOM;SG;3	N;DEF;MASC;SG
mountain	muntele	mountain	munte	N;NOM;SG;3	N;DEF;MASC;SG
hugh	hugh	hugh	hugh		PROPN
orleans	orleans	orleans	orleans	PROPN;NOM;SG;3	PROPN
kanıtlar	dovadă	kanıt	dovadă	N;NOM;PL;3	N;INDF;FEM;SG
kanıtlar	dovada	kanıt	dovadă	N;NOM;PL;3	N;DEF;FEM;SG
diana	diana	dian	diană		N;DEF;FEM;SG
barok	baroc	barok	baroc		N;INDF;MASC;SG
ud	lăută	ud	lăuta		N;INDF;FEM;SG
wien	wien	wien	wien	PROPN;NOM;SG;3	PROPN
pete	pete	pete	pată		N;INDF;FEM;PL
tanıtımı	promovarea	tanıtım	promovare	N;NOM;SG;3	N;DEF;FEM;SG
tanıtımı	promovat	tanıtım	promova	N;NOM;SG;3	ADJ;INDF;MASC;SG
tanıtımı	promovată	tanıtım	promova	N;NOM;SG;3	ADJ;INDF;FEM;SG
tanıtımı	promovate	tanıtım	promova	N;NOM;SG;3	ADJ;INDF;FEM;PL
tanıtımı	promovare	tanıtım	promovare	N;NOM;SG;3	N;INDF;FEM;SG
tanıtımı	promovarea	tanıtım	promovare	N;NOM;SG;3	N;DEF;FEM;SG
tanıtımı	promovează	tanıtım	promova	N;NOM;SG;3	V;IND;3;PRS;FIN
tanıtımı	promova	tanıtım	promova	N;NOM;SG;3	V;IND;SG;3;IPFV;FIN
glasgow	glasgow	glasgow	glasgow	PROPN;NOM;SG;3	PROPN
lille	lille	lille	lille	PROPN;NOM;SG;3	PROPN
sevda	iubire	sevda	iubire		N;INDF;FEM;SG
sevda	iubesc	sevda	iubi		V;IND;PL;3;PRS;FIN
sevda	iubirea	sevda	iubire		N;DEF;FEM;SG
sevda	dragoste	sevda	dragoste		N;INDF;MASC
sevda	dragostea	sevda	dragoste		N;DEF;FEM;SG
tören	ceremonia	tör	ceremonie		N;DEF;FEM;SG
tören	ceremonie	tör	ceremonie		N;INDF;FEM;SG
tören	ritualul	tör	ritual		N;DEF;MASC;SG
tören	ritual	tör	ritual		N;INDF;MASC;SG
çekirdeği	nucleul	çekir	nucleu	N;NOM;SG;3	N;DEF;MASC;SG
çekirdeği	miezul	çekir	miez	N;NOM;SG;3	N;DEF;MASC;SG
çankaya	çankaya	çankaya	çankaya	PROPN;NOM;SG;3	
memphis	memphis	memphis	memphis	PROPN;NOM;SG;3	PROPN
müslümanların	musulmani	müslüman	musulman	N;GEN;PL;3	ADJ;INDF;MASC;PL
müslümanların	musulmanii	müslüman	musulman	N;GEN;PL;3	N;DEF;MASC;PL
müslümanların	musulmanilor	müslüman	musulman	N;GEN;PL;3	N;DEF;MASC;PL
cadı	vrăjitoare	cadı	vrăjitor		ADJ;INDF;FEM
cadı	vrajitoare	cadı	vrajitor		ADJ;INDF;FEM
patlayıcı	explozibil	patlayıcı	explozibil		N;INDF;MASC;SG
patlayıcı	explozivă	patlayıcı	exploziv		ADJ;INDF;FEM;SG
patlayıcı	explozive	patlayıcı	exploziv		ADJ;INDF;FEM;PL
patlayıcı	exploziv	patlayıcı	exploziv		ADJ;INDF;MASC;SG
patlayıcı	explozibil	patlayıcı	explozibil		N;INDF;MASC;SG
patlayıcı	explozive	patlayıcı	exploziv		ADJ;INDF;FEM;PL
patlayıcı	explozibili	patlayıcı	explozibil		N;INDF;MASC;PL
patlayıcı	explozivi	patlayıcı	exploziv		N;INDF;MASC;PL
ufuk	orizont	ufuk	orizont		N;INDF;MASC;SG
ufuk	orizontul	ufuk	orizont		N;DEF;MASC;SG
ufuk	horizon	ufuk	horizon		N;INDF;MASC;SG
división	división	divi	división		N;INDF;MASC;SG
kader	destiny	kader	destiny		N;INDF;MASC;SG
kader	destinul	kader	destin		N;DEF;MASC;SG
kader	destin	kader	destin		N;INDF;MASC;SG
kader	soarta	kader	soartă		N;DEF;FEM;SG
kader	soartă	kader	soartă		N;INDF;FEM;SG
kader	destin	kader	destin		N;INDF;MASC;SG
werner	werner	werner	werner	PROPN;NOM;SG;3	PROPN
erich	erich	erich	erich		PROPN
nem	umezeala	nem	umezeală		N;DEF;FEM;SG
nem	umezeală	nem	umezeală		N;INDF;FEM;SG
nem	umiditate	nem	umiditate		N;INDF;FEM;SG
nem	umiditatea	nem	umiditate		N;DEF;FEM;SG
nem	umiditate	nem	umiditate		N;INDF;FEM;SG
çılgın	wild	çılgın	wild		N;INDF;MASC;SG
çılgın	salbatic	çılgın	salbatic		ADJ;INDF;MASC;SG
çılgın	sălbatică	çılgın	sălbatic		ADJ;INDF;FEM;SG
çılgın	sălbatic	çılgın	sălbatic		ADV
çılgın	sălbatice	çılgın	sălbatic		ADJ;INDF;FEM;PL
çılgın	nebunie	çılgın	nebunie		N;INDF;FEM;SG
çılgın	nebuni	çılgın	nebun		N;INDF;MASC;PL
çılgın	nebun	çılgın	nebun		ADJ;INDF;MASC;SG
çılgın	nebuna	çılgın	nebuna		N;DEF;FEM;SG
