que	että	que	että	PRO	CONJ
o	mitä	o	mikä	DET	PRO;PRT;SG
o	mikä	o	mikä	DET	PRO;NOM;SG
non	ei	non	ei	PART	V;SG;3;NEG;FIN;ACT
non	don	non	don	PART	PROPN;NOM;SG
un	yks	un	yksi	DET	NUM;NOM;SG
un	yksi	un	yksi	DET	NUM;NOM;SG
un	yhden	un	yksi	DET	NUM;GEN;SG
un	one	un	oni	DET	
unha	yks	un	yksi	DET	NUM;NOM;SG
unha	yksi	un	yksi	DET	NUM;NOM;SG
unha	yhden	un	yksi	DET	NUM;GEN;SG
unha	one	un	oni	DET	
se	sinä	se	sinä	CONJ	PRO;NOM;SG;2
para	varten	para	varten	ADP	ADV
por	varten	por	varten	ADP	ADV
por	miks	por	miksi	ADP	ADV
por	miksi	por	miksi	ADP	ADV
do	alkaen	do	alkaen	PROPN	ADV
do	from	do	from	PROPN	
da	alkaen	da	alkaen	V	ADV
da	from	da	from	V	
como	miten	como	miten	PRO	ADV
como	kuinka	como	kuinka	PRO	ADV
como	tykkää	como	tykätä	PRO	V;IMP;SG;2;FIN;ACT
como	kuten	como	kuten	PRO	CONJ
como	kuin	como	kuin	PRO	CONJ
máis	useimmat	máis	usea	ADV	ADJ;NOM;RL;PL
máis	useimmilla	máis	usea	ADV	ADJ;AT+ESS
;RL;PL
máis	useimpia	máis	usea	ADV	ADJ;PRT;CMPR;PL
ben	hyvää	ben	hyvä	ADV	ADJ;PRT;SG
ben	hyvä	ben	hyvä	ADV	ADJ;NOM;SG
ben	kaikille	ben	kaikki	ADV	PRO;AT+ALL;PL
ben	kaikki	ben	kaikki	ADV	PRO;NOM;SG
con	mukaan	con	mukaan	ADP	ADV
con	mukana	con	mukana	ADP	ADV
con	with	con	with	ADP	N;NOM;SG
con	kanssa	con	kanssa	ADP	ADV
son	ovat	ser	olla	V	V;IND;PL;3;PRS;FIN;ACT
son	ovatko	ser	olla	V	V;IND;PL;3;PRS;FIN;ACT
son	ne	ser	se	V	PRO;NOM;PL
son	he	ser	hän	V	PRO;NOM;PL;3
aquí	tässä	aquí	tämä	ADV	PRO;IN+ESS;SG
iso	että	iso	että	PRO	CONJ
hai	tuolla	haber	tuolla	V	ADV
hai	siellä	haber	siellä	V	ADV
hai	ovat	haber	olla	V	V;IND;PL;3;PRS;FIN;ACT
hai	ovatko	haber	olla	V	V;IND;PL;3;PRS;FIN;ACT
todo	kaikille	todo	kaikki	DET	PRO;AT+ALL;PL
todo	kaikki	todo	kaikki	DET	PRO;NOM;SG
todo	kaikki	todo	kaikki	DET	PRO;NOM;SG
todo	kaiken	todo	kaikki	DET	PRO;GEN;SG
cando	kun	cando	kun	PRO	CONJ
cando	milloin	cando	milloin	PRO	ADV
xa	sinä	xa	sinä	ADV	PRO;NOM;SG;2
xa	tietää	xa	tietää	ADV	V;IND;SG;PRS;FIN;ACT
xa	tiedä	xa	tietää	ADV	V;IMP;SG;2;FIN;ACT
dos	alkaen	dos	alkaen	PROPN	ADV
dos	from	dos	from	PROPN	
ti	sinä	ti	sinä		PRO;NOM;SG;2
súa	hänen	seu	hän	DET	PRO;GEN;SG;3
súa	hänen	seu	hän	DET	PRO;GEN;SG;3
súa	heidän	seu	hän	DET	PRO;GEN;PL;3
súa	niiden	seu	se	DET	PRO;GEN;PL
súa	sen	seu	se	DET	PRO;GEN;SG
súa	sinun	seu	sinä	DET	PRO;GEN;SG;2
así	tykkää	así	tykätä	ADV	V;IMP;SG;2;FIN;ACT
así	kuten	así	kuten	ADV	CONJ
así	kuin	así	kuin	ADV	CONJ
así	tämän	así	tämä	ADV	PRO;GEN;SG
así	tätä	así	tämä	ADV	PRO;PRT;SG
así	tästä	así	tämä	ADV	PRO;IN+ABL;SG
así	tämä	así	tämä	ADV	PRO;NOM;SG
así	tuo	así	tuo	ADV	PRO;NOM;SG
así	että	así	että	ADV	CONJ
seu	hänen	seu	hän	DET	PRO;GEN;SG;3
seu	heidän	seu	hän	DET	PRO;GEN;PL;3
seu	niiden	seu	se	DET	PRO;GEN;PL
seu	hänen	seu	hän	DET	PRO;GEN;SG;3
seu	sen	seu	se	DET	PRO;GEN;SG
seu	sinun	seu	sinä	DET	PRO;GEN;SG;2
¿	mitä	¿	mikä		PRO;PRT;SG
¿	mikä	¿	mikä		PRO;NOM;SG
¿	miten	¿	miten		ADV
¿	kuinka	¿	kuinka		ADV
¿	miks	¿	miksi		ADV
¿	miksi	¿	miksi		ADV
¿	sinä	¿	sinä		PRO;NOM;SG;2
¿	ovat	¿	olla		V;IND;PL;3;PRS;FIN;ACT
¿	ovatko	¿	olla		V;IND;PL;3;PRS;FIN;ACT
ser	olemisen	ser	oleminen	V	N;GEN;SG
ser	oleminen	ser	oleminen	V	N;NOM;SG
facer	make	facer	make	V	
isto	että	isto	että	PRO	CONJ
ten	sinä	ter	sinä	V	PRO;NOM;SG;2
era	oli	ser	olla	V	V;IND;SG;3;PST;FIN;ACT
esta	tämän	este	tämä	DET	PRO;GEN;SG
esta	tätä	este	tämä	DET	PRO;PRT;SG
esta	tästä	este	tämä	DET	PRO;IN+ABL;SG
esta	tämä	este	tämä	DET	PRO;NOM;SG
esta	tänään	este	tänään	DET	ADV
foi	oliko	ser	olla	V	V;IND;SG;3;PST;FIN;ACT
foi	ollut	ser	olla	V	V;NOM;SG;V.PTCP;ACT
foi	ollu	ser	olla	V	V;NOM;SG;V.PTCP;ACT
foi	oltu	ser	olla	V	V;NOM;SG;V.PTCP;ACT
quen	who	quen	who	PRO	N;NOM;SG
algo	osa	algo	osa	PRO	N;NOM;SG
todos	kaikille	todo	kaikki	DET	PRO;AT+ALL;PL
todos	kaikki	todo	kaikki	DET	PRO;NOM;SG
todos	jokainen	todo	jokainen	DET	PRO;NOM;SG
todos	jokainen	todo	jokainen	DET	PRO;NOM;SG
todos	kaikille	todo	kaikki	DET	PRO;AT+ALL;PL
todos	kaikki	todo	kaikki	DET	PRO;NOM;SG
este	tämän	este	tämä	DET	PRO;GEN;SG
este	tätä	este	tämä	DET	PRO;PRT;SG
este	tästä	este	tämä	DET	PRO;IN+ABL;SG
este	tämä	este	tämä	DET	PRO;NOM;SG
este	tuo	este	tuo	DET	PRO;NOM;SG
este	että	este	että	DET	CONJ
vai	menossa	ir	meno	V	N;IN+ESS;SG
vai	will	ir	will	V	
vai	tahto	ir	tahto	V	N;NOM;SG
pode	voi	poder	voi	V	INTJ
pode	touko	poder	touko	V	N;NOM;SG
pode	toukokuu	poder	toukokuu	V	N;NOM;SG
pode	voi	poder	voi	V	INTJ
pode	toukokuun	poder	toukokuu	V	N;GEN;SG
pode	toukokuuta	poder	toukokuu	V	N;PRT;SG
pode	sinä	poder	sinä	V	PRO;NOM;SG;2
