اتھاہ	derinden	اتھاہ	derin		ADJ;AT+ABL;SG;3
اب	şimdi	اب	şimdi	PRO;NOM	ADV
اب	simdi	اب	simdi	PRO;NOM	
اب	baba	اب	baba	PRO;NOM	N;NOM;SG;3
اب	şimdilerde	اب	şimdi	PRO;NOM	N;ESS;PL;3
اب	günümüzde	اب	gün	PRO;NOM	N;ESS;SG;3
اب	bugünlerde	اب	bugün	PRO;NOM	N;ESS;PL;3
اِبا	reddetmesi	اِبا	reddet		V;PFV;NOM;IND;POS;PRS;V.MSDR
اِبا	itaatsizlik	اِبا	itaatsizlik		N;NOM;SG;3
اِبا	itaatsizlik	اِبا	itaatsizlik		N;NOM;SG;3
ابّا	baba	ابّا	baba	PROPN;NOM;MASC;SG;3	N;NOM;SG;3
ابّا	abba	ابّا	abba	PROPN;NOM;MASC;SG;3	PROPN;NOM;SG;3
ابّا	baba	ابّا	baba	PROPN;NOM;MASC;SG;3	N;NOM;SG;3
اِباحت	izni	اِباحت	izin	PROPN;NOM;MASC;SG;3	
اِباحت	izin	اِباحت	izin	PROPN;NOM;MASC;SG;3	
اِباحت	özgürlük	اِباحت	özgürlük	PROPN;NOM;MASC;SG;3	N;NOM;SG;3
اِباحت	hürriyet	اِباحت	hürriyet	PROPN;NOM;MASC;SG;3	N;NOM;SG;3
اِباحت	liberty	اِباحت	liberty	PROPN;NOM;MASC;SG;3	PROPN;NOM;SG;3
اِباحت	ehliyet	اِباحت	ehliyet	PROPN;NOM;MASC;SG;3	N;NOM;SG;3
اِباحت	lisans	اِباحت	lisans	PROPN;NOM;MASC;SG;3	
ابازیر	baharat	ابازیر	baharat	PROPN;NOM;MASC;SG;3	N;NOM;SG;3
اباطیل	yalanlar	اباطیل	yalan	PROPN;NOM;MASC;SG;3	ADJ;NOM;PL;3
اباطیل	yalan	اباطیل	yalan	PROPN;NOM;MASC;SG;3	
اُبال	öfke	اُبال	öfke	PROPN;NOM;MASC;SG;3	
