oregon	oregon	oregon	oregon	PROPN;NOM;SG;3	N;MASC;SG
basket	aros	basket	aro	N;NOM;SG;3	N;MASC;PL
marcel	marcelo	marcel	marcelo		N;MASC;SG
marcel	marcel	marcel	marcel		N;MASC;SG
aaron	aaron	aaron	aaron		N;MASC;SG
aaron	aarão	aaron	aarão		INTJ
açı	angle	aç	angle		N;MASC;SG
açı	ângulo	aç	ângulo		N;MASC;SG
anma	memória	an	memória		N;FEM;SG
anma	lembrança	an	lembrança		N;FEM;SG
anma	recordação	an	recordação		N;FEM;SG
anma	memorial	an	memorial		N;MASC;SG
anma	comemoração	an	comemoração		N;FEM;SG
leonardo	leonardo	leonar	leonardo		N;MASC;SG
evans	evans	evans	evans		N;MASC;SG
gustav	gustav	gustav	gustav	PROPN;NOM;SG;3	N;MASC;SG
gustav	gustavo	gustav	gustavo	PROPN;NOM;SG;3	N;MASC;SG
insani	humanitária	insani	humanitário		N;FEM;SG
insani	humanitários	insani	humanitário		N;MASC;PL
insani	humanitário	insani	humanitário		ADJ;MASC;SG
insani	humano	insani	humano		ADJ;MASC;SG
insani	humanas	insani	humano		N;FEM;PL
insani	humana	insani	humano		ADJ;FEM;SG
insani	human	insani	human		N;MASC;SG
evil	malvado	evil	malvado		N;MASC;SG
evil	mal	evil	mal		ADV
evil	evil	evil	evil		N;MASC;SG
evil	maldade	evil	maldade		N;FEM;SG
toulouse	toulouse	toulouse	toulouse	PROPN;NOM;SG;3	N;MASC;SG
etkileyici	impressionante	etkileyici	impressionante		ADJ;MASC;SG
etkileyici	impressionantes	etkileyici	impressionante		ADJ;MASC;PL
etkileyici	fascinantes	etkileyici	fascinante		ADJ;MASC;PL
etkileyici	fascinante	etkileyici	fascinante		ADJ;MASC;SG
etkileyici	apaixonante	etkileyici	apaixonante		ADJ;MASC;SG
etkileyici	encantador	etkileyici	encantador		ADJ;MASC;SG
etkileyici	charmoso	etkileyici	charmoso		ADJ;MASC;SG
etkileyici	encantadora	etkileyici	encantador		ADJ;FEM;SG
etkileyici	charmosa	etkileyici	charmoso		ADJ;FEM;SG
etkileyici	charming	etkileyici	charming		N;MASC;SG
toplar	canhões	top	canhão		N;MASC;PL
toplar	cannon	top	cannon		N;MASC;SG
toplar	canhão	top	canhão		N;MASC;SG
toplar	tomates	top	tomate		N;MASC;PL
toplar	bolas	top	bola		N;FEM;PL
toplar	bailes	top	baile		N;MASC;PL
toplar	canhões	top	canhão		N;MASC;PL
istatistiksel	estatística	istatistiksel	estatístico	ADJ	N;FEM;SG
kabilesi	tribos	kabile	tribo	N;NOM;SG;3	N;MASC;PL
rafael	raphael	rafael	raphael	PROPN;NOM;SG;3	N;MASC;SG
rafael	rafael	rafael	rafael	PROPN;NOM;SG;3	N;MASC;SG
rafael	rafael	rafael	rafael	PROPN;NOM;SG;3	N;MASC;SG
khan	cã	khan	cã		N;MASC;SG
khan	khan	khan	khan		N;MASC;SG
basra	basra	basra	basra		N;MASC;SG
bilal	bilal	bilal	bilal		N;MASC;SG
yetki	autorização	yetki	autorização		N;FEM;SG
yetki	autorizações	yetki	autorização		N;FEM;PL
yetki	autoridade	yetki	autoridade		N;FEM;SG
yetki	autorização	yetki	autorização		N;FEM;SG
yetki	autorizado	yetki	autorizar		V;MASC;SG;V.PTCP
yetki	autorizou	yetki	autorizar		V;IND;SG;3;PST;FIN
yetki	autorizadas	yetki	autorizar		V;FEM;PL;V.PTCP
yetki	autorizados	yetki	autorizar		V;MASC;PL;V.PTCP
yetki	autorizada	yetki	autorizar		V;FEM;SG;V.PTCP
söğüt	willow	söğüt	willow		N;MASC;SG
söğüt	salgueiro	söğüt	salgueiro		N;MASC;SG
mekan	local	mekan	local		N;MASC;SG
ceo	ceo	ceo	ceo		N;MASC;SG
benz	benz	benz	benz		N;MASC;SG
necip	najib	nec	najib		N;MASC;SG
integral	integral	integral	integral		ADJ;MASC;SG
halı	carpetes	hal	carpete	N;NOM;SG;3	N;MASC;PL
halı	tapetes	hal	tapete	N;NOM;SG;3	N;MASC;PL
lens	lente	lens	lente		N;FEM;SG
lens	lentes	lens	lente		N;FEM;PL
hubble	hubble	hubble	hubble		N;MASC;SG
teker	roda	teker	roda		N;FEM;SG
teker	volante	teker	volante		N;MASC;SG
uygunsuz	inconvenientes	uygunsuz	inconveniente		N;MASC;PL
uygunsuz	inconveniente	uygunsuz	inconveniente		N;MASC;SG
uygunsuz	inapropriado	uygunsuz	inapropriar		V;MASC;SG;V.PTCP
uygunsuz	inadequado	uygunsuz	inadequado		ADJ;MASC;SG
uygunsuz	impróprio	uygunsuz	impróprio		ADJ;MASC;SG
uygunsuz	inadequada	uygunsuz	inadequado		ADJ;FEM;SG
uygunsuz	inapropriada	uygunsuz	inapropriado		V;FEM;SG;V.PTCP
bafta	bafta	bafta	bafta		N;FEM;SG
izleyici	visualizador	izleyici	visualizador		N;MASC;SG
izleyici	espectador	izleyici	espectador		N;MASC;SG
izleyici	observador	izleyici	observador		N;MASC;SG
izleyici	público	izleyici	público		N;MASC;SG
izleyici	audiência	izleyici	audiência		N;FEM;SG
izleyici	platéia	izleyici	platéia		N;FEM;SG
izleyici	plateia	izleyici	plateia		N;FEM;SG
izleyici	localizador	izleyici	localizador		N;MASC;SG
izleyici	rastreador	izleyici	rastreador		N;MASC;SG
saldırgan	hostil	saldırgan	hostil		ADJ;MASC;SG
saldırgan	hostis	saldırgan	hostil		ADJ;MASC;PL
saldırgan	ofensivos	saldırgan	ofensivo		ADJ;MASC;PL
saldırgan	ofensivo	saldırgan	ofensivo		ADJ;MASC;SG
saldırgan	ofensiva	saldırgan	ofensiva		N;FEM;SG
saldırgan	ofensivas	saldırgan	ofensiva		ADJ;FEM;PL
saldırgan	atacante	saldırgan	atacante		N;MASC;SG
saldırgan	agressor	saldırgan	agressor		N;MASC;SG
saldırgan	agressiva	saldırgan	agressivo		ADJ;FEM;SG
saldırgan	agressividade	saldırgan	agressividade		N;FEM;SG
saldırgan	agressivas	saldırgan	agressivo		ADJ;FEM;PL
saldırgan	agressivos	saldırgan	agressivo		ADJ;MASC;PL
saldırgan	agressivo	saldırgan	agressivo		ADJ;MASC;SG
oldid	oldid	ol	oldid		N;MASC;SG
dönmüş	rodada	dön	rodada	V;PFV;NFH;IND;SG;3;POS;PST	N;FEM;SG
dörtlü	quad	dörtlü	quad		N;MASC;SG
dörtlü	quarteto	dörtlü	quarteto		N;MASC;SG
proton	prótons	proton	prótom		N;MASC;PL
proton	protões	proton	protão		N;MASC;PL
proton	prótons	proton	prótom		N;MASC;PL
proton	próton	proton	próton		N;MASC;SG
proton	protões	proton	protão		N;MASC;PL
tamamlanmış	concluídas	tamamla	concluir	V;PFV;NFH;IND;SG;3;POS;PST;PASS	V;FEM;PL;V.PTCP
tamamlanmış	concluídos	tamamla	concluir	V;PFV;NFH;IND;SG;3;POS;PST;PASS	V;MASC;PL;V.PTCP
tamamlanmış	completa	tamamla	completo	V;PFV;NFH;IND;SG;3;POS;PST;PASS	ADJ;FEM;SG
tamamlanmış	completos	tamamla	completo	V;PFV;NFH;IND;SG;3;POS;PST;PASS	ADJ;MASC;PL
tamamlanmış	complete	tamamla	completer	V;PFV;NFH;IND;SG;3;POS;PST;PASS	V;SBJV;SG;3;PRS;FIN
tamamlanmış	completo	tamamla	completo	V;PFV;NFH;IND;SG;3;POS;PST;PASS	N;MASC;SG
tilki	fox	tilki	fox		N;MASC;SG
tilki	raposa	tilki	raposa		N;FEM;SG
perküsyon	percussão	perküsyon	percussão		N;FEM;SG
kayıtlar	records	kayıt	record	N;NOM;PL;3	N;MASC;SG
engebeli	bumpy	engebel	bumpy		N;MASC;SG
engebeli	acidentado	engebel	acidentado		N;MASC;SG
hamam	hamam	hamam	hamar		N;MASC;SG
hamam	hammam	hamam	hammar		N;MASC;SG
hamam	sauna	hamam	sauna		N;FEM;SG
tropikal	tropical	tropikal	tropical	N;NOM;SG;3	ADJ;MASC;SG
bang	bang	bang	bang		N;MASC;SG
bang	estrondo	bang	estrondo		N;MASC;SG
gotik	gótica	gotik	gótica		N;FEM;SG
gotik	gótico	gotik	gótico		ADJ;MASC;SG
gotik	gótica	gotik	gótica		N;FEM;SG
gotik	gótico	gotik	gótico		ADJ;MASC;SG
