리카르도	ricardo	리카르+도	ricardo	PROPN	N;MASC;SG
에비스	ebisu	에비스	ebisar	PROPN	N;MASC;SG
세로로	verticais	세로+로	vertical	ADV	N;MASC;PL
세로로	vertical	세로+로	vertical	ADV	N;MASC;SG
길버트	gilberto	길버트	gilberto		N;MASC;SG
길버트	gilbert	길버트	gilbert		N;MASC;SG
안드레	andre	안드레	andre	PROPN	N;MASC;SG
안드레	andré	안드레	andré	PROPN	N;MASC;SG
안드레	andré	안드레	andré	PROPN	N;MASC;SG
로버스	rovers	로버스	rover	PROPN	N;MASC;PL
펭귄	pinguins	증+ㄴ	pinguim		N;MASC;PL
펭귄	pinguim	증+ㄴ	pinguim		N;MASC;SG
루터교	luterana	루터교	luterana	PROPN	N;FEM;SG
마키노	makino	마키노	makino		N;MASC;SG
다이토	taito	다이토	taito		N;MASC;SG
조수	maré	조수	maré		N;FEM;SG
조수	marés	조수	marés		N;FEM;PL
조수	assistente	조수	assistente		N;MASC;SG
아카이브	arquivo	아카이브	arquivo		N;MASC;SG
아카이브	arquivar	아카이브	arquivar		V;NFIN
정착	liquidada	정착	liquidar	N	V;FEM;SG;V.PTCP
다이렉트	direta	다이렉트	direto	N	ADJ;FEM;SG
도박	apostas	도박	aposta		N;FEM;PL
도박	apostar	도박	apostar		V;NFIN
도박	apostando	도박	apostar		V;V.MSDR
도박	gamble	도박	gamble		N;MASC;SG
캔버라	canberra	캔버라	canberra	PROPN	N;MASC;SG
아름다워	linda	아름답+어	linda		ADJ;FEM;SG
점원	escrivão	점원	escrivão		N;MASC;SG
발급	emitida	발급	emitir	N	V;FEM;SG;V.PTCP
발급	emitidos	발급	emitir	N	V;MASC;PL;V.PTCP
발급	emitiu	발급	emitir	N	V;IND;SG;3;PST;FIN
발급	emitido	발급	emitir	N	V;MASC;SG;V.PTCP
발급	emitidas	발급	emitir	N	V;FEM;PL;V.PTCP
스윙	balançando	스페	balançar		V;V.MSDR
스윙	baloiço	스페	baloiço		N;MASC;SG
스윙	balança	스페	balança		N;FEM;SG
스윙	balançar	스페	balançar		V;NFIN
스윙	swing	스페	swing		N;MASC;SG
터키어	turcos	터키+어	turco		N;MASC;PL
터키어	turco	터키+어	turco		N;MASC;SG
터키어	turca	터키+어	turco		N;FEM;SG
터키어	turcas	터키+어	turco		N;FEM;PL
그레그	greg	그레그	greg		N;MASC;SG
그레그	gregg	그레그	gregg		N;MASC;SG
하단	fundo	하단	fundo		N;MASC;SG
하단	bottom	하단	bottom		N;MASC;SG
충격	chocantes	충격	chocante	N	ADJ;MASC;PL
충격	chocante	충격	chocante	N	ADJ;MASC;SG
