til	for	til	for	ADV	ADP
den	the	den	the	PRO;ACC;MASC+FEM;SG;3	
med	med	med	med	ADV	ADP
med	with	med	with	ADV	N
var	var	være	vere	V;IND;PST;FIN;ACT	V;IND;PST;FIN
var	var	være	vere	V;IND;PST;FIN;ACT	V;IND;PST;FIN
blev	ble	blive	ble	V;IND;PST;FIN;ACT	
blev	var	blive	vere	V;IND;PST;FIN;ACT	V;IND;PST;FIN
blev	ble	blive	ble	V;IND;PST;FIN;ACT	
blev	forblitt	blive	forbli	V;IND;PST;FIN;ACT	N;INDF;MASC;SG
blev	forble	blive	forble	V;IND;PST;FIN;ACT	N;INDF;MASC;SG
fra	fra	fra	fra	ADV	
fra	from	fra	from	ADV	N
fra	frå	fra	frå	ADV	ADP
har	fikk	have	fikk	V;IND;PRS;FIN;ACT	V;IND;PST;FIN
har	henta	have	hente	V;IND;PRS;FIN;ACT	ADJ;INDF;NEUT;SG;V.PTCP
har	got	have	got	V;IND;PRS;FIN;ACT	N;INDF;MASC;SG
har	ha	have	ha	V;IND;PRS;FIN;ACT	V;IMP;FIN
ved	know	vide	know	V;IND;PRS;FIN;ACT	
ved	kjenn	vide	kjenn	V;IND;PRS;FIN;ACT	N;INDF;MASC;SG
ikke	ikke	ikke	ikke	ADV	
ikke	not	ikke	not	ADV	N;INDF;NEUT;SG
ikke	ikkje	ikke	ikkje	ADV	PART;NEG
også	too	også	too	ADV	N
efter	etter	efter	etter	ADV	ADP
efter	after	efter	after	ADV	N;INDF;NEUT;SG
efter	efter	efter	efter	ADV	
sig	sier	sig	seie	PRO;ACC;3;REFL	V;IND;PRS;FIN
sig	seie	sig	seie	PRO;ACC;3;REFL	V;NFIN
sig	say	sig	say	PRO;ACC;3;REFL	N
kan	mai	kunne	mai	V;IND;PRS;FIN;ACT	N;INDF;MASC;SG
kan	may	kunne	may	V;IND;PRS;FIN;ACT	N;INDF;MASC;SG
kan	can	kunne	cann	V;IND;PRS;FIN;ACT	N
score	poeng	score	poeng	V;NFIN;ACT	N;INDF;NEUT;SG
score	score	score	score	V;NFIN;ACT	N;INDF;NEUT;SG
score	poengsum	score	poengsum	V;NFIN;ACT	N;INDF;NEUT;SG
score	snes	score	snes	V;NFIN;ACT	N;INDF;MASC;SG
score	scorer	score	score	V;NFIN;ACT	N;INDF;MASC;PL
score	skårer	score	skåre	V;NFIN;ACT	N;INDF;FEM;PL
score	poengsummer	score	poengsummer	V;NFIN;ACT	N;INDF;FEM;PL
hvor	hvor	hvor	hvor	ADV	
under	nedenfor	under	nedenfor	ADV	
under	below	under	below	ADV	N;INDF;SG
under	under	under	under	ADV	ADP
under	under	under	under	ADV	ADP
hans	hans	hans	hans	DET;3	PRO;NEUT;SG
hans	hans	hans	hans	DET;3	PRO;NEUT;SG
hans	sin	hans	sin	DET;3	PRO;MASC;SG
over	overstått	over	overstå	ADV	ADJ;INDF;SG;V.PTCP
over	over	over	over	ADV	ADP
over	bortom	over	bortom	ADV	N;INDF;MASC;SG
over	ovenfor	over	ovenfor	ADV	N;INDF;NEUT;SG
over	over	over	over	ADV	ADP
over	above	over	above	ADV	N
første	først	første	først	ADJ	ADV
første	forst	første	forst	ADJ	N;INDF;MASC;SG
første	first	første	first	ADJ	N
henvisninger	referanser	henvisning	referanse	N;INDF;MASC+FEM;PL	N;INDF;NEUT;SG
henvisninger	refererer	henvisning	referere	N;INDF;MASC+FEM;PL	V;IND;PRS;FIN
dansk	danske	dansk	dansk	ADJ;INDF;SG	ADJ;PL
dansk	dansk	dansk	dansk	ADJ;INDF;SG	N;INDF;MASC;SG
mod	mot	mod	mot	N;INDF;NEUT;SG	ADP
mod	mot	mod	mot	N;INDF;NEUT;SG	ADP
hun	hun	hun	hun	PRO;NOM;MASC+FEM;SG;3	
