hanoi	हनोई	hanol	हनोई	PROPN	PROPN;NOM;MASC;SG;3
islam	इस्लाम	islam	इस्लाम	PROPN	PROPN;NOM;MASC;SG;3
islam	islam	islam	islam	PROPN	PROPN;NOM;MASC;SG;3
profeta	पैगंबर	profeta	पैगंबर	V	PROPN;NOM;MASC;SG;3
profeta	पैगम्बर	profeta	पैगम्बर	V	PROPN;NOM;MASC;SG;3
profeta	नबी	profeta	नबी	V	PROPN;NOM;MASC;SG;3
chámanlle	काल	chámanlle	काल	PROPN	N;NOM;MASC;SG;3
chámanlle	कॉल	chámanlle	कॉल	PROPN	N;NOM;FEM;SG;3
cas	साथ	cas	साथ	N	ADV;NOM;MASC;SG;3
devanceiros	पूर्वजों	devanceiro	पूर्वज	ADJ	N;ACC;MASC;PL;3
devanceiros	पूर्वजो	devanceiro	पूर्वजो	ADJ	
estatal	अवस्था	estatal	अवस्था	ADJ	N;NOM;FEM;SG;3
estatal	स्टेट	estatal	स्टेट	ADJ	N;NOM;MASC;SG;3
estatal	स्थिति	estatal	स्थिति	ADJ	N;NOM;FEM;SG;3
estatal	राज्य	estatal	राज्य	ADJ	N;NOM;MASC;SG;3
amargo	कड़वी	amargo	कड़वी	N	ADJ;FEM;SG
amargo	कटु	amargo	कटु	N	
amargo	कड़वा	amargo	कड़वा	N	ADJ;NOM;MASC;SG
equivocado	गलत	equivocar	गलत	V	ADJ
equivocado	ग़लत	equivocar	ग़लत	V	
levárono	उससे	levárono	वह	V	PRO;SG;3
levárono	उसको	levárono	वह	V	PRO;SG;3
levárono	उसे	levárono	वह	V	PRO;SG;3
levárono	उन्होंने	levárono	वह	V	PRO;SG;3;FORM
levárono	वे	levárono	वह	V	PRO;NOM;SG;3
xogamos	खेल	xogar	खेल	V	N;NOM;MASC;SG;3
estranxeira	विदेश	estranxeiro	विदेश	ADJ	N;NOM;MASC;SG;3
estranxeira	विदेशी	estranxeiro	विदेशी	ADJ	N;NOM;MASC;SG;3
dirán	उन्होंने	dir	वह	V	PRO;SG;3;FORM
dirán	वे	dir	वह	V	PRO;NOM;SG;3
viaxa	ट्रेवल्स	viaxa	ट्रेवल	V	N;NOM;MASC;PL;3
viaxa	यात्रा	viaxa	यात्रा	V	N;NOM;FEM;SG;3
viaxa	सफर	viaxa	सफर	V	N;NOM;MASC;SG;3
parker	पार्कर	parker	पार्कर	PROPN	PROPN;NOM;MASC;SG;3
