din	from	din	from	ADP;ACC	PROPN
care	кто	care	кто	PRO;3	PRO;NOM
care	who	care	who	PRO;3	PROPN
care	воз	care	воз	PRO;3	N;INAN;NOM;MASC;SG
care	которое	care	который	PRO;3	PRO;NOM
care	которая	care	который	PRO;3	PRO;NOM
care	которые	care	который	PRO;3	PRO;NOM
care	который	care	который	PRO;3	PRO;NOM
mai	маи	mai	май	ADV	N;INAN;NOM;MASC;SG
pentru	for	pentru	for	ADP;ACC	PROPN
lui	его	el	он	PRO;3	PRO;ACC;MASC;SG;3
sunt	являются	fi	являться	V;IND;PL;3;PRS;FIN	V;IPFV;IND;PL;3;PRS;FIN;MID
dupa	после	dupa	после	N;DEF;FEM;SG	ADP
dupa	after	dupa	after	N;DEF;FEM;SG	PROPN
dupa	после	dupa	после	N;DEF;FEM;SG	ADP
dupa	after	dupa	after	N;DEF;FEM;SG	PROPN
ale	эля	al	эля	DET;FEM;PL	N;INAN;NOM;FEM;SG
ale	эль	al	эль	DET;FEM;PL	
lea	лиа	lea	лиа		N;ANIM;NOM;FEM;SG
lea	леа	lea	леа		N;ANIM;NOM;FEM;SG
regiunea	область	regiune	область	N;DEF;FEM;SG	N;INAN;NOM;FEM;SG
regiunea	регион	regiune	регион	N;DEF;FEM;SG	N;INAN;NOM;MASC;SG
mare	здорово	mare	здорово	ADJ;INDF;MASC;SG	ADV
mare	отлично	mare	отлично	ADJ;INDF;MASC;SG	ADV
mare	великолепно	mare	великолепно	ADJ;INDF;MASC;SG	ADV
mare	big	mare	big	ADJ;INDF;MASC;SG	PROPN
mare	большие	mare	большой	ADJ;INDF;MASC;SG	ADJ;NOM;PL
mare	биг	mare	биг	ADJ;INDF;MASC;SG	
mare	моря	mare	море	ADJ;INDF;MASC;SG	N;INAN;NOM;NEUT;PL
mare	море	mare	море	ADJ;INDF;MASC;SG	N;INAN;NOM;NEUT;SG
mare	sea	mare	sea	ADJ;INDF;MASC;SG	PROPN
anul	год	an	год	N;DEF;MASC;SG	N;INAN;NOM;MASC;SG
comuna	общих	comună	общий	N;DEF;FEM;SG	ADJ;GEN;PL
comuna	общие	comună	общий	N;DEF;FEM;SG	ADJ;NOM;PL
comuna	общая	comună	общий	N;DEF;FEM;SG	ADJ;NOM;FEM;SG
comuna	муниципалитет	comună	муниципалитет	N;DEF;FEM;SG	N;INAN;NOM;MASC;SG
comuna	общих	comună	общий	N;DEF;FEM;SG	ADJ;GEN;PL
comuna	общие	comună	общий	N;DEF;FEM;SG	ADJ;NOM;PL
comuna	общая	comună	общий	N;DEF;FEM;SG	ADJ;NOM;FEM;SG
externe	внешнее	extern	внешний	ADJ;INDF;FEM;PL	ADJ;NOM;NEUT;SG
externe	внешняя	extern	внешний	ADJ;INDF;FEM;PL	ADJ;NOM;FEM;SG
externe	внешний	extern	внешний	ADJ;INDF;FEM;PL	ADJ;NOM;MASC;SG
vezi	см	vedea	сантиметр	V;IND;SG;2;PRS;FIN	ADV
cod	код	cod	код		N;INAN;NOM;MASC;SG
cod	code	cod	code		PROPN
cod	трески	cod	треска		N;INAN;NOM;FEM;PL
populatie	населения	populatie	население	N;INDF;FEM;SG	N;INAN;GEN;NEUT;SG
populatie	население	populatie	население	N;INDF;FEM;SG	N;INAN;NOM;NEUT;SG
