algeriet	algeria	algeri	algeria	N;DEF;NEUT;SG	PROPN
mus	soareci	mus	soarec	N;INDF;MASC+FEM;SG	
mus	mouse	mus	mou	N;INDF;MASC+FEM;SG	
virkelighed	realitatea	virkelighed	realitate	N;INDF;MASC+FEM;SG	N;DEF;FEM;SG
über	über	über	über	V;IND;PST;FIN;ACT	N;INDF;MASC;SG
grundloven	constitutie	grundlov	constitutie	N;DEF;MASC+FEM;SG	N;INDF;FEM;SG
grundloven	constituție	grundlov	constituție	N;DEF;MASC+FEM;SG	N;INDF;FEM;SG
cleveland	cleveland	cleveland	cleveland		PROPN
beretninger	rapoartele	beretning	raport	N;INDF;MASC+FEM;PL	N;DEF;FEM;PL
planerne	planuri	plan	plan	N;DEF;MASC+FEM;PL	N;INDF;FEM;PL
ingrid	ingrid	ingrid	ingrid	N;INDF;MASC+FEM;SG	PROPN
vanskelig	dificil	vanskelig	dificil	ADJ;INDF;MASC+FEM;SG	ADV
vanskelig	dificile	vanskelig	dificil	ADJ;INDF;MASC+FEM;SG	ADJ;INDF;FEM;PL
holmes	holmes	holme	holmes	V;NFIN;PASS	PROPN
anbefalede	recomandat	anbefale	recomandat	V;IND;PST;FIN;ACT	ADJ;INDF;MASC;SG
anbefalede	recomandate	anbefale	recomandat	V;IND;PST;FIN;ACT	ADJ;INDF;FEM;PL
anbefalede	recomandată	anbefale	recomandat	V;IND;PST;FIN;ACT	ADJ;INDF;FEM;SG
marker	câmpurile	mark	câmp	N;INDF;MASC+FEM;PL	N;DEF;FEM;PL
marker	marcu	mark	marcu	N;INDF;MASC+FEM;PL	
marker	marchează	mark	marca	N;INDF;MASC+FEM;PL	V;IND;3;PRS;FIN
marker	marca	mark	marcă	N;INDF;MASC+FEM;PL	N;DEF;FEM;SG
marker	mark	mark	mark	N;INDF;MASC+FEM;PL	PROPN
fabrikant	producătorul	fabrikant	producător	N;INDF;MASC+FEM;SG	N;DEF;MASC;SG
fabrikant	producătorului	fabrikant	producător	N;INDF;MASC+FEM;SG	N;DEF;MASC;SG
boldklubben	boldklubben	boldklub	boldklubben	N;DEF;MASC+FEM;SG	N;INDF;MASC;SG
ted	ted	ted	ted		PROPN
tree	pom	tree	pom		N;INDF;MASC;SG
tree	arbore	tree	arbor		N;INDF;MASC;SG
tree	copac	tree	copac		N;INDF;MASC;SG
tree	copacul	tree	copac		N;DEF;MASC;SG
tree	arborele	tree	arbor		N;DEF;MASC;SG
tree	tre	tree	tre		
porto	timbre	porto	timbru		N;INDF;FEM;PL
porto	porto	porto	porto		PROPN
porto	oporto	porto	oporto		
enkel	simplu	enkel	simplu	ADJ;INDF;MASC+FEM;SG	ADV
enkel	simple	enkel	simplu	ADJ;INDF;MASC+FEM;SG	ADJ;INDF;FEM;PL
balkan	balcani	balkan	balcan		N;INDF;MASC;SG
balkan	balcanii	balkan	balcan		N;DEF;MASC;PL
balkan	balcani	balkan	balcan		N;INDF;MASC;SG
balkan	balcanic	balkan	balcanic		ADJ;INDF;MASC;SG
balkan	balcanică	balkan	balcanic		ADJ;INDF;FEM;SG
balkan	balcanice	balkan	balcanic		ADJ;INDF;FEM;PL
tilbagevendende	recurente	tilbagevendende	recurent	V;PRS;V.PTCP	ADJ;INDF;FEM;PL
tilbagevendende	recurente	tilbagevendende	recurent	V;PRS;V.PTCP	ADJ;INDF;FEM;PL
svaret	răspuns	svar	răspuns	N;DEF;NEUT;SG	N;INDF;MASC;SG
svaret	răspunde	svar	răspunde	N;DEF;NEUT;SG	V;IND;SG;3;PRS;FIN
svaret	raspunde	svar	raspunde	N;DEF;NEUT;SG	
edgar	edgar	edgar	edgar		PROPN
angels	ingeri	angels	inger	N;INDF;MASC+FEM;SG	N;INDF;MASC;PL
angels	ingerii	angels	inger	N;INDF;MASC+FEM;SG	N;DEF;MASC;PL
angels	îngeri	angels	înger	N;INDF;MASC+FEM;SG	N;INDF;MASC;PL
angels	îngerii	angels	înger	N;INDF;MASC+FEM;SG	N;DEF;MASC;PL
