que	cela	que	cela	CONJ	PRO;SG
del	del	del	del	ADP;MASC;SG	PROPN
los	le	él	le	PRO;ACC;MASC;PL;3	DET;DEF;MASC;SG
los	les	él	le	PRO;ACC;MASC;PL;3	DET;DEF;PL
los	la	él	le	PRO;ACC;MASC;PL;3	DET;DEF;FEM;SG
las	le	él	le	PRO;ACC;FEM;PL;3	DET;DEF;MASC;SG
las	les	él	le	PRO;ACC;FEM;PL;3	DET;DEF;PL
las	la	él	le	PRO;ACC;FEM;PL;3	DET;DEF;FEM;SG
una	un	uno	un	DET;INDF;FEM;SG	PRO;MASC;SG
una	one	uno	one	DET;INDF;FEM;SG	PROPN
categoría	catégories	categoría	catégorie	N;FEM;SG	N;FEM;PL
como	comment	como	comment	CONJ	ADV
como	comme	como	comme	CONJ	ADP
como	aime	como	aimer	CONJ	V;IND;SG;3;PRS;FIN
como	aiment	como	aimer	CONJ	V;IND;PL;3;PRS;FIN
como	genre	como	genre	CONJ	N;MASC;SG
como	aimez	como	aimer	CONJ	V;IMP;PL;2;PRS;FIN
fue	etait	ser	etever	V;IND;SG;3;PST;FIN	V;IND;SG;3;IPFV;FIN
fue	était	ser	être	V;IND;SG;3;PST;FIN	V;IND;SG;3;IPFV;FIN
sus	leur	su	lui	DET;PL;3	PRO;PL;3
sus	sa	su	son	DET;PL;3	DET;FEM;SG
sus	his	su	his	DET;PL;3	PROPN
sus	son	su	son	DET;PL;3	DET;MASC;SG
sus	votre	su	son	DET;PL;3	DET;MASC;SG
sus	sa	su	son	DET;PL;3	DET;FEM;SG
sus	son	su	son	DET;PL;3	DET;MASC;SG
también	too	también	too	ADV	INTJ
entre	parmis	entre	parmettre	ADP	INTJ
este	cette	este	ce	PRO;MASC;SG	DET;FEM;SG
este	orientale	este	oriental	PRO;MASC;SG	ADJ;FEM;SG
este	est	este	être	PRO;MASC;SG	V;IND;SG;3;PRS;FIN
este	orient	este	orier	PRO;MASC;SG	N;MASC;SG
dos	dos	dos	dos	NUM;PL	N;MASC;SG
dos	two	dos	two	NUM;PL	PROPN
sobre	enveloppe	sobre	enveloppe	ADP	N;FEM;SG
desde	puisque	desde	puisque	ADP	CONJ
desde	du	desde	du	ADP	DET;MASC;SG
esta	cette	este	ce	PRO;FEM;SG	DET;FEM;SG
hasta	meme	hasta	même	ADP	INTJ
hasta	même	hasta	même	ADP	ADV
externos	externe	externo	externe	ADJ;MASC;PL	ADJ;MASC;SG
externos	extérieur	externo	extérieur	ADJ;MASC;PL	N;MASC;SG
externos	extérieure	externo	extérieur	ADJ;MASC;PL	ADJ;FEM;SG
ciudad	villes	ciudad	ville	N;FEM;SG	N;FEM;PL
ciudad	ciudad	ciudad	ciudad	N;FEM;SG	PROPN
ser	etre	ser	être	V;NFIN	V;NFIN
ser	ser	ser	ser	V;NFIN	PROPN
parte	parti	parte	partir	N;FEM;SG	V;MASC;SG;PST;V.PTCP
durante	lors	durante	lors	ADP	ADV
sin	pêché	sin	pêcher	ADP	V;MASC;SG;PST;V.PTCP
sin	pécher	sin	pécher	ADP	V;NFIN
sin	péché	sin	pécher	ADP	V;MASC;SG;PST;V.PTCP
