cuadrado	quadrados	cuadrado	quadrados	N;MASC;SG	N;MASC;PL
israelí	israelita	israelí	israelita	ADJ;SG	N;MASC;SG
israelí	israelenses	israelí	israelense	ADJ;SG	N;MASC;PL
israelí	israelitas	israelí	israelita	ADJ;SG	N;MASC;PL
israelí	israelitas	israelí	israelita	ADJ;SG	N;MASC;PL
israelí	israelenses	israelí	israelense	ADJ;SG	N;MASC;PL
israelí	israel	israelí	israel	ADJ;SG	N;MASC;SG
existían	existia	existir	existir	V;IND;PL;3;IPFV;FIN	V;IND;SG;3;IPFV;FIN
existían	existiu	existir	existir	V;IND;PL;3;IPFV;FIN	V;IND;SG;3;PST;FIN
existían	existido	existir	existir	V;IND;PL;3;IPFV;FIN	V;MASC;SG;V.PTCP
expulsado	expulsa	expulsado	expulsar	ADJ;MASC;SG;V.PTCP	V;SG;V.PTCP
expulsado	expulsos	expulsado	expulso	ADJ;MASC;SG;V.PTCP	V;MASC;PL;V.PTCP
expulsado	expulso	expulsado	expulso	ADJ;MASC;SG;V.PTCP	V;MASC;SG;V.PTCP
expulsado	expulso	expulsado	expulso	ADJ;MASC;SG;V.PTCP	V;MASC;SG;V.PTCP
guerreros	warriors	guerrero	warrior	N;MASC;PL	N;MASC;SG
positivo	positivos	positivo	positivo	ADJ;MASC;SG	N;MASC;PL
positivo	positivas	positivo	positivo	ADJ;MASC;SG	ADJ;FEM;PL
combatir	combate	combatir	combate	V;NFIN	N;MASC;SG
iguales	igualar	igual	igualar	ADJ;PL	V;NFIN
iguales	equal	igual	equal	ADJ;PL	N;MASC;SG
iguales	igual	igual	igual	ADJ;PL	N;MASC;SG
iguales	igual	igual	igual	ADJ;PL	N;MASC;SG
impuesto	impostos	impuesto	imposto	ADJ;MASC;SG;V.PTCP	N;MASC;PL
impuesto	imposto	impuesto	impor	ADJ;MASC;SG;V.PTCP	V;MASC;SG;V.PTCP
impuesto	impostos	impuesto	imposto	ADJ;MASC;SG;V.PTCP	N;MASC;PL
modificación	modificações	modificación	modificação	N;FEM;SG	N;FEM;PL
luces	lights	luz	lights	N;FEM;PL	N;MASC;SG
concluyó	concluíram	concluir	concluir	V;IND;SG;3;PST;FIN	V;IND;PL;3;FIN
concluyó	concluídos	concluir	concluir	V;IND;SG;3;PST;FIN	V;MASC;PL;V.PTCP
interiores	interiores	interior	interior	ADJ;PL	N;MASC;PL
interiores	interior	interior	interior	ADJ;PL	N;MASC;SG
interiores	interiores	interior	interior	ADJ;PL	N;MASC;PL
juveniles	juvenil	juvenil	juvenil	ADJ;PL	ADJ;MASC;SG
juveniles	juvenis	juvenil	juvenis	ADJ;PL	N;MASC;PL
juveniles	juvenis	juvenil	juvenis	ADJ;PL	N;MASC;PL
historieta	quadrinhos	historieta	quadrinho	N;FEM;SG	N;MASC;PL
historieta	gibis	historieta	gibil	N;FEM;SG	N;MASC;PL
historieta	quadrinhos	historieta	quadrinho	N;FEM;SG	N;MASC;PL
historieta	cômico	historieta	cômico	N;FEM;SG	ADJ;MASC;SG
masculina	masculino	masculino	masculino	ADJ;FEM;SG	N;MASC;SG
rick	rick	rick	rick	PROPN	N;MASC;SG
reconocidos	reconhecido	reconocido	reconhecer	ADJ;MASC;PL;V.PTCP	V;MASC;SG;V.PTCP
reconocidos	reconheceu	reconocido	reconhecer	ADJ;MASC;PL;V.PTCP	V;IND;SG;3;PST;FIN
reconocidos	reconhecidos	reconocido	reconhecer	ADJ;MASC;PL;V.PTCP	V;MASC;PL;V.PTCP
reconocidos	reconhecida	reconocido	reconhecer	ADJ;MASC;PL;V.PTCP	V;FEM;SG;V.PTCP
reconocidos	reconhecido	reconocido	reconhecer	ADJ;MASC;PL;V.PTCP	V;MASC;SG;V.PTCP
reconocidos	reconhecidas	reconocido	reconhecer	ADJ;MASC;PL;V.PTCP	V;FEM;PL;V.PTCP
reconocidos	reconhecidos	reconocido	reconhecer	ADJ;MASC;PL;V.PTCP	V;MASC;PL;V.PTCP
reconocidos	reconhecida	reconocido	reconhecer	ADJ;MASC;PL;V.PTCP	V;FEM;SG;V.PTCP
reconocidos	reconhecido	reconocido	reconhecer	ADJ;MASC;PL;V.PTCP	V;MASC;SG;V.PTCP
reconocidos	reconheci	reconocido	reconhecer	ADJ;MASC;PL;V.PTCP	V;IND;SG;1;PST;FIN
reconocidos	reconhecidas	reconocido	reconhecer	ADJ;MASC;PL;V.PTCP	V;FEM;PL;V.PTCP
reconocidos	reconhecidos	reconocido	reconhecer	ADJ;MASC;PL;V.PTCP	V;MASC;PL;V.PTCP
reconocidos	reconhecida	reconocido	reconhecer	ADJ;MASC;PL;V.PTCP	V;FEM;SG;V.PTCP
reveló	revelados	revelar	revelar	V;IND;SG;3;PST;FIN	V;MASC;PL;V.PTCP
reveló	reveladas	revelar	revelar	V;IND;SG;3;PST;FIN	V;FEM;PL;V.PTCP
pedido	ordem	pedido	ordem	ADJ;MASC;SG;V.PTCP	N;FEM;SG
pedido	encomendar	pedido	encomendar	ADJ;MASC;SG;V.PTCP	V;NFIN
pedido	encomenda	pedido	encomenda	ADJ;MASC;SG;V.PTCP	N;FEM;SG
educativa	educacionais	educativo	educacional	ADJ;FEM;SG	N;MASC;PL
educativa	educação	educativo	educação	ADJ;FEM;SG	N;FEM;SG
