les	az	le	az	DET;DEF;PL	
est	keletre	être	keletr	V;IND;SG;3;PRS;FIN	N;ON+ALL;SG
est	keleti	être	keleti	V;IND;SG;3;PRS;FIN	
est	kelet	être	kelet	V;IND;SG;3;PRS;FIN	
catégorie	kategória	catégorie	kategória	N;FEM;SG	
pour	for	pour	for	ADP	
qui	ki	qui	ki	PRO	PRO;NOM;SG;3
que	ez	que	ez	CONJ	PRO;NOM;SG;3
avec	with	avec	with	ADP	
son	hang	son	hang	DET;MASC;SG	N;NOM;SG
son	hangot	son	hang	DET;MASC;SG	N;ACC;SG
plus	plus	plus	plus	ADV	
plus	plussz	plus	plussz	ADV	
plus	plusz	plus	plusz	ADV	
plus	több	plus	több	ADV	DET;INDF
plus	more	plus	more	ADV	
plus	további	plus	további	ADV	N;NOM;SG
plus	tobb	plus	tobb	ADV	
été	summer	être	summer	V;MASC;SG;PST;V.PTCP	
été	nyári	être	nyári	V;MASC;SG;PST;V.PTCP	
été	nyáron	être	nyár	V;MASC;SG;PST;V.PTCP	N;ON+ESS;SG
été	nyár	être	nyár	V;MASC;SG;PST;V.PTCP	
comme	mint	comme	mint	ADP	CONJ
comme	like	comme	lik	ADP	
comme	tetszik	comme	tetszik	ADP	V;INDF;IND;SG;3;PRS;FIN;ACT
cette	ezt	ce	ez	DET;FEM;SG	PRO;ACC;SG;3
cette	ez	ce	ez	DET;FEM;SG	PRO;NOM;SG;3
pop	pop	pop	pop	N;FEM;SG	
deux	kettő	deux	kettő	NUM	
naissance	született	naissance	születik	N;FEM;SG	V;INDF;IND;SG;3;PST;FIN;ACT
naissance	megszületett	naissance	meg+szület	N;FEM;SG	V;INDF;IND;SG;3;PST;FIN;ACT
naissance	születési	naissance	születési	N;FEM;SG	ADJ;NOM;SG
aussi	szintén	aussi	szintén	ADV	
aussi	úgyszintén	aussi	úgyszintén	ADV	
france	france	france	france	N;FEM;SG	
saint	szent	saint	szent	PROPN	
saint	saint	saint	saint	PROPN	
saint	szent	saint	szent	PROPN	
après	after	après	after	ADP	
après	miután	après	miután	ADP	CONJ
après	utána	après	utána	ADP	
fait	kész	faire	kész	V;MASC;SG;PST;V.PTCP	
notes	jegyzet	note	jegyzet	N;FEM;PL	N;NOM;SG
sous	alatta	sous	alat	ADP	
même	ugyanez	même	ugyanez	ADV	
même	ugyanaz	même	ugyanaz	ADV	
être	lenni	être	lesz	V;NFIN	V;NFIN;ACT
français	français	français	français	ADJ;MASC;SG	
français	francia	français	francia	ADJ;MASC;SG	
français	franciák	français	francia	ADJ;MASC;SG	N;NOM;PL
ont	van	avoir	van	V;IND;PL;3;PRS;FIN	V;INDF;IND;SG;3;PRS;FIN;ACT
paris	párizs	pari	párizs	N;MASC;PL	N;NOM;SG
paris	párizsi	pari	párizsi	N;MASC;PL	
paris	párizsban	pari	párizs	N;MASC;PL	PROPN;IN+ESS;SG
lui	neki	lui	ő	PRO;SG;3	
autres	egyéb	autre	egyéb	PRO;PL	
autres	más	autre	más	PRO;PL	PRO;NOM;SG;3
autres	egyéb	autre	egyéb	PRO;PL	
autres	mások	autre	más	PRO;PL	
autres	egyebek	autre	egyéb	PRO;PL	
décès	halálesetek	décès	haláleset	N;MASC;SG	N;NOM;PL
