ve	si	ve	sine	CONJ	
bir	una	bir	unul		PRO;FEM;SG;3
bir	unul	bir	unul		PRO;MASC;SG;3
bir	unu	bir	unu		NUM;MASC;SG
bu	asta	bu	acesta		PRO;FEM;SG;3
bu	aceasta	bu	acesta		PRO;FEM;SG;3
bu	că	bu	că		CONJ;POS
bu	asta	bu	acesta		PRO;FEM;SG;3
bu	aia	bu	acela		PRO;FEM;SG;3
de	spune	de	spune		V;IND;SG;3;PRS;FIN
ile	cu	ile	cu		ADP;ACC
için	pentru	için	pentru		ADP;ACC
en	preferatele	en	preferat	ADV	N;DEF;FEM;PL
en	favorite	en	favori	ADV	ADJ;INDF;FEM;PL
en	favoritele	en	favorit	ADV	N;DEF;FEM;PL
sonra	dupa	sonra	dupa	ADV	N;DEF;FEM;SG
sonra	după	sonra	după	ADV	ADP;ACC
ilk	primii	ilk	prim		NUM;DEF;MASC;PL
ilk	prima	ilk	prim		NUM;DEF;FEM;SG
ilk	primul	ilk	prim		NUM;DEF;MASC;SG
utc	utc	utc	utc		N
çok	foarte	çok	foarte		ADV
çok	mult	çok	mult		ADV
yer	locul	yer	loc	N;NOM;SG;3	N;DEF;MASC;SG
yer	localizare	yer	localizare	N;NOM;SG;3	N;INDF;FEM;SG
yer	locație	yer	locație	N;NOM;SG;3	N;INDF;FEM;SG
yer	locația	yer	locație	N;NOM;SG;3	N;DEF;FEM;SG
yer	locaţia	yer	locahie	N;NOM;SG;3	N;DEF;FEM;SG
gibi	ca	gibi	ca		ADV
dış	exterioare	dış	exterior		ADJ;INDF;FEM;PL
dış	exterior	dış	exterior		N;INDF;MASC;SG
büyük	mare	büyük	mare		ADJ;INDF;MASC;SG
büyük	mari	büyük	mare		ADJ;INDF;PL
büyük	big	büyük	big		N;INDF;MASC;SG
büyük	imensă	büyük	imens		ADJ;INDF;FEM;SG
büyük	imens	büyük	imens		ADJ;INDF;MASC;SG
bağlantılar	linkurile	bağlantı	link	N;NOM;PL;3	N;DEF;FEM;PL
bağlantılar	contactele	bağlantı	contact	N;NOM;PL;3	N;DEF;FEM;PL
türkiye	turcia	türkiye	turcia	PROPN;NOM;SG;3	PROPN
türkiye	curcan	türkiye	curcan	PROPN;NOM;SG;3	N;INDF;MASC;SG
iki	doua	iki	doi		NUM;FEM;SG
iki	doi	iki	doi		NUM;MASC;PL
iki	două	iki	doi		NUM;FEM;PL
center	centrul	center	centru	N;NOM;SG;3	N;DEF;MASC;SG
arasında	printre	ara	printre	ADJ;ESS;SG;3	ADP;ACC
arasında	intre	ara	intra	ADJ;ESS;SG;3	V;SBJV;3;PRS;FIN
arasında	între	ara	între	ADJ;ESS;SG;3	ADP;ACC
istanbul	istanbul	istanbul	istanb	PROPN;NOM;SG;3	PROPN
türk	turk	türk	turk	ADJ	N;INDF;MASC;SG
türk	turcul	türk	turc	ADJ	N;DEF;MASC;SG
türk	turci	türk	turc	ADJ	N;INDF;MASC;PL
türk	turcă	türk	turc	ADJ	N;INDF;FEM;SG
diğer	altele	diğer	altul	ADJ	PRO;FEM;PL;3
diğer	alte	diğer	alt	ADJ	DET;FEM;PL;3
diğer	alți	diğer	alt	ADJ	DET;MASC;PL;3
yeni	noi	yeni	eu	ADJ	PRO;PL;1
