que	귀하	que	귀하	PRO	
non	아님	non	아니+ㅁ	PART	
non	don	non	don	PART	
un	하나	un	하나	DET	
unha	하나	un	하나	DET	
se	당신은	se	당신+은	CONJ	PRO
se	귀하	se	귀하	CONJ	
se	당신	se	당신	CONJ	PRO
por	부탁합니다	por	부탁+하+ㅂ니다	ADP	V
do	출신	do	출신	PROPN	N
da	출신	da	출신	V	N
como	어떻게	como	어떻+게	PRO	CONJ
máis	기타	máis	기타	ADV	N
máis	대부분의	máis	대부분+의	ADV	N
máis	대부분	máis	대부분	ADV	N
pero	근데	pero	근데	CONJ	
ben	좋다	ben	좋+다	ADV	ADJ
ben	알겠습니다	ben	알+겠+습니다	ADV	V
ben	좋아요	ben	좋+아+요	ADV	
ben	오른쪽	ben	오른쪽	ADV	N
ben	전체	ben	전체	ADV	N
si	예스	si	예스	ADV	
con	함께	con	함께	ADP	ADV
son	그들이	ser	그+들+이	V	PRO
son	그들은	ser	그+들+은	V	PRO
aquí	여기	aquí	여기	ADV	PRO
hai	거기	haber	거기	V	
hai	거기에	haber	거기+에	V	ADV
todo	모두	todo	모두	DET	ADV
todo	전체	todo	전체	DET	N
cando	언제쯤	cando	언제+쯤	PRO	N
cando	언제	cando	언제	PRO	
cando	귀하	cando	귀하	PRO	
xa	당신은	xa	당신+은	ADV	PRO
xa	귀하	xa	귀하	ADV	
xa	당신	xa	당신	ADV	PRO
dos	출신	dos	출신	PROPN	N
ti	당신은	ti	당신+은		PRO
ti	당신	ti	당신		PRO
só	단발	só	단발	ADV	
súa	그의	seu	그+의	DET	PRO
súa	그녀	seu	그녀	DET	
súa	그녀의	seu	그녀+의	DET	PRO
súa	그들의	seu	그+들+의	DET	PRO
así	이거	así	이거	ADV	
seu	그의	seu	그+의	DET	PRO
seu	그들의	seu	그+들+의	DET	PRO
seu	그녀	seu	그녀	DET	
seu	그녀의	seu	그녀+의	DET	PRO
¿	어떻게	¿	어떻+게		CONJ
¿	당신은	¿	당신+은		PRO
¿	당신	¿	당신		PRO
agora	이제	agora	이제	ADV	
agora	지금	agora	지금	ADV	N
facer	make	facer	make	V	
isto	이거	isto	이거	PRO	
ten	got	ter	got	V	
ten	당신은	ter	당신+은	V	PRO
ten	귀하	ter	귀하	V	
ten	당신	ter	당신	V	PRO
onde	어디서	onde	어디+서	PRO	ADV
onde	어디	onde	어디	PRO	
onde	어디에	onde	어디+에	PRO	ADV
onde	어디로	onde	어디+로	PRO	ADV
esta	이거	este	이거	DET	
esta	tonight	este	tonight	DET	
esta	오늘밤	este	오늘밤	DET	
nada	아무것도	nada	아무것+도	PRO	ADV
nada	무엇이든	nada	무엇+이든	PRO	
nada	뭐든	nada	뭐+든	PRO	
nada	아무거나	nada	아무+거나	PRO	
quen	who	quen	who	PRO	
algo	무엇인가	algo	무엇+이+ㄴ가	PRO	V
algo	something	algo	something	PRO	
algo	뭔가	algo	뭐+이+ㄴ가	PRO	
algo	무언가	algo	무엇+이+ㄴ가	PRO	
algo	무엇이든	algo	무엇+이든	PRO	
algo	뭐든	algo	뭐+든	PRO	
algo	아무거나	algo	아무+거나	PRO	
algo	일부	algo	일부	PRO	N
teño	got	ter	got	V	
todos	모두	todo	모두	DET	ADV
todos	전체	todo	전체	DET	N
todos	꼴찌	todo	꼴찌	DET	
todos	모두	todo	모두	DET	ADV
porque	왜냐면	porque	왜+이면	CONJ	
porque	왜냐하면	porque	왜냐하면	CONJ	CONJ
este	이거	este	이거	DET	
lle	귀하	lle	귀하	PRO	
lle	그녀	lle	그녀	PRO	
mais	근데	mais	근데	CONJ	
pode	당신은	poder	당신+은	V	PRO
pode	귀하	poder	귀하	V	
pode	당신	poder	당신	V	PRO
tamén	또한	tamén	또한	ADV	CONJ
te	귀하	te	귀하	PRO	
casa	하우스	casa	하우스	N	
casa	집에	casa	집+에	N	ADV
casa	고향	casa	고향	N	
casa	집으로	casa	집+으로	N	ADV
casa	가정	casa	가정	N	
quero	don	quero	don	V	
anos	수년	ano	수년	N	
anos	늙은	ano	늙+ㄴ	N	
anos	오래된	ano	오래+되+ㄴ	N	V
anos	ago	ano	ago	N	
xente	명인	xente	명인	N	
vez	다시	vez	다시	N	ADV
vez	또다시	vez	또다시	N	ADV
vez	타임	vez	타임	N	
vez	time	vez	time	N	
vez	한번	vez	한번	N	
vez	once	vez	once	N	
señor	주님	señor	주님	N	
señor	sir	señor	sir	N	
señor	선생님	señor	선생님	N	
sei	don	saber	don	V	
tempo	타임	tempo	타임	N	
tempo	time	tempo	time	N	
día	데이	día	데이	N	
día	모닝	día	모닝	N	
vida	라이프	vida	라이프	N	
polo	최소	polo	최소	N	
dicir	say	dicir	say	V	
dicir	평균	dicir	평균	V	N
sobre	소개	sobre	소개	ADP	N
sobre	대략	sobre	대략	ADP	
aínda	조차도	aínda	조차도	ADV	
mesmo	같은	mesmo	같+ㄴ	DET	ADJ
mesmo	동일	mesmo	동일	DET	
mesmo	똑같이	mesmo	똑같이	DET	ADV
mesmo	심지어	mesmo	심지어	DET	ADV
mesmo	조차도	mesmo	조차도	DET	
mesmo	오른쪽	mesmo	오른쪽	DET	N
ela	그녀	el	그녀	PRO	
ela	그녀	el	그녀	PRO	
¡	당신은	¡	당신+은		PRO
¡	당신	¡	당신		PRO
sen	without	sen	without	ADP	
vostede	당신은	vostede	당신+은	PROPN	PRO
vostede	귀하	vostede	귀하	PROPN	
vostede	당신	vostede	당신	PROPN	PRO
nunca	절대	nunca	절대	ADV	
nunca	never	nunca	never	ADV	
nunca	절대로	nunca	절대로	ADV	
están	그들이	estar	그+들+이	V	PRO
están	그들은	estar	그+들+은	V	PRO
estás	당신은	estar	당신+은	V	PRO
estás	귀하	estar	귀하	V	
estás	당신	estar	당신	V	PRO
mundo	월드	mundo	월드	N	
mundo	모두	mundo	모두	N	ADV
túa	귀하	teu	귀하	PRO	
co	함께	co	함께	PROPN	ADV
che	당신은	che	당신+은		PRO
che	당신	che	당신		PRO
cousas	물건	cousa	물건	N	
mellor	최고	mellor	최고	ADJ	N
mellor	베스트	mellor	베스트	ADJ	N
coa	함께	coar	함께	V	ADV
sempre	영원	sempre	영원	ADV	
sempre	forever	sempre	forever	ADV	
sempre	영원한	sempre	영원+하+ㄴ	ADV	V
temos	got	ter	got	V	
tes	당신은	tes	당신+은	V	PRO
tes	귀하	tes	귀하	V	
tes	당신	tes	당신	V	PRO
tes	got	tes	got	V	
noite	밤에	noite	밤+에	N	ADV
noite	나이트	noite	나이트	N	
noite	tonight	noite	tonight	N	
noite	오늘밤	noite	오늘밤	N	
nin	심지어	nin	심지어	CONJ	ADV
nin	조차도	nin	조차도	CONJ	
nin	아님	nin	아니+ㅁ	CONJ	
seus	그들의	seu	그+들+의	DET	PRO
seus	그의	seu	그+의	DET	PRO
seus	그녀	seu	그녀	DET	
seus	그녀의	seu	그녀+의	DET	PRO
dous	두두	dous	두두	N	
dous	두분	dous	두분	N	
dous	둘다	dous	두+ㄴ다	N	
traballo	욥기	traballo	욥기	N	
traballo	퇴근	traballo	퇴근	N	
grazas	당신은	graza	당신+은	N	PRO
grazas	귀하	graza	귀하	N	
grazas	당신	graza	당신	N	PRO
grazas	많이	graza	많이	N	ADV
grazas	훨씬	graza	훨씬	N	ADV
outra	다시	outro	다시	DET	ADV
outra	또다시	outro	또다시	DET	ADV
outra	기타	outro	기타	DET	N
outra	다른	outro	다르+ㄴ	DET	ADJ
outra	하나	outro	하나	DET	
es	당신은	e	당신+은	N	PRO
es	귀하	e	귀하	N	
es	당신	e	당신	N	PRO
pai	아빠	pai	아빠	N	
antes	이전	antes	이전	ADV	N
ás	가끔은	á	가끔+은	N	
ás	가끔	á	가끔	N	ADV
ás	때때로	á	때때로	N	ADV
ese	이거	ese	이거	DET	
esa	이거	ese	이거	DET	
queres	당신은	quere	당신+은	V	PRO
queres	귀하	quere	귀하	V	
queres	당신	quere	당신	V	PRO
verdade	진실	verdade	진실	N	
verdade	진리	verdade	진리	N	
verdade	정말로	verdade	정말로	N	ADV
verdade	정말	verdade	정말	N	ADV
verdade	당신은	verdade	당신+은	N	PRO
verdade	귀하	verdade	귀하	N	
verdade	당신	verdade	당신	N	PRO
verdade	리얼	verdade	리얼	N	
