sovi	fit	sovi	faire	V;IMP;SG;2;FIN;ACT	V;IND;SG;3;PST;FIN
baden	bade	bade	bade		N;MASC;SG
baden	baden	bade	baden		N;MASC;SG
pakottaa	force	pakottaa	force	V;IND;SG;3;PRS;FIN;ACT	N;FEM;SG
toivoi	souhaitait	toivoa	souhaiter	V;IND;SG;3;PST;FIN;ACT	V;IND;SG;3;IPFV;FIN
toivoi	espéraient	toivoa	espérer	V;IND;SG;3;PST;FIN;ACT	V;IND;PL;3;IPFV;FIN
toivoi	espérait	toivoa	espérer	V;IND;SG;3;PST;FIN;ACT	V;IND;SG;3;IPFV;FIN
sain	got	saada	got	V;IND;SG;1;PST;FIN;ACT	
hannah	hannah	hannah	hannah	N;NOM;SG	PROPN
kohtalon	destinée	kohtalo	destiner	N;GEN;SG	V;FEM;SG;PST;V.PTCP
kohtalon	destiny	kohtalo	destiny	N;GEN;SG	PROPN
taiteellinen	artistiques	taiteellinen	artistique	ADJ;NOM;SG	ADJ;MASC;PL
erityisiä	spécifique	erityinen	spécifique	ADJ;PRT;PL	ADJ;MASC;SG
pystytetty	érigés	pystyttää	ériger	V;NOM;SG;V.PTCP;PASS	V;MASC;PL;PST;V.PTCP
pystytetty	érigées	pystyttää	ériger	V;NOM;SG;V.PTCP;PASS	V;FEM;PL;PST;V.PTCP
mason	mason	maso	mason	N;NOM;SG	PROPN
omaisuutta	biens	omaisuus	bien	N;PRT;SG	N;MASC;PL
tyhjä	vides	tyhjä	vide	ADJ;NOM;SG	ADJ;MASC;PL
tyhjä	vider	tyhjä	vider	ADJ;NOM;SG	V;NFIN
tyhjä	blanc	tyhjä	blanc	ADJ;NOM;SG	N;MASC;SG
kannet	couvre	kannet	couvrir	N;NOM;PL	V;IND;SG;3;PRS;FIN
naton	otan	natto	otan	N;GEN;SG	PROPN
orgaaninen	bio	orgaaninen	bio	ADJ;NOM;SG	N;MASC;SG
orgaaninen	biologiques	orgaaninen	biologique	ADJ;NOM;SG	ADJ;MASC;PL
orgaaninen	organiques	orgaaninen	organique	ADJ;NOM;SG	ADJ;MASC;PL
nashville	nashville	nashville	nashville		PROPN
eduard	eduard	eduard	eduard	N;NOM;SG	PROPN
bordeaux	bordeaux	bordeaux	bordeau		N;MASC;PL
loma	vacances	loma	vacance	N;NOM;SG	N;FEM;PL
loma	vacances	loma	vacance	N;NOM;SG	N;FEM;PL
monivuotinen	vivaces	moni#vuotinen	vivace	ADJ;NOM;SG	ADJ;FEM;PL
monivuotinen	pérennes	moni#vuotinen	pérenne	ADJ;NOM;SG	ADJ;MASC;PL
raportin	signaler	raportti	signaler	N;GEN;SG	V;NFIN
sisilian	sicile	sisili	sicile	N;GEN;SG	ADJ;FEM;SG
sisilian	sicilien	sisili	sicilien	N;GEN;SG	ADJ;MASC;SG
sisilian	sicilienne	sisili	sicilien	N;GEN;SG	ADJ;FEM;SG
jackie	jackie	jackie	jackie	PROPN;NOM;SG	PROPN
koirat	chien	koira	chien	N;NOM;PL	N;MASC;SG
vahinkoa	lésions	vahinko	lésion	N;PRT;SG	N;FEM;PL
vahinkoa	blessures	vahinko	blessure	N;PRT;SG	N;FEM;PL
vahinkoa	dégats	vahinko	dégat	N;PRT;SG	N;MASC;PL
vahinkoa	dommages	vahinko	dommage	N;PRT;SG	N;MASC;PL
vahinkoa	dégâts	vahinko	dégât	N;PRT;SG	N;MASC;PL
vahinkoa	dommage	vahinko	dommage	N;PRT;SG	INTJ
touko	may	touko	may	N;NOM;SG	PROPN
touko	peut	touko	pouvoir	N;NOM;SG	V;IND;SG;3;PRS;FIN
määrätty	prescrits	määrätä	prescrit	V;NOM;SG;V.PTCP;PASS	V;MASC;PL;PST;V.PTCP
määrätty	prescrites	määrätä	prescrit	V;NOM;SG;V.PTCP;PASS	V;FEM;PL;PST;V.PTCP
määrätty	assignés	määrätä	assigner	V;NOM;SG;V.PTCP;PASS	V;MASC;PL;PST;V.PTCP
määrätty	assignées	määrätä	assigner	V;NOM;SG;V.PTCP;PASS	V;FEM;PL;PST;V.PTCP
kristityt	christianisme	kristityt	christianisme	N;NOM;PL	N;MASC;SG
kristityt	chrétienne	kristityt	chrétien	N;NOM;PL	ADJ;FEM;SG
kristityt	christian	kristityt	christian	N;NOM;PL	PROPN
kristityt	chrétien	kristityt	chrétien	N;NOM;PL	ADJ;MASC;SG
anime	animé	anime	animer		V;MASC;SG;PST;V.PTCP
anime	anime	anime	anime		N;FEM;SG
promo	promo	promo	promo	N;NOM;SG	
aikakausi	era	aika#kausi	era	N;NOM;SG	PROPN
vaunut	wagon	vaunu	wagon	N;NOM;PL	N;MASC;SG
vaunut	chariot	vaunu	chariot	N;NOM;PL	N;MASC;SG
vaunut	calèche	vaunu	calèche	N;NOM;PL	N;FEM;SG
vaunut	attelage	vaunu	attelage	N;NOM;PL	N;MASC;SG
vaunut	char	vaunu	char	N;NOM;PL	N;MASC;SG
vaunut	chariot	vaunu	chariot	N;NOM;PL	N;MASC;SG
vuosituhannen	millenium	vuosi#tuhat	millenium	N;GEN;SG	PROPN
vuosituhannen	millennium	vuosi#tuhat	millennium	N;GEN;SG	PROPN
fisher	fisher	fisher	fisher	PROPN;NOM;SG	PROPN
fisher	pêcheur	fisher	pêcheur	PROPN;NOM;SG	N;MASC;SG
piirsi	drew	piirtää	drew	V;IND;SG;3;PST;FIN;ACT	PROPN
kuukausia	mois	kuu#kausi	mois	N;PRT;PL	N;MASC;SG
epäilty	présumés	epäillä	présumer	V;NOM;SG;V.PTCP;PASS	V;MASC;PL;PST;V.PTCP
epäilty	suspecte	epäillä	suspect	V;NOM;SG;V.PTCP;PASS	ADJ;FEM;SG
epäilty	suspects	epäillä	suspect	V;NOM;SG;V.PTCP;PASS	N;MASC;PL
epäilty	suspect	epäillä	suspect	V;NOM;SG;V.PTCP;PASS	N;MASC;SG
epäilty	suspectes	epäillä	suspect	V;NOM;SG;V.PTCP;PASS	ADJ;FEM;PL
marina	marina	marina	marina	N;NOM;SG	PROPN
mainitsi	mentionnés	mainita	mentionner	V;IND;SG;3;PST;FIN;ACT	V;MASC;PL;PST;V.PTCP
laitteiden	périphériques	laite	périphérique	N;GEN;PL	ADJ;MASC;PL
olympia	olympia	olympi	olympia	ADJ;NOM;CMPR;SG	N;MASC;SG
olympia	olympic	olympi	olympic	ADJ;NOM;CMPR;SG	PROPN
olympia	olympiques	olympi	olympique	ADJ;NOM;CMPR;SG	ADJ;MASC;PL
highway	autoroutes	highway	autoroute	N;NOM;SG	N;FEM;PL
ratkaisi	résolus	ratkaista	résoudre	V;IND;SG;3;PST;FIN;ACT	V;MASC;PL;PST;V.PTCP
