der	az	der	az	DET;NOM;DEF;MASC;SG	
die	az	der	az	DET;NOM;DEF;FEM;SG	
von	től	von	től	ADP	
von	tól	von	tól	ADP	
von	from	von	from	ADP	
den	az	der	az	DET;ACC;DEF;MASC;SG	
das	ezt	der	ez	PRO;NOM;NEUT;SG	PRO;ACC;SG;3
das	az	der	az	PRO;NOM;NEUT;SG	
das	das	der	das	PRO;NOM;NEUT;SG	
des	des	der	des	DET;GEN;DEF;NEUT;SG	
mit	használatával	mit	használat	ADP	N;INS;SG
mit	használata	mit	használat	ADP	N;NOM;SG
mit	felhasználva	mit	felhasználva	ADP	ADV;V.CVB
mit	with	mit	with	ADP	
für	for	für	for	ADP	
ein	egy	ein	egy	ADV	DET;INDF
ein	ein	ein	ein	ADV	
als	als	als	als	ADP	
dem	az	der	az	PRO;DAT;NEUT;SG	
wurde	volt	werden	van	V;IND;SG;3;PST;FIN;PASS	V;INDF;IND;SG;3;PST;FIN;ACT
wurde	lettem	werden	lesz	V;IND;SG;3;PST;FIN;PASS	V;INDF;IND;SG;1;PST;FIN;ACT
wurde	lett	werden	lesz	V;IND;SG;3;PST;FIN;PASS	V;INDF;IND;SG;3;PST;FIN;ACT
wurde	vált	werden	válik	V;IND;SG;3;PST;FIN;PASS	V;INDF;IND;SG;3;PST;FIN;ACT
auch	szintén	auch	szintén	ADV	
auch	úgyszintén	auch	úgyszintén	ADV	
auch	is	auch	is	ADV	CONJ
auch	túl	auch	túl	ADV	
nicht	nem	nicht	nem	PART;NEG	ADV
nach	after	nach	after	ADP	
nach	miután	nach	miután	ADP	CONJ
nach	utána	nach	utána	ADP	
war	volt	sein	van	V;IND;SG;3;PST;FIN	V;INDF;IND;SG;3;PST;FIN;ACT
aus	aus	aus	aus	ADP	
aus	től	aus	től	ADP	
aus	tól	aus	tól	ADP	
aus	from	aus	from	ADP	
aus	ki	aus	ki	ADP	PRO;NOM;SG;3
sie	te	sie	te	PRO;NOM;FEM;SG;3	V;DEF;IND;SG;1;PRS;FIN;ACT
sie	ők	sie	ők	PRO;NOM;FEM;SG;3	PRO;NOM;PL;3
bis	függőben	bis	függő	ADP	N;IN+ESS;SG
bis	folyamatban	bis	folyamat	ADP	N;IN+ESS;SG
bis	bisz	bis	bisz	ADP	N;NOM;SG
bis	bis	bis	bis	ADP	
ich	ich	ich	ich	PRO;NOM;SG;1	
einer	egy	ein	egy	PRO;NOM;INDF;MASC;SG	DET;INDF
werden	will	werden	will	V;NFIN;PASS	
werden	fog	werden	fog	V;NFIN;PASS	V;INDF;IND;SG;3;PRS;ACT
werden	akarat	werden	akarat	V;NFIN;PASS	N;NOM;SG
werden	váljon	werden	váljon	V;NFIN;PASS	V;DEF;IMP;SG;3;PRS;FIN;ACT
oder	odera	oder	odera	CONJ	
wird	will	werden	will	V;IND;SG;3;PRS;FIN;PASS	
wird	fog	werden	fog	V;IND;SG;3;PRS;FIN;PASS	V;INDF;IND;SG;3;PRS;ACT
wird	akarat	werden	akarat	V;IND;SG;3;PRS;FIN;PASS	N;NOM;SG
wird	válik	werden	válik	V;IND;SG;3;PRS;FIN;PASS	V;INDF;IND;SG;3;PRS;FIN;ACT
durch	át	durch	át	ADP	ADV
score	pontszám	scoren	pontszám	PROPN	N;NOM;SG
einen	egy	ein	egy	PRO;ACC;INDF;MASC;SG	DET;INDF
dass	ez	dass	ez	CONJ	PRO;NOM;SG;3
über	kb	über	kb	ADP	N;NOM;SG
über	nagyjából	über	nagy	ADP	N;IN+ABL;SG
über	körülbelül	über	körülbelül	ADP	ADV
über	via	über	via	ADP	
über	vége	über	vég	ADP	N;NOM;SG
über	át	über	át	ADP	ADV
über	fölötte	über	fölött	ADP	
über	fent	über	fent	ADP	
über	fenti	über	fent	ADP	
