que	זה	que	זה	CONJ	PRO;MASC;SG;3
del	דל	del	דל	ADP;MASC;SG	ADJ;MASC;SG
una	אחת	uno	אחת	DET;INDF;FEM;SG	NUM;FEM;SG
una	אחד	uno	אחד	DET;INDF;FEM;SG	NUM;MASC;SG
como	איך	como	איך	CONJ	ADV
como	כיצד	como	כיצד	CONJ	ADV
como	כמו	como	כמו	CONJ	ADP
como	אוהב	como	אהב	CONJ	V;MASC;SG;V.PTCP;ACT
como	כאילו	como	כאילו	CONJ	CONJ
fue	היה	ser	היה	V;IND;SG;3;PST;FIN	V;MASC;SG;3;POS;PST
fue	הייתה	ser	היה	V;IND;SG;3;PST;FIN	V;FEM;SG;3;POS;PST
fue	היתה	ser	היה	V;IND;SG;3;PST;FIN	V;FEM;SG;3;POS;PST
sus	שלהם	su	של	DET;PL;3	
sus	שלו	su	של	DET;PL;3	
sus	שלך	su	שלך	DET;PL;3	
sus	שלו	su	של	DET;PL;3	
también	וגם	también	וגם	ADV	
este	מזרחה	este	מזרחה	PRO;MASC;SG	ADV
este	המזרח	este	המזרח	PRO;MASC;SG	PROPN
este	איסט	este	איסט	PRO;MASC;SG	PROPN
este	מזרח	este	מזרח	PRO;MASC;SG	N;MASC;SG
años	שנה	año	שנה	N;MASC;PL	N;FEM;SG
dos	דוס	dos	דוס	NUM;PL	PROPN
dos	שתיים	dos	שתיים	NUM;PL	NUM;FEM;SG
sobre	אודות	sobre	אודות	ADP	
sobre	מעטפת	sobre	מעטף	ADP	PROPN
sobre	מעטפה	sobre	מעטפה	ADP	N;FEM;SG
desde	מאז	desde	מאז	ADP	ADV
hasta	אפילו	hasta	אפילו	ADP	CONJ
externos	חיצונית	externo	חיצוני	ADJ;MASC;PL	ADV
externos	חיצוני	externo	חיצוני	ADJ;MASC;PL	ADJ;MASC;SG
ciudad	טאון	ciudad	טאון	N;FEM;SG	PROPN
ciudad	העיר	ciudad	העיר	N;FEM;SG	V;MASC;SG;3;PST;ACT
ciudad	העיר	ciudad	העיר	N;FEM;SG	V;MASC;SG;3;PST;ACT
ciudad	סיודד	ciudad	סיודד	N;FEM;SG	PROPN
ser	היותך	ser	היותך	V;NFIN	
ser	להיות	ser	היה	V;NFIN	V;POS;NFIN
ser	סר	ser	סר	V;NFIN	PROPN
parte	מסיבה	parte	מסיבה	N;FEM;SG	
parte	המפלגה	parte	המפלג	N;FEM;SG	PROPN
durante	במהלך	durante	במהלך	ADP	ADV
sin	חטא	sin	חטא	ADP	PROPN
sin	החטא	sin	החטא	ADP	PROPN
donde	לאן	donde	לאן	PRO	ADV
donde	איפה	donde	איפה	PRO	ADV
donde	היכן	donde	היכן	PRO	ADV
san	סאן	san	סאן	N;MASC;SG	PROPN
san	סן	san	סן	N;MASC;SG	PROPN
san	קדוש	san	קדוש	N;MASC;SG	
san	הקדוש	san	הקדוש	N;MASC;SG	PROPN
san	קדושה	san	קדוש	N;MASC;SG	PROPN
era	היה	ser	היה	V;IND;SG;3;IPFV;FIN	V;MASC;SG;3;POS;PST
era	הייתה	ser	היה	V;IND;SG;3;IPFV;FIN	V;FEM;SG;3;POS;PST
era	היתה	ser	היה	V;IND;SG;3;IPFV;FIN	V;FEM;SG;3;POS;PST
nacional	לאומי	nacional	לאומי	ADJ;SG	PROPN
nacional	לאומית	nacional	לאומי	ADJ;SG	ADV
primera	ראשון	primero	ראשון	ADJ;FEM;SG	PROPN
primera	קודם	primero	קודם	ADJ;FEM;SG	ADV
primera	ראשית	primero	ראשית	ADJ;FEM;SG	ADV
primera	תחילה	primero	תחילה	ADJ;FEM;SG	ADV
cuando	מתי	cuando	מתי	CONJ	ADV
nombre	השם	nombre	השם	N;MASC;SG	
nombre	שם	nombre	שם	N;MASC;SG	ADV
siglo	siglo	siglo	siglo	N;MASC;SG	
siglo	המאה	siglo	המאה	N;MASC;SG	
después	אחרי	después	אחרי	ADV	ADP
después	לאחר	después	לאחר	ADV	ADP
españa	ספרד	españa	ספרד	N;FEM;SG	PROPN
otros	אחרים	otro	אחר	PRO;MASC;PL	ADJ;MASC;PL
otros	אחר	otro	אחר	PRO;MASC;PL	ADP
otros	אחרות	otro	אחר	PRO;MASC;PL	ADJ;FEM;PL
otros	אחרים	otro	אחר	PRO;MASC;PL	ADJ;MASC;PL
otros	ואחרים	otro	ואחר	PRO;MASC;PL	PROPN
gran	ביג	gran	ביג	ADJ;SG	
gran	גדולים	gran	גדול	ADJ;SG	ADJ;MASC;PL
gran	מעולה	gran	מעולה	ADJ;SG	
gran	אחלה	gran	אחלה	ADJ;SG	
