από	from	από	from	ADP	
που	które	που	który	PRO;ACC;NEUT;SG;3	DET;ACC;MASC;SG
που	która	που	który	PRO;ACC;NEUT;SG;3	DET;NOM;FEM;SG
που	który	που	który	PRO;ACC;NEUT;SG;3	DET;NOM;MASC;SG
για	na	για	na	ADP	INTJ
για	za	για	za	ADP	PART
κατηγορία	kategorii	κατηγορία	kategoria	N;NOM;FEM;SG	N;GEN;FEM;SG
τους	je	μου	on	PRO;GEN;MASC;PL;3	PRO;ACC;NEUT;PL;3
τους	im	μου	on	PRO;GEN;MASC;PL;3	PRO;DAT;MASC;PL;3
ήταν	była	είμαι	być	V;IPFV;IND;SG;3;PST;FIN;PASS	V;IPFV;FEM;IND;SG;PST;FIN;ACT
ήταν	był	είμαι	być	V;IPFV;IND;SG;3;PST;FIN;PASS	V;IPFV;MASC;IND;SG;PST;FIN;ACT
ήταν	było	είμαι	być	V;IPFV;IND;SG;3;PST;FIN;PASS	V;IPFV;NEUT;IND;SG;PST;FIN;ACT
ένα	jeden	ένας	jeden	NUM;NOM;NEUT;SG	ADJ;NOM;MASC;SG
ένα	jedna	ένας	jeden	NUM;NOM;NEUT;SG	ADJ;NOM;FEM;SG
ότι	że	ότι	że	CONJ	PART
μια	jeden	ένας	jeden	NUM;NOM;FEM;SG	ADJ;NOM;MASC;SG
μια	jedna	ένας	jeden	NUM;NOM;FEM;SG	ADJ;NOM;FEM;SG
θα	will	θα	will	PART	V;PFV;IND;SG;2;PRS;FIN;ACT
θα	willa	θα	willa	PART	N;NOM;FEM;SG
θα	będzie	θα	być	PART	V;IPFV;IND;SG;3;FUT;FIN
μετά	after	μετά	after	ADV	
μετά	po	μετά	po	ADV	INTJ
επίσης	także	επίσης	także	ADV	PART
επίσης	też	επίσης	też	ADV	PART
επίσης	również	επίσης	również	ADV	PART
όπως	like	όπως	lik	ADV	
ενώ	podczas	ενώ	podczas	CONJ	ADP
δύο	dwie	δύο	dwa	NUM;NOM;MASC;PL	NUM;ACC;FEM;PL
δύο	dwóch	δύο	dwa	NUM;NOM;MASC;PL	NUM;ACC;MASC;PL
δύο	dwa	δύο	dwa	NUM;NOM;MASC;PL	NUM;ACC;MASC;PL
αυτό	tym	αυτός	to	PRO;NOM;NEUT;SG;3	PRO;INS;NEUT;SG
αυτό	że	αυτός	że	PRO;NOM;NEUT;SG;3	PART
αυτή	ona	αυτός	on	PRO;NOM;FEM;SG;3	PRO;NOM;FEM;SG;3
όταν	kiedy	όταν	kiedy	CONJ	ADV
μία	jeden	ένας	jeden	NUM;NOM;FEM;SG	ADJ;NOM;MASC;SG
μία	jedna	ένας	jeden	NUM;NOM;FEM;SG	ADJ;NOM;FEM;SG
μπορεί	can	μπορώ	can	V;IPFV;IND;SG;3;PRS;FIN;ACT	
ομάδα	oddział	ομάδα	oddział	N;ACC;FEM;SG	N;NOM;MASC;SG
ομάδα	grupie	ομάδα	grupa	N;ACC;FEM;SG	N;DAT;FEM;SG
ομάδα	grupa	ομάδα	grupa	N;ACC;FEM;SG	N;NOM;FEM;SG
ομάδα	ekipa	ομάδα	ekipa	N;ACC;FEM;SG	N;NOM;FEM;SG
ομάδα	team	ομάδα	team	N;ACC;FEM;SG	
ομάδα	drużyny	ομάδα	drużyna	N;ACC;FEM;SG	N;ACC;FEM;PL
ομάδα	drużyna	ομάδα	drużyna	N;ACC;FEM;SG	N;NOM;FEM;SG
ομάδα	zespół	ομάδα	zespół	N;ACC;FEM;SG	N;NOM;MASC;SG
θέση	położenie	θέση	położenie	N;ACC;FEM;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
θέση	stanowisko	θέση	stanowisko	N;ACC;FEM;SG	N;NOM;NEUT;SG
θέση	pozycja	θέση	pozycja	N;ACC;FEM;SG	N;NOM;FEM;SG
μεταξύ	pomiędzy	μεταξύ	pomiędzy	ADP	
χρόνια	przewlekłe	χρόνος	przewlec	N;NOM;NEUT;PL	ADJ;NOM;NEUT;SG
χρόνια	przewlekłą	χρόνος	przewlec	N;NOM;NEUT;PL	ADJ;ACC;FEM;SG
χρόνια	lat	χρόνος	rok	N;NOM;NEUT;PL	N;GEN;MASC;PL
πρώτη	pierwszy	πρώτος	pierwszy	NUM;NOM;FEM;SG	ADJ;NOM;MASC;SG
πρώτη	pierwsze	πρώτος	pierwszy	NUM;NOM;FEM;SG	ADJ;NOM;NEUT;SG
πρώτη	najpierw	πρώτος	najpierw	NUM;NOM;FEM;SG	ADV
πρώτη	pierwsza	πρώτος	pierwszy	NUM;NOM;FEM;SG	ADJ;NOM;FEM;SG
πιο	more	πιο	more	ADV	
ένας	jeden	ένας	jeden	DET;NOM;INDF;MASC;SG	ADJ;NOM;MASC;SG
ένας	jedna	ένας	jeden	DET;NOM;INDF;MASC;SG	ADJ;NOM;FEM;SG
πόλη	town	πόλη	town	N;NOM;FEM;SG	
πόλη	miasta	πόλη	miasto	N;NOM;FEM;SG	N;GEN;NEUT;SG
πόλη	city	πόλη	city	N;NOM;FEM;SG	
πόλη	miasta	πόλη	miasto	N;NOM;FEM;SG	N;GEN;NEUT;SG
σύνδεσμοι	linków	σύνδεσμος	link	N;ACC;MASC;SG	N;GEN;MASC;PL
σύνδεσμοι	łącza	σύνδεσμος	łączyć	N;ACC;MASC;SG	
σύνδεσμοι	linki	σύνδεσμος	linka	N;ACC;MASC;SG	N;NOM;FEM;PL
σύνδεσμοι	odnośniki	σύνδεσμος	odnośnik	N;ACC;MASC;SG	N;ACC;MASC;PL
μόνο	tylko	μόνο	tylko	ADV	PART
έγινε	zrobione	γίνομαι	zrobić	V;PFV;IND;SG;3;PST;FIN;PASS	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
κάθε	każda	κάθε	każdy	PRO;ACC;FEM;SG;3	DET;NOM;FEM;SG
κάθε	każdy	κάθε	każdy	PRO;ACC;FEM;SG;3	DET;NOM;MASC;SG
κάθε	każda	κάθε	każdy	PRO;ACC;FEM;SG;3	DET;NOM;FEM;SG
κάθε	każdy	κάθε	każdy	PRO;ACC;FEM;SG;3	DET;NOM;MASC;SG
