категория	категории	категория	категория	N;INDF;FEM;SG	N;INAN;NOM;FEM;PL
като	нравится	като	нравиться	CONJ	V;IPFV;IND;SG;3;PRS;FIN;MID
като	like	като	like	CONJ	PROPN
след	after	след	after	ADP	PROPN
това	this	този	this	PRO;NOM;NEUT;SG	PROPN
това	эта	този	этот	PRO;NOM;NEUT;SG	DET;NOM;FEM;SG
това	этот	този	этот	PRO;NOM;NEUT;SG	DET;NOM;MASC;SG
български	болгарии	български	болгария	ADJ;INDF;MASC;SG	N;INAN;NOM;FEM;PL
българия	болгария	българия	болгария	PROPN;INDF;FEM;SG	N;INAN;NOM;FEM;SG
българия	болгарии	българия	болгария	PROPN;INDF;FEM;SG	N;INAN;NOM;FEM;PL
част	частично	част	частично	N;INDF;FEM;SG	ADV
години	years	година	years	N;INDF;FEM;PL	PROPN
време	time	време	time	N;INDF;NEUT;SG	PROPN
със	with	със	with	ADP	PROPN
външни	внешнее	външен	внешний	ADJ;INDF;PL	ADJ;NOM;NEUT;SG
външни	внешняя	външен	внешний	ADJ;INDF;PL	ADJ;NOM;FEM;SG
външни	внешний	външен	внешний	ADJ;INDF;PL	ADJ;NOM;MASC;SG
град	town	град	town	N;INDF;MASC;SG	PROPN
град	city	град	city	N;INDF;MASC;SG	PROPN
град	города	град	город	N;INDF;MASC;SG	N;INAN;NOM;MASC;PL
много	многих	много	много	ADV;INDF;PL	NUM
много	многим	много	много	ADV;INDF;PL	NUM
много	многие	много	много	ADV;INDF;PL	NUM
един	одна	един	один	NUM;INDF;MASC;SG	DET;NOM;FEM;SG
един	one	един	one	NUM;INDF;MASC;SG	PROPN
един	одно	един	один	NUM;INDF;MASC;SG	DET;NOM;NEUT;SG
около	вокруг	около	вокруг	ADP	ADV
софия	софия	софия	софия	PROPN;INDF;FEM;SG	N;INAN;NOM;FEM;SG
софия	софии	софия	софия	PROPN;INDF;FEM;SG	N;INAN;NOM;FEM;PL
софия	софия	софия	софия	PROPN;INDF;FEM;SG	N;INAN;NOM;FEM;SG
други	другой	друг	другой	ADJ;INDF;PL	ADJ;NOM;MASC;SG
други	другая	друг	другой	ADJ;INDF;PL	ADJ;NOM;FEM;SG
други	другое	друг	другой	ADJ;INDF;PL	ADJ;NOM;NEUT;SG
още	более	още	более	ADV	ADV;CMPR
още	больше	още	больше	ADV	ADV;CMPR
война	войны	война	война	N;INDF;FEM;SG	N;INAN;NOM;FEM;PL
война	war	война	war	N;INDF;FEM;SG	PROPN
само	только	само	только	ADV	PART
само	просто	само	просто	ADV	PART
само	только	само	только	ADV	PART
когато	когда	когато	когда	ADV	CONJ
когато	when	когато	when	ADV	PROPN
вид	type	вид	type	N;INDF;MASC;SG	PROPN
вид	видов	вид	вид	N;INDF;MASC;SG	N;INAN;GEN;MASC;PL
вид	виды	вид	вид	N;INDF;MASC;SG	N;INAN;NOM;MASC;PL
една	эдна	един	эдно	NUM;INDF;FEM;SG	N;ANIM;NOM;FEM;SG
една	одна	един	один	NUM;INDF;FEM;SG	DET;NOM;FEM;SG
една	one	един	one	NUM;INDF;FEM;SG	PROPN
една	одно	един	один	NUM;INDF;FEM;SG	DET;NOM;NEUT;SG
