年	year	年	year	N	PROPN
月	moon	月	moon	N	PROPN
日	siang	日	siang	PROPN	N;SG
日	hari	日	hari	PROPN	N;SG
日	day	日	day	PROPN	PROPN
和	dan	和	dan	ADP	CONJ
村	village	村	village	N	PROPN
人	man	人	man	N	PROPN
人	people	人	people	N	PROPN
小	asteroid	小	asteroid	PART	N
小	asteroid	小	asteroid	PART	N
大	big	大	big	PART	PROPN
大	besar	大	besar	PART	ADJ;SG
德	tak	德	tak	PROPN	PART;NEG
重	heavy	重	heavy	N	PROPN
重	berat	重	berat	N	ADJ;SG
一	one	一	one	NUM	PROPN
定	orientasi	定	orientasi	V	N;SG
定	directional	定	directional	V	N
但	tapi	但	tapi	ADV	CONJ
但	tetapi	但	tetapi	ADV	CONJ
拉	pull	拉	pull		PROPN
拉	tarik	拉	tarik		PROPN;SG;ACT
後	sesudah	後	sesudah	ADV	CONJ
後	after	後	after	ADV	PROPN
後	setelah	後	setelah	ADV	ADP
市	city	市	city	N	PROPN
克	gram	克	gram	PROPN	N;SG
新	new	新	new	PART	PROPN
新	baru	新	baru	PART	ADJ;SG
站	stand	站	stand	N	PROPN
站	berdiri	站	berdiri	N	V;SG;ACT
州	state	州	state	N	PROPN
研究	kajian	研究	kajian	V	N;SG
研究	studi	研究	studi	V	N;SG
研究	studi	研究	studi	V	N;SG
研究	riset	研究	riset	V	N;SG
研究	penelitian	研究	pentelitian	V	N;SG
日本	jepang	日本	jepang	PROPN	PROPN;SG
日本	japan	日本	japan	PROPN	PROPN
三	three	三	three	NUM	PROPN
前	sebelum	前	sebelum	N	ADP
前	sebelumnya	前	sebelumnya	N	ADV
前	before	前	before	N	PROPN
家	home	家	home	N	PROPN
家	pulang	家	pulang	N	V;SG;ACT
家	beranda	家	beranda	N	
近	dekat	近	dekat		ADJ;SG
米	rice	米	rice	N	PROPN
多	selengkapnya	多	selengkap		N;SG
多	lebih	多	lebih		ADV
多	lainnya	多	lainnya		N
多	lagi	多	lagi		ADV
使用	penggunaan	使用	pengunaan	V	N;SG
使用	kegunaan	使用	kegunaan	V	N;SG
使用	pemakaian	使用	penpakaian	V	N;SG
使用	using	使用	using	V	PROPN
使用	penggunaan	使用	pengunaan	V	N;SG
使用	used	使用	used	V	PROPN
基	kei	基	kei	V	PROPN
