और	un	और	un		CONJ
है	hai	है	hai	V;IND;SG;3;PRS;FIN;ACT	
श्रेणी	kategoriju	श्रेणी	kategorija	N;NOM;FEM;SG;3	N;ACC;FEM;SG
श्रेणी	kategorijā	श्रेणी	kategorija	N;NOM;FEM;SG;3	N;ESS;FEM;SG
श्रेणी	sērijas	श्रेणी	sērija	N;NOM;FEM;SG;3	N;NOM;FEM;PL
श्रेणी	kategorijās	श्रेणी	kategorija	N;NOM;FEM;SG;3	N;ESS;FEM;PL
श्रेणी	kategorijām	श्रेणी	kategorija	N;NOM;FEM;SG;3	N;DAT;FEM;PL
श्रेणी	kategorijas	श्रेणी	kategorija	N;NOM;FEM;SG;3	N;NOM;FEM;PL
भी	pārāk	भी	pārāk	PART	ADV
यह	šī	यह	šī	PRO;NOM;SG;3	PRO;NOM;FEM;SG
यह	šo	यह	šis	PRO;NOM;SG;3	PRO;ACC;MASC;SG
यह	šis	यह	šis	PRO;NOM;SG;3	PRO;NOM;MASC;SG
यह	tas	यह	tas	PRO;NOM;SG;3	PRO;NOM;MASC;SG
किया	did	कर	did	V;PFV;MASC;SG;V.PTCP;ACT	
इस	šī	यह	šī	DET;ACC;SG;3	PRO;NOM;FEM;SG
इस	šo	यह	šis	DET;ACC;SG;3	PRO;ACC;MASC;SG
इस	šis	यह	šis	DET;ACC;SG;3	PRO;NOM;MASC;SG
इस	tas	यह	tas	DET;ACC;SG;3	PRO;NOM;MASC;SG
हैं	ir	है	būt	V;IND;PL;3;PRS;FIN;ACT	V;FH;IND;3;POS;PRS;FIN;ACT
कि	tas	कि	tas		PRO;NOM;MASC;SG
भारत	indija	भारत	indija	PROPN;NOM;MASC;SG;3	PROPN;NOM;FEM;SG
भारत	indijā	भारत	indija	PROPN;NOM;MASC;SG;3	PROPN;ESS;FEM;SG
भारत	indijas	भारत	indija	PROPN;NOM;MASC;SG;3	PROPN;NOM;FEM;PL
जो	džo	जो	džo	PRO;NOM;SG;3	PROPN
जो	kas	जो	kas	PRO;NOM;SG;3	PRO;NOM
जो	pvo	जो	pvo	PRO;NOM;SG;3	PROPN
