que	to	que	taj	CONJ	DET;NOM;NEUT;SG
del	dela	del	delo	ADP;MASC;SG	N;GEN;MASC;SG
una	jedan	uno	jedan	DET;INDF;FEM;SG	NUM;NOM;MASC;SG
una	jedna	uno	jedan	DET;INDF;FEM;SG	NUM;NOM;FEM;SG
categoría	kategorije	categoría	kategorija	N;FEM;SG	N;NOM;FEM;PL
sus	njihova	su	njihov	DET;PL;3	DET;NOM;FEM;SG;3
sus	njihovo	su	njihov	DET;PL;3	DET;NOM;NEUT;SG;3
sus	njihov	su	njihov	DET;PL;3	DET;NOM;MASC;SG;3
sus	njegovo	su	njegov	DET;PL;3	DET;NOM;NEUT;SG;3
sus	njegov	su	njegov	DET;PL;3	DET;NOM;MASC;SG;3
sus	njegova	su	njegov	DET;PL;3	DET;NOM;FEM;SG;3
sus	tvoje	su	tvoj	DET;PL;3	DET;NOM;FEM;PL;1
sus	vaš	su	vaš	DET;PL;3	DET;NOM;MASC;SG;1
sus	tvoj	su	tvoj	DET;PL;3	DET;NOM;MASC;SG;1
sus	vaše	su	vaš	DET;PL;3	DET;NOM;FEM;SG;1
sus	tvoja	su	tvoj	DET;PL;3	DET;NOM;FEM;SG;1
sus	vaša	su	vaš	DET;PL;3	DET;NOM;FEM;SG;1
también	previse	también	previs	ADV	N;NOM;MASC;SG
entre	medju	entre	medju	ADP	
entre	izmedju	entre	izmedje	ADP	N;NOM;MASC;SG
este	ovo	este	ovaj	PRO;MASC;SG	DET;NOM;NEUT;SG
este	istočna	este	istočan	PRO;MASC;SG	ADJ;NOM;DEF;FEM;SG
este	istočno	este	istočno	PRO;MASC;SG	ADV
este	istok	este	istok	PRO;MASC;SG	N;NOM;MASC;SG
años	godine	año	godina	N;MASC;PL	N;GEN;FEM;SG
años	godina	año	godina	N;MASC;PL	N;NOM;FEM;SG
dos	dos	dos	dos	NUM;PL	PROPN;NOM;MASC;SG
sobre	omotnica	sobre	omotnica	ADP	N;NOM;FEM;SG
sobre	omotnicu	sobre	omotnica	ADP	N;ACC;FEM;SG
esta	ovo	este	ovaj	PRO;FEM;SG	DET;NOM;NEUT;SG
hasta	čak	hasta	čak	ADP	ADV
hasta	dok	hasta	dok	ADP	CONJ
externos	vanjski	externo	vanjski	ADJ;MASC;PL	ADJ;NOM;DEF;MASC;SG
externos	vanjska	externo	vanjski	ADJ;MASC;PL	ADJ;NOM;DEF;FEM;SG
ciudad	town	ciudad	town	N;FEM;SG	ADP
ser	ser	ser	ser	V;NFIN	PROPN;NOM;MASC;SG
parte	party	parte	Party	N;FEM;SG	PROPN;NOM;MASC;SG
sin	grijeha	sin	grijeha	ADP	N;ACC;MASC;SG
sin	grijeh	sin	grijeh	ADP	N;NOM;MASC;SG
sin	greh	sin	greh	ADP	N;NOM;MASC;SG
donde	gdje	donde	gdje	PRO	ADV
san	sveti	san	svet	N;MASC;SG	ADJ;NOM;DEF;MASC;SG
san	saint	san	saint	N;MASC;SG	ADP
era	bio	ser	biti	V;IND;SG;3;IPFV;FIN	V;MASC;SG;PST;V.PTCP;ACT
era	bila	ser	biti	V;IND;SG;3;IPFV;FIN	V;FEM;SG;PST;V.PTCP;ACT
nacional	nacional	nacional	nacional	ADJ;SG	N;NOM;MASC;SG
primera	prvo	primero	prvo	ADJ;FEM;SG	ADV
team	tim	team	taj	N	DET;INS;NEUT;SG
cuando	kada	cuando	kada	CONJ	ADV
cuando	kad	cuando	kad	CONJ	ADV
estados	drzava	estado	drzava	N;MASC;PL	N;NOM;FEM;SG
utc	utc	utc	utc	N	PROPN;NOM;MASC;SG
siglo	siglo	siglo	sići	N;MASC;SG	ADP
siglo	stoljeća	siglo	stoljeće	N;MASC;SG	N;NOM;NEUT;PL
después	nakon	después	nakon	ADV	ADP;GEN
españa	španjolska	españa	španjolski	N;FEM;SG	ADJ;NOM;DEF;FEM;SG
españa	španjolskoj	españa	španjolski	N;FEM;SG	ADJ;DAT;DEF;FEM;SG
