din	from	din	from	ADP;ACC	N
care	oms	care	oms	PRO;3	N;FEM;SG
care	quiénes	care	quién	PRO;3	PRO;PL
care	quién	care	quién	PRO;3	PRO;SG
care	quien	care	quien	PRO;3	PRO;SG
care	cuáles	care	cuál	PRO;3	PRO;PL
care	cuál	care	cuál	PRO;3	PRO;SG
care	cual	care	cual	PRO;3	PRO;SG
mai	mai	mai	mai	ADV	N;MASC
mai	more	mai	more	ADV	
lui	lui	el	lui	PRO;3	N
lui	sus	el	su	PRO;3	DET;PL;3
lui	su	el	su	PRO;3	DET;SG;3
sunt	están	fi	estar	V;IND;PL;3;PRS;FIN	V;IND;PL;3;PRS;FIN
sunt	are	fi	are	V;IND;PL;3;PRS;FIN	N
dupa	despues	dupa	despue	N;DEF;FEM;SG	
dupa	tras	dupa	tras	N;DEF;FEM;SG	ADP
dupa	después	dupa	después	N;DEF;FEM;SG	ADV
dupa	despues	dupa	despue	N;DEF;FEM;SG	
dupa	tras	dupa	tras	N;DEF;FEM;SG	ADP
dupa	después	dupa	después	N;DEF;FEM;SG	ADV
ale	ale	al	ale	DET;FEM;PL	N;FEM;SG
lea	lea	lea	leer		V;IMP;SG;3;FIN
prin	through	prin	through	ADP;ACC	N
mare	big	mare	big	ADJ;INDF;MASC;SG	N
mare	grandes	mare	grande	ADJ;INDF;MASC;SG	ADJ;PL
mare	mar	mare	mar	ADJ;INDF;MASC;SG	N;SG
comuna	comunes	comună	común	N;DEF;FEM;SG	ADJ;PL
comuna	frecuente	comună	frecuente	N;DEF;FEM;SG	ADJ;SG
comuna	común	comună	común	N;DEF;FEM;SG	ADJ;SG
comuna	frecuentes	comună	frecuente	N;DEF;FEM;SG	ADJ;PL
comuna	comunes	comună	común	N;DEF;FEM;SG	ADJ;PL
comuna	frecuente	comună	frecuente	N;DEF;FEM;SG	ADJ;SG
comuna	común	comună	común	N;DEF;FEM;SG	ADJ;SG
comuna	frecuentes	comună	frecuente	N;DEF;FEM;SG	ADJ;PL
are	ha	avea	haber	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
externe	externa	extern	externo	ADJ;INDF;FEM;PL	ADJ;FEM;SG
externe	externo	extern	externo	ADJ;INDF;FEM;PL	ADJ;MASC;SG
externe	exterior	extern	exterior	ADJ;INDF;FEM;PL	ADJ;SG
vezi	véase	vedea	véase	V;IND;SG;2;PRS;FIN	V;SBJV;SG;3;PRS;FIN
vezi	see	vedea	ser	V;IND;SG;2;PRS;FIN	
vezi	vea	vedea	ver	V;IND;SG;2;PRS;FIN	V;IMP;SG;3;FIN
cod	code	cod	coder		N
cod	códigos	cod	código		N;MASC;PL
cod	codigo	cod	codigo		N;MASC;SG
cod	código	cod	código		N;MASC;SG
cod	bacalao	cod	bacalao		N;MASC;SG
bucuresti	bucarest	bucurest	bucarest	PROPN	N;MASC;SG
bucuresti	bucarest	bucurest	bucarest	PROPN	N;MASC;SG
bucuresti	bucarest	bucurest	bucarest	PROPN	N;MASC;SG
fiind	estar	fi	estar	V;V.MSDR	V;NFIN
jpg	jpg	jpg	jpg	N	PROPN
lista	listado	listă	listado	N;DEF;FEM;SG	ADJ;MASC;SG;V.PTCP
lista	listado	listă	listado	N;DEF;FEM;SG	ADJ;MASC;SG;V.PTCP
ucraina	ucrania	ucraina	ucrania	PROPN	N;FEM;SG
ani	ani	an	ani	N;INDF;MASC;PL	
avea	tenido	avea	tener	V;IND;SG;3;IPFV;FIN	ADJ;MASC;SG;V.PTCP
avea	tuvo	avea	tener	V;IND;SG;3;IPFV;FIN	V;IND;SG;3;PST;FIN
avea	había	avea	haber	V;IND;SG;3;IPFV;FIN	V;IND;SG;3;IPFV;FIN
intre	entre	intra	entre	V;SBJV;3;PRS;FIN	ADP
intre	entre	intra	entre	V;SBJV;3;PRS;FIN	ADP
pana	asta	pană	aste	N;DEF;FEM;SG	
pana	hasta	pană	hasta	N;DEF;FEM;SG	ADP
poate	quizas	poate	quiza	ADV	N;FEM;SG
poate	talvez	poate	talvez	ADV	INTJ
poate	quizas	poate	quiza	ADV	N;FEM;SG
doua	dos	doi	dos	NUM;FEM;SG	NUM;PL
doua	two	doi	two	NUM;FEM;SG	PROPN
doua	dos	doi	dos	NUM;FEM;SG	NUM;PL
doua	two	doi	two	NUM;FEM;SG	PROPN
sub	debajo	sub	debajo	ADP;ACC	ADV
sub	under	sub	under	ADP;ACC	PROPN
alte	otras	alt	otro	DET;FEM;PL;3	PRO;FEM;PL
alte	otro	alt	otro	DET;FEM;PL;3	PRO;MASC;SG
alte	otros	alt	otro	DET;FEM;PL;3	PRO;MASC;PL
cand	cuándo	cand	cuándo		PRO
cand	when	cand	when		N
cand	cuando	cand	cuando		CONJ
cand	cuándo	cand	cuándo		PRO
cand	when	cand	when		N
cand	cuando	cand	cuando		CONJ
despre	acerca	despre	acerca	ADP;ACC	ADV
unde	where	unde	where	ADV	N
unde	donde	unde	donde	ADV	PRO
unde	adonde	unde	adonde	ADV	
unde	dónde	unde	dónde	ADV	PRO
majoritatea	mayoritaria	majoritate	mayoritario	N;DEF;FEM;SG	ADJ;FEM;SG
majoritatea	mayorías	majoritate	mayoría	N;DEF;FEM;SG	N;FEM;PL
majoritatea	mayoritario	majoritate	mayoritario	N;DEF;FEM;SG	ADJ;MASC;SG
limba	idiomas	limbă	idioma	N;DEF;FEM;SG	N;MASC;PL
limba	idiomas	limbă	idioma	N;DEF;FEM;SG	N;MASC;PL
iunie	june	iunie	june	N;INDF;MASC;SG	PROPN
prima	primera	prim	primero	NUM;DEF;FEM;SG	ADJ;FEM;SG
prima	primeras	prim	primero	NUM;DEF;FEM;SG	ADJ;FEM;PL
prima	primer	prim	primero	NUM;DEF;FEM;SG	ADJ;MASC;SG
prima	primeros	prim	primero	NUM;DEF;FEM;SG	ADJ;MASC;PL
prima	primero	prim	primero	NUM;DEF;FEM;SG	ADV
prima	premium	prim	premium	NUM;DEF;FEM;SG	N;SG
prima	prima	prim	prima	NUM;DEF;FEM;SG	N;FEM;SG
august	august	august	augusto	N;INDF;MASC;SG	PROPN
sat	poblado	sat	poblado	N;INDF;MASC;SG	ADJ;MASC;SG;V.PTCP
sat	senté	sat	sentar	N;INDF;MASC;SG	V;IND;SG;1;PST;FIN
martie	marchen	martie	marchen	N;INDF;MASC;SG	V;IMP;PL;3;FIN
toate	all	tot	all	PRO;FEM;PL;3	N
toate	todo	tot	todo	PRO;FEM;PL;3	PRO;MASC;SG
adresa	direcciones	adresă	dirección	N;DEF;FEM;SG	N;FEM;PL
adresa	direcciones	adresă	dirección	N;DEF;FEM;SG	N;FEM;PL
cum	how	cum	how	ADV	PROPN
cum	cómo	cum	cómo	ADV	PRO
cum	como	cum	como	ADV	CONJ
avut	tenido	avea	tener	V;MASC;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
avut	había	avea	haber	V;MASC;SG;V.PTCP	V;IND;SG;3;IPFV;FIN
familia	familiar	familie	familiar	N;DEF;FEM;SG	ADJ;SG
familia	familiares	familie	familiar	N;DEF;FEM;SG	N;MASC;PL
nord	nord	nord	nord	N;INDF;MASC;SG	
principala	main	principal	main	ADJ;DEF;FEM;SG	N
principala	principales	principal	principal	ADJ;DEF;FEM;SG	ADJ;PL
principala	main	principal	main	ADJ;DEF;FEM;SG	N
principala	principales	principal	principal	ADJ;DEF;FEM;SG	ADJ;PL
aprilie	april	aprilie	april	N;INDF;MASC;SG	PROPN
erau	estaban	fi	estar	V;IND;PL;3;IPFV;FIN	V;IND;PL;3;IPFV;FIN
erau	fueron	fi	ser	V;IND;PL;3;IPFV;FIN	V;IND;PL;3;PST;FIN
primul	primera	prim	primero	NUM;DEF;MASC;SG	ADJ;FEM;SG
primul	primeras	prim	primero	NUM;DEF;MASC;SG	ADJ;FEM;PL
primul	primer	prim	primero	NUM;DEF;MASC;SG	ADJ;MASC;SG
primul	primeros	prim	primero	NUM;DEF;MASC;SG	ADJ;MASC;PL
primul	primero	prim	primero	NUM;DEF;MASC;SG	ADV
doar	just	doar	justo	ADV	N
asteroid	asteroide	asteroid	asteroide	ADJ;INDF;MASC;SG	N;MASC;SG
asteroid	asteroides	asteroid	asteroid	ADJ;INDF;MASC;SG	N;MASC;PL
recensamantului	censos	recensamant	censo	N;DEF;MASC;SG	N;MASC;PL
discutie	discusiones	discutie	discusión	N;INDF;FEM;SG	N;FEM;PL
discutie	discusiones	discutie	discusión	N;INDF;FEM;SG	N;FEM;PL
discutie	discusiones	discutie	discusión	N;INDF;FEM;SG	N;FEM;PL
franta	francia	frantă	francia	PROPN	PROPN
franta	france	frantă	france	PROPN	N;FEM;SG
franta	francia	frantă	francia	PROPN	PROPN
franta	france	frantă	france	PROPN	N;FEM;SG
franta	francia	frantă	francia	PROPN	PROPN
franta	france	frantă	france	PROPN	N;FEM;SG
mult	much	mult	much	ADV	N
fara	sin	fară	sin		ADP
fara	sin	fară	sin		ADP
foarte	very	foarte	ver	ADV	N
data	date	dată	date	N;DEF;FEM;SG	V;IND;SG;2;PRS;FIN
data	datos	dată	dato	N;DEF;FEM;SG	N;MASC;PL
data	date	dată	date	N;DEF;FEM;SG	V;IND;SG;2;PRS;FIN
unul	una	unul	uno	PRO;MASC;SG;3	DET;INDF;FEM;SG
unul	one	unul	one	PRO;MASC;SG;3	N
grup	agrupar	grup	agrupar	N;INDF;MASC;SG	V;NFIN
pot	puedo	putea	poder	V;IND;PL;3;PRS;FIN	V;IND;SG;1;PRS;FIN
pot	lata	putea	lata	V;IND;PL;3;PRS;FIN	N;FEM;SG
pot	can	putea	can	V;IND;PL;3;PRS;FIN	PROPN
pot	puede	putea	poder	V;IND;PL;3;PRS;FIN	V;IND;SG;3;PRS;FIN
camp	campamentos	camp	campamento	N;INDF;MASC;SG	N;MASC;PL
germania	alemania	germania	alemania	PROPN	N;FEM;SG
face	make	face	maker	V;IND;SG;3;PRS;FIN	N
satul	poblado	sat	poblado	N;DEF;MASC;SG	ADJ;MASC;SG;V.PTCP
national	nacionales	national	nacional	ADJ;INDF;MASC;SG	ADJ;PL
national	nacionales	national	nacional	ADJ;INDF;MASC;SG	ADJ;PL
national	nacionales	national	nacional	ADJ;INDF;MASC;SG	ADJ;PL
minoritate	minoritarios	minoritate	minoritario	N;INDF;FEM;SG	N;MASC;PL
minoritate	minoritarias	minoritate	minoritario	N;INDF;FEM;SG	ADJ;FEM;PL
minoritate	minoritario	minoritate	minoritario	N;INDF;FEM;SG	ADJ;MASC;SG
ucraineana	ucraniana	ucrainean	ucraniano	N;DEF;FEM;SG	ADJ;FEM;SG
ucraineana	ucraniano	ucrainean	ucraniano	N;DEF;FEM;SG	ADJ;MASC;SG
general	generalidades	general	generalidad	ADJ;INDF;MASC;SG	N;FEM;PL
general	generales	general	general	ADJ;INDF;MASC;SG	N;MASC;PL
general	general	general	general	ADJ;INDF;MASC;SG	N;SG
peste	over	peste	over	ADP;ACC	PROPN
peste	pescado	peste	pescado	ADP;ACC	N;MASC;SG
peste	pesca	peste	pesca	ADP;ACC	N;FEM;SG
peste	peces	peste	pez	ADP;ACC	N;MASC;PL
peste	pescados	peste	pescado	ADP;ACC	N;MASC;PL
peste	pez	peste	pez	ADP;ACC	N;MASC;SG
romana	rumana	romană	rumana	N;DEF;FEM;SG	ADJ;FEM;SG
romana	rumanos	romană	rumano	N;DEF;FEM;SG	N;MASC;PL
romana	romana	romană	romano	N;DEF;FEM;SG	ADJ;FEM;SG
romana	romanos	romană	romano	N;DEF;FEM;SG	N;MASC;PL
romana	romano	romană	romano	N;DEF;FEM;SG	ADJ;MASC;SG
romana	romana	romană	romano	N;DEF;FEM;SG	ADJ;FEM;SG
afla	aprenda	afla	aprender	V;IND;SG;3;IPFV;FIN	V;IMP;SG;3;FIN
afla	aprendan	afla	aprender	V;IND;SG;3;IPFV;FIN	V;IMP;PL;3;FIN
afla	aprende	afla	aprender	V;IND;SG;3;IPFV;FIN	V;IND;SG;3;PRS;FIN
inceput	comenzó	incepe	comenzar	ADJ;INDF;MASC;SG	V;IND;SG;3;PST;FIN
inceput	comenzado	incepe	comenzar	ADJ;INDF;MASC;SG	V;MASC;SG;PST;V.PTCP
inceput	comienzo	incepe	comienzo	ADJ;INDF;MASC;SG	N;MASC;SG
inceput	empezando	incepe	empezar	ADJ;INDF;MASC;SG	V;V.MSDR
inceput	comenzando	incepe	comenzar	ADJ;INDF;MASC;SG	V;V.MSDR
iii	iii	trei	iii	NUM;SG	
duce	duque	duce	duque	V;IND;SG;3;PRS;FIN	N;MASC;SG
duce	ducado	duce	ducado	V;IND;SG;3;PRS;FIN	ADJ;MASC;SG;V.PTCP
duce	duke	duce	duke	V;IND;SG;3;PRS;FIN	PROPN
duce	duce	duce	ducir	V;IND;SG;3;PRS;FIN	N;MASC;SG
roman	rumana	roman	rumana	N;INDF;MASC;SG	ADJ;FEM;SG
roman	rumanos	roman	rumano	N;INDF;MASC;SG	N;MASC;PL
roman	romana	roman	romano	N;INDF;MASC;SG	ADJ;FEM;SG
roman	romanos	roman	romano	N;INDF;MASC;SG	N;MASC;PL
roman	romano	roman	romano	N;INDF;MASC;SG	ADJ;MASC;SG
existand	existente	existand	existente		ADJ;SG
existand	existentes	existand	existente		ADJ;PL
vedere	vistas	vedere	visto	N;INDF;FEM;SG	ADJ;FEM;PL;V.PTCP
