loại	kirjoita	loại	kirja	N	V;IMP;SG;2;FIN;ACT
một	one	một	oni	NUM	
năm	viisi	năm	viisi	N	NUM;NOM;SG
của	sinun	của	sinä	ADP	PRO;GEN;SG;2
các	sinä	các	sinä	DET	PRO;NOM;SG;2
này	tämän	này	tämä	PROPN	PRO;GEN;SG
này	tätä	này	tämä	PROPN	PRO;PRT;SG
này	tästä	này	tämä	PROPN	PRO;IN+ABL;SG
này	tämä	này	tämä	PROPN	PRO;NOM;SG
này	hei	này	hei	PROPN	INTJ
thích	kuten	thích	kuten	V	CONJ
thích	kuin	thích	kuin	V	CONJ
thích	pitää	thích	pitää	V	V;IND;SG;0;PRS;FIN;ACT
học	opiskelu	học	opiskelu	V	N;NOM;SG
học	tutkimus	học	tutkimus	V	N;NOM;SG
học	tutkimuksen	học	tutkimus	V	N;GEN;SG
học	opiskelu	học	opiskelu	V	N;NOM;SG
học	tutkimuksessa	học	tutkimus	V	N;IN+ESS;SG
học	koulussa	học	koulu	V	N;IN+ESS;SG
học	koulun	học	koulu	V	N;GEN;SG
học	koulu	học	koulu	V	N;NOM;SG
học	koulua	học	koulu	V	N;PRT;SG
học	school	học	school	V	N;NOM;SG
học	oppiminen	học	oppiminen	V	N;NOM;SG
học	oppimista	học	oppiminen	V	N;PRT;SG
học	opiskelu	học	opiskelu	V	N;NOM;SG
học	oppimisen	học	oppiminen	V	N;GEN;SG
thực	real	thực	real	V	
thực	todellinen	thực	todellinen	V	ADJ;NOM;SG
thực	oikea	thực	oikea	V	ADJ;NOM;SG
thực	aito	thực	aito	V	ADJ;NOM;SG
thực	todellista	thực	todellinen	V	ADJ;PRT;SG
thực	aidot	thực	aito	V	ADJ;NOM;PL
thực	aito	thực	aito	V	ADJ;NOM;SG
thực	todella	thực	todella	V	ADV
thực	oikeesti	thực	oikeasti	V	ADV
liên	lien	liên	olla		N;NOM;SG
tham	yhteinen	tham	yhteinen	V	ADJ;NOM;SG
tham	yhteisen	tham	yhteinen	V	ADJ;GEN;SG
kết	päättyy	kết	päättyä	N	V;IND;SG;3;PRS;FIN;ACT
kết	päättynyt	kết	päättyä	N	V;NOM;SG;V.PTCP;ACT
đầu	head	đầu	head	N	
đầu	ensin	đầu	ensin	N	ADV
đầu	ensimmäinen	đầu	ensimmäinen	N	ADJ;NOM;SG
đầu	ensiksi	đầu	ensiksi	N	ADV
ngoài	ulkona	ngoài	ulkona	N	ADV
ngoài	ulkopuolella	ngoài	ulkopuolella	N	ADV
thành	cheng	thành	cheng	V	PROPN;NOM;SG
thành	linnake	thành	linnake	V	N;NOM;SG
thành	linnoitus	thành	linnoitus	V	N;NOM;SG
thành	citadel	thành	citadel	V	N;NOM;SG
khoa	tieteen	khoa	tiede		N;GEN;SG
khoa	tiede	khoa	tiede		N;NOM;SG
khoa	tiedettä	khoa	tiede		N;PRT;SG
khoa	tiedekunnan	khoa	tiede#kunta		N;GEN;SG
với	mukaan	với	mukaan	ADP	ADV
với	mukana	với	mukana	ADP	ADV
với	with	với	with	ADP	N;NOM;SG
với	kanssa	với	kanssa	ADP	ADV
cho	cho	cho	cho	V	N;NOM;SG
cho	varten	cho	varten	V	ADV
không	ei	không	ei	;NEG	V;SG;3;NEG;FIN;ACT
hoa	yhdistyneiden	hoa	yhdistynyt	N	V;GEN;PL;V.PTCP;ACT
hoa	yhdistynyt	hoa	yhdistyä	N	V;NOM;SG;V.PTCP;ACT
hoa	yhdistyneet	hoa	yhdistynyt	N	V;NOM;PL;V.PTCP;ACT
hoa	yhtenäinen	hoa	yhtenäinen	N	ADJ;NOM;SG
những	nämä	những	tämä	DET	PRO;NOM;PL
những	näitä	những	tämä	DET	PRO;PRT;PL
những	nuo	những	tuo	DET	PRO;NOM;PL
những	noi	những	tuo	DET	PRO;NOM;PL
những	ne	những	se	DET	PRO;NOM;PL
những	he	những	hän	DET	PRO;NOM;PL;3
nam	nam	nam	nam	N	INTJ
công	julkinen	công	julkinen	N	ADJ;NOM;SG
công	julkisen	công	julkinen	N	ADJ;GEN;SG
công	julkiset	công	julkinen	N	ADJ;NOM;PL
chính	edes	chính	edes	PART	ADV
chính	jopa	chính	jopa	PART	ADV
chính	omista	chính	oma	PART	ADJ;IN+ABL;PL
chính	oman	chính	oma	PART	ADJ;GEN;SG
chính	oma	chính	oma	PART	ADJ;NOM;SG
chính	omat	chính	oma	PART	ADJ;NOM;PL
chính	ensisijainen	chính	ensisijainen	PART	ADJ;NOM;SG
chính	main	chính	main	PART	N;NOM;SG
chính	pääasialliset	chính	pää#asiallinen	PART	ADJ;NOM;PL
chính	pääasiallinen	chính	pää#asiallinen	PART	ADJ;NOM;SG
chính	tärkein	chính	tärkeä	PART	ADJ;NOM;RL;SG
chính	tärkeimmät	chính	tärkeä	PART	ADJ;NOM;RL;PL
động	dynaamisia	động	dynaaminen	V	ADJ;PRT;PL
động	dynaamiset	động	dynaaminen	V	ADJ;NOM;PL
động	dynaaminen	động	dynaaminen	V	ADJ;NOM;SG
động	dynaamista	động	dynaaminen	V	N;PRT;SG
động	automaattinen	động	automaattinen	V	ADJ;NOM;SG
động	automaattisesti	động	automaattisesti	V	ADV
động	automaattiset	động	automaattinen	V	ADJ;NOM;PL
động	automaatti	động	automaatti	V	N;NOM;SG
động	automaattisesti	động	automaattisesti	V	ADV
khi	kun	khi	kun	N	CONJ
khi	milloin	khi	milloin	N	ADV
đến	saapumista	đến	saapuminen	PART	N;PRT;SG
