der	do	der	do	DET;NOM;DEF;MASC;SG	PROPN
die	do	der	do	DET;NOM;DEF;FEM;SG	PROPN
von	do	von	do	ADP	PROPN
von	dos	von	dos	ADP	PROPN
von	da	von	da	ADP	V
von	da	von	da	ADP	V
von	do	von	do	ADP	PROPN
von	pola	von	pola	ADP	N
von	polo	von	polo	ADP	N
den	do	der	do	DET;ACC;DEF;MASC;SG	PROPN
das	esta	der	este	PRO;NOM;NEUT;SG	DET
das	este	der	este	PRO;NOM;NEUT;SG	DET
das	o	der	o	PRO;NOM;NEUT;SG	DET
das	a	der	o	PRO;NOM;NEUT;SG	DET
das	os	der	o	PRO;NOM;NEUT;SG	DET
das	do	der	do	PRO;NOM;NEUT;SG	PROPN
des	dos	der	dos	DET;GEN;DEF;NEUT;SG	PROPN
mit	usando	mit	usar	ADP	V
mit	usar	mit	usar	ADP	V
mit	usan	mit	usar	ADP	V
mit	coa	mit	coar	ADP	V
mit	co	mit	co	ADP	PROPN
ist	é	sein	ser	V;IND;SG;3;PRS;FIN	V
auf	no	auf	no	ADP	V
auf	na	auf	na	ADP	N
auf	veña	auf	vir	ADP	V
auf	na	auf	na	ADP	N
auf	no	auf	no	ADP	V
auf	a	auf	o	ADP	DET
auf	que	auf	que	ADP	PRO
ein	un	ein	un	ADV	DET
ein	unha	ein	un	ADV	DET
ein	unha	ein	un	ADV	DET
ein	un	ein	un	ADV	DET
ein	unha	ein	un	ADV	DET
ein	un	ein	un	ADV	DET
als	como	als	como	ADP	PRO
als	coma	als	coma	ADP	CONJ
dem	o	der	o	PRO;DAT;NEUT;SG	DET
dem	a	der	o	PRO;DAT;NEUT;SG	DET
dem	os	der	o	PRO;DAT;NEUT;SG	DET
dem	do	der	do	PRO;DAT;NEUT;SG	PROPN
wurde	foi	werden	ser	V;IND;SG;3;PST;FIN;PASS	V
wurde	foi	werden	ser	V;IND;SG;3;PST;FIN;PASS	V
wurde	a	werden	o	V;IND;SG;3;PST;FIN;PASS	DET
wurde	converteuse	werden	converteuse	V;IND;SG;3;PST;FIN;PASS	V
wurde	nunha	werden	nunha	V;IND;SG;3;PST;FIN;PASS	N
wurde	nun	werden	nun	V;IND;SG;3;PST;FIN;PASS	PROPN
wurde	en	werden	en	V;IND;SG;3;PST;FIN;PASS	ADP
wurde	se	werden	se	V;IND;SG;3;PST;FIN;PASS	CONJ
wurde	converteu	werden	converter	V;IND;SG;3;PST;FIN;PASS	V
auch	nin	auch	nin	ADV	CONJ
auch	mesmo	auch	mesmo	ADV	DET
nach	a	nach	o	ADP	DET
nach	que	nach	que	ADP	PRO
nach	despois	nach	despois	ADP	ADV
nach	logo	nach	logo	ADP	ADV
war	foi	sein	ser	V;IND;SG;3;PST;FIN	V
bei	na	bei	na	ADP	N
bei	no	bei	no	ADP	V
bei	no	bei	no	ADP	V
bei	na	bei	na	ADP	N
aus	da	aus	da	ADP	V
aus	do	aus	do	ADP	PROPN
aus	fóra	aus	fóra	ADP	ADV
bis	a	bis	o	ADP	DET
bis	que	bis	que	ADP	PRO
bis	que	bis	que	ADP	PRO
bis	até	bis	até	ADP	ADV
ich	min	ich	min	PRO;NOM;SG;1	
ich	non	ich	non	PRO;NOM;SG;1	PART
einer	unha	ein	un	PRO;NOM;INDF;MASC;SG	DET
einer	un	ein	un	PRO;NOM;INDF;MASC;SG	DET
einer	unha	ein	un	PRO;NOM;INDF;MASC;SG	DET
