den	the	den	the	PRO;DEF;MASC+FEM;SG	
med	with	med	with	ADP	N
som	som	som	som	CONJ	ADP
som	liker	som	like	CONJ	V;IND;PRS;FIN
som	like	som	lik	CONJ	ADJ;SG
som	hvilket	som	hvilk	CONJ	N;DEF;NEUT;SG
som	hvilken	som	hvilk	CONJ	N;DEF;MASC;SG
runt	rundt	runt	rundt	ADV	ADP
runt	around	runt	around	ADV	N;INDF;MASC;SG
runt	omkring	runt	omkring	ADV	ADP
runt	rundt	runt	rundt	ADV	ADP
runt	runde	runt	runde	ADV	N;INDF;MASC;SG
runt	rund	runt	rund	ADV	ADJ;INDF;SG
runt	runden	runt	runde	ADV	N;DEF;MASC;SG
runt	round	runt	round	ADV	N;INDF;SG
månaden	månedlige	månad	månedlig	N;NOM;DEF;MASC+FEM;SG	N;INDF;MASC;SG
månaden	månedlig	månad	månedlig	N;NOM;DEF;MASC+FEM;SG	N;INDF;MASC;SG
månaden	måned	månad	måned	N;NOM;DEF;MASC+FEM;SG	N;INDF;MASC;SG
ligger	lies	ligga	lig	V;IND;PRS;FIN;ACT	N
ligger	løgner	ligga	løgne	V;IND;PRS;FIN;ACT	N;INDF;FEM;PL
ingår	inkluderte	ingå	inkludere	V;IND;PRS;FIN;ACT	V;IND;PST;FIN
ingår	inkludert	ingå	inkludere	V;IND;PRS;FIN;ACT	ADJ;INDF;SG;V.PTCP
att	det	att	det	PART	PRO;NEUT;SG;3
att	at	att	at	PART	CONJ
ett	one	en	one	NUM;NOM;INDF;NEUT;SG	
ett	en	en	en	NUM;NOM;INDF;NEUT;SG	
ett	ett	en	ett	NUM;NOM;INDF;NEUT;SG	
ett	én	en	én	NUM;NOM;INDF;NEUT;SG	
över	overstått	över	overstå	ADP	ADJ;INDF;SG;V.PTCP
över	bortom	över	bortom	ADP	N;INDF;MASC;SG
familjen	familie	familj	familie	N;NOM;DEF;MASC+FEM;SG	N;INDF;MASC;SG
familjen	slekt	familj	slekkje	N;NOM;DEF;MASC+FEM;SG	N;INDF;FEM;SG
inga	ingen	ingen	ingen	PRO;INDF;PL	PRO;PL;3;NEG
inga	inga	ingen	ingen	PRO;INDF;PL	PRO;SG;3;NEG
delen	del	del	dele	N;NOM;DEF;MASC+FEM;SG	V;IMP;FIN
underarter	underart	underart	underar	N;NOM;INDF;MASC+FEM;PL	N;INDF;MASC;SG
life	livet	life	liv	N;NOM;INDF;MASC+FEM;SG	N;DEF;NEUT;SG
listade	oppført	lisa	oppføre	ADJ;NOM;PL;PST;V.PTCP	ADJ;INDF;SG;V.PTCP
listade	listet	lisa	list	ADJ;NOM;PL;PST;V.PTCP	N;DEF;NEUT;SG
landet	fedreland	land	fedreland	N;NOM;DEF;NEUT;SG	N;INDF;NEUT;SG
landet	land	land	land	N;NOM;DEF;NEUT;SG	N;INDF;NEUT;SG
landet	country	land	country	N;NOM;DEF;NEUT;SG	N;INDF
meter	yards	meter	yards	N;NOM;INDF;MASC+FEM;PL	N;INDF;NEUT;SG
huvudstaden	capitol	huvudstad	capitol	N;NOM;DEF;MASC+FEM;SG	N;INDF;NEUT;SG
huvudstaden	kapital	huvudstad	kapital	N;NOM;DEF;MASC+FEM;SG	N;INDF;MASC;SG
huvudstaden	capital	huvudstad	capital	N;NOM;DEF;MASC+FEM;SG	N;INDF;NEUT;SG
huvudstaden	hovedstad	huvudstad	hovedstad	N;NOM;DEF;MASC+FEM;SG	N;INDF;MASC;SG
havet	sjøs	hav	sjøs	N;NOM;DEF;NEUT;SG	N;INDF;MASC;SG
havet	sea	hav	seie	N;NOM;DEF;NEUT;SG	N;INDF;MASC;SG
havet	hav	hav	hav	N;NOM;DEF;NEUT;SG	N;INDF;NEUT;SG
havet	hav	hav	hav	N;NOM;DEF;NEUT;SG	N;INDF;NEUT;SG
varmaste	varmeste	varm	varmeste	ADJ;NOM;DEF;RL	N;INDF;MASC;SG
kallaste	kaldeste	kalla	kaldeste	ADJ;NOM;DEF;RL	N;INDF;MASC;SG
invånare	beboerne	invånare	beboerne	N;NOM;INDF;MASC+FEM;PL	ADJ;PL
invånare	beboere	invånare	beboere	N;NOM;INDF;MASC+FEM;PL	N;INDF;MASC;SG
invånare	borgere	invånare	borgere	N;NOM;INDF;MASC+FEM;PL	N;INDF;FEM;SG
invånare	innbyggere	invånare	innbyggere	N;NOM;INDF;MASC+FEM;PL	N;INDF;NEUT;SG
invånare	statsborgere	invånare	statsborgere	N;NOM;INDF;MASC+FEM;PL	N;INDF;FEM;SG
genomsnitt	gjennomsnittet	genomsnitt	gjennomsnitt	N;NOM;INDF;NEUT;SG	N;DEF;NEUT;SG
genomsnitt	gjennomsnittlige	genomsnitt	gjennomsnittlig	N;NOM;INDF;NEUT;SG	ADJ;PL
genomsnittlig	gjennomsnittet	genomsnittlig	gjennomsnitt	ADJ;NOM;INDF;MASC+FEM;SG	N;DEF;NEUT;SG
genomsnittlig	gjennomsnitt	genomsnittlig	gjennomsnitt	ADJ;NOM;INDF;MASC+FEM;SG	N;INDF;NEUT;SG
genomsnittlig	gjennomsnittlige	genomsnittlig	gjennomsnittlig	ADJ;NOM;INDF;MASC+FEM;SG	ADJ;PL
genomsnittlig	gjennomsnittlig	genomsnittlig	gjennomsnittlig	ADJ;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
torraste	tørreste	torr	tørreste	ADJ;NOM;DEF;RL	N;INDF;MASC;SG
var	var	var	vere	PRO;INDF;MASC+FEM;SG	V;IND;PST;FIN
var	var	var	vere	PRO;INDF;MASC+FEM;SG	V;IND;PST;FIN
var	var	var	vere	PRO;INDF;MASC+FEM;SG	V;IND;PST;FIN
var	hvor	var	hvor	PRO;INDF;MASC+FEM;SG	
har	ha	ha	ha	V;IND;PRS;FIN;ACT	V;IMP;FIN
vattendrag	elver	vattendrag	elv	N;NOM;INDF;NEUT;SG	N;INDF;FEM;PL
från	fra	från	fra	ADP	
från	from	från	from	ADP	N
kanada	canada	kanad	canad	PROPN;NOM	N
provinsen	provins	provins	provins	N;NOM;DEF;MASC+FEM;SG	N;INDF;MASC;SG
provinsen	provinser	provins	provinser	N;NOM;DEF;MASC+FEM;SG	N;INDF;MASC;SG
högsta	supreme	hög	supreme	ADJ;NOM;DEF;RL	N;INDF;MASC;SG
högsta	maksimum	hög	maksimum	ADJ;NOM;DEF;RL	N;INDF;NEUT;SG
högsta	maksimalt	hög	maksimal	ADJ;NOM;DEF;RL	ADJ;INDF;NEUT;SG
högsta	maks	hög	maks	ADJ;NOM;DEF;RL	N;INDF;NEUT;SG
högsta	maksimal	hög	maksimal	ADJ;NOM;DEF;RL	ADJ;INDF;SG
högsta	høyest	hög	høyest	ADJ;NOM;DEF;RL	N;INDF;NEUT;SG
