que	że	que	że	PRO;MASC;SG	PART
uma	jeden	um	jeden	NUM	ADJ;NOM;MASC;SG
uma	jedna	um	jeden	NUM	ADJ;NOM;FEM;SG
com	com	com	com	ADP	
com	kom	com	kom	ADP	
para	na	para	na	ADP	INTJ
para	za	para	za	ADP	PART
por	na	por	na	ADP	INTJ
por	za	por	za	ADP	PART
foi	była	foi	być	ADV	V;IPFV;FEM;IND;SG;PST;FIN;ACT
foi	był	foi	być	ADV	V;IPFV;MASC;IND;SG;PST;FIN;ACT
foi	było	foi	być	ADV	V;IPFV;NEUT;IND;SG;PST;FIN;ACT
como	like	como	lik	ADV	
não	nie	não	nie	INTJ	PART;NEG
dos	dos	dos	dosyć	N;MASC;SG	
mais	more	mais	more	ADV	
sua	jego	seu	on	DET;FEM;SG	PRO;GEN;MASC;SG;3
sua	jego	seu	on	DET;FEM;SG	PRO;GEN;MASC;SG;3
utc	utc	utc	utco	N;MASC;SG	
são	są	ser	być	V;IND;PL;3;PRS;FIN	V;IPFV;IND;PL;3;PRS;FIN;ACT
seu	jego	seu	on	DET;MASC;SG	PRO;GEN;MASC;SG;3
seu	jego	seu	on	DET;MASC;SG	PRO;GEN;MASC;SG;3
min	min	min	mina	N;MASC;PL	
das	das	das	das	N;MASC;SG	
também	także	também	także	ADV	PART
também	też	também	też	ADV	PART
também	również	também	również	ADV	PART
também	tez	também	tez	ADV	
também	też	também	też	ADV	PART
também	too	também	too	ADV	
também	zbyt	também	zbyt	ADV	PART
ser	bycie	ser	bycie	V;NFIN	
ser	będąc	ser	być	V;NFIN	V;IPFV;PRS;V.CVB;ACT
ser	bycia	ser	być	V;NFIN	
ele	go	ele	on	PRO;NOM;MASC;SG;3	PRO;ACC;MASC;SG;3
discussão	dyskusje	discussão	dyskusja	N;FEM;SG	N;NOM;FEM;PL
entre	pomiędzy	entre	pomiędzy	ADP	
era	była	ser	być	V;IND;SG;3;IPFV;FIN	V;IPFV;FEM;IND;SG;PST;FIN;ACT
era	był	ser	być	V;IND;SG;3;IPFV;FIN	V;IPFV;MASC;IND;SG;PST;FIN;ACT
era	było	ser	być	V;IND;SG;3;IPFV;FIN	V;IPFV;NEUT;IND;SG;PST;FIN;ACT
cidade	town	cidade	town	N;FEM;SG	
cidade	city	cidade	city	N;FEM;SG	
quando	gdy	quando	gdy	ADV	CONJ
