til	för	til	för	ADV	ADP
den	de	den	de	PRO;ACC;MASC+FEM;SG;3	PRO;NOM;DEF;PL
med	med	med	med	ADV	ADP
var	var	være	var	V;IND;PST;FIN;ACT	PRO;INDF;MASC+FEM;SG
var	var	være	var	V;IND;PST;FIN;ACT	PRO;INDF;MASC+FEM;SG
blev	var	blive	var	V;IND;PST;FIN;ACT	PRO;INDF;MASC+FEM;SG
fra	från	fra	från	ADV	ADP
har	fick	have	få	V;IND;PRS;FIN;ACT	V;IND;PST;FIN;ACT
har	got	have	got	V;IND;PRS;FIN;ACT	N;NOM;INDF;NEUT;SG
har	ha	have	ha	V;IND;PRS;FIN;ACT	INTJ
ved	know	vide	know	V;IND;PRS;FIN;ACT	N;NOM;INDF;MASC+FEM;SG
ved	veta	vide	veta	V;IND;PRS;FIN;ACT	V;IMP;FIN;ACT
ikke	inte	ikke	inte	ADV	PART;NEG
ikke	ej	ikke	ej	ADV	PART;NEG
også	oxå	også	oxå	ADV	N;NOM;INDF;MASC+FEM;SG
også	too	også	too	ADV	N;NOM;INDF;NEUT;SG
efter	after	efter	after	ADV	N;NOM;INDF;MASC+FEM;SG
efter	efter	efter	efter	ADV	ADP
sig	say	sig	say	PRO;ACC;3;REFL	N;NOM;INDF;NEUT;SG
sig	säg	sig	säg	PRO;ACC;3;REFL	V;IMP;FIN;ACT
sig	säga	sig	säga	PRO;ACC;3;REFL	V;IMP;FIN;ACT
kan	may	kunne	may	V;IND;PRS;FIN;ACT	N;NOM;INDF;NEUT;SG
kan	maj	kunne	maj	V;IND;PRS;FIN;ACT	N;NOM;INDF;MASC+FEM;SG
kan	kan	kunne	kunna	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN;ACT
kan	can	kunne	can	V;IND;PRS;FIN;ACT	N;NOM;INDF;MASC+FEM;SG
score	score	score	score	V;NFIN;ACT	N;NOM;INDF;MASC+FEM;SG
score	poäng	score	poäng	V;NFIN;ACT	N;NOM;INDF;NEUT;SG
score	poäng	score	poäng	V;NFIN;ACT	N;NOM;INDF;NEUT;SG
hvor	var	hvor	var	ADV	PRO;INDF;MASC+FEM;SG
hvor	vart	hvor	var	ADV	N;NOM;INDF;NEUT;SG
havde	had	have	had	V;IND;PST;FIN;ACT	V;IMP;FIN;ACT
under	under	under	under	ADV	ADP
hans	hans	hans	han	DET;3	PRO;DEF
hans	hans	hans	han	DET;3	PRO;DEF
over	over	over	over	ADV	N;NOM;INDF;MASC+FEM;SG
over	över	over	över	ADV	ADP
over	ovanstående	over	ovanstående	ADV	ADJ;NOM
første	först	første	först	ADJ	ADV
dansk	danska	dansk	dansk	ADJ;INDF;SG	N;NOM;INDF;MASC+FEM;SG
mod	modet	mod	modet	N;INDF;NEUT;SG	N;NOM;DEF;NEUT;SG
mod	mot	mod	mot	N;INDF;NEUT;SG	ADP
mod	emot	mod	emot	N;INDF;NEUT;SG	ADV
mod	mot	mod	mot	N;INDF;NEUT;SG	ADP
hun	she	hun	she	PRO;NOM;MASC+FEM;SG;3	V;IMP;FIN;ACT
andre	annan	anden	annan	PRO;PL	ADJ;NOM;INDF;MASC+FEM;SG
andre	övrig	anden	övrig	PRO;PL	ADJ;NOM;INDF;MASC+FEM;SG
andre	övriga	anden	övrig	PRO;PL	ADJ;NOM;PL
andre	övrigt	anden	övrigt	PRO;PL	ADJ;NOM;INDF;NEUT;SG
andre	annat	anden	annan	PRO;PL	PRO;INDF;NEUT;SG
andre	övriga	anden	övrig	PRO;PL	ADJ;NOM;PL
fik	got	få	got	V;IND;PST;FIN;ACT	N;NOM;INDF;NEUT;SG
del	delen	del	del	N;INDF;MASC+FEM;SG	N;NOM;DEF;MASC+FEM;SG
del	dela	del	dela	N;INDF;MASC+FEM;SG	V;IMP;FIN;ACT
født	född	føde	född	V;INDF;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
født	born	føde	born	V;INDF;SG;PST;V.PTCP	N;NOM;INDF;MASC+FEM;SG
født	födda	føde	född	V;INDF;SG;PST;V.PTCP	ADJ;NOM;PL;PST;V.PTCP
flere	flera	mange	flera	ADJ;CMPR;PL	PRO;INDF;PL
flere	multipla	mange	multipla	ADJ;CMPR;PL	ADJ;NOM;PL
flere	flera	mange	flera	ADJ;CMPR;PL	PRO;INDF;PL
