les	the	le	the	DET;DEF;PL	
est	đông	être	đông	V;IND;SG;3;PRS;FIN	ADJ
une	xả	un	xả	DET;INDF;FEM;SG	V
une	một	un	một	DET;INDF;FEM;SG	NUM
une	one	un	one	DET;INDF;FEM;SG	
pour	cho	pour	cho	ADP	V
qui	ai	qui	ai	PRO	PROPN
qui	who	qui	who	PRO	NUM
que	thế	que	thế	CONJ	PROPN
que	rằng	que	rằng	CONJ	CONJ
que	điều	que	điều	CONJ	N
que	mà	que	mà	CONJ	CONJ
que	vn	que	vn	CONJ	N
son	ngành	son	ngành	DET;MASC;SG	N
son	its	son	its	DET;MASC;SG	
plus	cộng	plus	cộng	ADV	
plus	plus	plus	plus	ADV	N
plus	thêm	plus	thêm	ADV	V
pas	không	pas	không	ADV;NEG	;NEG
pas	ko	pas	ko	ADV;NEG	
sont	re	être	re	V;IND;PL;3;PRS;FIN	
sont	đang	être	đang	V;IND;PL;3;PRS;FIN	
sont	là	être	là	V;IND;PL;3;PRS;FIN	CONJ
elle	cổ	elle	cổ	PRO;FEM;SG;3	N
elle	elle	elle	elle	PRO;FEM;SG;3	
été	summer	être	summer	V;MASC;SG;PST;V.PTCP	
été	hè	être	hè	V;MASC;SG;PST;V.PTCP	N
comme	như	comme	như	ADP	CONJ
comme	thích	comme	thích	ADP	V
comme	like	comme	like	ADP	V
cette	này	ce	này	DET;FEM;SG	PROPN
pop	bốp	pop	bốp	N;FEM;SG	
ses	ngành	son	ngành	DET;MASC;PL	N
ses	ses	son	ses	DET;MASC;PL	
ses	its	son	its	DET;MASC;PL	
naissance	naissance	naissance	naissance	N;FEM;SG	
naissance	sinh	naissance	sinh	N;FEM;SG	V
naissance	sinh	naissance	sinh	N;FEM;SG	V
aussi	cũng	aussi	cũng	ADV	
saint	thánh	saint	thánh	PROPN	N
saint	saint	saint	saint	PROPN	
saint	thánh	saint	thánh	PROPN	N
après	theo	après	theo	ADP	V
après	sau	après	sau	ADP	N
fait	chế	faire	chế	V;MASC;SG;PST;V.PTCP	N
fait	lam	faire	lam	V;MASC;SG;PST;V.PTCP	N
sous	dưới	sous	dưới	ADP	N
sous	under	sous	under	ADP	
même	chính	même	chính	ADV	PART
même	cùng	même	cùng	ADV	ADJ
français	francais	français	francais	ADJ;MASC;SG	N
français	pháp	français	pháp	ADJ;MASC;SG	N
ont	có	avoir	có	V;IND;PL;3;PRS;FIN	V
ont	đã	avoir	đã	V;IND;PL;3;PRS;FIN	
paris	paris	pari	paris	N;MASC;PL	
cet	này	ce	này	PRO;SG;3	PROPN
autres	khác	autre	khác	PRO;PL	ADJ
autres	khác	autre	khác	PRO;PL	ADJ
décès	chết	décès	chết	N;MASC;SG	V
liens	links	lien	links	N;MASC;PL	
était	aw	être	aw	V;IND;SG;3;IPFV;FIN	
était	bị	être	bị	V;IND;SG;3;IPFV;FIN	V
commune	chung	commune	chung	N;FEM;SG	ADJ
ville	by	ville	by	N;FEM;SG	
jean	jean	jean	jean	PROPN	
jean	gioan	jean	gioan	PROPN	N
jean	john	jean	john	PROPN	N
leur	nhị	lui	nhị	PRO;PL;3	N
peut	may	pouvoir	may	V;IND;SG;3;PRS;FIN	ADJ
depuis	khỏi	depuis	khỏi	ADP	V
première	premiere	premier	premiere	ADJ;FEM;SG	
première	trước	premier	trước	ADJ;FEM;SG	
première	đầu	premier	đầu	ADJ;FEM;SG	N
ans	ans	an	ans	N;MASC;PL	
ans	chèo	an	chèo	N;MASC;PL	V
alors	rồi	alors	rồi	ADV	CONJ
site	site	site	site	N;MASC;SG	
premier	premier	premier	premier	ADJ;MASC;SG	N
premier	trước	premier	trước	ADJ;MASC;SG	
premier	đầu	premier	đầu	ADJ;MASC;SG	N
ces	những	ce	những	PRO;PL;3	DET
fut	aw	être	aw	V;IND;SG;3;PST;FIN	
fut	bị	être	bị	V;IND;SG;3;PST;FIN	V
http	http	http	http	N;MASC;SG	
film	phim	film	phim	N;MASC;SG	
film	phim	film	phim	N;MASC;SG	
ils	quất	il	quất	PRO;MASC;PL;3	N
ils	những	il	những	PRO;MASC;PL;3	DET
ils	chúng	il	chúng	PRO;MASC;PL;3	PROPN
ils	họ	il	họ	PRO;MASC;PL;3	PROPN
grand	đúc	grand	đúc	ADJ;MASC;SG	V
grand	đại	grand	đại	ADJ;MASC;SG	N
grand	big	grand	big	ADJ;MASC;SG	
grand	grand	grand	grand	ADJ;MASC;SG	N
tout	hết	tout	hết	PRO;MASC;SG	V
tout	hết	tout	hết	PRO;MASC;SG	V
groupe	ban	groupe	ban	N;MASC;SG	
groupe	band	groupe	band	N;MASC;SG	
groupe	group	groupe	group	N;MASC;SG	
également	cũng	également	cũng	ADV	
titre	tựa	titre	tựa	N;MASC;SG	
années	chèo	année	chèo	N;FEM;PL	V
bien	tốt	bien	tốt	ADV	ADJ
bien	hay	bien	hay	ADV	CONJ
bien	ngon	bien	ngon	ADV	ADJ
bien	chà	bien	chà	ADV	N
bien	ừm	bien	ừm	ADV	PART
contre	dũng	contre	dũng	ADP	N
contre	chống	contre	chống	ADP	V
liste	kê	liste	kê	N;FEM;SG	V
liste	list	liste	list	N;FEM;SG	ADJ
puis	rồi	puis	rồi	CONJ	CONJ
équipe	squad	équipe	squad	N;FEM;SG	
équipe	tạo	équipe	tạo	N;FEM;SG	V
équipe	team	équipe	team	N;FEM;SG	
club	club	club	club	N;MASC;SG	
partie	party	partie	party	N;FEM;SG	
partie	saga	partie	saga	N;FEM;SG	
partie	part	partie	part	N;FEM;SG	
avant	trước	avant	trước	ADP	
non	không	non	không	ADV	;NEG
non	ko	non	ko	ADV	
très	cực	très	cực	ADV	
très	rất	très	rất	ADV	
trois	tre	trois	tre	NUM	N
sans	sans	sans	sans	ADP	
saison	season	saison	season	N;FEM;SG	
fin	vây	fin	vây	N;FEM;SG	V
