月	мун	月	мун	N	PART
日	день	日	день	PROPN	N;INAN;NOM;MASC;SG
日	day	日	day	PROPN	PROPN
日	дэй	日	дэй	PROPN	N;INAN;NOM;MASC;SG
和	и	和	и	ADP	CONJ
人	чел	人	человек	N	
人	man	人	man	N	PROPN
小	астероидов	小	астероид	PART	N;INAN;GEN;MASC;PL
小	астероид	小	астероид	PART	N;INAN;NOM;MASC;SG
大	большая	大	большой	PART	ADJ;NOM;FEM;SG
大	big	大	big	PART	PROPN
大	большие	大	большой	PART	ADJ;NOM;PL
大	большой	大	большой	PART	ADJ;NOM;MASC;SG
大	биг	大	биг	PART	
重	тяжелых	重	тяжелый	N	ADJ;GEN;PL
重	тяжелая	重	тяжелый	N	ADJ;NOM;FEM;SG
重	тяжелые	重	тяжелый	N	ADJ;NOM;PL
重	тяжёлая	重	тяжелый	N	ADJ;NOM;FEM;SG
重	тяжелый	重	тяжелый	N	ADJ;NOM;MASC;SG
重	тяжёлый	重	тяжёлый	N	ADJ;NOM;MASC;SG
重	тяжелее	重	тяжелый	N	ADJ;CMPR
一	одна	一	один	NUM	DET;NOM;FEM;SG
一	one	一	one	NUM	PROPN
一	одно	一	один	NUM	DET;NOM;NEUT;SG
定	ориентация	定	ориентация	V	N;INAN;NOM;FEM;SG
定	ориентации	定	ориентация	V	N;INAN;NOM;FEM;PL
定	направленность	定	направленность	V	N;INAN;NOM;FEM;SG
但	но	但	но	ADV	CONJ
後	после	後	после	ADV	ADP
後	after	後	after	ADV	PROPN
市	city	市	city	N	PROPN
克	грамм	克	грамм	PROPN	N;INAN;NOM;MASC;SG
新	новые	新	новый	PART	ADJ;NOM;PL
新	новинка	新	новинка	PART	N;INAN;NOM;FEM;SG
新	новая	新	новый	PART	ADJ;NOM;FEM;SG
新	новый	新	новый	PART	ADJ;NOM;MASC;SG
新	новых	新	новый	PART	ADJ;GEN;PL
新	новое	新	новый	PART	ADJ;NOM;NEUT;SG
站	station	站	station	N	PROPN
站	стоять	站	стоять	N	V;IPFV;NFIN;ACT
