το	az	ο	az	DET;NOM;DEF;NEUT;SG	
από	től	από	től	ADP	
από	tól	από	tól	ADP	
από	from	από	from	ADP	
με	with	με	with	ADP	
που	ami	που	ami	PRO;ACC;NEUT;SG;3	PRO;NOM;SG;3
που	melyik	που	melyik	PRO;ACC;NEUT;SG;3	
που	mely	που	mely	PRO;ACC;NEUT;SG;3	
που	amely	που	amely	PRO;ACC;NEUT;SG;3	PRO;NOM;SG;3
για	for	για	for	ADP	
κατηγορία	kategória	κατηγορία	kategória	N;NOM;FEM;SG	
τους	ők	μου	ők	PRO;GEN;MASC;PL;3	PRO;NOM;PL;3
τους	őket	μου	ők	PRO;GEN;MASC;PL;3	PRO;ACC;PL;3
ήταν	volt	είμαι	van	V;IPFV;IND;SG;3;PST;FIN;PASS	V;INDF;IND;SG;3;PST;FIN;ACT
ένα	egy	ένας	egy	NUM;NOM;NEUT;SG	DET;INDF
ότι	ez	ότι	ez	CONJ	PRO;NOM;SG;3
μια	egy	ένας	egy	NUM;NOM;FEM;SG	DET;INDF
θα	will	θα	will	PART	
θα	fog	θα	fog	PART	V;INDF;IND;SG;3;PRS;ACT
θα	akarat	θα	akarat	PART	N;NOM;SG
μετά	aztán	μετά	aztán	ADV	
μετά	után	μετά	után	ADV	ADP
μετά	after	μετά	after	ADV	
μετά	miután	μετά	miután	ADV	CONJ
μετά	utána	μετά	utána	ADV	
επίσης	szintén	επίσης	szintén	ADV	
επίσης	úgyszintén	επίσης	úgyszintén	ADV	
όπως	mint	όπως	mint	ADV	CONJ
όπως	like	όπως	lik	ADV	
όπως	tetszik	όπως	tetszik	ADV	V;INDF;IND;SG;3;PRS;FIN;ACT
ενώ	miközben	ενώ	miközben	CONJ	ADV
ενώ	mialatt	ενώ	mialatt	CONJ	ADV
ενώ	míg	ενώ	míg	CONJ	ADV
ενώ	amíg	ενώ	amíg	CONJ	ADV
δύο	kettő	δύο	kettő	NUM;NOM;MASC;PL	
αυτό	ezt	αυτός	ez	PRO;NOM;NEUT;SG;3	PRO;ACC;SG;3
όπου	akárhol	όπου	akár	ADV	
όπου	bárhol	όπου	bárhol	ADV	
όταν	mikor	όταν	mikor	CONJ	ADV
όταν	amikor	όταν	amikor	CONJ	ADV
