til	लिये	til	ले	ADV	V;PFV;MASC;SG;V.PTCP;ACT
for	लिये	for	ले	ADP	V;PFV;MASC;SG;V.PTCP;ACT
der	वहाँ	der	वहाँ	ADV	PRO;NOM
der	वहां	der	वहाँ	ADV	PRO;NOM
der	वहा	der	वह	ADV	
der	वहीँ	der	वहीँ	ADV	
var	था	være	था	V;IND;PST;FIN;ACT	V;MASC;IND;SG;PST;FIN;ACT
var	थी	være	था	V;IND;PST;FIN;ACT	V;FEM;IND;SG;PST;FIN;ACT
var	यहूद	være	यहूद	V;IND;PST;FIN;ACT	
blev	था	blive	था	V;IND;PST;FIN;ACT	V;MASC;IND;SG;PST;FIN;ACT
blev	थी	blive	था	V;IND;PST;FIN;ACT	V;FEM;IND;SG;PST;FIN;ACT
han	हान	han	हान	PRO;NOM;MASC+FEM;SG;3	
fra	से	fra	से	ADV	
fra	इससे	fra	यह	ADV	PRO;SG;3
har	रै	have	रै	V;IND;PRS;FIN;ACT	
ved	जानिये	vide	जानिया	V;IND;PRS;FIN;ACT	PROPN;NOM;MASC;SG;3
ved	जानिए	vide	जानिए	V;IND;PRS;FIN;ACT	PROPN;NOM;MASC;SG;3
ved	जान	vide	जान	V;IND;PRS;FIN;ACT	PROPN;NOM;MASC;SG;3
ikke	नही	ikke	नही	ADV	
ikke	नहीं	ikke	नहीं	ADV	PART;NEG
men	परन्तु	men	परन्तु	CONJ	
men	लेकीन	men	लेकीन	CONJ	
men	लकिन	men	लकिन	CONJ	
også	भी	også	भी	ADV	PART
også	भी	også	भी	ADV	PART
også	too	også	too	ADV	
sig	कहें	sig	कह	PRO;ACC;3;REFL	V;SBJV;PL;FIN;ACT
sig	बोलो	sig	बोलो	PRO;ACC;3;REFL	V;SBJV;SG;FIN;ACT
sig	कह	sig	कह	PRO;ACC;3;REFL	V;FIN;ACT
kan	मई	kunne	मई	V;IND;PRS;FIN;ACT	PROPN;NOM;FEM;SG;3
kan	may	kunne	may	V;IND;PRS;FIN;ACT	
score	अंक	score	अंक	V;NFIN;ACT	N;NOM;MASC;SG;3
score	स्कोर	score	स्कोर	V;NFIN;ACT	N;NOM;MASC;SG;3
score	अंक	score	अंक	V;NFIN;ACT	N;NOM;MASC;SG;3
score	स्कोर	score	स्कोर	V;NFIN;ACT	N;NOM;MASC;SG;3
hvor	कहाँ	hvor	कहाँ	ADV	PRO
hvor	कहां	hvor	कहाँ	ADV	
hvor	जहां	hvor	जहाँ	ADV	PRO;NOM
hvor	जहाँ	hvor	जहाँ	ADV	PRO;NOM
havde	था	have	था	V;IND;PST;FIN;ACT	V;MASC;IND;SG;PST;FIN;ACT
under	तहत	under	तहत	ADV	CONJ
under	अधीन	under	अधीन	ADV	
under	अंतर्गत	under	अंतर्गत	ADV	CONJ
hans	उसकी	hans	वह	DET;3	PRO;FEM;SG;3
hans	उसका	hans	वह	DET;3	PRO;MASC;SG;3
hans	उसके	hans	वह	DET;3	PRO;MASC;SG;3
over	अरदास	over	अरदास	ADV	
første	पहले	første	पहले	ADJ	ADV;NOM;MASC;SG;3
henvisninger	संदर्भ	henvisning	संदर्भ	N;INDF;MASC+FEM;PL	N;NOM;MASC;SG;3
henvisninger	सन्दर्भ	henvisning	संदर्भ	N;INDF;MASC+FEM;PL	N;NOM;MASC;SG;3
dansk	डेनिश	dansk	डेनिश	ADJ;INDF;SG	PROPN;NOM;MASC;SG;3
dansk	दानिश	dansk	दानिश	ADJ;INDF;SG	PROPN;NOM;MASC;SG;3
dansk	डैनिश	dansk	डैनिश	ADJ;INDF;SG	
dansk	dansk	dansk	dansk	ADJ;INDF;SG	PROPN;NOM;MASC;SG;3
mod	साहस	mod	साहस	N;INDF;NEUT;SG	
mod	खिलाफ	mod	खिलाफ	N;INDF;NEUT;SG	ADP
mod	विरुद्ध	mod	विरुद्ध	N;INDF;NEUT;SG	ADP
mod	विरूद्ध	mod	विरूद्ध	N;INDF;NEUT;SG	CONJ
mod	मॉड	mod	मॉड	N;INDF;NEUT;SG	
hun	वो	hun	वह	PRO;NOM;MASC+FEM;SG;3	
andre	अन्य	anden	अन्य	PRO;PL	N;NOM;MASC;SG;3
andre	अन्य	anden	अन्य	PRO;PL	N;NOM;MASC;SG;3
denne	ये	denne	यह	PRO;MASC+FEM;SG	PRO;NOM;PL;3
denne	यह	denne	यह	PRO;MASC+FEM;SG	PRO;NOM;SG;3
denne	इस	denne	यह	PRO;MASC+FEM;SG	DET;ACC;SG;3
del	डेल	del	डेल	N;INDF;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
del	पार्ट	del	पार्ट	N;INDF;MASC+FEM;SG	
del	भाग	del	भाग	N;INDF;MASC+FEM;SG	
født	जन्म	føde	जन्म	V;INDF;SG;PST;V.PTCP	N;NOM;MASC;SG;3
født	born	føde	born	V;INDF;SG;PST;V.PTCP	PROPN;NOM;MASC;SG;3
flere	कई	mange	कई	ADJ;CMPR;PL	DET
