berkeley	berkeley	berkeley	berkeley	PROPN;NOM;SG;3	N;MASC+FEM;SG
tuhaf	raar	tuhaf	raar	N;NOM;SG;3	ADJ
tuhaf	vreemd	tuhaf	vreemd	N;NOM;SG;3	ADJ
tuhaf	vreemde	tuhaf	vreemd	N;NOM;SG;3	ADJ
tuhaf	raar	tuhaf	raar	N;NOM;SG;3	ADJ
tuhaf	vreemd	tuhaf	vreemd	N;NOM;SG;3	ADJ
tuhaf	oneven	tuhaf	oneven	N;NOM;SG;3	ADJ
tuhaf	vreemd	tuhaf	vreemd	N;NOM;SG;3	ADJ
tuhaf	bizarre	tuhaf	bizar	N;NOM;SG;3	ADJ
tuhaf	bizar	tuhaf	bizar	N;NOM;SG;3	ADJ
şüpheli	verdacht	şüpheli	verdenken		V;V.PTCP
şüpheli	vermoedde	şüpheli	vermoeden		V;SG;PST;FIN
şüpheli	vermoedelijke	şüpheli	vermoedelijk		ADJ
şüpheli	vermoede	şüpheli	vermoeden		V;FIN
şüpheli	verdachten	şüpheli	verdenken		V;V.PTCP
şüpheli	verdacht	şüpheli	verdenken		V;V.PTCP
şüpheli	achterdochtig	şüpheli	achterdochtig		ADJ
şüpheli	wantrouwig	şüpheli	wantrouwig		ADJ
şüpheli	wantrouwend	şüpheli	wantrouwend		ADJ
şüpheli	verdachte	şüpheli	verdenken		V;V.PTCP
şüpheli	verdacht	şüpheli	verdenken		V;V.PTCP
şüpheli	verdachte	şüpheli	verdenken		V;V.PTCP
şüpheli	twijfelachtige	şüpheli	twijfelachtig		ADJ
şüpheli	twijfelachtig	şüpheli	twijfelachtig		ADJ
hâkim	rechter	hâkim	rechter		N;MASC+FEM;SG
hâkim	judge	hâkim	judg		N;MASC+FEM;SG
hâkim	oordelen	hâkim	oordelen		V;NFIN
oregon	oregon	oregon	oregon	PROPN;NOM;SG;3	N;NEUT;SG
basket	hoepels	basket	hoepel	N;NOM;SG;3	N;PL
marcel	marcel	marcel	marcel		N;MASC+FEM;SG
aaron	aaron	aaron	aaron		N;MASC+FEM;SG
aaron	aäron	aaron	aäron		N;MASC+FEM;SG
açı	hoek	aç	hoek		N;MASC+FEM;SG
anma	gedenken	an	gedenken		V;NFIN
anma	herdenking	an	herdenking		N;MASC+FEM;SG
anma	memorial	an	memorial		N;MASC+FEM;SG
anma	gedenkteken	an	gedenkteken		N;NEUT;SG
anma	herdenking	an	herdenking		N;MASC+FEM;SG
leonardo	leonardo	leonar	leonardo		N;MASC+FEM;SG
evans	evans	evans	evans		N;MASC+FEM;SG
gustav	gustav	gustav	gustav	PROPN;NOM;SG;3	N;MASC+FEM;SG
insani	humanitair	insani	humanitair		ADJ
insani	humanitaire	insani	humanitair		ADJ
insani	menselijk	insani	menselijk		ADJ
insani	menselijke	insani	menselijk		ADJ
insani	mens	insani	mens		N;MASC+FEM;SG
evil	kwaad	evil	kwaad		N;NEUT;SG
evil	slechtheid	evil	slechtheid		N;MASC+FEM;SG
evil	evil	evil	evil		N;MASC+FEM;SG
toulouse	toulouse	toulouse	toulouse	PROPN;NOM;SG;3	N;MASC+FEM;SG
etkileyici	indrukwekkend	etkileyici	indrukwekkend		ADJ
etkileyici	indrukwekkende	etkileyici	indrukwekkend		ADJ
etkileyici	fascinerende	etkileyici	fascineren		V;V.PTCP
etkileyici	fascinerend	etkileyici	fascineren		V;V.PTCP
etkileyici	boeiend	etkileyici	boeien		V;V.PTCP
etkileyici	charmante	etkileyici	charmant		ADJ
etkileyici	charmant	etkileyici	charmant		ADJ
etkileyici	charming	etkileyici	charming		ADJ
toplar	kanonnen	top	kanon		N;PL
toplar	kanon	top	kanon		N;NEUT;SG
toplar	ballen	top	bal		N;PL
toplar	balletjes	top	bal		N;PL
toplar	kanonnen	top	kanon		N;PL
abhazya	abchazië	abhazya	abchazië	N;NOM;SG;3	PROPN;NEUT;SG
rafael	raphael	rafael	raphael	PROPN;NOM;SG;3	N;MASC+FEM;SG
rafael	raphaël	rafael	raphaël	PROPN;NOM;SG;3	N;MASC+FEM;SG
rafael	rafael	rafael	rafael	PROPN;NOM;SG;3	N;MASC+FEM;SG
khan	khan	khan	khan		N;MASC+FEM;SG
basra	basra	basra	basra		N;NEUT;SG
bilal	bilal	bilal	bilal		N;MASC+FEM;SG
yetki	autorisatie	yetki	autorisatie		N;MASC+FEM;SG
yetki	toestemming	yetki	toestemming		N;MASC+FEM;SG
yetki	vergunning	yetki	vergunning		N;MASC+FEM;SG
yetki	autoriteit	yetki	autoriteit		N;MASC+FEM;SG
yetki	gezag	yetki	gezag		N;NEUT;SG
yetki	machtiging	yetki	machtiging		N;MASC+FEM;SG
yetki	autorisatie	yetki	autorisatie		N;MASC+FEM;SG
yetki	vergunning	yetki	vergunning		N;MASC+FEM;SG
yetki	geautoriseerd	yetki	autoriseren		V;V.PTCP
yetki	toegestaan	yetki	toestaan		V;V.PTCP
yetki	toegestane	yetki	toestaan		V;V.PTCP
yetki	toegelaten	yetki	toelaten		V;V.PTCP
söğüt	willow	söğüt	willow		N;MASC+FEM;SG
ceo	ceo	ceo	ceo		N;MASC+FEM;SG
benz	benz	benz	benz		N;MASC+FEM;SG
necip	najib	nec	najib		N;MASC+FEM;SG
integral	integraal	integral	integraal		ADJ
halı	tapijten	hal	tapijt	N;NOM;SG;3	N;PL
lens	lens	lens	lens		N;MASC+FEM;SG
lens	objectief	lens	objectief		ADJ
hubble	hubble	hubble	hubble		N;MASC+FEM;SG
sıkıntısı	schaarste	sıkıntı	schaar	N;NOM;SG;3	ADJ;RL
teker	rad	teker	rad		N;NEUT;SG
teker	wiel	teker	wiel		N;NEUT;SG
uygunsuz	ongepast	uygunsuz	ongepast		ADJ
bafta	bafta	bafta	bafta		N;MASC+FEM;SG
izleyici	viewer	izleyici	viewer		N;MASC+FEM;SG
izleyici	kijker	izleyici	kijker		N;MASC+FEM;SG
izleyici	wachter	izleyici	wachter		N;MASC+FEM;SG
izleyici	doelgroep	izleyici	doelgroep		N;MASC+FEM;SG
izleyici	publiek	izleyici	publiek		N;NEUT;SG
izleyici	volger	izleyici	volger		N;MASC+FEM;SG
izleyici	tracker	izleyici	tracker		N;MASC+FEM;SG
saldırgan	vijandelijk	saldırgan	vijandelijk		ADJ
saldırgan	vijandige	saldırgan	vijandig		ADJ
saldırgan	vijandig	saldırgan	vijandig		ADJ
saldırgan	aanstootgevend	saldırgan	aanstootgevend		ADJ
saldırgan	beledigend	saldırgan	beledigen		V;V.PTCP
saldırgan	offensief	saldırgan	offensief		N;NEUT;SG
saldırgan	aanvaller	saldırgan	aanvaller		N;MASC+FEM;SG
saldırgan	agressieve	saldırgan	agressief		ADJ
saldırgan	agressief	saldırgan	agressief		ADJ
oldid	oldid	ol	oldid		N;MASC+FEM;SG
dörtlü	quad	dörtlü	quad		N;MASC+FEM;SG
dörtlü	viertal	dörtlü	viertal		N;NEUT;SG
dörtlü	kwartet	dörtlü	kwartet		N;NEUT;SG
proton	protonen	proton	proton		N;PL
proton	protonen	proton	proton		N;PL
proton	proton	proton	proton		N;MASC+FEM;SG
tamamlanmış	complete	tamamla	compleet	V;PFV;NFH;IND;SG;3;POS;PST;PASS	ADJ
tamamlanmış	compleet	tamamla	compleet	V;PFV;NFH;IND;SG;3;POS;PST;PASS	ADJ
tilki	vossen	tilki	vossen		N;PL
tilki	fox	tilki	fox		N;MASC+FEM;SG
tilki	vos	tilki	vos		N;MASC+FEM;SG
perküsyon	percussie	perküsyon	percussie		N;MASC+FEM;SG
kabaca	grofweg	kaba	grofweg		ADV
kabaca	ruwweg	kaba	ruwweg		ADJ
engebeli	bumpy	engebel	bumpy		N;MASC+FEM;SG
hamam	hamam	hamam	hamam		N;MASC+FEM;SG
hamam	sauna	hamam	sauna		N;MASC+FEM;SG
