que	tuo	que	tuo	CONJ	PRO;NOM;SG
per	varten	per	varten	ADP	ADV
les	les	el	les	DET;DEF;FEM;PL	INTJ
amb	mukaan	amb	mukaan	ADP	ADV
amb	mukana	amb	mukana	ADP	ADV
amb	with	amb	with	ADP	N;NOM;SG
amb	kanssa	amb	kanssa	ADP	ADV
com	tykkää	com	tykätä	CONJ	V;IMP;SG;2;FIN;ACT
seu	toimipaikka	seu	toimi#paikka	DET;MASC;SG;3	N;NOM;SG
seu	pääkonttori	seu	pää#konttori	DET;MASC;SG;3	N;NOM;SG
seu	päätoimipaikka	seu	pää#toimi#paikka	DET;MASC;SG;3	N;NOM;SG
seu	päämaja	seu	pää#maja	DET;MASC;SG;3	N;NOM;SG
van	van	anar	van	V;IND;PL;3;PRS;FIN	PROPN;NOM;SG
van	pakettiauto	anar	paketti#auto	V;IND;PL;3;PRS;FIN	N;NOM;SG
era	aikakausi	ser	aika#kausi	V;IND;SG;3;IPFV;FIN	N;NOM;SG
entre	väliin	entre	väliin	ADP	ADV
entre	välillä	entre	välillä	ADP	ADV
entre	välissä	entre	välissä	ADP	ADV
fou	oli	ser	olla	V;IND;SG;3;IPFV;FIN	V;IND;SG;3;PST;FIN;ACT
fou	oliko	ser	olla	V;IND;SG;3;IPFV;FIN	V;IND;SG;3;PST;FIN;ACT
anys	vuotta	any	vuosi	N;MASC;PL	N;PRT;SG
aquest	tämän	aquest	tämä	DET;MASC;SG	PRO;GEN;SG
aquest	tätä	aquest	tämä	DET;MASC;SG	PRO;PRT;SG
aquest	tästä	aquest	tämä	DET;MASC;SG	PRO;IN+ABL;SG
aquest	tämä	aquest	tämä	DET;MASC;SG	PRO;NOM;SG
altres	muu	altre	muu	PRO;PL	PRO;NOM;SG
altres	toiset	altre	toinen	PRO;PL	PRO;NOM;PL
estat	osavaltio	ser	osa#valtio	V;MASC;SG;PST;V.PTCP	N;NOM;SG
estat	valtion	ser	valtio	V;MASC;SG;PST;V.PTCP	N;GEN;SG
estat	valtio	ser	valtio	V;MASC;SG;PST;V.PTCP	N;NOM;SG
després	after	després	after	ADV	
fins	kunnes	fins	kunnes	ADV	CONJ
des	des	des	des	ADP	PROPN;NOM;SG
aquesta	tämän	aquest	tämä	DET;FEM;SG	PRO;GEN;SG
aquesta	tätä	aquest	tämä	DET;FEM;SG	PRO;PRT;SG
aquesta	tästä	aquest	tämä	DET;FEM;SG	PRO;IN+ABL;SG
aquesta	tämä	aquest	tämä	DET;FEM;SG	PRO;NOM;SG
eren	olivat	ser	olla	V;IND;PL;3;IPFV;FIN	V;IND;PL;3;PST;FIN;ACT
eren	olivatko	ser	olla	V;IND;PL;3;IPFV;FIN	V;IND;PL;3;PST;FIN;ACT
from	alkaen	from	alkaen		ADV
from	from	from	from		
part	osa	part	osa		N;NOM;SG
part	osaa	part	osata		V;IMP;SG;2;FIN;ACT
part	osittain	part	osittain		ADV
durant	aikana	durant	aika	ADP	N;FRML;SG
durant	durant	durant	durant	ADP	
tot	kaikki	tot	kaikki	PRO;MASC;SG	PRO;NOM;SG
tot	kaiken	tot	kaikki	PRO;MASC;SG	PRO;GEN;SG
dos	kaksi	dos	kaksi	NUM;MASC;PL	NUM;NOM;SG
dos	kaks	dos	kaksi	NUM;MASC;PL	NUM;NOM;SG
externs	ulkoisen	extern	ulkoinen	ADJ;MASC;PL	ADJ;GEN;SG
externs	ulkoinen	extern	ulkoinen	ADJ;MASC;PL	ADJ;NOM;SG
externs	ulkopuolinen	extern	ulko#puolinen	ADJ;MASC;PL	ADJ;NOM;SG
ciutat	city	ciutat	city	N;FEM;SG	PROPN;NOM;SG
quan	milloin	quan	milloin	CONJ	ADV
qual	jotka	qual	joka	PRO;SG	PRO;NOM;PL
habitants	asukasta	habitant	asukas	N;PL	N;PRT;SG
barcelona	barcelonan	barcelona	barcelona		N;GEN;SG
barcelona	barcelonassa	barcelona	barcelona		N;IN+ESS;SG
barcelona	barcelona	barcelona	barcelo		N;NOM;SG
segons	sekuntia	segons	sekunti	CONJ	N;PRT;SG
segons	sekunnin	segons	sekunti	CONJ	N;GEN;SG
primer	ensin	primer	ensin	ADJ;MASC;SG	ADV
primer	eka	primer	ensin	ADJ;MASC;SG	N;NOM;SG
primer	ensiksi	primer	ensiksi	ADJ;MASC;SG	ADV
nom	nimi	nom	nimi		N;NOM;SG
nom	nimeä	nom	nimi		N;PRT;SG
tres	kolme	tres	kolme	NUM;PL	NUM;NOM;SG
lloc	place	lloc	place	N;MASC;SG	
nova	uudet	nou	uusi	ADJ;FEM;SG	ADJ;NOM;PL
nova	uusia	nou	uusi	ADJ;FEM;SG	ADJ;PRT;PL
nova	nova	nou	nova	ADJ;FEM;SG	PROPN;NOM;SG
primera	ensin	primer	ensin	ADJ;FEM;SG	ADV
primera	eka	primer	ensin	ADJ;FEM;SG	N;NOM;SG
primera	ensiksi	primer	ensiksi	ADJ;FEM;SG	ADV
dues	kaksi	dos	kaksi	NUM;FEM;PL	NUM;NOM;SG
dues	kaks	dos	kaksi	NUM;FEM;PL	NUM;NOM;SG
guerra	sodan	guerra	sota		N;GEN;SG
guerra	sotaa	guerra	sota		N;PRT;SG
guerra	sota	guerra	sota		N;NOM;SG
següent	seuraavaksi	següent	seuraavaksi	ADJ;SG	ADV
sense	ilman	sense	ilman	ADP	ADV
general	yleiset	general	yleinen	ADJ;SG	ADJ;NOM;PL
general	kenraali	general	kenraali	ADJ;SG	N;NOM;SG
catalunya	katalonian	catalunya	katalonia		N;GEN;SG
vivien	vivien	viure	vivi	V;IND;PL;3;IPFV;FIN	N;NOM;SG
forma	muotoa	formar	muoto	V;IND;SG;3;PRS;FIN	N;PRT;SG
forma	muotoon	formar	muoto	V;IND;SG;3;PRS;FIN	N;IN+ALL;SG
forma	muodon	formar	muoto	V;IND;SG;3;PRS;FIN	N;GEN;SG
forma	muoto	formar	muoto	V;IND;SG;3;PRS;FIN	N;NOM;SG
forma	muodosta	formar	muoto	V;IND;SG;3;PRS;FIN	V;IMP;SG;2;FIN;ACT
forma	muoto	formar	muoto	V;IND;SG;3;PRS;FIN	N;NOM;SG
forma	muodossa	formar	muoto	V;IND;SG;3;PRS;FIN	N;IN+ESS;SG
forma	lomake	formar	lomake	V;IND;SG;3;PRS;FIN	N;NOM;SG
mateix	samoin	mateix	samoin	PRO;MASC;SG	ADV
fet	tehty	fet	tehdä	ADJ;MASC;SG;V.PTCP	V;NOM;SG;V.PTCP;PASS
fet	done	fet	done	ADJ;MASC;SG;V.PTCP	
