obliczu	αντιμετωπίζοντας	oblicze	αντιμετωπίζω	N;DAT;NEUT;SG	V;IPFV;V.CVB;ACT
warren	γουόρεν	warren	γουόρεν	PROPN;NOM;MASC;SG	
warren	γουώρεν	warren	γουώρεν	PROPN;NOM;MASC;SG	N;FEM;SG
warren	warren	warren	warren	PROPN;NOM;MASC;SG	
castle	καστρο	castło	καστρο		N;NOM;NEUT;SG
castle	κάστρο	castło	κάστρο		PROPN;NOM;NEUT;SG
castle	castle	castło	castle		
napisała	έγραψες	napisać	έγραψη	V;PFV;FEM;IND;SG;PST;FIN;ACT	V;PFV;IND;PL;2;PST;FIN;ACT
uda	μηρό	udać	μηρό	V;PFV;IND;SG;3;FUT;FIN;ACT	N;NOM;MASC;SG
uda	μηρούς	udać	μηρός	V;PFV;IND;SG;3;FUT;FIN;ACT	N;NOM;MASC;PL
algierii	αλγερινή	algieria	αλγερινός	PROPN;GEN;FEM;SG	ADJ;NOM;FEM;SG
algierii	αλγερίας	algieria	αλγερία	PROPN;GEN;FEM;SG	PROPN;GEN;FEM;SG
algierii	αλγερία	algieria	αλγερία	PROPN;GEN;FEM;SG	PROPN;ACC;FEM;SG
współczesna	μοντέρνα	współczesny	μοντέρνα	N;NOM;FEM;SG	N;NOM;FEM;PL
współczesna	σύγχρονο	współczesny	σύγχρονο	N;NOM;FEM;SG	ADJ;NOM;NEUT;SG
współczesna	σύγχρονη	współczesny	σύγχρονος	N;NOM;FEM;SG	ADJ;NOM;FEM;SG
współczesna	μοντέρνος	współczesny	μοντέρνος	N;NOM;FEM;SG	PROPN;NOM;MASC;SG
współczesna	σύγχρονος	współczesny	σύγχρονος	N;NOM;FEM;SG	ADJ;NOM;MASC;SG
współczesna	σύγχρονο	współczesny	σύγχρονο	N;NOM;FEM;SG	ADJ;NOM;NEUT;SG
współczesna	σύγχρονη	współczesny	σύγχρονος	N;NOM;FEM;SG	ADJ;NOM;FEM;SG
pozbawione	στέρηση	pozbawić	στέρηση	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	N;ACC;FEM;SG
włącznie	inclusive	włącznie	inclusive	ADV	
psy	psy	pies	psy	N;NOM;MASC;PL	
psy	σκύλος	pies	σκύλος	N;NOM;MASC;PL	N;NOM;MASC;SG
psy	σκυλί	pies	σκυλί	N;NOM;MASC;PL	N;NOM;NEUT;SG
poetów	ποιητές	poet	ποιητής	N;GEN;MASC;PL	N;NOM;MASC;PL
apg	apg	apg	apg		
liczyć	καταμέτρηση	liczyć	καταμέτρηση	V;IPFV;NFIN;ACT	N;ACC;FEM;SG
liczyć	κόμης	liczyć	κόμη	V;IPFV;NFIN;ACT	N;NOM;MASC;SG
liczyć	κόμη	liczyć	κόμη	V;IPFV;NFIN;ACT	N;ACC;MASC;SG
liczyć	μέτρημα	liczyć	μέτρημα	V;IPFV;NFIN;ACT	N;NOM;NEUT;SG
ofiarą	θύμα	ofiara	θύμα	N;INS;FEM;SG	N;NOM;NEUT;SG
pomiaru	μέτρηση	pomiar	μέτρηση	N;GEN;MASC;SG	N;NOM;FEM;SG
pomiaru	μετρήσεις	pomiar	μέτρηση	N;GEN;MASC;SG	N;NOM;FEM;PL
pomiaru	μέτρηση	pomiar	μέτρηση	N;GEN;MASC;SG	N;NOM;FEM;SG
osobowości	προσωπικότητες	osobowość	προσωπικότητα	N;GEN;FEM;SG	N;NOM;FEM;PL
osobowości	προσωπικότητα	osobowość	προσωπικότητα	N;GEN;FEM;SG	N;ACC;FEM;SG
kamiński	kamiń	kamiński	kamiń	PROPN;NOM;MASC;SG	
seulu	σεούλ	seul	σεούλ	PROPN;NOM;MASC;SG	PROPN;NOM;FEM;SG
poprzednie	πρώην	poprzednie	πρώην		ADV
poprzednie	πρωην	poprzednie	πρωην		N;NOM;MASC;SG
poprzednie	προηγούμενη	poprzednie	προηγούμενος		ADJ;NOM;FEM;SG
poprzednie	προηγούμενα	poprzednie	προηγούμενος		ADV
poprzednie	προηγούμενος	poprzednie	προηγούμενος		ADJ;NOM;MASC;SG
poprzednie	προηγούμενο	poprzednie	προηγούμενος		ADJ;NOM;NEUT;SG
poprzednie	προηγούμενες	poprzednie	προηγούμενος		ADJ;NOM;FEM;PL
maryland	μέριλαντ	maryland	μέριλαντ	N;NOM;MASC;SG	
electric	ηλεκτρικά	electric	ηλεκτρικά		ADV
electric	ηλεκτρικό	electric	ηλεκτρικός		ADJ;NOM;NEUT;SG
electric	ηλεκτρική	electric	ηλεκτρικός		ADJ;NOM;FEM;SG
electric	ηλεκτρικός	electric	ηλεκτρικός		ADJ;NOM;MASC;SG
schumacher	σουμάχερ	schumacher	σουμάχερ	N;NOM;MASC;SG	PROPN;NOM;MASC;SG
królową	βασιλισσα	królowa	βασιλισσα	N;INS;FEM;SG	N;NOM;FEM;SG
królową	queen	królowa	queen	N;INS;FEM;SG	
królową	βασίλισσα	królowa	βασίλισσα	N;INS;FEM;SG	N;NOM;FEM;SG
królową	ντάμα	królowa	ντάμα	N;INS;FEM;SG	
keith	κηθ	keith	κηθ	PROPN;NOM;MASC;SG	N
keith	keith	keith	keith	PROPN;NOM;MASC;SG	
keith	κιθ	keith	κιθ	PROPN;NOM;MASC;SG	
zastąpić	αντικατάσταση	zastąpić	αντικατάσταση	V;PFV;NFIN;ACT	N;ACC;FEM;SG
zastąpić	αντικαταστάθηκε	zastąpić	αντικαθιστώ	V;PFV;NFIN;ACT	V;PFV;IND;SG;3;PST;FIN;PASS
zastąpić	αντικαθίσταται	zastąpić	αντικάθιστώ	V;PFV;NFIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;PASS
zastąpić	αντικαθίστανται	zastąpić	αντικαθίσταμαι	V;PFV;NFIN;ACT	V;IPFV;IND;PL;3;PRS;FIN;PASS
zastąpić	αντικατάσταση	zastąpić	αντικατάσταση	V;PFV;NFIN;ACT	N;ACC;FEM;SG
zastąpić	αναπληρωματικό	zastąpić	αναπληρωματικός	V;PFV;NFIN;ACT	N;NOM;NEUT;SG
zastąpić	υποκατάστατο	zastąpić	υποκατάστατος	V;PFV;NFIN;ACT	N;NOM;NEUT;SG
reakcje	αντίδραση	reakcja	αντίδραση	N;NOM;FEM;PL	N;ACC;FEM;SG
ekipa	ομάδα	ekipa	ομάδα	N;NOM;FEM;SG	N;ACC;FEM;SG
piętrze	δάπεδο	piętro	δάπεδο	N;ACC;NEUT;SG	N;NOM;NEUT;SG
piętrze	πάτωμα	piętro	πάτωμα	N;ACC;NEUT;SG	N;NOM;NEUT;SG
piętrze	όροφος	piętro	όροφος	N;ACC;NEUT;SG	N;NOM;MASC;SG
