סטודנט	studerande	סטודנט	studerande	N;MASC;SG	ADJ;NOM;PRS;V.PTCP
סקרלט	scarlet	סקרלט	scarl	PROPN	N;NOM;DEF;NEUT;SG
סקרלט	scarlett	סקרלט	scarlett	PROPN	N;NOM;DEF;NEUT;SG
שמעתי	hört	שמע	höra	V;SG;1;PST;ACT	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
שמעתי	hördes	שמע	höra	V;SG;1;PST;ACT	V;IND;PST;FIN;PASS
שמעתי	hörs	שמע	höra	V;SG;1;PST;ACT	V;IND;FIN;PASS
ברגמן	bergman	ברגמן	bergman	PROPN	PROPN;NOM
מחייבת	bindemedel	חייב	bindemedel	V;FEM;SG;V.PTCP;ACT	N;NOM;INDF;NEUT;SG
מחייבת	bindande	חייב	bindande	V;FEM;SG;V.PTCP;ACT	ADJ;NOM;PRS;V.PTCP
מחייבת	bindning	חייב	bindning	V;FEM;SG;V.PTCP;ACT	N;NOM;INDF;MASC+FEM;SG
משקאות	dryck	משקה	dryck	N;MASC;PL	N;NOM;INDF;MASC+FEM;SG
משקאות	dryck	משקה	dryck	N;MASC;PL	N;NOM;INDF;MASC+FEM;SG
משקאות	dryck	משקה	dryck	N;MASC;PL	N;NOM;INDF;MASC+FEM;SG
אוהיו	ohio	אהו	ohio	PROPN	PROPN;NOM
המצעד	paraden	המצעד	parad	PROPN	N;NOM;DEF;MASC+FEM;SG
המצעד	parade	המצעד	para	PROPN	N;NOM;INDF;MASC+FEM;SG
המצעד	parad	המצעד	para	PROPN	N;NOM;INDF;MASC+FEM;SG
הוקלט	inspelat	הוקלט	inspela	V;MASC;SG;3;PST;PASS	N;NOM;INDF;NEUT;SG
הוקלט	inspelade	הוקלט	inspela	V;MASC;SG;3;PST;PASS	ADJ;NOM;PL;PST;V.PTCP
הוקלט	inspelad	הוקלט	inspela	V;MASC;SG;3;PST;PASS	N;NOM;INDF;MASC+FEM;SG
סלובקיה	slovakien	סלובקיה	slovakien	PROPN	PROPN;NOM
אינדונזיה	indonesiska	אינדונזיה	indonesisk	PROPN	N;NOM;INDF;MASC+FEM;SG
אינדונזיה	indonesien	אינדונזיה	indonesien	PROPN	PROPN;NOM
פטור	undantag	פטר	undantag	PROPN	N;NOM;INDF;NEUT;SG
פטור	befrielse	פטר	befrielse	PROPN	N;NOM;INDF;MASC+FEM;SG
פטור	undantagna	פטר	undantagen	PROPN	ADJ;NOM;PL;PST;V.PTCP
תופס	fångst	תופס	fångst	V;MASC;SG;V.PTCP;ACT	N;NOM;INDF;MASC+FEM;SG
תופס	catcher	תופס	catcher	V;MASC;SG;V.PTCP;ACT	PROPN;NOM
המפעיל	handledare	המפעיל	handledare	PROPN	N;NOM;INDF;MASC+FEM;PL
המפעיל	handläggare	המפעיל	handläggare	PROPN	N;NOM;INDF;MASC+FEM;PL
אודה	oda	אודה	oda	PROPN	PROPN;NOM
אודה	ode	אודה	od	PROPN	N;NOM;INDF;MASC+FEM;SG
מלאכותי	konstgjort	מלאכותי	konstgjor	ADJ;MASC	N;NOM;INDF;NEUT;SG
מלאכותי	artificiell	מלאכותי	artificiell	ADJ;MASC	N;NOM;INDF;MASC+FEM;SG
בודפשט	budapest	בודפשט	budapest	PROPN	PROPN;NOM
ביצועים	föreställning	ביצוע	föreställning	N;MASC;PL	N;NOM;INDF;MASC+FEM;SG
ביצועים	performance	ביצוע	performance	N;MASC;PL	N;NOM;INDF;MASC+FEM;SG
ביצועים	resultat	ביצוע	resultat	N;MASC;PL	N;NOM;INDF;NEUT;SG
ביצועים	prestanda	ביצוע	prestanda	N;MASC;PL	N;NOM;INDF;MASC+FEM;SG
בילה	förbrukat	בילה	förbruka	V;MASC;SG;3;PST;ACT	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
בילה	förbrukade	בילה	förbruka	V;MASC;SG;3;PST;ACT	ADJ;NOM;PL;PST;V.PTCP
אקדמיה	akademin	אקדמיה	akademin	PROPN	N;NOM;DEF;MASC+FEM;SG
אקדמיה	academy	אקדמיה	academy	PROPN	N;NOM;INDF;MASC+FEM;SG
אקדמיה	akademi	אקדמיה	akademi	PROPN	N;NOM;INDF;MASC+FEM;SG
אקדמיה	akademiker	אקדמיה	akademik	PROPN	N;NOM;INDF;MASC+FEM;PL
טהור	rena	טהור	rena		ADJ;NOM;PL
טהור	ren	טהור	ren		ADJ;NOM;INDF;MASC+FEM;SG
טהור	rent	טהור	ren		ADV
נסיבות	omständighet	נסיבה	omständighet	N;FEM;PL	N;NOM;INDF;MASC+FEM;SG
סדיר	regelbundet	סדיר	regelbund		N;NOM;DEF;NEUT;SG
סדיר	regelbundna	סדיר	regelbunden		ADJ;NOM;PL
סדיר	regelbunden	סדיר	regelbund		N;NOM;INDF;MASC+FEM;SG
סדיר	ordinarie	סדיר	ordinarium		N;NOM;INDF;MASC+FEM;SG
קניה	kenya	קניה	kenya	PROPN	PROPN;NOM
הלנה	helena	הלנה	hel	PROPN	N;NOM;DEF;MASC+FEM;SG
המילטון	hamilton	המילטון	hamilton	PROPN	PROPN;NOM
דבש	älskling	דבש	älskling		N;NOM;INDF;MASC+FEM;SG
דבש	honung	דבש	honung		N;NOM;INDF;MASC+FEM;SG
ויו	viv	ויו	viv	PROPN	N;NOM;INDF;MASC+FEM;SG
הבשורה	evangelium	הבשורה	evangelium	PROPN	N;NOM;INDF;NEUT;SG
גופנית	fysiskt	גופני	fysisk	ADV	ADJ;NOM;INDF;NEUT;SG
משוכות	häck	משוכה	häck	N;FEM;PL	N;NOM;INDF;MASC+FEM;SG
שיפוץ	renoveringar	שיפוץ	renovering	N;MASC;SG	N;NOM;INDF;MASC+FEM;PL
פגישה	förordnande	פגישה	förordnande	N;FEM;SG	ADJ;NOM;PRS;V.PTCP
מחבל	bombplan	חיבל	bombplan	PROPN	N;NOM;INDF;NEUT;SG
מחבל	bomber	חיבל	bomber	PROPN	N;NOM;INDF;MASC+FEM;PL
מחבל	terrorister	חיבל	terrorist	PROPN	N;NOM;INDF;MASC+FEM;PL
מחבל	terrorist	חיבל	terrorist	PROPN	N;NOM;INDF;MASC+FEM;SG
מחבל	terroristen	חיבל	terroristen	PROPN	N;NOM;DEF;MASC+FEM;SG
בכבוד	respektfullt	בכבוד	respektfull		ADJ;NOM;INDF;NEUT;SG
פיצויים	ersättning	פיצוי	ersättning	N;MASC;PL	N;NOM;INDF;MASC+FEM;SG
פיצויים	kompensation	פיצוי	kompensation	N;MASC;PL	N;NOM;INDF;MASC+FEM;SG
פיצויים	skadestånd	פיצוי	skadestånd	N;MASC;PL	N;NOM;INDF;NEUT;SG
מדף	hyllan	מדף	hylla		N;NOM;DEF;MASC+FEM;SG
מדף	hylla	מדף	hylla		V;IMP;FIN;ACT
קרלו	carlo	קרלו	carlo	PROPN	PROPN;NOM
גותי	goth	גותי	goth	PROPN	N;NOM;INDF;MASC+FEM;SG
גותי	gotiska	גותי	gotisk	PROPN	ADJ;NOM;PL
קולינס	collins	קולינס	collin	PROPN	PROPN;NOM
המשולש	triangeln	המשולש	triangel	PROPN	N;NOM;DEF;MASC+FEM;SG
המשולש	triangel	המשולש	triangel	PROPN	N;NOM;INDF;MASC+FEM;SG
קוסטה	costa	קוסטה	costa	PROPN	N;NOM;INDF;MASC+FEM;SG
מוגנים	skyddas	הוגן	skydda	ADJ;MASC;PL	V;IND;PRS;FIN;PASS
מוגנים	skyddad	הוגן	skydda	ADJ;MASC;PL	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
מוגנים	skyddat	הוגן	skydda	ADJ;MASC;PL	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
הציונים	betyg	הציון	betyg	N;MASC;PL	N;NOM;INDF;NEUT;SG
תה	tea	תה	tea		N;NOM;INDF;NEUT;SG
תה	te	תה	te		N;NOM;INDF;NEUT;SG
ממלכה	kingdom	ממלכה	kingdom	N;FEM;SG	PROPN;NOM
סבירה	troliga	סביר	trolig	ADJ;FEM;SG	ADJ;NOM;PL
סבירה	rimliga	סביר	rimlig	ADJ;FEM;SG	ADJ;NOM;PL
חסיד	följare	חסיד	följare		N;NOM;INDF;MASC+FEM;PL
פלד	feld	פלד	feld	PROPN	PROPN;NOM
רובן	reuben	None	reub	N;MASC;SG	PROPN;NOM
דינה	dinah	דינה	dinah	PROPN	N;NOM;INDF;MASC+FEM;SG
דינה	dina	דינה	du	PROPN	PRO;DEF;PL
מפתיע	överraskande	מפתיע	överraskande	V;MASC;SG;V.PTCP;ACT	ADJ;NOM;PRS;V.PTCP
מפתיע	förvånansvärt	מפתיע	förvånansvärd	V;MASC;SG;V.PTCP;ACT	ADV
מפתיע	förvånande	מפתיע	förvånande	V;MASC;SG;V.PTCP;ACT	ADJ;NOM;PRS;V.PTCP
דונלד	kalle	דונלד	kalle	PROPN	PROPN;NOM
דונלד	donald	דונלד	donal	PROPN	PROPN;NOM
המכהן	regerande	המכהן	regerande	PROPN	ADJ;NOM;PRS;V.PTCP
הנוסחה	formula	הנוסחה	formul	PROPN	N;NOM;INDF;MASC+FEM;SG
הנוסחה	formel	הנוסחה	formel	PROPN	N;NOM;INDF;MASC+FEM;SG
אפשטיין	epstein	אפשטיין	epstei	PROPN	PROPN;NOM
אוהבת	kärleksfull	אהב	kärleksfull	V;FEM;SG;V.PTCP;ACT	ADJ;NOM;INDF;MASC+FEM;SG
אוהבת	kärleksfulla	אהב	kärleksfull	V;FEM;SG;V.PTCP;ACT	ADJ;NOM;PL
אוהבת	kärlek	אהב	kärlek	V;FEM;SG;V.PTCP;ACT	N;NOM;INDF;MASC+FEM;SG
אוהבת	love	אהב	love	V;FEM;SG;V.PTCP;ACT	N;NOM;INDF;MASC+FEM;SG
תיקונים	rättelser	תיקון	rättelse	N;MASC;PL	V;IND;PRS;FIN;ACT
תיקונים	reparation	תיקון	reparation	N;MASC;PL	N;NOM;INDF;MASC+FEM;SG
המחצית	halvtid	המחצית	halvtid	PROPN	N;NOM;INDF;MASC+FEM;SG
המחצית	halvlek	המחצית	halvlek	PROPN	N;NOM;INDF;MASC+FEM;SG
דיבר	pratat	דיבר	prata	V;MASC;SG;3;PST;ACT	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
מיי	may	מיי	may		N;NOM;INDF;NEUT;SG
מיי	maj	מיי	maj		N;NOM;INDF;MASC+FEM;SG
מיי	mae	מיי	mae		N;NOM;INDF;NEUT;SG
ווד	ved	ווד	ved	PROPN	N;NOM;INDF;MASC+FEM;SG
ווד	trä	ווד	trä	PROPN	N;NOM;INDF;NEUT;SG
ווד	virke	ווד	virken	PROPN	N;NOM;INDF;NEUT;SG
מתכות	metall	מתכת	metall	N;FEM;PL	N;NOM;INDF;MASC+FEM;SG
מתכות	metal	מתכת	metal	N;FEM;PL	N;NOM;INDF;MASC+FEM;SG
מייקה	micah	מייקה	micah	PROPN	N;NOM;INDF;MASC+FEM;SG
מייקה	mika	מייקה	mika	PROPN	PROPN;NOM
הגדלת	ökar	הגדלה	öka	N;PSSD;FEM;SG	V;IND;PRS;FIN;ACT
הגדלת	ökande	הגדלה	öka	N;PSSD;FEM;SG	ADJ;NOM;PRS;V.PTCP
סנטימטרים	tum	סנטימטר	tum	N;MASC;PL	N;NOM;INDF;MASC+FEM;SG
סטאר	stjärnan	סטאר	stjärna	PROPN	N;NOM;DEF;MASC+FEM;SG
סטאר	stjärna	סטאר	stjärna	PROPN	N;NOM;INDF;MASC+FEM;SG
סטאר	star	סטאר	star	PROPN	N;NOM;INDF;MASC+FEM;SG
קורן	strålande	קורן	strålande	PROPN	ADJ;NOM;PRS;V.PTCP
נין	nin	נין	nin		N;NOM;INDF;MASC+FEM;SG
קלידים	tangentbord	קליד	tangentbord	N;MASC;PL	N;NOM;INDF;NEUT;SG
שולי	marginella	שול	marginell		ADJ;NOM;PL
שולי	marginell	שול	marginell		ADJ;NOM;INDF;MASC+FEM;SG
שולי	marginellt	שול	marginell		ADV
שולי	marginaler	שול	marginal		N;NOM;INDF;MASC+FEM;PL
שולי	marginalerna	שול	marginal		N;NOM;DEF;MASC+FEM;PL
שולי	minderårig	שול	minderårig		ADJ;NOM;INDF;MASC+FEM;SG
שולי	mindre	שול	lite		ADV;CMPR
שולי	minor	שול	mina		N;NOM;INDF;MASC+FEM;SG
מורו	morrow	מורה	morrow		PROPN;NOM
מורו	moreau	מורה	moreau		PROPN;NOM
מורו	moro	מורה	moro		PROPN;NOM
ליסבון	lissabon	ליסבון	lissabon	PROPN	PROPN;NOM
ליסבון	lissabons	ליסבון	lissabon	PROPN	N;GEN;INDF;MASC+FEM;PL
ליסבון	lisbon	ליסבון	lisbon	PROPN	PROPN;NOM
פרד	fred	פרד	fred	PROPN	N;NOM;INDF;MASC+FEM;SG
פופולריות	populärt	פופולריות	populär	N;FEM;SG	ADJ;NOM;INDF;NEUT;SG
פופולריות	populär	פופולריות	populär	N;FEM;SG	ADJ;NOM;INDF;MASC+FEM;SG
פופולריות	populära	פופולריות	populär	N;FEM;SG	ADJ;NOM;PL
פופולריות	populärt	פופולריות	populär	N;FEM;SG	ADJ;NOM;INDF;NEUT;SG
מנדלסון	mendelssohn	מנדלסון	mendelssohn	PROPN	PROPN;NOM
השיפוט	domen	השיפוט	dom	PROPN	N;NOM;DEF;MASC+FEM;SG
השיפוט	omdöme	השיפוט	omdöme	PROPN	V;IMP;FIN;ACT
טורונטו	toronto	טורונטו	toronto	PROPN	PROPN;NOM
חריג	ovanliga	חריג	ovanlig	ADJ;MASC;SG	ADJ;NOM;PL
חריג	onormala	חריג	onormal	ADJ;MASC;SG	ADJ;NOM;PL
אפרו	afro	אפר	afro	PROPN	N;NOM;INDF;MASC+FEM;SG
מורגן	morgan	מורגן	morgan	PROPN	PROPN;NOM
ענה	svar	ענה	svar	V;MASC;SG;3;PST;ACT	N;NOM;INDF;NEUT;SG
אצבע	fingret	אצבע	finger	ADV	N;NOM;DEF;NEUT;SG
אצבע	finger	אצבע	finga	ADV	N;NOM;INDF;NEUT;SG
הופץ	distribuerade	הופץ	distribuerad	V;MASC;SG;3;PST;PASS	ADJ;NOM;PL;PST;V.PTCP
הופץ	fördelat	הופץ	fördela	V;MASC;SG;3;PST;PASS	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
הופץ	utdelade	הופץ	utdela	V;MASC;SG;3;PST;PASS	ADJ;NOM;PL;PST;V.PTCP
הופץ	distribueras	הופץ	distribuera	V;MASC;SG;3;PST;PASS	V;IND;PRS;FIN;PASS
הופץ	fördelad	הופץ	fördela	V;MASC;SG;3;PST;PASS	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
הופץ	fördelade	הופץ	fördela	V;MASC;SG;3;PST;PASS	ADJ;NOM;PL;PST;V.PTCP
אנדריי	andrej	אנדריי	andrej	PROPN	PROPN;NOM
אנדריי	andrej	אנדריי	andrej	PROPN	PROPN;NOM
תעשייתי	industriell	תעשייתי	industriell	ADJ;MASC;SG	N;NOM;INDF;MASC+FEM;SG
תעשייתי	industriella	תעשייתי	industriell	ADJ;MASC;SG	ADJ;NOM;PL
סובל	sobel	סובל	sobel	PROPN	N;NOM;INDF;MASC+FEM;SG
היעדר	avsaknad	היעדר	avsakna		ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
היעדר	frånvaro	היעדר	frånvaro		N;NOM;INDF;MASC+FEM;SG
בסיסיים	basic	בסיסי	basic	ADJ;MASC;PL	N;NOM;INDF;MASC+FEM;SG
מסודרת	organiserade	מסודר	organiserad	ADJ;FEM;SG	ADJ;NOM;PL;PST;V.PTCP
מסודרת	prydligt	מסודר	prydlig	ADJ;FEM;SG	ADV
אולמרט	olmert	אולמרט	olmert	PROPN	N;NOM;INDF;NEUT;SG
גיברלטר	gibraltar	גיברלטר	gibralt	PROPN	N;NOM;INDF;NEUT;SG
חיוני	vital	חיוני	vital	ADJ;MASC;SG	N;NOM;INDF;MASC+FEM;SG
חיוני	vitala	חיוני	vital	ADJ;MASC;SG	N;NOM;INDF;NEUT;PL
חיוני	väsentliga	חיוני	väsentlig	ADJ;MASC;SG	ADJ;NOM;PL
חיוני	väsentligt	חיוני	väsentlig	ADJ;MASC;SG	ADV
אזכור	nämner	אזכור	namn	N;MASC;SG	V;IND;PRS;FIN;ACT
אזכור	nämna	אזכור	nämna	N;MASC;SG	V;IMP;FIN;ACT
התמודדות	orka	התמודדות	orka	N;FEM;SG	V;IMP;FIN;ACT
התמודדות	klarar	התמודדות	klara	N;FEM;SG	V;IND;PRS;FIN;ACT
התמודדות	langa	התמודדות	langa	N;FEM;SG	V;IMP;FIN;ACT
רבנו	slogs	רב	slå	PROPN	V;IND;PST;FIN;PASS
רבנו	kämpat	רב	kämpa	PROPN	V;V.CVB;ACT
רבנו	kämpade	רב	kämpa	PROPN	V;IND;PST;FIN;ACT
רבנו	slagits	רב	sla	PROPN	V;V.CVB;PASS
פיזור	sprider	פיזור	sprida	N;MASC;SG	V;IND;PRS;FIN;ACT
יתומים	föräldralösa	יתום	föräldralös	N;MASC;PL	ADJ;NOM;PL
לשבור	paus	שבר	paus	V;NFIN;ACT	N;NOM;INDF;MASC+FEM;SG
לשבור	break	שבר	break	V;NFIN;ACT	N;NOM;INDF;NEUT;SG
לשבור	rast	שבר	rast	V;NFIN;ACT	N;NOM;INDF;MASC+FEM;SG
לשבור	brytning	שבר	brytning	V;NFIN;ACT	N;NOM;INDF;MASC+FEM;SG
פדרו	pedro	פדר	pedro	PROPN	PROPN;NOM
היוצא	avgående	היוצא	avgående		ADJ;NOM;PRS;V.PTCP
היוצא	utåtriktad	היוצא	utåtriktad		ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
היוצא	utgående	היוצא	utgående		N;NOM;INDF;NEUT;SG
נאור	upplyst	נאור	upplysa	PROPN	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
נאור	upplysta	נאור	upplysta	PROPN	ADJ;NOM;PL;PST;V.PTCP
הקדמה	introduktion	הקדמה	introduktion	PROPN	N;NOM;INDF;MASC+FEM;SG
הקדמה	inledning	הקדמה	inledning	PROPN	N;NOM;INDF;MASC+FEM;SG
הקדמה	införande	הקדמה	införande	PROPN	N;NOM;INDF;NEUT;SG
הקדמה	införsel	הקדמה	införsel	PROPN	N;NOM;INDF;NEUT;SG
הקדמה	progress	הקדמה	progress	PROPN	N;NOM;INDF;MASC+FEM;SG
הקדמה	förlopp	הקדמה	förlopp	PROPN	N;NOM;INDF;NEUT;SG
הקדמה	framsteg	הקדמה	framsteg	PROPN	N;NOM;INDF;NEUT;PL
הקדמה	introduktion	הקדמה	introduktion	PROPN	N;NOM;INDF;MASC+FEM;SG
הקדמה	intro	הקדמה	intro	PROPN	N;NOM;INDF;NEUT;SG
הקדמה	förspel	הקדמה	förspel	PROPN	N;NOM;INDF;NEUT;SG
טקסי	taxi	טקס	taxi	N;PSSD;MASC;PL	N;NOM;INDF;MASC+FEM;SG
טקסי	ceremoniella	טקס	ceremoniell	N;PSSD;MASC;PL	ADJ;NOM;PL
בטא	beta	בטא	beta	PROPN	N;NOM;INDF;MASC+FEM;SG
הפיל	elefanten	הפיל	elefant	PROPN	N;NOM;DEF;MASC+FEM;SG
הפיל	elefant	הפיל	elefant	PROPN	N;NOM;INDF;MASC+FEM;SG
הפיל	elefanter	הפיל	elefant	PROPN	N;NOM;INDF;MASC+FEM;PL
הואשם	åtalade	הואשם	åtala	V;MASC;SG;3;PST;PASS	ADJ;NOM;PL;PST;V.PTCP
הואשם	åtalad	הואשם	åtala	V;MASC;SG;3;PST;PASS	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
הואשם	anklagad	הואשם	läkla_av	V;MASC;SG;3;PST;PASS	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
הואשם	anklagade	הואשם	anklaga	V;MASC;SG;3;PST;PASS	ADJ;NOM;PL;PST;V.PTCP
הואשם	åtalad	הואשם	åtala	V;MASC;SG;3;PST;PASS	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
ליאו	leos	ליאו	leos	PROPN	PROPN;GEN
ליאו	leo	ליאו	leo	PROPN	PROPN;NOM
דורי	dori	דורי	dori	PROPN	PROPN;NOM
דורי	dory	דורי	dory	PROPN	N;NOM;INDF;MASC+FEM;SG
אורות	ljus	אור	ljus		N;NOM;INDF;NEUT;SG
אורות	lampor	אור	lampa		N;NOM;INDF;MASC+FEM;PL
עשורים	årtionden	עשור	årtiond	N;MASC;PL	N;NOM;DEF;MASC+FEM;SG
צפייה	visa	צפייה	visa	N;FEM;SG	V;IMP;FIN;ACT
צפייה	tittar	צפייה	titta	N;FEM;SG	V;IND;PRS;FIN;ACT
מלאים	fullständig	מלא	fullständig	ADJ;MASC;PL	ADJ;NOM;INDF;MASC+FEM;SG
מלאים	full	מלא	full	ADJ;MASC;PL	ADJ;NOM;INDF;MASC+FEM;SG
מלאים	fullt	מלא	full	ADJ;MASC;PL	ADV
מחכה	väntande	חיכה	vänta	V;MASC;SG;V.PTCP;ACT	ADJ;NOM;PRS;V.PTCP
מחכה	väntan	חיכה	väntan	V;MASC;SG;V.PTCP;ACT	N;NOM;DEF;MASC+FEM;SG
אשם	skyldiga	אשם	skyldig		ADJ;NOM;PL
אשם	skyldig	אשם	skyldig		ADJ;NOM;INDF;MASC+FEM;SG
אשם	skyldigt	אשם	skyldig		ADJ;NOM;INDF;NEUT;SG
הצלה	rädda	הצלה	rädda	N;FEM;SG	V;IMP;NFIN;ACT
מדויקים	noggrann	מדויק	noggrann	ADJ;MASC;PL	ADJ;NOM;INDF;MASC+FEM;SG
מדויקים	korrekt	מדויק	korrekt	ADJ;MASC;PL	ADJ;NOM;INDF;MASC+FEM;SG
