van	f	van	!	ADP	
het	th	het	th	PRO;3	
het	ال	het	اَل	PRO;3	PART
een	احد	een	أَحَد	DET;INDF	N;NOM;INDF;SG
een	واحدة	een	وَاحِد	DET;INDF	ADJ;NOM;INDF;FEM;SG
een	واحد	een	وَاحِد	DET;INDF	ADJ;NOM;INDF;MASC;SG
een	واحده	een	واحده	DET;INDF	PRO;NOM;MASC;SG;3
voor	لاجل	voor	لاجل	ADP	
met	w	met	!	ADP	
zijn	ده	zijn	دٰهٰ	V;PL;PRS;FIN	
uit	f	uit	!	ADP	
uit	اخرج	uit	آخَر	ADP	V;PFV;MASC;SG;3;ACT
uit	خارجا	uit	خَارِج	ADP	ADJ;ACC;INDF;MASC;SG
uit	خرج	uit	خَرَج	ADP	V;PFV;MASC;SG;3;ACT
dat	هذا	dat	هٰذَا	PRO;3	DET;NOM;MASC;SG
dat	ذلك	dat	ذلك	PRO;3	
werd	صارت	worden	صَار	V;SG;PST;FIN	V;PFV;FEM;SG;3;ACT
was	كانت	zijn	كَان	V;SG;PST;FIN	V;PFV;FEM;SG;3;ACT
was	كان	zijn	كَان	V;SG;PST;FIN	V;PFV;MASC;SG;3;ACT
was	شمع	zijn	شَمع	V;SG;PST;FIN	N;NOM;INDF;SG
was	الشمع	zijn	شَمع	V;SG;PST;FIN	N;NOM;DEF;SG
was	واكس	zijn	وَاكِس	V;SG;PST;FIN	
ook	كمان	ook	كَمَان	ADV	
niet	ليس	niet	لَيس	ADV	V;PFV;MASC;SG;3;ACT
niet	لا	niet	لَا	ADV	PART
niet	وليس	niet	وليس	ADV	
niet	مش	niet	مش	ADV	
tot	حتى	tot	حَتَّى	ADP	ADV
soort	الانواع	soort	نَوع	N;SG	N;NOM;DEF;PL
familie	عائلي	familie	عَائِلِيّ	N;MASC+FEM;SG	ADJ;NOM;INDF;MASC;SG
eerst	اول	eerst	أَوَّل	ADV	ADJ;NOM;INDF;MASC;SG
eerst	اولا	eerst	أَوَّل	ADV	ADJ;ACC;INDF;MASC;SG
eerst	الاول	eerst	أَوَّل	ADV	ADJ;NOM;DEF;MASC;SG
eerst	الاولى	eerst	أَوَّل	ADV	ADJ;NOM;DEF;FEM;SG
deze	هذا	deze	هٰذَا	PRO	DET;NOM;MASC;SG
deze	هذه	deze	هٰذَا	PRO	DET;NOM;FEM;SG
deze	هؤلاء	deze	هٰذَا	PRO	DET;NOM;MASC;PL
deze	هذه	deze	هٰذَا	PRO	DET;NOM;FEM;SG
maar	لكن	maar	لكن	CONJ	
maar	بس	maar	بِسّ	CONJ	
maar	ولكن	maar	ولكن	CONJ	
gepubliceerd	نشر	publiceren	نَشر	V;V.PTCP	N;NOM;INDF;SG
gepubliceerd	منشور	publiceren	مَنشُور	V;V.PTCP	N;NOM;INDF;SG
wordt	تصير	worden	أَصَار	V;SG;PRS;FIN	V;IPFV;MASC;IND;SG;2;FIN;ACT
wordt	تصبح	worden	أَصبَح	V;SG;PRS;FIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
wordt	يصير	worden	أَصَار	V;SG;PRS;FIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
wordt	يصبح	worden	أَصبَح	V;SG;PRS;FIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
wordt	اصبح	worden	أَصبَح	V;SG;PRS;FIN	V;PFV;MASC;SG;3;ACT
wordt	يصبح	worden	أَصبَح	V;SG;PRS;FIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
wordt	يصير	worden	أَصَار	V;SG;PRS;FIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
geldig	صالح	geldig	صالح	ADJ	
worden	تصير	worden	أَصَار	V;PL;PRS;FIN	V;IPFV;MASC;IND;SG;2;FIN;ACT
worden	تصبح	worden	أَصبَح	V;PL;PRS;FIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
worden	يصير	worden	أَصَار	V;PL;PRS;FIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
worden	يصبح	worden	أَصبَح	V;PL;PRS;FIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
worden	اصبح	worden	أَصبَح	V;PL;PRS;FIN	V;PFV;MASC;SG;3;ACT
dit	هذا	dit	هٰذَا	PRO;3	DET;NOM;MASC;SG
dit	هذه	dit	هٰذَا	PRO;3	DET;NOM;FEM;SG
over	بشان	over	بشان	ADP	N;NOM;INDF;SG
over	بخصوص	over	بخصوص	ADP	N;NOM;INDF;SG
dan	بعدها	dan	بعدها	ADV	PRO;NOM;MASC;SG;3
dan	ثم	dan	ثُمَّ	ADV	CONJ
dan	اذا	dan	إِذَا	ADV	CONJ
dan	دان	dan	دان	ADV	
cest	c	cest	هُوَ		
onder	ادناه	onder	ادناه	ADP	N;NOM;INDF;SG
nog	لسه	nog	لسه	ADV	
meer	ليك	veel	لَيك	PRO	
