yang	yang	yang	yang	PRO	
dan	dan	dan	dan	CONJ	
dari	dari	dari	dari	ADP	ADJ;PL
dari	fra	dari	fra	ADP	ADV
ini	dette	ini	denne	DET	PRO;NEUT;SG
ini	denne	ini	denne	DET	PRO;MASC+FEM;SG
dengan	med	dengan	med	ADP	ADV
adalah	er	adalah	være	V	V;IND;PRS;FIN;ACT
untuk	til	untuk	til	ADP	ADV
the	de	the	de	PROPN	PRO;NOM;PL;3
the	den	the	den	PROPN	PRO;ACC;MASC+FEM;SG;3
tidak	ikke	tidak	ikke	PART;NEG	ADV
tidak	not	tidak	not	PART;NEG	
tidak	ej	tidak	ej	PART;NEG	ADV
indonesia	indonesien	indonesia	indonesie	PROPN;SG	
itu	itu	itu	itu	DET	N;INDF;NEUT;SG
bagian	strækninger	bagian	strækning	N;SG	N;INDF;MASC+FEM;PL
bagian	sektioner	bagian	sektion	N;SG	N;INDF;MASC+FEM;PL
bagian	reservedele	bagian	reservedel	N;SG	N;INDF;MASC+FEM;PL
bagian	dele	bagian	del	N;SG	N;INDF;MASC+FEM;PL
spesies	dyrearter	spesies	dyrearter	N;SG	N;INDF;NEUT;PL
spesies	arter	spesies	arte	N;SG	N;INDF;MASC+FEM;PL
dapat	kan	dapat	kunne	ADV;SG;ACT	V;IND;PRS;FIN;ACT
dapat	can	dapat	cinke	ADV;SG;ACT	
orang	mennesker	orang	menneske	N;SG	N;INDF;NEUT;PL
orang	personer	orang	person	N;SG	N;INDF;MASC+FEM;PL
orang	folk	orang	folk	N;SG	N;INDF;NEUT;PL
orang	people	orang	peopl	N;SG	
luar	udenfor	luar	udenfor	ADJ;SG	ADV
luar	udvendigt	luar	udvendig	ADJ;SG	ADV
mereka	them	mereka	them	PRO;PL;3	
satu	satu	satu	satu	NUM	
satu	et	satu	en	NUM	PRO;NEUT;SG
satu	en	satu	en	NUM	PRO;MASC+FEM;SG
satu	én	satu	en	NUM	PRO;MASC+FEM;SG
telah	har	telah	have	ADV	V;IND;PRS;FIN;ACT
telah	har	telah	have	ADV	V;IND;PRS;FIN;ACT
telah	have	telah	have	ADV	V;NFIN;ACT
score	scoring	score	scoring	PROPN	N;INDF;MASC+FEM;SG
score	score	score	score	PROPN	V;NFIN;ACT
kota	city	kota	city	N;SG	
kota	byerne	kota	by	N;SG	N;DEF;MASC+FEM;PL
kota	storbyer	kota	storby	N;SG	N;INDF;MASC+FEM;PL
kota	byer	kota	by	N;SG	N;INDF;MASC+FEM;PL
kota	kota	kota	kota	N;SG	
seperti	gerne	seperti	gerne	ADP	ADV
seperti	like	seperti	like	ADP	
desa	landsbyer	desa	landsby	N;SG	N;INDF;MASC+FEM;PL
desa	landsbyerne	desa	landsby	N;SG	N;DEF;MASC+FEM;PL
desa	village	desa	villag	N;SG	
ada	der	ada	der	V;SG	ADV
ada	ada	ada	ada	V;SG	
lebih	flere	lebih	mange	ADV	ADJ;CMPR;PL
akan	will	akan	will	ADV	
akan	vil	akan	ville	ADV	V;IND;PRS;FIN;ACT
akan	ville	akan	ville	ADV	V;IND;PST;FIN;ACT
nama	navne	nama	navn	N;SG	N;INDF;NEUT;PL
nama	betegnelser	nama	betegnelse	N;SG	N;INDF;MASC+FEM;PL
kayu	wood	kayu	wood	N;SG	
kayu	tømmer	kayu	tømme	N;SG	N;INDF;MASC+FEM;PL
kayu	tømmer	kayu	tømme	N;SG	N;INDF;MASC+FEM;PL
pertama	første	pertama	første	NUM	ADJ
pertama	først	pertama	først	NUM	ADV
setelah	efter	setelah	efter	ADP	ADV
class	klasse	class	klasse	PROPN	N;INDF;MASC+FEM;SG
class	klassen	class	klasse	PROPN	N;DEF;MASC+FEM;SG
lain	andre	lain	anden	ADJ;SG	PRO;PL
lain	andet	lain	anden	ADJ;SG	PRO;NEUT;SG
lain	andre	lain	anden	ADJ;SG	PRO;PL
besar	large	besar	large	ADJ;SG	
besar	store	besar	stor	ADJ;SG	ADJ;PL
besar	big	besar	big	ADJ;SG	
besar	store	besar	stor	ADJ;SG	ADJ;PL
film	film	film	film	N;SG	N;INDF;MASC+FEM;PL
film	movie	film	movie	N;SG	
film	film	film	film	N;SG	N;INDF;MASC+FEM;PL
film	filme	film	filme	N;SG	V;NFIN;ACT
film	film	film	film	N;SG	N;INDF;MASC+FEM;PL
film	film	film	film	N;SG	N;INDF;MASC+FEM;PL
saat	da	saat	da	N;SG	ADV
saat	når	saat	når	N;SG	CONJ
saat	hvornår	saat	hvornår	N;SG	ADV
kelas	klasser	kelas	klasse	N;SG	N;INDF;MASC+FEM;PL
kelas	klasserne	kelas	klasse	N;SG	N;DEF;MASC+FEM;PL
beberapa	adskillige	beberapa	adskillig	DET	ADJ;PL
beberapa	flere	beberapa	mange	DET	ADJ;CMPR;PL
beberapa	adskillige	beberapa	adskillig	DET	ADJ;PL
beberapa	flere	beberapa	mange	DET	ADJ;CMPR;PL
beberapa	nogle	beberapa	nogen	DET	PRO;PL
salah	forkert	salah	forkert	N;SG	ADJ;INDF;SG
salah	ukorrekt	salah	ukorrekt	N;SG	ADJ;INDF;SG
salah	forkert	salah	forkert	N;SG	ADJ;INDF;SG
salah	forkerte	salah	forkert	N;SG	ADJ;PL
salah	falsk	salah	falsk	N;SG	ADJ;INDF;SG
salah	falske	salah	falsk	N;SG	ADJ;PL
salah	salah	salah	salah	N;SG	
negara	stater	negara	stat	N;SG	N;INDF;MASC+FEM;PL
negara	staterne	negara	stat	N;SG	N;DEF;MASC+FEM;PL
negara	lande	negara	land	N;SG	N;INDF;NEUT;PL
negara	state	negara	state	N;SG	
negara	landene	negara	land	N;SG	N;DEF;NEUT;PL
negara	lande	negara	land	N;SG	N;INDF;NEUT;PL
banyak	mange	banyak	mange	ADV	ADJ;PL
banyak	much	banyak	much	ADV	
banyak	meget	banyak	meget	ADV	ADJ;INDF;SG
kabupaten	amter	kabupaten	amt	N;SG	N;INDF;NEUT;PL
kabupaten	amterne	kabupaten	amt	N;SG	N;DEF;NEUT;PL
dia	dia	dia	dia	PRO	
lalat	flyver	lalat	flyve	N;SG	V;IND;PRS;FIN;ACT
lalat	flyv	lalat	flyv	N;SG	V;IMP
lalat	flyve	lalat	flyve	N;SG	V;NFIN;ACT
lalat	fluerne	lalat	flue	N;SG	N;DEF;MASC+FEM;PL
lalat	flyver	lalat	flyve	N;SG	V;IND;PRS;FIN;ACT
lalat	fluer	lalat	flue	N;SG	N;INDF;MASC+FEM;PL
familia	familia	familia	familia	PROPN	
isi	fylde	isi	fylde	N;SG	V;NFIN;ACT
isi	udfyld	isi	udfyld	N;SG	V;IMP
baru	nye	baru	ny	ADJ;SG	ADJ;PL
antara	antara	antara	antara	ADP	
antara	imellem	antara	imellem	ADP	ADV
barat	barat	barat	barat	N;SG	
barat	vestlig	barat	vestlig	N;SG	ADJ;INDF;MASC+FEM;SG
barat	vestligt	barat	vestligt	N;SG	ADJ;INDF;NEUT;SG
barat	vestlige	barat	vestlig	N;SG	ADJ;PL
namun	alligevel	namun	alligevel	CONJ	ADV
namun	dog	namun	dog	CONJ	ADV
namun	imidlertid	namun	imidlertid	CONJ	ADV
wilayah	regionerne	wilayah	region	N;SG	N;DEF;MASC+FEM;PL
wilayah	regioner	wilayah	region	N;SG	N;INDF;MASC+FEM;PL
wilayah	områder	wilayah	område	N;SG	N;INDF;NEUT;PL
wilayah	territorier	wilayah	territori	N;SG	N;INDF;MASC+FEM;PL
tanggal	datoer	tanggal	datoer	N;SG;ACT	N;INDF;MASC+FEM;PL
tanggal	dadler	tanggal	dadle	N;SG;ACT	N;INDF;MASC+FEM;PL
dunia	world	dunia	world	N;SG	
dunia	verdener	dunia	verdene	N;SG	N;INDF;MASC+FEM;PL
timur	østpå	timur	østpå	N;SG	ADV
