que	tuo	que	tuo	CONJ	PRO;NOM;SG
del	del	del	del	ADP;MASC;SG	
con	mukaan	con	mukaan	ADP	ADV
con	mukana	con	mukana	ADP	ADV
con	with	con	with	ADP	N;NOM;SG
con	kanssa	con	kanssa	ADP	ADV
una	yks	uno	yksi	DET;INDF;FEM;SG	NUM;NOM;SG
una	yksi	uno	yksi	DET;INDF;FEM;SG	NUM;NOM;SG
una	yhden	uno	yksi	DET;INDF;FEM;SG	NUM;GEN;SG
una	one	uno	oni	DET;INDF;FEM;SG	
para	varten	para	varten	ADP	ADV
como	miten	como	miten	CONJ	ADV
como	kuinka	como	kuinka	CONJ	ADV
como	tykkää	como	tykätä	CONJ	V;IMP;SG;2;FIN;ACT
fue	oli	ser	olla	V;IND;SG;3;PST;FIN	V;IND;SG;3;PST;FIN;ACT
sus	heidän	su	hän	DET;PL;3	PRO;GEN;PL;3
sus	niiden	su	se	DET;PL;3	PRO;GEN;PL
sus	hänen	su	hän	DET;PL;3	PRO;GEN;SG;3
sus	sinun	su	sinä	DET;PL;3	PRO;GEN;SG;2
sus	sen	su	se	DET;PL;3	PRO;GEN;SG
también	too	también	too	ADV	
entre	joukossa	entre	joukko	ADP	N;IN+ESS;SG
entre	keskuudessa	entre	keskuudessa	ADP	ADV
entre	entre	entre	entre	ADP	
entre	väliin	entre	väliin	ADP	ADV
entre	välillä	entre	välillä	ADP	ADV
entre	välissä	entre	välissä	ADP	ADV
este	itä	este	itä	PRO;MASC;SG	N;NOM;SG
este	itään	este	itä	PRO;MASC;SG	N;IN+ALL;SG
este	itäinen	este	itäinen	PRO;MASC;SG	ADJ;NOM;SG
años	vuotta	año	vuosi	N;MASC;PL	N;PRT;SG
dos	dos	dos	dos	NUM;PL	PROPN;NOM;SG
dos	kaksi	dos	kaksi	NUM;PL	NUM;NOM;SG
dos	kaks	dos	kaksi	NUM;PL	NUM;NOM;SG
sobre	noin	sobre	noin	ADP	ADV
desde	alkaen	desde	alkaen	ADP	ADV
desde	from	desde	from	ADP	
hasta	edes	hasta	edes	ADP	ADV
hasta	jopa	hasta	jopa	ADP	ADV
hasta	kunnes	hasta	kunnes	ADP	CONJ
externos	ulkoisen	externo	ulkoinen	ADJ;MASC;PL	ADJ;GEN;SG
externos	ulkoinen	externo	ulkoinen	ADJ;MASC;PL	ADJ;NOM;SG
externos	ulkopuolinen	externo	ulko#puolinen	ADJ;MASC;PL	ADJ;NOM;SG
ciudad	city	ciudad	city	N;FEM;SG	PROPN;NOM;SG
ciudad	ciudad	ciudad	ciudad	N;FEM;SG	PROPN;NOM;SG
ser	olemisen	ser	oleminen	V;NFIN	N;GEN;SG
ser	oleminen	ser	oleminen	V;NFIN	N;NOM;SG
ser	ser	ser	ser	V;NFIN	INTJ
parte	juhlat	parte	juhla	N;FEM;SG	N;NOM;PL
parte	bileet	parte	bileet	N;FEM;SG	N;NOM;PL
parte	osaa	parte	osata	N;FEM;SG	V;IMP;SG;2;FIN;ACT
parte	osittain	parte	osittain	N;FEM;SG	ADV
durante	aikana	durante	aika	ADP	N;FRML;SG
sin	ilman	sin	ilman	ADP	ADV
sin	syntiä	sin	synti	ADP	N;PRT;SG
sin	synti	sin	synti	ADP	N;NOM;SG
sin	synnin	sin	syntä	ADP	N;GEN;SG
donde	missä	donde	mikä	PRO	PRO;IN+ESS;SG
san	san	san	san	N;MASC;SG	PROPN;NOM;SG
san	saint	san	saada	N;MASC;SG	
era	oli	ser	olla	V;IND;SG;3;IPFV;FIN	V;IND;SG;3;PST;FIN;ACT
era	oliko	ser	olla	V;IND;SG;3;IPFV;FIN	V;IND;SG;3;PST;FIN;ACT
nacional	kansalliset	nacional	kansallinen	ADJ;SG	ADJ;NOM;PL
nacional	kansallisten	nacional	kansallinen	ADJ;SG	ADJ;GEN;PL
nacional	nacional	nacional	nacional	ADJ;SG	N;FRML;SG
primera	ensin	primero	ensin	ADJ;FEM;SG	ADV
primera	eka	primero	ensin	ADJ;FEM;SG	N;NOM;SG
primera	ensiksi	primero	ensiksi	ADJ;FEM;SG	ADV
team	team	team	team	N	
cuando	milloin	cuando	milloin	CONJ	ADV
después	after	después	after	ADV	
después	myöhempi	después	myöhä	ADV	ADJ;NOM;CMPR;SG
otros	muu	otro	muu	PRO;MASC;PL	PRO;NOM;SG
otros	toiset	otro	toinen	PRO;MASC;PL	PRO;NOM;PL
gran	isot	gran	iso	ADJ;SG	ADJ;NOM;PL
gran	gran	gran	gran	ADJ;SG	
gran	grand	gran	grand	ADJ;SG	
unidos	yhdistyneiden	unido	yhdistynyt	ADJ;MASC;PL;V.PTCP	V;GEN;PL;V.PTCP;ACT
unidos	yhdistynyt	unido	yhdistyä	ADJ;MASC;PL;V.PTCP	V;NOM;SG;V.PTCP;ACT
unidos	yhdistyneet	unido	yhdistynyt	ADJ;MASC;PL;V.PTCP	V;NOM;PL;V.PTCP;ACT
unidos	united	unido	united	ADJ;MASC;PL;V.PTCP	N;NOM;SG
unidos	yhtenäinen	unido	yhtenäinen	ADJ;MASC;PL;V.PTCP	ADJ;NOM;SG
puede	voi	poder	voi	V;IND;SG;3;PRS;FIN	INTJ
uno	uno	uno	uno	PRO;MASC;SG	N;NOM;SG
uno	yks	uno	yksi	PRO;MASC;SG	NUM;NOM;SG
uno	yksi	uno	yksi	PRO;MASC;SG	NUM;NOM;SG
uno	yhden	uno	yksi	PRO;MASC;SG	NUM;GEN;SG
uno	one	uno	oni	PRO;MASC;SG	
lugar	place	lugar	place	N;MASC;SG	
primer	ensin	primero	ensin	ADJ;MASC;SG	ADV
primer	eka	primero	ensin	ADJ;MASC;SG	N;NOM;SG
primer	ensiksi	primero	ensiksi	ADJ;MASC;SG	ADV
había	oli	haber	olla	V;IND;SG;3;IPFV;FIN	V;IND;SG;3;PST;FIN;ACT
mismo	sama	mismo	sama	ADJ;MASC;SG	PRO;NOM;SG
mismo	samoin	mismo	samoin	ADJ;MASC;SG	ADV
mismo	samaa	mismo	sama	ADJ;MASC;SG	PRO;PRT;SG
nueva	uudet	nuevo	uusi	ADJ;FEM;SG	ADJ;NOM;PL
nueva	uusia	nuevo	uusi	ADJ;FEM;SG	ADJ;PRT;PL
eran	olivat	ser	olla	V;IND;PL;3;IPFV;FIN	V;IND;PL;3;PST;FIN;ACT
eran	olivatko	ser	olla	V;IND;PL;3;IPFV;FIN	V;IND;PL;3;PST;FIN;ACT
cual	jotka	cual	joka	PRO;SG	PRO;NOM;PL
forma	muodosta	forma	muoto	N;FEM;SG	V;IMP;SG;2;FIN;ACT
tres	tres	tres	tres	NUM;PL	
tres	kolme	tres	kolme	NUM;PL	NUM;NOM;SG
grupo	grupo	grupo	grupo	N;MASC;SG	PROPN;NOM;SG
general	yleinen	general	yleinen	N;SG	ADJ;NOM;SG
general	yleiset	general	yleinen	N;SG	ADJ;NOM;PL
general	yleistä	general	yleinen	N;SG	ADJ;PRT;SG
aunque	tosin	aunque	tosin	CONJ	ADV
aunque	tosin	aunque	tosin	CONJ	ADV
aunque	vaik	aunque	vaikka	CONJ	ADV
tras	jälkeen	tras	jälkeen	ADP	ADV
tras	after	tras	after	ADP	
familia	perheitä	familia	perhe	N;FEM;SG	N;PRT;PL
familia	perheet	familia	perhe	N;FEM;SG	N;NOM;PL
además	plus	además	plus	ADV	N;NOM;SG
además	plussaa	además	plussa	ADV	N;PRT;SG
todo	kaikille	todo	kaikki	PRO;MASC;SG	PRO;AT+ALL;PL
sur	eteläinen	sur	eteläinen	N;MASC;SG	ADJ;NOM;SG
sur	sur	sur	sur	N;MASC;SG	INTJ
mayor	majuri	mayor	majuri	ADJ;SG	N;NOM;SG
mayor	major	mayor	major	ADJ;SG	
partido	juhlat	partido	juhla	N;MASC;SG	N;NOM;PL
partido	bileet	partido	bileet	N;MASC;SG	N;NOM;PL
partido	täsmää	partido	täsmä	N;MASC;SG	V;IMP;SG;2;FIN;ACT
contra	vastoin	contra	vastoin	ADP	ADV
contra	vastaan	contra	vastaan	ADP	ADV
contra	contra	contra	contra	ADP	
encuentra	löydä	encontrar	löydä	V;IND;SG;3;PRS;FIN	V;IMP;SG;2;FIN;ACT
encuentra	etsi	encontrar	etsiä	V;IND;SG;3;PRS;FIN	V;IMP;SG;2;FIN;ACT
otras	muu	otro	muu	PRO;FEM;PL	PRO;NOM;SG
otras	toiset	otro	toinen	PRO;FEM;PL	PRO;NOM;PL
todos	kaikki	todo	kaikki	PRO;MASC;PL	PRO;NOM;SG
todos	jokainen	todo	jokainen	PRO;MASC;PL	PRO;NOM;SG
todos	kaikki	todo	kaikki	PRO;MASC;PL	PRO;NOM;SG
juan	johannes	juan	johannes	PROPN	PROPN;NOM;SG
juan	john	juan	joka	PROPN	PROPN;NOM;SG
juan	jukka	juan	jukka	PROPN	PROPN;NOM;SG
juan	johanna	juan	johanna	PROPN	PROPN;NOM;SG
juan	joan	juan	joka	PROPN	PROPN;NOM;SG
josé	joosef	josé	joosef	PROPN	N;NOM;SG
josé	joseph	josé	joseph	PROPN	N;NOM;SG
josé	josef	josé	josef	PROPN	PROPN;NOM;SG
josé	josé	josé	josé	PROPN	PROPN;NOM;SG
bajo	alta	bajo	alta	ADP	ADV
bajo	alle	bajo	alle	ADP	ADV
bajo	alla	bajo	alla	ADP	ADV
bajo	matala	bajo	matala	ADP	ADJ;NOM;SG
bajo	matalalla	bajo	matala	ADP	ADJ;AT+ESS
;SG
bajo	vähä	bajo	vähän	ADP	ADV
bajo	alhainen	bajo	alhainen	ADP	ADJ;NOM;SG
bajo	bass	bajo	bass	ADP	
serie	sarjat	serie	sarja	N;FEM;SG	N;NOM;PL
cada	jokainen	cada	jokainen	DET;SG	PRO;NOM;SG
cada	jokainen	cada	jokainen	DET;SG	PRO;NOM;SG
cada	kunkin	cada	kukin	DET;SG	PRO;GEN;SG
cada	kumpikin	cada	kumpikin	DET;SG	PRO;NOM;SG
cada	kukin	cada	kukin	DET;SG	PRO;NOM;SG
equipo	varusteet	equipo	varuste	N;MASC;SG	N;NOM;PL
equipo	välineet	equipo	väline	N;MASC;SG	N;NOM;PL
equipo	laitteet	equipo	laite	N;MASC;SG	N;NOM;PL
equipo	team	equipo	team	N;MASC;SG	
norte	norte	norte	norte	N;MASC;SG	
norte	nord	norte	nord	N;MASC;SG	PROPN;NOM;SG
río	rio	río	rio	N;MASC;SG	PROPN;NOM;SG
han	han	haber	han	V;IND;PL;3;PRS;FIN	N;NOM;SG
argentina	argentiina	argentino	argentiina	ADJ;FEM;SG	N;IN+ALL;SG
argentina	argentiinan	argentino	argentiina	ADJ;FEM;SG	N;GEN;SG
argentina	argentiina	argentino	argentiina	ADJ;FEM;SG	N;IN+ALL;SG
argentina	argentiinan	argentino	argentiina	ADJ;FEM;SG	N;GEN;SG
nuevo	uudet	nuevo	uusi	ADJ;MASC;SG	ADJ;NOM;PL
nuevo	uusia	nuevo	uusi	ADJ;MASC;SG	ADJ;PRT;PL
véase	nää	véase	tämä	V;SBJV;SG;3;PRS;FIN	PRO;NOM;PL
véase	katso	véase	katsoa	V;SBJV;SG;3;PRS;FIN	V;IMP;SG;2;FIN;ACT
segunda	segunda	segundo	segunda	ADJ;FEM;SG	N;NOM;SG
segunda	toinen	segundo	toinen	ADJ;FEM;SG	PRO;NOM;SG
final	päättyy	final	päättyä	N;MASC;SG	V;IND;SG;3;PRS;FIN;ACT
final	päättynyt	final	päättyä	N;MASC;SG	V;NOM;SG;V.PTCP;ACT
final	lopullinen	final	lopullinen	N;MASC;SG	ADJ;NOM;SG
vida	life	vida	life	N;FEM;SG	
vida	vida	vida	vida	N;FEM;SG	
español	espanjalaiset	español	espanja#lainen	N;MASC;SG	N;NOM;PL
español	espanjalainen	español	espanjalainen	N;MASC;SG	ADJ;NOM;SG
