berkeley	berkeley	berkeley	berkeley	PROPN	PROPN
diukur	măsurată	diukur	măsurat	V;SG;PASS	ADJ;INDF;FEM;SG
diukur	măsurate	diukur	măsurat	V;SG;PASS	ADJ;INDF;FEM;PL
diukur	măsurat	diukur	măsura	V;SG;PASS	ADJ;INDF;MASC;SG
kalo	kalo	kalo	kalo	PART	PROPN
atlantic	atlantic	atlantic	atlantic	PROPN	ADV
atlantic	atlanticul	atlantic	atlantic	PROPN	N;DEF;MASC;SG
atlantic	atlanticului	atlantic	atlantic	PROPN	N;DEF;MASC;SG
ver	ver	ver	ver	PROPN	N;INDF;MASC;SG
melampaui	depășesc	menlampaui	depăși	V;SG;ACT	V;IND;PL;3;PRS;FIN
melampaui	depășit	menlampaui	depăși	V;SG;ACT	ADJ;INDF;MASC;SG
melampaui	dincolo	menlampaui	dincolo	V;SG;ACT	ADV
rudolf	rudolf	rudolf	rudolf	PROPN	PROPN
skema	scheme	skema	schemă	N;SG	N;INDF;FEM;PL
skema	scheme	skema	schemă	N;SG	N;INDF;FEM;PL
uzbekistan	uzbekistan	uzbekistan	uzbekistan	N	PROPN
mendefinisikan	definesc	mendefinisikan	defini	V;SG;ACT	V;IND;PL;3;PRS;FIN
mendefinisikan	definirea	mendefinisikan	definire	V;SG;ACT	N;DEF;FEM;SG
sumbu	wick	sumbu	wick	N;SG	PROPN
sumbu	axe	sumbu	ax	N;SG	N;INDF;FEM;PL
baden	baden	baden	baden	PROPN	PROPN
firaun	faraoni	firaun	faraon	PROPN;SG	N;INDF;MASC;PL
firaun	faraonul	firaun	faraon	PROPN;SG	N;DEF;MASC;SG
firaun	faraonului	firaun	faraon	PROPN;SG	N;DEF;MASC;SG
firaun	faraon	firaun	faraon	PROPN;SG	N;INDF;MASC;SG
sup	supe	sup	supă	N;SG	N;INDF;FEM;PL
zhu	zhu	zhu	zhu	PROPN	PROPN
berenang	inot	berrenang	inot	PROPN;SG;ACT	N;INDF;MASC;SG
berenang	înot	berrenang	înot	PROPN;SG;ACT	N;INDF;MASC;SG
berenang	înoată	berrenang	înot	PROPN;SG;ACT	V;IND;3;PRS;FIN
berenang	inot	berrenang	inot	PROPN;SG;ACT	N;INDF;MASC;SG
berenang	înot	berrenang	înot	PROPN;SG;ACT	N;INDF;MASC;SG
berenang	înotând	berrenang	înota	PROPN;SG;ACT	V;V.MSDR
berenang	înotul	berrenang	înotul	PROPN;SG;ACT	N;DEF;MASC;SG
brand	brand	brand	brand	PROPN	N;INDF;MASC;SG
brand	marca	brand	marcă	PROPN	N;DEF;FEM;SG
brand	marcă	brand	marcă	PROPN	N;INDF;FEM;SG
wood	lemn	wood	lemn	PROPN	N;INDF;MASC;SG
wood	lemnul	wood	lemn	PROPN	N;DEF;MASC;SG
wood	wood	wood	wood	PROPN	PROPN
wood	lemne	wood	lemn	PROPN	N;INDF;FEM;PL
hub	hub	hub	hub	PROPN	N;INDF;MASC;SG
ria	ria	ria	riu	PROPN;SG	N;INDF;MASC;SG
revolution	revoluție	revolution	revoluție	PROPN	N;INDF;FEM;SG
revolution	revolutia	revolution	revolutie	PROPN	N;DEF;FEM;SG
revolution	revoluția	revolution	revoluție	PROPN	N;DEF;FEM;SG
revolution	revolutie	revolution	revolutie	PROPN	N;INDF;FEM;SG
federation	federaţiei	federation	federahie	PROPN	N;DEF;FEM;SG
federation	federația	federation	federație	PROPN	N;DEF;FEM;SG
federation	federatia	federation	federatie	PROPN	N;DEF;FEM;SG
eddie	eddie	eddie	eddie	PROPN	PROPN
hangul	hangul	hangul	hang	PROPN	N;DEF;MASC;SG
dicabut	revocat	dicabut	revoca	V;SG;PASS	ADJ;INDF;MASC;SG
dicabut	revocată	dicabut	revoca	V;SG;PASS	ADJ;INDF;FEM;SG
pengujian	încercări	penujian	încercare	N;SG	N;INDF;FEM;PL
pengujian	teste	penujian	test	N;SG	N;INDF;FEM;PL
pengujian	testele	penujian	test	N;SG	N;DEF;FEM;PL
leeds	leeds	leeds	leeds	PROPN	PROPN
dipasarkan	comercializat	dipasarkan	comercializa	V;SG;PASS	ADJ;INDF;MASC;SG
dipasarkan	comercializate	dipasarkan	comercializa	V;SG;PASS	ADJ;INDF;FEM;PL
sertifikat	certificatele	sertifikat	certificat	N;SG	N;DEF;FEM;PL
sertifikat	certificate	sertifikat	certificat	N;SG	N;INDF;FEM;PL
athletic	atletic	athletic	atletic	N	ADJ;INDF;MASC;SG
rizal	rizal	rizal	rizal	PROPN	N;INDF;MASC;SG
paralel	paralel	paralel	paralel	N	ADV
paralel	paralelă	paralel	paralelă	N	ADJ;INDF;FEM;SG
paralel	paralele	paralel	paralel	N	ADJ;INDF;FEM;PL
paralel	paralele	paralel	paralel	N	ADJ;INDF;FEM;PL
kuburan	mormintele	kuburan	mormânt	N;SG	N;DEF;FEM;PL
kuburan	morminte	kuburan	mormânt	N;SG	N;INDF;FEM;PL
kuburan	cimitire	kuburan	cimitire	N;SG	N;INDF;FEM;PL
benih	semințe	benih	sămânță	N;SG	N;INDF;FEM;PL
benih	semințe	benih	sămânță	N;SG	N;INDF;FEM;PL
benih	seminte	benih	semânt	N;SG	
lockheed	lockheed	lockheed	lockheed	N	PROPN
birmingham	birmingham	birmingham	birmingham	PROPN	PROPN
telugu	telugu	telugu	telugu	PROPN	
interior	interioare	interior	interior	N;SG	ADJ;INDF;FEM;PL
enterprise	enterprise	enterprise	enterpri	N	
berpengalaman	experimentat	berpengalaman	experimentat	V;SG;ACT	ADJ;INDF;MASC;SG
berpengalaman	neexperimentat	berpengalaman	neexperimentat	V;SG;ACT	ADJ;INDF;MASC;SG
solomon	solomon	solomon	solomon	PROPN	PROPN
jefferson	jefferson	jefferson	jefferson	PROPN	PROPN
luhur	sublim	luhur	sublim	N	ADJ;INDF;MASC;SG
staff	personal	staff	personal	N	ADV
ibm	ibm	ibm	ibm	PROPN	PROPN
zeus	zeus	zeus	zeu	PROPN	N;INDF;MASC;SG
mengingatkan	reamintit	meningatkan	reaminti	V;SG;ACT	ADJ;INDF;MASC;SG
dinamis	dinamica	dinamis	dinamică	ADJ;SG	N;DEF;FEM;SG
dinamis	dinamice	dinamis	dinamic	ADJ;SG	ADJ;INDF;FEM;PL
bactrocera	bactrocera	bactrocera	bactroceră	PROPN	N;DEF;FEM;SG
zhao	zhao	zhao	zhao	PROPN	
azhar	azhar	azhar	azhar	PROPN	
cacing	viermi	cacing	viermi	N;SG	N;INDF;MASC;PL
cacing	viermii	cacing	viarmă	N;SG	N;DEF;MASC;PL
pembuluh	vene	pembuluh	veni	N;SG	N;INDF;FEM;PL
pembuluh	venele	pembuluh	venă	N;SG	N;DEF;FEM;PL
orangtua	parinti	orangtua	parinti	N;SG	
orangtua	părinți	orangtua	părinte	N;SG	N;INDF;MASC;PL
orangtua	parintii	orangtua	parinte	N;SG	N;DEF;MASC;PL
orangtua	părinții	orangtua	părinte	N;SG	N;DEF;MASC;PL
orangtua	părinte	orangtua	părinte	N;SG	
orangtua	parinte	orangtua	parinte	N;SG	
omar	omar	omar	omar	PROPN	PROPN
gandum	cereale	gandum	cereală	N;SG	N;INDF;FEM;PL
gandum	grâne	gandum	grâne	N;SG	N;INDF;FEM;PL
gandum	grâu	gandum	grâu	N;SG	
gandum	grau	gandum	grau	N;SG	
account	cont	account	cont	PROPN	N;INDF;MASC;SG
account	contul	account	cont	PROPN	N;DEF;MASC;SG
digit	cifre	digit	cifră	N;SG	N;INDF;FEM;PL
dog	câine	dog	câine	PROPN	N;INDF;MASC;SG
dog	dog	dog	dogă	PROPN	N;INDF;MASC;SG
dog	caine	dog	caină	PROPN	N;INDF;MASC;SG
krim	krim	krim	krim	N;SG	PROPN
krim	creme	krim	creme	N;SG	N;INDF;FEM;PL
sebastian	sebastian	sebastian	sebastian	PROPN	N;INDF;MASC;SG
ottoman	otomană	ottoman	otoman	PROPN	ADJ;INDF;FEM;SG
ottoman	otoman	ottoman	otoman	PROPN	N;INDF;MASC;SG
ottoman	otomani	ottoman	otoman	PROPN	N;INDF;MASC;PL
cerah	bright	cerah	bright	ADJ;SG	N;INDF;MASC;SG
cerah	soare	cerah	soare	ADJ;SG	N;INDF;MASC;SG
cerah	sunny	cerah	sunny	ADJ;SG	N;INDF;MASC;SG
herbert	herbert	herbert	herbert	PROPN	PROPN
konstantinus	constantin	konstantinus	constantin	PROPN	PROPN
konstantinus	constantine	konstantinus	constantin	PROPN	
karim	karim	karim	karim	PROPN	PROPN
iron	fier	iron	fier	PROPN	N;INDF;MASC;SG
iron	fierul	iron	fier	PROPN	N;DEF;MASC;SG
each	fiecare	each	fiecare	PROPN	PRO;SG;3
norte	norte	norte	norte	PROPN	N;INDF;MASC;SG
eagle	eagle	eagle	eaglă	PROPN	
eagle	vultur	eagle	vultur	PROPN	N;INDF;MASC;SG
eagle	vulturul	eagle	vultur	PROPN	N;DEF;MASC;SG
indiana	indiana	indiana	indiană	PROPN	N;DEF;FEM;SG
abi	abi	abi	abi	PROPN	N;INDF;MASC;SG
xiii	xiii	xiii	xii	PROPN	N;DEF;FEM;SG
berikan	dați	berrikan	da	V;SG;ACT	V;IND;PL;2;IPFV;FIN
rap	rap	rap	rap	PROPN	N;INDF;MASC;SG
transformasi	transformă	transformasi	transforma	N;SG	V;IND;SG;3;PST;FIN
transformasi	transforma	transformasi	transforma	N;SG	V;IND;SG;3;IPFV;FIN
transformasi	transformări	transformasi	transformare	N;SG	N;INDF;FEM;PL
ade	ade	ade	adel	PROPN	
graham	graham	graham	graham	PROPN	PROPN
siam	siamezi	siam	siamez	PROPN	N;INDF;MASC;PL
siam	siam	siam	siam	PROPN	N;INDF;MASC;SG
entry	intrarea	entry	intrare	PROPN	N;DEF;FEM;SG
entry	intrare	entry	intrare	PROPN	N;INDF;FEM;SG
pilih	alegeti	pilih	alegeti	V;SG;ACT	V;IND;PL;2;PRS;FIN
pilih	alege	pilih	alege	V;SG;ACT	
pilih	alegeți	pilih	alege	V;SG;ACT	V;IND;PL;2;PRS;FIN
pilih	selectare	pilih	selectare	V;SG;ACT	N;INDF;FEM;SG
impor	importă	impor	import	N;SG;ACT	V;IND;SG;3;PST;FIN
impor	importat	impor	importat	N;SG;ACT	ADJ;INDF;MASC;SG
impor	importată	impor	importa	N;SG;ACT	ADJ;INDF;FEM;SG
impor	importate	impor	importat	N;SG;ACT	ADJ;INDF;FEM;PL
impor	importurile	impor	import	N;SG;ACT	N;DEF;FEM;PL
impor	importuri	impor	import	N;SG;ACT	N;INDF;FEM;PL
erik	erik	erik	erik	PROPN	PROPN
ferry	feribotul	ferry	feribot	PROPN	N;DEF;MASC;SG
ferry	feribot	ferry	feribot	PROPN	N;INDF;MASC;SG
ferry	bac	ferry	bac	PROPN	
jump	sari	jump	sare	PROPN	
jump	salt	jump	salt	PROPN	N;INDF;MASC;SG
seng	seng	seng	seng	PROPN	
seng	zinc	seng	zinc	PROPN	N;INDF;MASC;SG
korintus	corinteni	korintus	corintean	PROPN	
korintus	corint	korintus	corint	PROPN	N;INDF;MASC;SG
acak	random	acak	random	ADJ;SG	V;IND;SG;3;PRS;FIN
acak	aleatoare	acak	aleator	ADJ;SG	N;INDF;FEM;PL
acak	aleatoriu	acak	aleatoriu	ADJ;SG	ADV
acak	aleator	acak	aleatoriu	ADJ;SG	ADV
acak	aleatorie	acak	aleatoriu	ADJ;SG	N;INDF;FEM;SG
acak	shuffle	acak	shuffl	ADJ;SG	
acak	amestecare	acak	amestecare	ADJ;SG	N;INDF;FEM;SG
terkejut	soc	terkejut	soc	V;SG;PASS	N;INDF;MASC;SG
terkejut	șoc	terkejut	șoc	V;SG;PASS	N;INDF;MASC;SG
terkejut	surprins	terkejut	surprins	V;SG;PASS	ADJ;INDF;MASC;SG
terkejut	surprinsă	terkejut	surprinde	V;SG;PASS	ADJ;INDF;FEM;SG
terkejut	socat	terkejut	soca	V;SG;PASS	ADJ;INDF;MASC;SG
goguryeo	goguryeo	goguryeo	goguryeo	PROPN	N;INDF;MASC;SG
botol	sticlele	botol	sticlă	N;SG	N;DEF;FEM;PL
botol	sticle	botol	sticlă	N;SG	N;INDF;FEM;PL
syuting	filmez	syuting	filmez	N	V;IND;SG;1;PRS;FIN
beat	bate	beat	bate	PROPN	V;IND;SG;3;PRS;FIN
kehancuran	distrugeri	kehancuran	distrugere	N;SG	N;INDF;FEM;PL
kenangan	amintiri	kenangan	amintire	N;SG	N;INDF;FEM;PL
kenangan	amintirile	kenangan	amintire	N;SG	N;DEF;FEM;PL
ditembak	shot	ditembak	shot	V;SG;PASS	N;INDF;MASC;SG
ditembak	împușcat	ditembak	împușca	V;SG;PASS	ADJ;INDF;MASC;SG
ditembak	impuscat	ditembak	impusca	V;SG;PASS	ADJ;INDF;MASC;SG
plan	planul	plan	plan	PROPN	N;DEF;MASC;SG
plan	plan	plan	plan	PROPN	N;INDF;MASC;SG
dam	baraj	dam	baraj		N;INDF;MASC;SG
dam	barajul	dam	baraj		N;DEF;MASC;SG
caesar	caesar	caesar	caesar	PROPN	N;INDF;MASC;SG
caesar	cezar	caesar	cezar	PROPN	N;INDF;MASC;SG
winner	câștigător	winner	câștigător	PROPN	N;INDF;MASC;SG
winner	învingător	winner	învingător	PROPN	N;INDF;MASC;SG
winner	castigator	winner	castigator	PROPN	N;INDF;MASC;SG
pukulan	lovituri	pukulan	lovitură	N;SG	N;INDF;FEM;PL
mendesak	urgent	mendesak	urgent	V;SG;ACT	N;INDF;MASC;SG
mendesak	urgentă	mendesak	urgent	V;SG;ACT	N;INDF;FEM;SG
romantis	romantica	romantis	romantică	N;SG	ADJ;DEF;FEM;SG
romantis	romantice	romantis	romantic	N;SG	ADJ;INDF;FEM;PL
romantis	romantic	romantis	romantic	N;SG	ADJ;INDF;MASC;SG
romantis	romantică	romantis	romantic	N;SG	ADJ;INDF;FEM;SG
beri	dați	beri	da	V;SG;ACT	V;IND;PL;2;IPFV;FIN
lucky	norocoasă	lucky	norocos	PROPN	ADJ;INDF;FEM;SG
lucky	norocos	lucky	norocos	PROPN	ADJ;INDF;MASC;SG
agregat	agregate	agregat	agrega	N;SG	N;INDF;FEM;PL
agregat	agregate	agregat	agrega	N;SG	N;INDF;FEM;PL
bersembunyi	ascunderea	bersembunyi	ascundere	V;SG;ACT	N;DEF;FEM;SG
stanford	stanford	stanford	stanford	PROPN	PROPN
bergaya	elegant	bergaya	elegant	V;SG;ACT	ADJ;INDF;MASC;SG
bergaya	stil	bergaya	stil	V;SG;ACT	N;INDF;MASC;SG
bergaya	stilul	bergaya	stil	V;SG;ACT	N;DEF;MASC;SG
hudson	hudson	hudson	hudson	PROPN	PROPN
membatalkan	anulate	menbatalkan	anula	V;SG;ACT	ADJ;INDF;FEM;PL
membatalkan	anulată	menbatalkan	anula	V;SG;ACT	ADJ;INDF;FEM;SG
membatalkan	anulat	menbatalkan	anula	V;SG;ACT	ADJ;INDF;MASC;SG
membatalkan	anulate	menbatalkan	anula	V;SG;ACT	ADJ;INDF;FEM;PL
membatalkan	anulată	menbatalkan	anula	V;SG;ACT	ADJ;INDF;FEM;SG
membatalkan	anulat	menbatalkan	anula	V;SG;ACT	ADJ;INDF;MASC;SG
perlombaan	rasă	perlombaan	rasă	N;SG	ADJ;INDF;FEM;SG
perlombaan	race	perlombaan	race	N;SG	
serigala	wolf	serigala	wolf	N	PROPN
ruas	domenii	ruas	domeniu	N;SG	N;INDF;FEM;PL
ruas	câmpuri	ruas	câmp	N;SG	N;INDF;FEM;PL
