terry	terry	terry	terry	PROPN	N;MASC;SG
nordice	nórdica	nordic	nórdico	ADJ;INDF;FEM;PL	N;FEM;SG
nordice	nórdico	nordic	nórdico	ADJ;INDF;FEM;PL	ADJ;MASC;SG
nordice	nórdicos	nordic	nórdico	ADJ;INDF;FEM;PL	N;MASC;PL
desemneaza	designa	desemneaza	designa	V;IND;SG;3;IPFV;FIN	V;IND;SG;3;PRS;FIN
dean	dean	dean	dean	PROPN	PROPN;MASC;SG
dean	reitor	dean	reitor	PROPN	N;MASC;SG
dean	decano	dean	decano	PROPN	N;MASC;SG
dean	reitora	dean	reitora	PROPN	N;FEM;SG
bere	cervejas	bere	cerveja	N;INDF;FEM;SG	N;FEM;PL
solicitat	solicitada	solicita	solicitar	ADJ;INDF;MASC;SG	V;FEM;SG;V.PTCP
solicitat	solicitado	solicita	solicitar	ADJ;INDF;MASC;SG	V;MASC;SG;V.PTCP
solicitat	pedida	solicita	pedir	ADJ;INDF;MASC;SG	V;FEM;SG;V.PTCP
mandatul	mandado	mandat	mandar	N;DEF;MASC;SG	V;MASC;SG;V.PTCP
zahar	açúcares	zahar	açúcar	N;INDF;MASC;SG	N;MASC;PL
zahar	sugar	zahar	sugar	N;INDF;MASC;SG	V;NFIN
zahar	açúcares	zahar	açúcar	N;INDF;MASC;SG	N;MASC;PL
zahar	sugar	zahar	sugar	N;INDF;MASC;SG	V;NFIN
wagner	wagner	wagner	wagner	PROPN	N;MASC;SG
scandal	escândalos	scandal	escândalo	N;INDF;MASC;SG	N;MASC;PL
digitala	digitais	digitală	digital	N;DEF;FEM;SG	N;MASC;PL
fals	false	fals	false	ADJ;INDF;MASC;SG	N;MASC;SG
fals	falsas	fals	falso	ADJ;INDF;MASC;SG	ADJ;FEM;PL
fals	falsos	fals	falso	ADJ;INDF;MASC;SG	N;MASC;PL
fals	falsos	fals	falso	ADJ;INDF;MASC;SG	N;MASC;PL
fals	fake	fals	fake	ADJ;INDF;MASC;SG	N;MASC;SG
clement	clément	clement	clément	PROPN	N;MASC;SG
clement	clemente	clement	clemente	PROPN	N;MASC;SG
clement	clement	clement	clement	PROPN	N;MASC;SG
liberi	livre	liber	livre	ADJ;INDF;MASC;PL	ADJ;MASC;SG
liberi	grátis	liber	grátis	ADJ;INDF;MASC;PL	N;MASC;SG
liberi	free	liber	free	ADJ;INDF;MASC;PL	N;MASC;SG
liberi	gratuito	liber	gratuito	ADJ;INDF;MASC;PL	ADJ;MASC;SG
medicamente	droga	medicament	droga	N;INDF;FEM;PL	N;FEM;SG
intrebat	pediu	intreba	pedir	N;INDF;MASC;SG	V;IND;SG;3;PST;FIN
intrebat	perguntei	intreba	perguntar	N;INDF;MASC;SG	V;IND;SG;1;PST;FIN
intrebat	perguntou	intreba	perguntar	N;INDF;MASC;SG	V;IND;SG;3;PST;FIN
intrebat	perguntado	intreba	perguntar	N;INDF;MASC;SG	V;MASC;SG;V.PTCP
intrebat	pediu	intreba	pedir	N;INDF;MASC;SG	V;IND;SG;3;PST;FIN
intrebat	perguntei	intreba	perguntar	N;INDF;MASC;SG	V;IND;SG;1;PST;FIN
intrebat	perguntou	intreba	perguntar	N;INDF;MASC;SG	V;IND;SG;3;PST;FIN
intrebat	perguntado	intreba	perguntar	N;INDF;MASC;SG	V;MASC;SG;V.PTCP
stari	stari	stare	stari	N;INDF;FEM;PL	N;MASC;SG
lunar	mensalmente	lunar	mensalmente	ADJ;INDF;MASC;SG	ADV
lunar	mensais	lunar	mensal	ADJ;INDF;MASC;SG	N;MASC;PL
lunar	lunares	lunar	lunar	ADJ;INDF;MASC;SG	N;MASC;PL
lunar	lunar	lunar	lunar	ADJ;INDF;MASC;SG	N;MASC;SG
