ψωμί	pães	ψωμί	pão	N;NOM;NEUT;SG	N;MASC;PL
προφανές	obvio	προφανός	obvio	ADJ;NOM;NEUT;SG	ADV
λάνκα	lanca	λάνκα	lanca		V;IND;SG;3;PRS;FIN
λάνκα	lanka	λάνκα	lanka		N;MASC;SG
συνελήφθησαν	detido	συλλαμβάνω	deter	V;PFV;IND;PL;3;PST;FIN;PASS	V;MASC;SG;V.PTCP
συνελήφθησαν	presa	συλλαμβάνω	presa	V;PFV;IND;PL;3;PST;FIN;PASS	V;FEM;SG;V.PTCP
συνελήφθησαν	preso	συλλαμβάνω	prender	V;PFV;IND;PL;3;PST;FIN;PASS	V;MASC;SG;V.PTCP
συνελήφθησαν	presos	συλλαμβάνω	preso	V;PFV;IND;PL;3;PST;FIN;PASS	N;MASC;PL
κβαντική	quantum	κβαντικός	quantum	ADJ;NOM;FEM;SG	N;MASC;SG
κβαντική	quântico	κβαντικός	quântico	ADJ;NOM;FEM;SG	N;MASC;SG
κβαντική	quântica	κβαντικός	quântico	ADJ;NOM;FEM;SG	N;FEM;SG
σον	shawn	σον	shawn		N;MASC;SG
σον	sean	σον	sean		N;MASC;SG
παράμετρος	parâmetros	παράμετρος	parâmetro	N;NOM;FEM;SG	N;MASC;PL
κένυα	quénia	κένυα	quénia	PROPN;NOM;FEM;SG	N;MASC;SG
κένυα	quênia	κένυα	quênia	PROPN;NOM;FEM;SG	N;FEM;SG
επιβλήθηκε	impostas	επιβάλλω	impor	V;PFV;IND;SG;3;PST;FIN;PASS	V;FEM;PL;V.PTCP
ανεξάρτητοι	independent	ανεξάρτητος	independent	ADJ;NOM;MASC;PL	N;MASC;SG
ανεξάρτητοι	independentes	ανεξάρτητος	independente	ADJ;NOM;MASC;PL	N;MASC;PL
ανεξάρτητοι	independente	ανεξάρτητος	independente	ADJ;NOM;MASC;PL	ADJ;MASC;SG
ανεξάρτητοι	freelancers	ανεξάρτητος	freelancer	ADJ;NOM;MASC;PL	N;MASC;PL
ανεξάρτητοι	independentes	ανεξάρτητος	independente	ADJ;NOM;MASC;PL	N;MASC;PL
ντόπιους	locais	ντόπιος	local	ADJ;NOM;MASC;PL	N;MASC;PL
ντόπιους	moradores	ντόπιος	morador	ADJ;NOM;MASC;PL	N;MASC;PL
αμερικάνικο	americano	Αμερικάνικος	americano	ADJ;NOM;NEUT;SG	N;MASC;SG
αμερικάνικο	americanos	Αμερικάνικος	americano	ADJ;NOM;NEUT;SG	N;MASC;PL
αμερικάνικο	american	Αμερικάνικος	american	ADJ;NOM;NEUT;SG	N;MASC;SG
αμερικάνικο	americana	Αμερικάνικος	americana	ADJ;NOM;NEUT;SG	N;FEM;SG
καρπός	frutos	καρπός	fruto	N;NOM;MASC;SG	N;MASC;PL
καρπός	frutas	καρπός	fruta	N;NOM;MASC;SG	N;FEM;PL
καρπός	pulsos	καρπός	pulso	N;NOM;MASC;SG	N;MASC;PL
τανζανία	tanzânia	τανζανία	tanzânia	PROPN;ACC;FEM;SG	N;FEM;SG
ακραία	extremos	ακραίος	extremo	ADV	N;MASC;PL
ακραία	extrema	ακραίος	extremo	ADV	ADJ;FEM;SG
ακραία	extremo	ακραίος	extremo	ADV	N;MASC;SG
ακραία	extreme	ακραίος	extremer	ADV	N;MASC;SG
διατίθεται	disponível	διαθέτω	disponível	V;IPFV;IND;SG;3;PRS;FIN;PASS	ADJ;MASC;SG
διατίθεται	disponíveis	διαθέτω	disponível	V;IPFV;IND;SG;3;PRS;FIN;PASS	N;MASC;PL
διατίθεται	disponivel	διαθέτω	disponivel	V;IPFV;IND;SG;3;PRS;FIN;PASS	ADJ;MASC;SG
μεσαιωνικό	medievais	μεσαιωνικός	medieval	ADJ;NOM;NEUT;SG	N;MASC;PL
