pietro	pietro	pietro	pietro	PROPN;NOM;SG	N;MASC;SG
miljoonia	millones	miljoona	millón	NUM;PRT;PL	N;MASC;PL
bin	bin	bin	bin	PROPN;NOM;SG	N;MASC;SG
ohittaa	derivación	ohittaa	derivación	V;IND;SG;PRS;FIN;ACT	N;FEM;SG
ohittaa	bypass	ohittaa	bypas	V;IND;SG;PRS;FIN;ACT	N;MASC
ohittaa	circunvalación	ohittaa	circunvalación	V;IND;SG;PRS;FIN;ACT	N;FEM;SG
aamuna	mañana	aamu	mañana	N;FRML;SG	ADV
aamuna	mañanas	aamu	mañana	N;FRML;SG	N;FEM;PL
sovi	fit	sovi	fit	V;IMP;SG;2;FIN;ACT	
sovi	apto	sovi	apto	V;IMP;SG;2;FIN;ACT	ADJ;MASC;SG
baden	baden	bade	bader		N;MASC;SG
pakottaa	fuerza	pakottaa	fuerza	V;IND;SG;3;PRS;FIN;ACT	N;FEM;SG
pakottaa	force	pakottaa	force	V;IND;SG;3;PRS;FIN;ACT	N
sain	got	saada	got	V;IND;SG;1;PST;FIN;ACT	PROPN
sain	tengo	saada	tener	V;IND;SG;1;PST;FIN;ACT	V;IND;SG;1;PRS;FIN
sain	consiguió	saada	conseguir	V;IND;SG;1;PST;FIN;ACT	V;IND;SG;3;PST;FIN
katkesi	quebrada	katketa	quebrado	V;IND;SG;3;PST;FIN;ACT	ADJ;FEM;SG;V.PTCP
katkesi	roto	katketa	roto	V;IND;SG;3;PST;FIN;ACT	ADJ;MASC;SG;V.PTCP
katkesi	quebrado	katketa	quebrado	V;IND;SG;3;PST;FIN;ACT	ADJ;MASC;SG;V.PTCP
taiteellinen	artísticas	taiteellinen	artístico	ADJ;NOM;SG	ADJ;FEM;PL
taiteellinen	artísticos	taiteellinen	artístico	ADJ;NOM;SG	ADJ;MASC;PL
erityisiä	específica	erityinen	específico	ADJ;PRT;PL	ADJ;FEM;SG
erityisiä	especifico	erityinen	especifico	ADJ;PRT;PL	ADJ;MASC;SG
erityisiä	específico	erityinen	específico	ADJ;PRT;PL	ADJ;MASC;SG
pystytetty	erigido	pystyttää	erigir	V;NOM;SG;V.PTCP;PASS	ADJ;MASC;SG;V.PTCP
franco	franco	franco	franco	N;NOM;SG	
omaisuutta	propiedades	omaisuus	propiedad	N;PRT;SG	N;FEM;PL
tyhjä	vacías	tyhjä	vacío	ADJ;NOM;SG	ADJ;FEM;PL
tyhjä	vacío	tyhjä	vacío	ADJ;NOM;SG	N;MASC;SG
tyhjä	vacíos	tyhjä	vacío	ADJ;NOM;SG	ADJ;MASC;PL
tyhjä	vaciar	tyhjä	vaciar	ADJ;NOM;SG	V;NFIN
tyhjä	vacio	tyhjä	vacio	ADJ;NOM;SG	N;MASC;SG
kannet	abarca	kannet	abarcar	N;NOM;PL	V;IND;SG;3;PRS;FIN
kannet	cubiertas	kannet	cubierto	N;NOM;PL	ADJ;FEM;PL;V.PTCP
kannet	cubiertas	kannet	cubierto	N;NOM;PL	ADJ;FEM;PL;V.PTCP
orgaaninen	orgánicos	orgaaninen	orgánico	ADJ;NOM;SG	ADJ;MASC;PL
orgaaninen	orgánicas	orgaaninen	orgánico	ADJ;NOM;SG	ADJ;FEM;PL
nashville	nashville	nashville	nashville		N;MASC;SG
eduard	eduard	eduard	eduard	N;NOM;SG	PROPN
bordeaux	bordeaux	bordeaux	bordeaux		N;MASC;SG
bordeaux	burdeos	bordeaux	burdeo		N;MASC;PL
loma	feriado	loma	feriado	N;NOM;SG	ADJ;MASC;SG;V.PTCP
loma	vacaciones	loma	vacaciones	N;NOM;SG	N;FEM;PL
loma	festivo	loma	festivo	N;NOM;SG	ADJ;MASC;SG
loma	vacaciones	loma	vacaciones	N;NOM;SG	N;FEM;PL
loma	feriados	loma	feriado	N;NOM;SG	ADJ;MASC;PL;V.PTCP
loma	vacaciones	loma	vacaciones	N;NOM;SG	N;FEM;PL
loma	fiestas	loma	fiesta	N;NOM;SG	N;FEM;PL
loma	festivos	loma	festivo	N;NOM;SG	N;MASC;PL
monivuotinen	perennes	moni#vuotinen	perenne	ADJ;NOM;SG	ADJ;PL
raportin	reportar	raportti	reportar	N;GEN;SG	V;NFIN
raportin	denunciar	raportti	denunciar	N;GEN;SG	V;NFIN
sisilian	siciliana	sisili	siciliano	N;GEN;SG	ADJ;FEM;SG
jackie	jackie	jackie	jackie	PROPN;NOM;SG	N;FEM;SG
vahinkoa	lesiones	vahinko	lesión	N;PRT;SG	N;FEM;PL
vahinkoa	herida	vahinko	herido	N;PRT;SG	ADJ;FEM;SG;V.PTCP
vahinkoa	perjuicio	vahinko	perjuicio	N;PRT;SG	V;IMP;SG;3;FIN
vahinkoa	daños	vahinko	daño	N;PRT;SG	N;MASC;PL
touko	may	touko	maber	N;NOM;SG	
määrätty	prescrita	määrätä	prescrito	V;NOM;SG;V.PTCP;PASS	ADJ;FEM;SG;V.PTCP
määrätty	prescrito	määrätä	prescrito	V;NOM;SG;V.PTCP;PASS	ADJ;MASC;SG;V.PTCP
määrätty	recetado	määrätä	recetar	V;NOM;SG;V.PTCP;PASS	ADJ;MASC;SG;V.PTCP
määrätty	asignadas	määrätä	asignado	V;NOM;SG;V.PTCP;PASS	ADJ;FEM;PL;V.PTCP
määrätty	asignada	määrätä	asignar	V;NOM;SG;V.PTCP;PASS	ADJ;FEM;SG;V.PTCP
määrätty	asignado	määrätä	asignar	V;NOM;SG;V.PTCP;PASS	ADJ;MASC;SG;V.PTCP
määrätty	asignados	määrätä	asignado	V;NOM;SG;V.PTCP;PASS	ADJ;MASC;PL;V.PTCP
kristityt	cristiano	kristityt	cristiano	N;NOM;PL	ADJ;MASC;SG
kristityt	christian	kristityt	christiar	N;NOM;PL	PROPN
kristityt	cristiana	kristityt	cristiano	N;NOM;PL	ADJ;FEM;SG
