loại	type	loại	type	N	
một	ένας	một	ένας	NUM	DET;NOM;INDF;MASC;SG
một	ενα	một	ένας	NUM	N;NOM;NEUT;SG
năm	five	năm	five	N	
năm	πεντε	năm	πεντε	N	NUM
năm	πέντε	năm	πέντε	N	NUM;NOM;MASC;PL
các	εσύ	các	εσύ	DET	V;IPFV;IND;SG;1;PRS;FIN;ACT
các	εσείς	các	εγώ	DET	PRO;NOM;MASC;PL;2
các	εσυ	các	εσυ	DET	V;IPFV;IND;SG;1;PRS;FIN;ACT
này	αυτο	này	αυτός	PROPN	PRO;NOM;NEUT;SG;3
này	αυτό	này	αυτός	PROPN	PRO;NOM;NEUT;SG;3
thích	όπως	thích	όπως	V	ADV
thích	οπως	thích	οπως	V	ADV
thích	like	thích	like	V	
thích	σαν	thích	σαν	V	ADV
học	μελέτη	học	μελέτη	V	N;NOM;FEM;SG
học	σχολείο	học	σχολείο	V	N;NOM;NEUT;SG
học	σχολη	học	σχολος	V	N;NOM;FEM;SG
học	σχολειο	học	σχολειο	V	N;NOM;NEUT;SG
học	σχολή	học	σχολή	V	N;NOM;FEM;SG
học	εκμάθηση	học	εκμάθηση	V	N;ACC;FEM;SG
học	μάθηση	học	μάθηση	V	N;ACC;FEM;SG
học	μάθησης	học	μάθηση	V	N;GEN;FEM;SG
người	φίλε	người	φίλομαι	N	V;IPFV;IND;SG;1;PRS;FIN;ACT
người	φιλε	người	φίλομαι	N	V;IPFV;IND;SG;1;PRS;FIN;ACT
thực	πραγματικός	thực	πραγματικός	V	ADJ;NOM;MASC;SG
thực	πραγματικό	thực	πραγματικός	V	ADJ;NOM;NEUT;SG
thực	ρεάλ	thực	ρεάλ	V	
thực	αληθινά	thực	αληθινός	V	ADV
thực	βασικά	thực	βασικά	V	ADV
thực	αυθεντικές	thực	αυθεντικός	V	ADJ;NOM;FEM;PL
thực	αυθεντική	thực	αυθεντικός	V	ADJ;NOM;FEM;SG
thực	αυθεντικά	thực	αυθεντικά	V	ADV
thực	αυθεντικό	thực	αυθεντικός	V	ADJ;NOM;NEUT;SG
thực	αυθεντικός	thực	αυθεντικός	V	ADJ;NOM;MASC;SG
thực	πραγματικά	thực	πραγματικά	V	ADV
thực	αλήθεια	thực	αλήθεια	V	N;NOM;FEM;SG
liên	lien	liên	lien		
tham	άρθρωση	tham	άρθρωση	V	N;ACC;FEM;SG
kết	τέλος	kết	τέλος	N	ADV
đầu	πρώτο	đầu	πρώτος	N	NUM;NOM;NEUT;SG
đầu	πρώτον	đầu	πρώτον	N	ADV
đầu	πρώτη	đầu	πρώτος	N	NUM;NOM;FEM;SG
đầu	πρώτα	đầu	πρώτα	N	ADV
đầu	πρώτος	đầu	πρώτος	N	NUM;NOM;MASC;SG
ngoài	έξω	ngoài	έξω	N	ADV
ngoài	εξω	ngoài	εξω	N	ADV
thành	τσενγκ	thành	τσενγκ	V	
thành	ακρόπολη	thành	ακρόπολη	V	N;ACC;FEM;SG
khoa	επιστήμη	khoa	επιστήμα		N;NOM;FEM;SG
khoa	επιστήμες	khoa	επιστήμα		N;NOM;FEM;PL
cho	τσο	cho	τσο	V	
cho	cho	cho	cho	V	
cho	για	cho	για	V	ADP
cho	for	cho	for	V	
cho	δώστε	cho	δώστε	V	N;ACC;FEM;SG
không	όχι	không	όχι	;NEG	PART
không	οχι	không	οχι	;NEG	ADV
tiên	ξωτικά	tiên	ξωτικά	N	ADJ;NOM;NEUT;PL
hoa	united	hoa	united	N	
hoa	ενωμένη	hoa	ενώνω	N	V;PFV;NOM;FEM;SG;V.PTCP;PASS
hoa	ενωμένοι	hoa	ενωμένος	N	V;PFV;NOM;MASC;PL;V.PTCP;PASS
hoa	ηνωμένο	hoa	ηνωμένος	N	V;PFV;NOM;NEUT;SG;V.PTCP;PASS
ngày	ημερες	ngày	ημερώ	N	PRO;NOM;FEM;PL;3
những	αυτά	những	αυτός	DET	PRO;NOM;NEUT;PL;3
những	αυτές	những	αυτός	DET	PRO;NOM;FEM;PL;3
những	οἱ	những	οἱ	DET	N
những	αυτα	những	αυτός	DET	PRO;NOM;NEUT;PL;3
những	αυτοί	những	αυτός	DET	PRO;NOM;MASC;PL;3
nam	αρσενικά	nam	αρσενικά	N	ADJ;NOM;NEUT;PL
nam	αρσενικό	nam	αρσενικός	N	ADJ;NOM;NEUT;SG
nam	αρσενικά	nam	αρσενικά	N	ADJ;NOM;NEUT;PL
nam	ναν	nam	ναν	N	
nam	νότιο	nam	νότιος	N	ADJ;NOM;NEUT;SG
nam	νότια	nam	νότιος	N	ADV
nam	ναμ	nam	ναμ	N	
công	δημόσιες	công	δημόσιος	N	ADJ;NOM;FEM;PL
công	δημόσια	công	δημόσιος	N	ADJ;NOM;FEM;SG
công	δημόσιος	công	δημόσιος	N	ADJ;NOM;MASC;SG
chính	πρωτογενής	chính	πρωτογενής	PART	N;NOM;MASC;SG
chính	πρωτοβάθμια	chính	πρωτοβάθμιος	PART	ADJ;NOM;FEM;SG
chính	πρωτογενούς	chính	πρωτογενής	PART	N;GEN;MASC;SG
chính	πρωτεύον	chính	πρωτεύων	PART	N;NOM;NEUT;SG
chính	κύρια	chính	κύριος	PART	ADV
động	δυναμικά	động	δυναμικά	V	ADV
động	δυναμικό	động	δυναμικός	V	N;NOM;NEUT;SG
động	δυναμικές	động	δυναμικός	V	N;NOM;FEM;PL
động	δυναμική	động	δυναμικός	V	ADJ;NOM;FEM;SG
động	δυναμικός	động	δυναμικός	V	ADJ;NOM;MASC;SG
động	αυτόματο	động	αύτομα	V	N;NOM;NEUT;SG
động	αυτόματη	động	αυτόματος	V	ADJ;NOM;FEM;SG
động	αυτόματος	động	αύτομα	V	ADJ;NOM;MASC;SG
động	αυτόματες	động	αυτόματος	V	ADJ;NOM;FEM;PL
động	αυτόματα	động	αυτόματα	V	ADV
động	αυτομάτως	động	αυτομάτως	V	ADV
động	αυτόματα	động	αυτόματα	V	ADV
khi	πότε	khi	πότε	N	ADV
khi	όταν	khi	όταν	N	CONJ
khi	οταν	khi	οταν	N	CONJ
đến	άφιξη	đến	άφιξη	PART	V;PFV;IND;SG;3;PST;FIN;PASS
đến	έφτασα	đến	φτάνω	PART	V;PFV;IND;SG;1;PST;FIN;ACT
đến	έφτασε	đến	φτάνω	PART	V;PFV;IND;SG;3;PST;FIN;ACT
đến	ελα	đến	έλας	PART	V;IPFV;IND;SG;1;PRS;FIN;ACT
đến	έλα	đến	έλας	PART	V;IPFV;IND;SG;1;PRS;FIN;ACT
đến	έρχομαι	đến	έρχομαι	PART	V;IPFV;IND;SG;1;PRS;FIN;PASS
đến	έρχεται	đến	έρχομαι	PART	V;IPFV;IND;SG;3;PRS;FIN;PASS
đến	έρχονται	đến	έρχομαι	PART	V;IPFV;IND;PL;3;PRS;FIN;PASS
theo	theo	theo	theo	V	
theo	θίο	theo	θίο	V	N
theo	τεό	theo	ο	V	PROPN;NOM;MASC;SG
theo	τέο	theo	τέος	V	
theo	follow	theo	follow	V	
theo	μετα	theo	μετα	V	ADV
theo	μετά	theo	μετά	V	ADV
tỉnh	ξύπνιος	tỉnh	ξύπνιος	N	ADJ;NOM;MASC;SG
sau	μετα	sau	μετα	N	ADV
sau	μετά	sau	μετά	N	ADV
sau	αργότερα	sau	αργά	N	ADV;CMPR
sau	αργοτερα	sau	αργά	N	ADV
trung	μεσαία	trung	μεσαίος	N	ADV
trung	κεντρικό	trung	κεντρικός	N	ADJ;NOM;NEUT;SG
