năm	пет	năm	пет	N	NUM;INDF;PL
của	вашият	của	ваш	ADP	DET;DEF;MASC;SG;2
của	твоят	của	тоя	ADP	DET;DEF;MASC;SG;1
của	твоя	của	твоя	ADP	DET;DEF;FEM;SG;2
của	твоята	của	твой	ADP	DET;DEF;FEM;SG;1
các	си	các	съм	DET	V;IPFV;IND;SG;2;PRS;FIN;ACT
các	ти	các	аз	DET	PRO;NOM;SG;2
các	ви	các	аз	DET	PRO;ACC;SG;2
này	това	này	този	PROPN	PRO;NOM;NEUT;SG
này	хей	này	хей	PROPN	INTJ
vật	животинска	vật	животински	N	ADJ;INDF;FEM;SG
vật	животински	vật	животински	N	ADJ;INDF;MASC;SG
thích	като	thích	като	V	CONJ
thích	like	thích	like	V	PROPN;INDF;MASC;SG
thích	харесвания	thích	харесване	V	N;INDF;NEUT;PL
học	учене	học	учене	V	N;INDF;NEUT;SG
học	изучаване	học	изучаване	V	N;INDF;NEUT;SG
học	учене	học	учене	V	N;INDF;NEUT;SG
học	проучване	học	проучване	V	N;INDF;NEUT;SG
học	изучаване	học	изучаване	V	N;INDF;NEUT;SG
học	изследване	học	изследване	V	N;INDF;NEUT;SG
học	училището	học	училище	V	N;DEF;NEUT;SG
học	школа	học	школа	V	N;INDF;FEM;SG
học	училище	học	училище	V	N;INDF;NEUT;SG
học	учене	học	учене	V	N;INDF;NEUT;SG
người	човече	người	човече	N	ADV
thực	истинско	thực	истински	V	ADV
thực	реал	thực	реал	V	PROPN;INDF;MASC;SG
thực	истинска	thực	истински	V	ADJ;INDF;FEM;SG
thực	реално	thực	реално	V	ADV
thực	истински	thực	истински	V	ADJ;INDF;MASC;SG
thực	всъщност	thực	всъщност	V	ADV
thực	автентични	thực	автентичен	V	ADJ;INDF;PL
thực	автентично	thực	автентично	V	ADV
thực	автентична	thực	автентичен	V	ADJ;INDF;FEM;SG
thực	автентичен	thực	автентичен	V	ADJ;INDF;MASC;SG
thực	наистина	thực	наистина	V	ADV
liên	лиен	liên	лиен		N;INDF;MASC;SG
tham	съвместния	tham	съвместен	V	ADJ;DEF;MASC;SG
tham	джойнт	tham	джойнт	V	N;INDF;MASC;SG
tham	съвместни	tham	съвместен	V	ADJ;INDF;PL
tham	съвместно	tham	съвместно	V	ADV
tham	съвместна	tham	съвместен	V	ADJ;INDF;FEM;SG
tham	съвместен	tham	съвместен	V	ADJ;INDF;MASC;SG
kết	край	kết	край	N	ADP
đầu	първи	đầu	първи	N	ADJ;INDF;MASC;SG
đầu	първо	đầu	първо	N	ADV
ngoài	отвън	ngoài	отвън	N	ADV
ngoài	навън	ngoài	навън	N	ADV
ngoài	външна	ngoài	външен	N	ADJ;INDF;FEM;SG
ngoài	външен	ngoài	външен	N	ADJ;INDF;MASC;SG
thành	ченг	thành	ченг	V	PROPN;INDF;MASC;SG
thành	чън	thành	чън	V	PROPN;INDF;MASC;SG
thành	цитаделата	thành	цитадел	V	N;DEF;FEM;SG
khoa	науката	khoa	наука		N;DEF;FEM;SG
khoa	наука	khoa	наука		N;INDF;FEM;SG
khoa	преподаватели	khoa	преподавател		N;INDF;MASC;PL
khoa	факултета	khoa	факултет		N;DEF;MASC;SG
khoa	факултет	khoa	факултет		N;INDF;MASC;SG
cho	чо	cho	чо	V	N;INDF;MASC;SG
cho	за	cho	за	V	ADP
không	не	không	не	;NEG	INTJ;NEG
hoa	обединени	hoa	обединя-(се)	N	V;PFV;INDF;PL;V.PTCP;PASS
hoa	обединена	hoa	обединя-(се)	N	V;PFV;INDF;FEM;SG;V.PTCP;PASS
hoa	обединен	hoa	обединя-(се)	N	V;PFV;INDF;MASC;SG;V.PTCP;PASS
hoa	обединено	hoa	обединя-(се)	N	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
những	те	những	аз	DET	PRO;NOM;PL;3
nam	мъжки	nam	мъжки	N	ADJ;INDF;PL
nam	мъжко	nam	мъжко	N	ADV
nam	мъжки	nam	мъжки	N	ADJ;INDF;PL
nam	южно	nam	южен	N	ADV
nam	южна	nam	южен	N	ADJ;INDF;FEM;SG
nam	нам	nam	нам	N	INTJ
công	публично	công	публично	N	ADV
công	публични	công	публичен	N	ADJ;INDF;PL
công	публична	công	публичен	N	ADJ;INDF;FEM;SG
công	обществено	công	обществен	N	ADV
công	публичен	công	публичен	N	ADJ;INDF;MASC;SG
công	обществени	công	обществен	N	ADJ;INDF;PL
quân	армейски	quân	армейски	N	ADJ;INDF;MASC;SG
chính	собствен	chính	собствен	PART	ADJ;INDF;MASC;SG
chính	собствена	chính	собствен	PART	ADJ;INDF;FEM;SG
chính	собствено	chính	собствен	PART	ADV
chính	собствени	chính	собствен	PART	ADJ;INDF;PL
chính	първична	chính	първичен	PART	ADJ;INDF;FEM;SG
chính	първични	chính	първичен	PART	ADJ;INDF;PL
chính	първичен	chính	първичен	PART	ADJ;INDF;MASC;SG
chính	първично	chính	първичен	PART	ADV
chính	основни	chính	основен	PART	ADJ;INDF;PL
chính	основна	chính	основен	PART	ADJ;INDF;FEM;SG
chính	главна	chính	главен	PART	ADJ;INDF;FEM;SG
chính	главен	chính	главен	PART	ADJ;INDF;MASC;SG
chính	главни	chính	главен	PART	ADJ;INDF;PL
động	динамична	động	динамичен	V	ADJ;INDF;FEM;SG
động	динамични	động	динамичен	V	ADJ;INDF;PL
động	динамика	động	динамика	V	N;INDF;FEM;SG
động	динамично	động	динамично	V	ADV
động	динамичен	động	динамичен	V	ADJ;INDF;MASC;SG
động	автоматична	động	автоматичен	V	ADJ;INDF;FEM;SG
động	автоматични	động	автоматичен	V	ADJ;INDF;PL
động	автоматично	động	автоматично	V	ADV
động	автоматичен	động	автоматичен	V	ADJ;INDF;MASC;SG
động	автоматично	động	автоматично	V	ADV
khi	когато	khi	когато	N	ADV
khi	кога	khi	кога	N	ADV
đến	пристигането	đến	пристигане	PART	N;DEF;NEUT;SG
đến	пристигане	đến	пристигане	PART	N;INDF;NEUT;SG
đến	пристигнал	đến	пристигна	PART	V;PFV;INDF;MASC;SG;PST;V.PTCP;ACT
đến	пристигна	đến	пристигна	PART	V;PFV;IND;SG;3;PST;FIN;ACT
đến	ела	đến	дойда	PART	V;IPFV;IMP;SG;2;FIN
đến	очаквайте	đến	очаквам	PART	V;IPFV;IMP;PL;2;FIN
đến	идва	đến	идвам	PART	V;IPFV;IND;SG;3;PRS;FIN;ACT
đến	идвам	đến	идвам	PART	V;IPFV;IND;SG;1;PRS;FIN;ACT
theo	тео	theo	тео	V	PROPN;INDF;MASC;SG
theo	тио	theo	тио	V	PROPN;INDF;MASC;SG
theo	след	theo	след	V	ADP
tỉnh	трезвен	tỉnh	трезвен	N	ADJ;INDF;MASC;SG
tỉnh	трезва	tỉnh	трезва	N	ADJ;INDF;FEM;SG
tỉnh	будна	tỉnh	буден	N	ADJ;INDF;FEM;SG
tỉnh	будни	tỉnh	буден	N	ADJ;INDF;PL
sau	след	sau	след	N	ADP
trung	средна	trung	среден	N	ADJ;INDF;FEM;SG
trung	среден	trung	среден	N	ADJ;INDF;MASC;SG
trung	средни	trung	среден	N	ADJ;INDF;PL
trung	средно	trung	средно	N	ADV
trung	централно	trung	централен	N	ADV
trung	централен	trung	централен	N	ADJ;INDF;MASC;SG
trung	централни	trung	централен	N	ADJ;INDF;PL
trung	централна	trung	централен	N	ADJ;INDF;FEM;SG
trên	над	trên	над		ADP
trên	отгоре	trên	отгоре		ADV
nhà	домашен	nhà	домашен	N	ADJ;INDF;MASC;SG
nhà	вкъщи	nhà	вкъщи	N	ADV
như	като	như	като	CONJ	CONJ
như	like	như	like	CONJ	PROPN;INDF;MASC;SG
bản	нидерландски	bản	нидерландски	N	ADJ;INDF;MASC;SG
bản	дъч	bản	дъч	N	PROPN;INDF;MASC;SG
bản	холандски	bản	холандски	N	ADJ;INDF;MASC;SG
miêu	мао	miêu	мао	N	PROPN;INDF;MASC;SG
đại	голямо	đại	голям	N	ADV
đại	големи	đại	голям	N	ADJ;INDF;PL
đại	голям	đại	голям	N	ADJ;INDF;MASC;SG
đại	голяма	đại	голям	N	ADJ;INDF;FEM;SG
hiện	покажи	hiện	покажа-(се)	N	V;PFV;IMP;SG;2;FIN
thế	че	thế	че	PROPN	CONJ
bar	бар	bar	бар		N;INDF;MASC;SG
bar	барът	bar	бар		N;DEF;MASC;SG
lại	отново	lại	отново		ADV
lại	пак	lại	пак		ADV
cũng	също	cũng	също		ADV
việt	việt	việt	việt	N	PART
việt	виетнам	việt	виетнам	N	ADJ;INDF;FEM;SG
việt	виет	việt	вия-(се)	N	PROPN;INDF;MASC;SG
the	на	the	на		ADP
nhân	умножава	nhân	умножавам		V;IPFV;IND;SG;3;PRS;FIN;ACT
nhân	умножи	nhân	умножа		V;PFV;IMP;SG;2;FIN
nhân	ядро	nhân	ядро		ADV
nhân	сърцевина	nhân	сърцевина		N;INDF;FEM;SG
nhân	ядрото	nhân	ядро		ADJ;DEF;NEUT;SG
nhân	пациентът	nhân	пациент		N;DEF;MASC;SG
nhân	пациентка	nhân	пациентка		N;INDF;FEM;SG
nhân	търпелив	nhân	търпелив		ADJ;INDF;MASC;SG
nhân	пациент	nhân	пациент		N;INDF;MASC;SG
phát	излъчване	phát	излъчване	V	N;INDF;NEUT;SG
phát	изстрел	phát	изстрел	V	N;INDF;MASC;SG
phát	изстрели	phát	изстрел	V	N;INDF;MASC;PL
anh	си	anh	съм	N	V;IPFV;IND;SG;2;PRS;FIN;ACT
anh	ти	anh	аз	N	PRO;NOM;SG;2
anh	ви	anh	аз	N	PRO;ACC;SG;2
pháp	френско	pháp	френски	N	ADV
