loại	type	loại	type	N	PROPN
được	оки	được	ока	V	N;INAN;NOM;FEM;PL
một	одна	một	один	NUM	DET;NOM;FEM;SG
một	one	một	one	NUM	PROPN
một	одно	một	один	NUM	DET;NOM;NEUT;SG
năm	years	năm	years	N	PROPN
năm	пятеро	năm	пятеро	N	NUM;NOM
năm	пять	năm	пять	N	NUM;NOM
của	твоя	của	твой	ADP	DET;NOM;FEM;SG
của	ваши	của	ваш	ADP	DET;NOM;PL
của	ваш	của	ваш	ADP	DET;NOM;MASC;SG
của	ваша	của	ваш	ADP	DET;NOM;FEM;SG
của	твой	của	твой	ADP	DET;NOM;MASC;SG
của	ваше	của	ваш	ADP	DET;NOM;NEUT;SG
các	тебя	các	ты	DET	PRO;ACC;SG;2
các	you	các	you	DET	PROPN
các	вы	các	вы	DET	PRO;NOM;PL;2
các	ты	các	ты	DET	PRO;NOM;SG;2
này	this	này	this	PROPN	PROPN
này	это	này	это	PROPN	PRO;INAN;NOM;NEUT;SG
này	эта	này	этот	PROPN	DET;NOM;FEM;SG
này	этот	này	этот	PROPN	DET;NOM;MASC;SG
này	эй	này	эй	PROPN	INTJ
này	привет	này	привет	PROPN	
thích	like	thích	like	V	PROPN
thích	как	thích	как	V	CONJ
thích	лайки	thích	лайка	V	N;INAN;NOM;FEM;PL
học	изучения	học	изучение	V	N;INAN;GEN;NEUT;SG
học	изучение	học	изучение	V	N;INAN;NOM;NEUT;SG
học	изучение	học	изучение	V	N;INAN;NOM;NEUT;SG
học	исследование	học	исследование	V	N;INAN;NOM;NEUT;SG
học	школе	học	школа	V	N;INAN;DAT;FEM;SG
học	school	học	school	V	PROPN
học	школа	học	школа	V	N;INAN;NOM;FEM;SG
học	школы	học	школа	V	N;INAN;NOM;FEM;PL
học	обучения	học	обучение	V	N;INAN;GEN;NEUT;SG
học	обучение	học	обучение	V	N;INAN;NOM;NEUT;SG
người	чел	người	человек	N	
người	man	người	man	N	PROPN
thực	real	thực	real	V	PROPN
thực	настоящий	thực	настоящий	V	ADJ;NOM;MASC;SG
thực	настоящие	thực	настоящий	V	ADJ;NOM;PL
thực	настоящая	thực	настоящий	V	ADJ;NOM;FEM;SG
thực	реальные	thực	реальный	V	ADJ;NOM;PL
thực	подлинная	thực	подлинный	V	ADJ;NOM;FEM;SG
