par	hakkında	par	hak		N;ESS;SG;3
gada	yıllık	gads	yıllık	N;GEN;MASC;SG	
gada	senelik	gads	senelik	N;GEN;MASC;SG	
gada	yıllık	gads	yıllık	N;GEN;MASC;SG	
gada	senelik	gads	senelik	N;GEN;MASC;SG	
arī	ayrica	arī	ayrica	PART	
arī	ayrıca	arī	ayrıca	PART	
kas	ne	kas	ne	PRO;NOM	
kas	kimler	kas	kim	PRO;NOM	
kas	who	kas	who	PRO;NOM	
kas	hangi	kas	hangi	PRO;NOM	ADJ
kas	hangisi	kas	hangi	PRO;NOM	
pēc	sonrası	pēc	sonra	ADP	
pēc	ardından	pēc	ardından	ADP	ADV
pēc	sonrasında	pēc	sonra	ADP	N;ESS;SG;3
pēc	sonra	pēc	sonra	ADP	ADV
bet	fakat	bet	fakat	CONJ	
var	may	varēt	may	V;FH;IND;3;POS;PRS;FIN;ACT	
var	mayis	varēt	mayis	V;FH;IND;3;POS;PRS;FIN;ACT	
var	mayıs	varēt	mayıs	V;FH;IND;3;POS;PRS;FIN;ACT	
var	can	varēt	can	V;FH;IND;3;POS;PRS;FIN;ACT	
tiek	olmak	tikt	ol	V;FH;IND;3;POS;PRS;FIN;ACT	V;PFV;NOM;IND;POS;PRS;V.MSDR
saites	kravat	saite	kravat	N;NOM;FEM;PL	N;NOM;SG;3
saites	bağlar	saite	bağla	N;NOM;FEM;PL	
saites	bağlar	saite	bağla	N;NOM;FEM;PL	
tas	bu	tas	bu	PRO;NOM;MASC;SG	
tas	bunu	tas	bu	PRO;NOM;MASC;SG	PRO;ACC;SG;3
tas	bu	tas	bu	PRO;NOM;MASC;SG	
tas	bunu	tas	bu	PRO;NOM;MASC;SG	PRO;ACC;SG;3
dzimis	doğan	dzimt	doğ	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	
dzimis	doğuştan	dzimt	doğuş	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	N;AT+ABL;SG;3
valsts	ülke	valsts	ülke	N;NOM;FEM;SG	
valsts	vatan	valsts	vat	N;NOM;FEM;SG	
valsts	state	valsts	state	N;NOM;FEM;SG	
valsts	eyalet	valsts	eyalet	N;NOM;FEM;SG	
nav	olmaz	nebūt	ol	V;FH;IND;3;NEG;PRS;FIN;ACT	V;IPFV;IND;SG;3;NEG
nav	değil	nebūt	değil	V;FH;IND;3;NEG;PRS;FIN;ACT	
nav	hiçbiri	nebūt	hiçbiri	V;FH;IND;3;NEG;PRS;FIN;ACT	PRO;NOM;SG;3
nav	yok	nebūt	yok	V;FH;IND;3;NEG;PRS;FIN;ACT	
nav	hiç	nebūt	hiç	V;FH;IND;3;NEG;PRS;FIN;ACT	ADV
tās	onlar	tā	o	PRO;NOM;FEM;PL	PRO;NOM;PL;3
atrodas	bulunan	atrasties	bulun	V;FH;IND;3;POS;REFL;PRS;FIN;ACT	
gan	ikisi	gan	iki	CONJ	
gan	darısı	gan	darı	CONJ	ADJ;NOM;SG;3
gan	ikiside	gan	iki	CONJ	NUM;ESS;SG;3
tikai	yalnızca	tikai	yalnızca	PART	ADV
tikai	sadece	tikai	sadece	PART	ADV
tikai	sadece	tikai	sadece	PART	ADV
tikai	just	tikai	just	PART	
viņa	onunki	viņa	onunki	PRO;NOM;FEM;SG;3	
viņa	onun	viņa	o	PRO;NOM;FEM;SG;3	PRO;GEN;SG;3
asv	amerika	asv	amerik	PROPN	
asv	abd	asv	abd	PROPN	
asv	usa	asv	us	PROPN	
gadu	yıl	gads	yıl	N;ACC;MASC;SG	
gadu	yılı	gads	yıl	N;ACC;MASC;SG	
gadu	sene	gads	sene	N;ACC;MASC;SG	
pilsētas	şehirli	pilsēta	şehirli	N;NOM;FEM;PL	
pilsētas	şehir	pilsēta	şehir	N;NOM;FEM;PL	
pilsētas	kentsel	pilsēta	kentsel	N;NOM;FEM;PL	N;NOM;SG;3
kur	nereye	kur	nere	ADV	PRO;DAT;SG;3
kur	nerde	kur	nere	ADV	
kur	nere	kur	nere	ADV	
kur	nerede	kur	nere	ADV	PRO;ESS;SG;3
vieta	mekanı	vieta	mekan	N;NOM;FEM;SG	N;ACC;SG;3
vieta	mekan	vieta	mekan	N;NOM;FEM;SG	
vieta	mekân	vieta	mekân	N;NOM;FEM;SG	
vieta	konumu	vieta	konum	N;NOM;FEM;SG	N;ACC;SG;3
vieta	yeri	vieta	yer	N;NOM;FEM;SG	N;ACC;SG;3
vieta	sitede	vieta	site	N;NOM;FEM;SG	N;ESS;SG;3
kara	war	karš	war	N;NOM;MASC;SG	
kara	savas	karš	savas	N;NOM;MASC;SG	
iela	street	iela	street	N;NOM;FEM;SG	PROPN;NOM;SG;3
jau	çoktan	jau	çok	ADV	ADJ;AT+ABL;SG;3
miris	rahmetli	mirt	rahmetli	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	
miris	vefat	mirt	vefat	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	
miris	merhum	mirt	merhum	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	
miris	ölüler	mirt	ölü	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;PL;3
miris	ölü	mirt	ölü	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	
miris	dead	mirt	dead	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	
kopā	toplam	kopā	toplam	ADV	
kopā	beraber	kopā	beraber	ADV	
kopā	beraberce	kopā	beraberce	ADV	
kopā	birlikte	kopā	birlikte	ADV	
krievijas	rus	krievija	rus	PROPN;NOM;FEM;SG	
krievijas	rusça	krievija	rusça	PROPN;NOM;FEM;SG	PROPN;NOM;SG;3
attēls	fotoğraf	attēls	fotoğraf	N;NOM;MASC;SG	
attēls	resim	attēls	resim	N;NOM;MASC;SG	
attēls	resmi	attēls	resmi	N;NOM;MASC;SG	
attēls	görsel	attēls	görsel	N;NOM;MASC;SG	
attēls	resim	attēls	resim	N;NOM;MASC;SG	
attēls	imaj	attēls	imaj	N;NOM;MASC;SG	
attēls	figür	attēls	figür	N;NOM;MASC;SG	
starp	arasında	starp	ara	ADP	ADJ;ESS;SG;3
starp	arasına	starp	ara	ADP	ADJ;DAT;SG;3
starp	arası	starp	ara	ADP	ADJ;NOM;SG;3
starp	arasındaki	starp	ara	ADP	ADJ;ESS;SG;3
pilsēta	town	pilsēta	town	N;NOM;FEM;SG	PROPN;NOM;SG;3
pilsēta	kasaba	pilsēta	kasaba	N;NOM;FEM;SG	
pilsēta	şehir	pilsēta	şehir	N;NOM;FEM;SG	
pilsēta	sehir	pilsēta	sehir	N;NOM;FEM;SG	
pilsēta	city	pilsēta	city	N;NOM;FEM;SG	PROPN;NOM;SG;3
pilsēta	şehir	pilsēta	şehir	N;NOM;FEM;SG	
vēlāk	sonradan	vēlu	sonradan	ADV;CMPR	
viens	biri	viens	biri	NUM;NOM;MASC;SG	PRO;NOM;SG;3
viens	bir	viens	bir	NUM;NOM;MASC;SG	
pret	karsi	pret	karsi	ADP	
pret	aleyhinde	pret	aleyh	ADP	N;ESS;SG;3
pret	karşı	pret	karşı	ADP	
eiropas	avrupa	eiropa	avrupa	PROPN;NOM;FEM;SG	
eiropas	avrupalı	eiropa	avrupalı	PROPN;NOM;FEM;SG	
taču	fakat	taču	fakat	CONJ	
utc	utc	utcs	utc	PROPN	
tomēr	ancak	tomēr	ancak	CONJ	
kuru	kimin	kura	kim	PRO;ACC;MASC;SG	PRO;GEN;SG;3
ļoti	cok	ļoti	cok	ADV	
ļoti	çok	ļoti	çok	ADV	
vācu	alman	vāci	al	N;NOM;MASC;SG	
vācu	almanca	vāci	al	N;NOM;MASC;SG	ADV
vēl	hâlâ	vēl	hul	ADV	
vēl	halen	vēl	halen	ADV	
vēl	henüz	vēl	henüz	ADV	
viena	biri	viena	biri	NUM;NOM;FEM;SG	PRO;NOM;SG;3
viena	bir	viena	bir	NUM;NOM;FEM;SG	
pagasts	parish	pagasts	parish	N;NOM;MASC;SG	PROPN;NOM;SG;3
vairāk	devamı	daudz	devam	ADV;CMPR	
vairāk	more	daudz	more	ADV;CMPR	
daļa	kısım	daļa	kısım	N;NOM;FEM;SG	
daļa	bölüm	daļa	bölüm	N;NOM;FEM;SG	
daļa	part	daļa	part	N;NOM;FEM;SG	
daļa	kısmen	daļa	kısmen	N;NOM;FEM;SG	
daļa	paylaşalım	daļa	paylaş	N;NOM;FEM;SG	V;PFV;OPT;PL;1;POS;PRS
daļa	paylaşın	daļa	paylaş	N;NOM;FEM;SG	V;PFV;IMP;PL;2;POS;PRS
daļa	paylaş	daļa	paylaş	N;NOM;FEM;SG	N;INS;SG;3
daļa	paylaşma	daļa	paylaş	N;NOM;FEM;SG	V;PFV;NOM;IND;POS;PRS;V.MSDR
jpg	jpg	jpg	jpg		
