bir	egy	bir	egy		DET;INDF
bu	ezt	bu	ez		PRO;ACC;SG;3
bu	ez	bu	ez		PRO;NOM;SG;3
bu	ez	bu	ez		PRO;NOM;SG;3
de	mondd	de	mondd		V;DEF;IMP;SG;1;PRS;FIN;ACT
en	kedvencek	en	kedvenc	ADV	N;NOM;PL
daha	több	daha	több	ADV	DET;INDF
daha	more	daha	more	ADV	
daha	további	daha	további	ADV	N;NOM;SG
daha	tobb	daha	tobb	ADV	
sonra	aztán	sonra	aztán	ADV	
sonra	után	sonra	után	ADV	ADP
sonra	after	sonra	after	ADV	
sonra	miután	sonra	miután	ADV	CONJ
sonra	utána	sonra	utána	ADV	
ilk	először	ilk	először		ADV
ilk	első	ilk	első		ADJ;NOM;SG
utc	utc	utc	utc		N;NOM;SG
çok	nagyon	çok	nagyon		ADV
gibi	mint	gibi	mint		CONJ
gibi	tetszik	gibi	tetszik		V;INDF;IND;SG;3;PRS;FIN;ACT
büyük	nagyok	büyük	nagy		N;NOM;PL
büyük	nagyméretű	büyük	nagyméretű		ADJ;NOM;SG
büyük	nagy	büyük	nagy		ADJ;NOM;SG
büyük	nagyok	büyük	nagy		N;NOM;PL
büyük	nagy	büyük	nagy		ADJ;NOM;SG
büyük	hatalmas	büyük	hatalmas		ADJ;NOM;SG
büyük	óriási	büyük	óriási		ADJ;NOM;SG
bağlantılar	kapcsolattartás	bağlantı	kapcsolattartás	N;NOM;PL;3	N;NOM;SG
türkiye	pulyka	türkiye	pulyka	PROPN;NOM;SG;3	N;NOM;SG
türkiye	törökország	türkiye	törökország	PROPN;NOM;SG;3	N;NOM;SG
ancak	mindazonáltal	ancak	mindazonáltal		CONJ
ancak	azonban	ancak	azonban		CONJ
center	középre	center	közép	N;NOM;SG;3	N;ON+ALL;SG
center	center	center	center	N;NOM;SG;3	
arasında	között	ara	között	ADJ;ESS;SG;3	ADP
arasında	között	ara	között	ADJ;ESS;SG;3	ADP
ayrıca	egyben	ayrıca	egyben		ADV
ayrıca	amellett	ayrıca	amellett		ADV
ayrıca	emellett	ayrıca	emellett		ADV
istanbul	isztambul	istanbul	isztambul	PROPN;NOM;SG;3	N;NOM;SG
türk	turk	türk	turk	ADJ	
diğer	egyéb	diğer	egyéb	ADJ	
diğer	más	diğer	más	ADJ	PRO;NOM;SG;3
yeni	újdonság	yeni	újdonság	ADJ	N;NOM;SG
her	minden	her	minden	DET	PRO;NOM;SG;3
aynı	ugyanez	aynı	ugyanez	ADJ	
aynı	ugyanaz	aynı	ugyanaz	ADJ	
kulüp	klub	kul	klub		N;NOM;SG
bağlı	csatolva	bağlı	csatolva		ADV;V.CVB
bağlı	köt	bağlı	köt		V;INDF;IND;SG;3;PRS;FIN;ACT
bağlı	döntetlen	bağlı	döntetlen		N;NOM;SG
bağlı	kapcsolódott	bağlı	kapcsolódott		V;INDF;IND;SG;3;PST;FIN;ACT
bağlı	kapcsolatban	bağlı	kapcsolat		N;IN+ESS;SG
bağlı	kapcsolódott	bağlı	kapcsolódott		V;INDF;IND;SG;3;PST;FIN;ACT
bağlı	kapcsolódó	bağlı	kapcsolódó		ADJ;NOM;SG
ilgili	releváns	ilgili	releváns	ADJ	
ilgili	lényeges	ilgili	lényeges	ADJ	
ilgili	érdekel	ilgili	érdekel	ADJ	V;INDF;IND;SG;3;PRS;FIN;ACT
ilgili	érdekelt	ilgili	érdekelt	ADJ	V;INDF;IND;SG;3;PST;FIN;ACT
ilgili	érdekelne	ilgili	érdekel	ADJ	V;INDF;COND;SG;3;PRS;FIN;ACT
ilgili	érdeklődni	ilgili	érdeklődik	ADJ	V;NFIN;ACT
ilgili	összefüggő	ilgili	összefüggő	ADJ	
ilgili	rokonok	ilgili	rokon	ADJ	N;NOM;PL
ilgili	rokon	ilgili	rokon	ADJ	
ilgili	kapcsolatban	ilgili	kapcsolat	ADJ	N;IN+ESS;SG
son	utoljára	son	utoljára		ADV
son	utolsónak	son	utolsó		ADV
son	befejezés	son	befejezés		N;NOM;SG
son	vége	son	vég		N;NOM;SG
son	vég	son	vég		N;NOM;SG
alan	mező	al	mező	V;PFV;IND;POS;PRS;V.PTCP	N;NOM;SG
alan	domain	al	domain	V;PFV;IND;POS;PRS;V.PTCP	
alan	tartomány	al	tartomány	V;PFV;IND;POS;PRS;V.PTCP	N;NOM;SG
alan	alan	al	alan	V;PFV;IND;POS;PRS;V.PTCP	
alan	terület	al	terület	V;PFV;IND;POS;PRS;V.PTCP	N;NOM;SG
alan	környék	al	környék	V;PFV;IND;POS;PRS;V.PTCP	N;NOM;SG
dünya	vilag	dünya	vilag		N;NOM;SG
dünya	föld	dünya	föld		N;NOM;SG
bulunan	található	bulun	található		ADJ;NOM;SG
eski	régit	eski	régit		N;ACC;SG
eski	régiek	eski	régiek		N;NOM;PL
eski	öregek	eski	öreg		N;NOM;PL
önemli	kiemeli	önemli	kiemeli		V;DEF;IND;SG;3;PRS;FIN;ACT
önemli	fontos	önemli	fontos		ADJ;NOM;SG
önemli	szignifikáns	önemli	szignifikáns		N;ON+ESS;SG
madde	anyagok	madde	anyag	N;NOM;SG;3	N;NOM;PL
madde	számít	madde	számít	N;NOM;SG;3	V;INDF;IND;SG;3;PRS;FIN;ACT
sağlık	orvosi	sağlık	orvosi	N;NOM;SG;3	ADJ;NOM;SG
sağlık	egészségügyi	sağlık	egészségügyi	N;NOM;SG;3	ADJ;NOM;SG
genel	általános	genel	általános	ADJ	
genel	generikus	genel	generikus	ADJ	
genel	átfogó	genel	átfogó	ADJ	
genel	összességében	genel	összesség	ADJ	N;IN+ESS;SG
genel	általános	genel	általános	ADJ	
genel	tábornok	genel	tábornok	ADJ	N;NOM;SG
mart	március	mart	március		N;NOM;SG
mart	márciusi	mart	márciusi		ADJ;NOM;SG
adı	név	ad	név	N;NOM;SG;3	N;NOM;SG
film	filmek	film	film		N;NOM;PL
film	filmeket	film	film		N;ACC;PL
film	filmet	film	film		N;ACC;SG
film	mozi	film	mozi		N;NOM;SG
film	film	film	film		N;NOM;SG
film	fólia	film	fólia		N;NOM;SG
film	film	film	film		N;NOM;SG
film	mozi	film	mozi		N;NOM;SG
film	filmek	film	film		N;NOM;PL
film	filmeket	film	film		N;ACC;PL
haziran	júniusi	haziran	júniusi		ADJ;NOM;SG
haziran	június	haziran	június		N;NOM;SG
