pat	pat	pat	pat	PROPN;NOM;MASC;SG	PROPN;NOM;SG
hrvati	kroaattien	hrvati	kroatti	N;NOM;MASC;PL	N;GEN;PL
zaloge	tarvikkeita	zaloga	tarvike	N;NOM;FEM;PL	N;PRT;PL
zaloge	tarvikkeiden	zaloga	tarvike	N;NOM;FEM;PL	N;GEN;PL
zaloge	osake	zaloga	osake	N;NOM;FEM;PL	N;NOM;SG
zaloge	kannan	zaloga	kanta	N;NOM;FEM;PL	N;GEN;SG
zaloge	kalusto	zaloga	kalusto	N;NOM;FEM;PL	N;NOM;SG
zaloge	varasto	zaloga	varasto	N;NOM;FEM;PL	N;NOM;SG
abeceda	aakkoset	abeceda	aakkonen	N;NOM;FEM;SG	N;NOM;PL
topovi	aseita	top	ase	N;NOM;MASC;PL	N;PRT;PL
zasede	väijytys	zasesti	väijytys	V;PFV;IND;SG;3;PRS;FIN	N;NOM;SG
mleka	maito	mleko	maito	N;GEN;NEUT;SG	N;NOM;SG
mleka	maitoa	mleko	maito	N;GEN;NEUT;SG	N;PRT;SG
mag	maagi	maga	maagi	PROPN;NOM;MASC;SG	N;NOM;SG
mag	mag	maga	mag	PROPN;NOM;MASC;SG	N;NOM;SG
poletni	kesällä	poleten	kesä	ADJ;NOM;DEF;MASC;SG	N;AT+ESS
;SG
poletni	kesää	poleten	kesä	ADJ;NOM;DEF;MASC;SG	N;PRT;SG
poletni	suvi	poleten	suvi	ADJ;NOM;DEF;MASC;SG	PROPN;NOM;SG
poletni	kesä	poleten	kesä	ADJ;NOM;DEF;MASC;SG	N;NOM;SG
uživanje	nautintoa	uživanje	nautinto	N;NOM;NEUT;SG	N;PRT;SG
uživanje	nauttii	uživanje	nauttia	N;NOM;NEUT;SG	V;IND;SG;3;PRS;FIN;ACT
molitev	rukoilee	molitev	rukoilla	N;NOM;FEM;SG	V;IND;SG;3;PRS;FIN;ACT
molitev	rukoilla	molitev	rukka	N;NOM;FEM;SG	N;AT+ESS
;PL
molitev	rukoukset	molitev	rukous	N;NOM;FEM;SG	N;NOM;PL
molitev	rukouksen	molitev	rukous	N;NOM;FEM;SG	N;GEN;SG
prst	sormen	prst	sormi	N;NOM;MASC;SG	N;GEN;SG
prst	sormella	prst	sormi	N;NOM;MASC;SG	N;AT+ESS
;SG
blato	lietteen	blato	liete	N;NOM;NEUT;SG	N;GEN;SG
blato	mutaa	blato	mutaa	N;NOM;NEUT;SG	N;PRT;SG
blato	muta	blato	muta	N;NOM;NEUT;SG	INTJ
blato	ulosteet	blato	uloste	N;NOM;NEUT;SG	N;NOM;PL
postopno	asteittainen	postopno	asteittainen	ADV	ADJ;NOM;SG
postopno	asteittainen	postopno	asteittainen	ADV	ADJ;NOM;SG
navdih	inspiroi	navdih	inspiroida	N;NOM;MASC;SG	V;IND;SG;2;PRS;FIN;ACT
navdih	inspiraatiota	navdih	inspiraatio	N;NOM;MASC;SG	N;PRT;SG
navdih	inspiraation	navdih	inspiraatio	N;NOM;MASC;SG	N;GEN;SG
tabele	taulukoissa	tabela	taulukko	N;NOM;FEM;PL	N;IN+ESS;PL
študente	opiskelijat	študent	opiskelija	N;ACC;MASC;PL	N;NOM;PL
študente	opiskelijoille	študent	opiskelija	N;ACC;MASC;PL	N;AT+ALL;PL
študente	oppilaat	študent	oppilas	N;ACC;MASC;PL	N;NOM;PL
študente	oppilaita	študent	oppilas	N;ACC;MASC;PL	N;PRT;PL
študente	opiskelijoita	študent	opiskelija	N;ACC;MASC;PL	N;PRT;PL
disertacijo	väitöskirja	disertacija	väitös#kirja	N;ACC;FEM;SG	N;NOM;SG
luč	kevyt	luč	kevyt	N;NOM;FEM;SG	ADJ;NOM;SG
luč	valoa	luč	valo	N;NOM;FEM;SG	N;PRT;SG
luč	light	luč	light	N;NOM;FEM;SG	
mehiški	meksikolaista	mehiški	meksi#kolainen	ADJ;NOM;MASC;SG	N;PRT;SG
mehiški	meksikon	mehiški	meksikko	ADJ;NOM;MASC;SG	N;GEN;SG
aluminija	alumiinia	aluminija	alumiinin	N;NOM;MASC;SG	N;PRT;SG
gozdni	metsän	gozden	metsä	ADJ;NOM;MASC;SG	N;GEN;SG
gozdni	metsät	gozden	metsä	ADJ;NOM;MASC;SG	N;NOM;PL
gozdni	metsää	gozden	metsä	ADJ;NOM;MASC;SG	N;PRT;SG
gozdni	metsä	gozden	metsä	ADJ;NOM;MASC;SG	N;NOM;SG
bogovi	jumalia	bog	jumala	N;NOM;MASC;PL	N;PRT;PL
kupolo	dome	kupolo	dome	N;ACC;FEM;SG	PROPN;NOM;SG
kupolo	kupu	kupolo	kupu	N;ACC;FEM;SG	N;NOM;SG
razširjeno	laajennettu	razširjeno	laajentaa	ADJ;NOM;NEUT;SG;V.PTCP	V;NOM;SG;V.PTCP;PASS
razširjeno	jatkettu	razširjeno	jatkaa	ADJ;NOM;NEUT;SG;V.PTCP	V;NOM;SG;V.PTCP;PASS
razširjeno	pidentää	razširjeno	pidentää	ADJ;NOM;NEUT;SG;V.PTCP	V;IND;SG;3;PRS;FIN;ACT
stopenj	tasot	stopnja	taso	N;GEN;FEM;PL	N;NOM;PL
cele	kokonaisena	cel	kokonainen	ADJ;NOM;FEM;PL	ADJ;FRML;SG
cele	kokonainen	cel	kokonainen	ADJ;NOM;FEM;PL	ADJ;NOM;SG
izziv	haastaa	izziv	haastaa	N;NOM;MASC;SG	V;IND;SG;3;PRS;FIN;ACT
izziv	haasteet	izziv	haaste	N;NOM;MASC;SG	N;NOM;PL
vrhovno	korkein	vrhoven	korkea	ADJ;NOM;NEUT;SG	ADJ;NOM;RL;SG
siriji	syyria	sirija	syyri	N;DAT;FEM;SG	N;NOM;SG
siriji	syyriassa	sirija	syyria	N;DAT;FEM;SG	N;IN+ESS;SG
siriji	syyrian	sirija	syyri	N;DAT;FEM;SG	N;GEN;SG
gledalci	katsojia	gledalec	katsoja	N;NOM;MASC;PL	N;PRT;PL
gledalci	yleisö	gledalec	yleisö	N;NOM;MASC;PL	N;NOM;SG
gledalci	kohderyhmä	gledalec	kohde#ryhmä	N;NOM;MASC;PL	N;NOM;SG
gledalci	kohderyhmän	gledalec	kohde#ryhmä	N;NOM;MASC;PL	N;GEN;SG
gledalci	kohderyhmää	gledalec	kohde#ryhmä	N;NOM;MASC;PL	N;PRT;SG
gledalci	yleisöä	gledalec	yleisö	N;NOM;MASC;PL	N;PRT;SG
gledalci	katsojia	gledalec	katsoja	N;NOM;MASC;PL	N;PRT;PL
primerjalno	vertaileva	primerjalno	vertaileva	ADJ;NOM;NEUT;SG	V;NOM;SG;V.PTCP;ACT
andrews	andrews	andrews	andrews	PROPN;NOM;MASC;SG	PROPN;NOM;SG
keith	keith	keith	keith	PROPN;NOM;MASC;SG	PROPN;NOM;SG
garcía	garcía	garcma	garcía	N;NOM;MASC;SG	PROPN;NOM;SG
src	sydämiä	srce	sydämä	N;NOM;MASC;SG	N;PRT;PL
src	sydämet	srce	sydän	N;NOM;MASC;SG	N;NOM;PL
schneider	schneider	schneider	schneider	N;NOM;MASC;SG	PROPN;NOM;SG
trdo	kova	trdo	kova	ADV	ADJ;NOM;SG
trdo	kovaa	trdo	kova	ADV	ADJ;PRT;SG
trdo	rankkaa	trdo	rankka	ADV	ADJ;PRT;SG
čaj	teetä	čaj	tee	N;NOM;MASC;SG	N;PRT;SG
čaj	tee	čaj	tehdä	N;NOM;MASC;SG	V;IMP;SG;2;FIN;ACT
odpoved	lopettaa	odpoved	lopettaa	N;NOM;MASC;SG	V;SG;NFIN;ACT
odpoved	lopetti	odpoved	lopettaa	N;NOM;MASC;SG	V;IND;SG;3;PST;FIN;ACT
odpoved	lopeta	odpoved	lopettaa	N;NOM;MASC;SG	V;IMP;SG;2;FIN;ACT
odpoved	erottua	odpoved	erota	N;NOM;MASC;SG	V;SG;NFIN;ACT
vzorce	näytteiden	vzorec	näyte	N;ACC;MASC;PL	N;GEN;PL
vzorce	näytteitä	vzorec	näyte	N;ACC;MASC;PL	N;PRT;PL
vzorce	näytteet	vzorec	näyte	N;ACC;MASC;PL	N;NOM;PL
divji	wild	divji	wild	ADJ;NOM;DEF;MASC;SG	
divji	villiä	divji	villi	ADJ;NOM;DEF;MASC;SG	ADJ;PRT;SG
beach	rannan	beach	ranta	N;NOM;MASC;SG	N;GEN;SG
beach	rantaa	beach	ranta	N;NOM;MASC;SG	N;PRT;SG
beach	beachin	beach	beach	N;NOM;MASC;SG	PROPN;GEN;SG
upokojeni	eläkkeelle	upokojen	eläke	ADJ;NOM;DEF;MASC;SG	N;AT+ALL;SG
upokojeni	eläkkeellä	upokojen	eläke	ADJ;NOM;DEF;MASC;SG	N;AT+ESS
;SG
odgovorna	vastuussa	odgovoren	vastuu	ADJ;NOM;FEM;SG	N;IN+ESS;SG
stanovanje	litteä	stanovanje	litteä	N;NOM;NEUT;SG	ADJ;NOM;SG
stanovanje	tasainen	stanovanje	tasainen	N;NOM;NEUT;SG	ADJ;NOM;SG
stanovanje	asunnon	stanovanje	asunto	N;NOM;NEUT;SG	N;GEN;SG
posode	ruokia	posoda	ruoka	N;NOM;FEM;PL	N;PRT;PL
posode	astioita	posoda	astia	N;NOM;FEM;PL	N;PRT;PL
posode	aluksia	posoda	alus	N;NOM;FEM;PL	N;PRT;PL
posode	alusten	posoda	alus	N;NOM;FEM;PL	N;GEN;PL
piero	piero	piero	piero	PROPN;NOM;MASC;SG	PROPN;NOM;SG
načrti	suunnitelmia	načrt	suunnitelma	N;NOM;MASC;PL	N;PRT;PL
