से	din	से	din		ADP;ACC
है	hai	है	hai	V;IND;SG;3;PRS;FIN;ACT	V;IND;SG;1;PRS;FIN
एक	una	एक	unul	NUM	PRO;FEM;SG;3
एक	unul	एक	unul	NUM	PRO;MASC;SG;3
श्रेणी	categoria	श्रेणी	categorie	N;NOM;FEM;SG;3	N;DEF;FEM;SG
श्रेणी	categorii	श्रेणी	categorie	N;NOM;FEM;SG;3	N;INDF;FEM;PL
श्रेणी	categorie	श्रेणी	categorie	N;NOM;FEM;SG;3	N;INDF;FEM;SG
श्रेणी	serie	श्रेणी	serie	N;NOM;FEM;SG;3	N;INDF;FEM;SG
श्रेणी	serii	श्रेणी	serie	N;NOM;FEM;SG;3	N;INDF;FEM;PL
श्रेणी	seria	श्रेणी	serie	N;NOM;FEM;SG;3	N;DEF;FEM;SG
श्रेणी	categorii	श्रेणी	categorie	N;NOM;FEM;SG;3	N;INDF;FEM;PL
श्रेणी	categoriile	श्रेणी	categorie	N;NOM;FEM;SG;3	N;DEF;FEM;PL
भी	chiar	भी	chiar	PART	ADV
भी	prea	भी	prea	PART	ADV
यह	asta	यह	acesta	PRO;NOM;SG;3	PRO;FEM;SG;3
यह	aceasta	यह	acesta	PRO;NOM;SG;3	PRO;FEM;SG;3
इस	asta	यह	acesta	DET;ACC;SG;3	PRO;FEM;SG;3
इस	aceasta	यह	acesta	DET;ACC;SG;3	PRO;FEM;SG;3
कि	ca	कि	ca		ADV
कि	asta	कि	acesta		PRO;FEM;SG;3
कि	aia	कि	acela		PRO;FEM;SG;3
भारत	indiei	भारत	indie	PROPN;NOM;MASC;SG;3	PROPN;DEF;FEM;SG
भारत	india	भारत	india	PROPN;NOM;MASC;SG;3	PROPN
जो	joe	जो	joe	PRO;NOM;SG;3	PROPN
जो	cine	जो	cine	PRO;NOM;SG;3	PRO;3
जो	care	जो	care	PRO;NOM;SG;3	PRO;3
ही	hee	ही	hee	PART	PROPN
रूप	forma	रूप	formă	N;NOM;MASC;SG;3	N;DEF;FEM;SG
रूप	forma	रूप	formă	N;NOM;MASC;SG;3	N;DEF;FEM;SG
रूप	formularul	रूप	formular	N;NOM;MASC;SG;3	N;DEF;MASC;SG
रूप	aspectul	रूप	aspect	N;NOM;MASC;SG;3	N;DEF;MASC;SG
कर	impozite	कर	impozit	V;ACT	N;INDF;FEM;PL
कर	taxa	कर	taxă	V;ACT	N;DEF;FEM;SG
कर	tax	कर	tax	V;ACT	N;INDF;MASC;SG
कर	taxa	कर	taxă	V;ACT	N;DEF;FEM;SG
कर	impozit	कर	impozit	V;ACT	N;INDF;MASC;SG
कर	impozitele	कर	impozit	V;ACT	N;DEF;FEM;PL
कर	impozite	कर	impozit	V;ACT	N;INDF;FEM;PL
कर	taxe	कर	taxă	V;ACT	N;INDF;FEM;PL
कर	taxele	कर	taxă	V;ACT	N;DEF;FEM;PL
उत्तराखण्ड	uttarakhand	उत्तराखण्ड	uttarakhand	PROPN;NOM;MASC;SG;3	PROPN
साथ	cu	साथ	cu	ADV;NOM;MASC;SG;3	ADP;ACC
साथ	impreuna	साथ	impreuna	ADV;NOM;MASC;SG;3	
साथ	impreuna	साथ	impreuna	ADV;NOM;MASC;SG;3	
साथ	impreuna	साथ	impreuna	ADV;NOM;MASC;SG;3	
पूर्व	east	पूर्व	east	ADV;NOM;MASC;SG;3	PROPN
पूर्व	est	पूर्व	est	ADV;NOM;MASC;SG;3	N;INDF;MASC;SG
पूर्व	estul	पूर्व	est	ADV;NOM;MASC;SG;3	N;DEF;MASC;SG
पूर्व	fosta	पूर्व	fost	ADV;NOM;MASC;SG;3	ADJ;DEF;FEM;SG
होता	ar	हो	avea	V;IPFV;MASC;SG;V.PTCP;ACT	V;3
बाद	dupa	बाद	dupa	ADV;NOM;MASC;SG;3	N;DEF;FEM;SG
बाद	dupa	बाद	dupa	ADV;NOM;MASC;SG;3	N;DEF;FEM;SG
तक	pana	तक	pană	CONJ	N;DEF;FEM;SG
तक	pana	तक	pană	CONJ	N;DEF;FEM;SG
तक	tak	तक	tak	CONJ	
अपने	proprie	अपना	propriu	PRO;NOM;MASC	ADJ;INDF;FEM;SG
अपने	proprii	अपना	propriu	PRO;NOM;MASC	ADJ;INDF;PL
अपने	dumneavoastra	अपना	dumneavoastra	PRO;NOM;MASC	
अपने	ta	अपना	tău	PRO;NOM;MASC	DET;FEM;SG;1
जिले	cartiere	जिला	cartier	N;NOM;MASC;SG;3	N;INDF;FEM;PL
जिले	districtele	जिला	district	N;NOM;MASC;SG;3	N;DEF;FEM;PL
जिले	districte	जिला	district	N;NOM;MASC;SG;3	N;INDF;FEM;PL
था	avea	था	avea	V;MASC;IND;SG;PST;FIN;ACT	V;IND;SG;3;IPFV;FIN
था	avut	था	avea	V;MASC;IND;SG;PST;FIN;ACT	V;MASC;SG;V.PTCP
राज्य	statele	राज्य	stat	N;NOM;MASC;SG;3	N;DEF;FEM;PL
राज्य	state	राज्य	stat	N;NOM;MASC;SG;3	N;INDF;FEM;PL
राज्य	stari	राज्य	stare	N;NOM;MASC;SG;3	N;INDF;FEM;PL
राज्य	stare	राज्य	stare	N;NOM;MASC;SG;3	N;INDF;FEM;SG
राज्य	state	राज्य	stat	N;NOM;MASC;SG;3	N;INDF;FEM;PL
राज्य	statul	राज्य	stat	N;NOM;MASC;SG;3	N;DEF;MASC;SG
बाहरी	exterior	बाहरी	exterior	ADJ;NOM	N;INDF;MASC;SG
बाहरी	externa	बाहरी	externa	ADJ;NOM	ADJ;DEF;FEM;SG
बाहरी	exterior	बाहरी	exterior	ADJ;NOM	N;INDF;MASC;SG
कुछ	unele	कुछ	unul	DET	PRO;FEM;PL;3
कुछ	unii	कुछ	unul	DET	PRO;MASC;PL;3
कुछ	ceva	कुछ	ceva	DET	PRO;SG;3
ईसा	isus	ईसा	isus	N;NOM;MASC;SG;3	PROPN
ईसा	iisus	ईसा	iisus	N;NOM;MASC;SG;3	
गाँव	satul	गाँव	sat	N;NOM;MASC;PL;3	N;DEF;MASC;SG
गाँव	village	गाँव	villag	N;NOM;MASC;PL;3	PROPN
गाँव	satului	गाँव	sat	N;NOM;MASC;PL;3	N;DEF;MASC;SG
गाँव	sat	गाँव	sat	N;NOM;MASC;PL;3	N;INDF;MASC;SG
सरकार	fiori	सरकार	fiori	N;NOM;FEM;SG;3	N;INDF;FEM;PL
सरकार	guvernul	सरकार	guvern	N;NOM;FEM;SG;3	N;DEF;MASC;SG
सरकार	guvernare	सरकार	guvernare	N;NOM;FEM;SG;3	N;INDF;FEM;SG
कड़ियाँ	linkurile	कड़ी	link	N;NOM;FEM;PL;3	N;DEF;FEM;PL
प्रदेश	regiunea	प्रदेश	regiune	N;NOM;MASC;SG;3	N;DEF;FEM;SG
प्रदेश	regiune	प्रदेश	regiune	N;NOM;MASC;SG;3	N;INDF;FEM;SG
दिया	dat	दे	dat	V;PFV;MASC;SG;V.PTCP;ACT	ADJ;INDF;MASC;SG
