monarchie	monarchia	monarchie	monarchia	PROPN	N;NOM;FEM;SG
republikanischen	republikanów	republikanisch	republikanin	ADJ;NOM;MASC;PL	N;GEN;MASC;PL
republikanischen	republikanie	republikanisch	republikanie	ADJ;NOM;MASC;PL	N;NOM;MASC;SG
scharf	ostre	scharf	ostry	ADJ	
scharf	sharp	scharf	sharp	ADJ	
scharf	ostry	scharf	ostry	ADJ	
scharf	ostra	scharf	ostry	ADJ	
scharf	ostre	scharf	ostry	ADJ	
scharf	ostra	scharf	ostry	ADJ	
frisch	świeżo	frisch	świeżo	ADJ	ADV
frisch	świeży	frisch	świeży	ADJ	
frisch	świeżo	frisch	świeżo	ADJ	ADV
frisch	frisch	frisch	frisch	ADJ	PROPN;NOM;MASC;SG
kelly	kelly	kelly	kelly	PROPN;NOM;SG	PROPN;NOM;MASC;SG
alabama	ala	alabama	ala	PROPN;NOM;NEUT;SG	PROPN;NOM;FEM;SG
alabama	ala	alabama	ala	PROPN;NOM;NEUT;SG	PROPN;NOM;FEM;SG
dokument	dokumenty	dokument	dokument	N;NOM;NEUT;SG	N;NOM;MASC;PL
dokument	dokument	dokument	dokument	N;NOM;NEUT;SG	N;ACC;MASC;SG
dokument	dokumentu	dokument	dokument	N;NOM;NEUT;SG	N;GEN;MASC;SG
loire	loire	loire	loiry	PROPN;NOM;SG	
audio	dźwięk	audio	dźwięk		N;ACC;MASC;SG
kurfürsten	elektor	kurfürst	elektor	N;PL	N;NOM;MASC;SG
kette	łańcuchów	kett	łańcuch	N;NOM;FEM;SG	N;GEN;MASC;PL
kette	łańcuchy	kett	łańcuch	N;NOM;FEM;SG	N;NOM;MASC;PL
kette	łańcuchy	kett	łańcuch	N;NOM;FEM;SG	N;NOM;MASC;PL
kette	łańcucha	kett	łańcuch	N;NOM;FEM;SG	N;GEN;MASC;SG
kette	łańcuszek	kett	łańcuszek	N;NOM;FEM;SG	N;ACC;MASC;SG
moderner	nowocześnie	modern	nowocześnie	ADJ	ADV
moderner	współczesna	modern	współczesny	ADJ	N;NOM;FEM;SG
herrenhaus	rezydencja	herrenhaus	rezydencja	ADJ	N;NOM;FEM;SG
herrenhaus	rezydencji	herrenhaus	rezydencja	ADJ	N;GEN;FEM;SG
herrenhaus	dwór	herrenhaus	dwór	ADJ	N;NOM;MASC;SG
herrenhaus	manor	herrenhaus	manor	ADJ	V;IPFV;IND;SG;PRS;FIN;ACT
schicht	przesunięcie	schechen	przesunąć	ADJ	N;PFV;NOM;NEUT;SG;POS;V.MSDR
schicht	shift	schechen	shift	ADJ	
schicht	warstwa	schechen	warstwa	ADJ	N;NOM;FEM;SG
schicht	warstwy	schechen	warstwa	ADJ	N;ACC;FEM;PL
schicht	warstwa	schechen	warstwa	ADJ	N;NOM;FEM;SG
justiz	sprawiedliwości	justiz	sprawiedliwość		N;GEN;FEM;SG
justiz	sprawiedliwość	justiz	sprawiedliwość		N;NOM;FEM;SG
justiz	sądowy	justiz	sądowy		ADJ;NOM;MASC;SG
justiz	sądowej	justiz	sądowy		ADJ;GEN;FEM;SG
justiz	sądowe	justiz	sądowy		ADJ;NOM;NEUT;SG
justiz	sądowa	justiz	sądowy		ADJ;NOM;FEM;SG
justiz	sądownictwa	justiz	sądownictwo		N;NOM;NEUT;SG
justiz	sądy	justiz	sąd		N;NOM;MASC;PL
alberto	alberto	alberto	alberto	PROPN;NOM;SG	PROPN;NOM;MASC;SG
offizieller	urzędnik	offiziell	urzędnik	ADJ	N;NOM;MASC;SG
offizieller	oficjalnie	offiziell	oficjalnie	ADJ	ADV
bewaffneten	uzbrojone	bewaffnet	uzbroić	V;IND;PL;3;PST;FIN	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
bewaffneten	uzbrojona	bewaffnet	uzbroić	V;IND;PL;3;PST;FIN	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
bewaffneten	uzbrojeni	bewaffnet	uzbroić	V;IND;PL;3;PST;FIN	ADJ;PFV;NOM;MASC;PL;POS;V.PTCP;PASS
bewaffneten	uzbrojony	bewaffnet	uzbroić	V;IND;PL;3;PST;FIN	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
mittelmeer	atlantyku	mittelmeer	atlantyk		N;GEN;MASC;SG
mittelmeer	atlantycki	mittelmeer	atlantycki		ADJ;NOM;MASC;SG
mittelmeer	śródziemnego	mittelmeer	śródziemny		ADJ;ACC;MASC;SG
faktor	czynnik	faktor	czynnik	ADJ	N;NOM;MASC;SG
faktor	współczynnik	faktor	współczynnik	ADJ	N;NOM;MASC;SG
ermordung	morderstwa	ermordung	morderstwo		N;NOM;NEUT;SG
ermordung	zabójstwo	ermordung	zabójstwo		N;NOM;NEUT;SG
ermordung	morderstwo	ermordung	morderstwo		N;NOM;NEUT;SG
ermordung	zabójstwa	ermordung	zabójstwo		N;GEN;NEUT;SG
ermordung	zamachu	ermordung	zamach		N;GEN;MASC;SG
ermordung	zabójstwo	ermordung	zabójstwo		N;NOM;NEUT;SG
ermordung	zamach	ermordung	zamach		N;NOM;MASC;SG
connecticut	connecticut	connecticut	connecticut	PROPN	
persönlichkeit	osobistości	persönlichkeit	osobistość	ADJ	N;NOM;FEM;PL
persönlichkeit	osobowości	persönlichkeit	osobowość	ADJ	N;GEN;FEM;SG
persönlichkeit	osobowość	persönlichkeit	osobowość	ADJ	N;NOM;FEM;SG
persönlichkeit	osobowości	persönlichkeit	osobowość	ADJ	N;GEN;FEM;SG
etablierte	ustanowiono	etablieren	ustanowić	V;IND;SG;3;PST;FIN	V;PFV;IND;0;PST;FIN;ACT
