το	на	ο	на	DET;NOM;DEF;NEUT;SG	ADP
που	което	που	който	PRO;ACC;NEUT;SG;3	PRO;NOM;NEUT;SG
που	която	που	който	PRO;ACC;NEUT;SG;3	PRO;NOM;FEM;SG
τους	ги	μου	аз	PRO;GEN;MASC;PL;3	PRO;ACC;PL;3
τους	тях	μου	аз	PRO;GEN;MASC;PL;3	PRO;ACC;PL;3
ήταν	бе	είμαι	съм	V;IPFV;IND;SG;3;PST;FIN;PASS	V;IPFV;IND;SG;3;PST;FIN;ACT
θα	уил	θα	ухл	PART	PROPN;INDF;MASC;SG
μετά	след	μετά	след	ADV	ADP
όπως	като	όπως	като	ADV	CONJ
όπως	like	όπως	like	ADV	PROPN;INDF;MASC;SG
αυτό	че	αυτός	че	PRO;NOM;NEUT;SG;3	CONJ
αυτή	тя	αυτός	аз	PRO;NOM;FEM;SG;3	PRO;NOM;FEM;SG;3
όταν	когато	όταν	когато	CONJ	ADV
όταν	кога	όταν	кога	CONJ	ADV
μέχρι	докато	μέχρι	докато	ADP	CONJ
μπορεί	могат	μπορώ	мога	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;PL;3;PRS;FIN;ACT
μπορεί	can	μπορώ	can	V;IPFV;IND;SG;3;PRS;FIN;ACT	PROPN;INDF;MASC;SG
ομάδα	групово	ομάδα	групово	N;ACC;FEM;SG	ADV
ομάδα	групова	ομάδα	групов	N;ACC;FEM;SG	ADJ;INDF;FEM;SG
ομάδα	тийм	ομάδα	тийм	N;ACC;FEM;SG	N;INDF;MASC;PL
ομάδα	team	ομάδα	team	N;ACC;FEM;SG	PROPN;INDF;MASC;SG
χρόνια	хроничен	χρόνος	хроничен	N;NOM;NEUT;PL	ADJ;INDF;MASC;SG
χρόνια	хронично	χρόνος	хроничен	N;NOM;NEUT;PL	ADV
χρόνια	хронични	χρόνος	хроничен	N;NOM;NEUT;PL	ADJ;INDF;PL
χρόνια	хронична	χρόνος	хроничен	N;NOM;NEUT;PL	ADJ;INDF;FEM;SG
πρώτη	първи	πρώτος	първи	NUM;NOM;FEM;SG	ADJ;INDF;MASC;SG
πρώτη	първо	πρώτος	първо	NUM;NOM;FEM;SG	ADV
ένας	една	ένας	един	DET;NOM;INDF;MASC;SG	NUM;INDF;FEM;SG
ένας	един	ένας	един	DET;NOM;INDF;MASC;SG	NUM;INDF;MASC;SG
ένας	едно	ένας	един	DET;NOM;INDF;MASC;SG	NUM;INDF;NEUT;SG
πόλη	city	πόλη	city	N;NOM;FEM;SG	PROPN;INDF;MASC;SG
σύνδεσμοι	връзки	σύνδεσμος	връзка	N;ACC;MASC;SG	N;INDF;FEM;PL
έγινε	готово	γίνομαι	готов	V;PFV;IND;SG;3;PST;FIN;PASS	ADV
κάθε	всяка	κάθε	всеки	PRO;ACC;FEM;SG;3	DET;FEM;SG
κάθε	всеки	κάθε	всеки	PRO;ACC;FEM;SG;3	PRO;NOM;MASC;SG
κάθε	всяко	κάθε	всеки	PRO;ACC;FEM;SG;3	PRO;NOM;NEUT;SG
κάθε	всяка	κάθε	всеки	PRO;ACC;FEM;SG;3	DET;FEM;SG
κάθε	всеки	κάθε	всеки	PRO;ACC;FEM;SG;3	PRO;NOM;MASC;SG
αιώνα	вековен	αιώνας	вековен	N;ACC;MASC;SG	ADJ;INDF;MASC;SG
αθήνα	атина	αθήνα	атина	PROPN;ACC;FEM;SG	PROPN;INDF;FEM;SG
ελλάδα	гърция	ελλάδα	гърция	PROPN;ACC;FEM;SG	PROPN;INDF;FEM;SG
πως	как	πως	как	CONJ	ADV
νέα	ню	νέος	ню	ADJ;NOM;NEUT;PL	PROPN;INDF;MASC;SG
νέα	ново	νέος	нов	ADJ;NOM;NEUT;PL	ADV
νέα	нов	νέος	нов	ADJ;NOM;NEUT;PL	ADJ;INDF;MASC;SG
νέα	нова	νέος	нов	ADJ;NOM;NEUT;PL	ADJ;INDF;FEM;SG
νέα	новини	νέος	новина	ADJ;NOM;NEUT;PL	N;INDF;FEM;PL
νέα	новина	νέος	новина	ADJ;NOM;NEUT;PL	N;INDF;FEM;SG
νέα	новините	νέος	новина	ADJ;NOM;NEUT;PL	N;DEF;FEM;PL
περίπου	относно	περίπου	относно	ADV	ADP
αυτά	тези	αυτός	този	PRO;NOM;NEUT;PL;3	DET;PL
πριν	преди	πριν	преди	ADV	ADP
εθνική	национални	εθνικός	национален	ADJ;NOM;FEM;SG	ADJ;INDF;PL
εθνική	национално	εθνικός	национален	ADJ;NOM;FEM;SG	ADV
συζήτηση	разговори	συζήτηση	разговор	N;ACC;FEM;SG	N;INDF;MASC;PL
συζήτηση	обсъждания	συζήτηση	обсъждане	N;ACC;FEM;SG	N;INDF;NEUT;PL
συζήτηση	дискусии	συζήτηση	дискусия	N;ACC;FEM;SG	N;INDF;FEM;PL
συζήτηση	разисквания	συζήτηση	разискване	N;ACC;FEM;SG	N;INDF;NEUT;PL
συζήτηση	дебати	συζήτηση	дебат	N;ACC;FEM;SG	N;INDF;MASC;PL
αρχείο	архиви	αρχείο	архив	N;NOM;NEUT;SG	N;INDF;MASC;PL
έλληνες	гърци	έλληνας	грък	ADJ;NOM;MASC;PL	N;INDF;MASC;PL
έλληνες	гърците	έλληνας	грък	ADJ;NOM;MASC;PL	N;DEF;MASC;PL
πρώτο	първи	πρώτος	първи	NUM;NOM;NEUT;SG	ADJ;INDF;MASC;SG
πρώτο	първо	πρώτος	първо	NUM;NOM;NEUT;SG	ADV
έργο	работи	έργο	работя	N;NOM;NEUT;SG	V;IPFV;IMP;SG;2;FIN
όχι	не	όχι	не	PART	INTJ;NEG
ελληνική	гръцко	ελληνικός	гръцко	ADJ;NOM;FEM;SG	ADV
ελληνική	грък	ελληνικός	грък	ADJ;NOM;FEM;SG	N;INDF;MASC;SG
μεγάλη	биг	μεγάλος	биг	ADJ;NOM;FEM;SG	N;INDF;MASC;SG
μεγάλη	голямо	μεγάλος	голям	ADJ;NOM;FEM;SG	ADV
μεγάλη	големи	μεγάλος	голям	ADJ;NOM;FEM;SG	ADJ;INDF;PL
έως	докато	ώς	докато	ADP	CONJ
