категория	kategori	категория	kategori	N;INDF;FEM;SG	
през	aracılığıyla	през	aracılık	ADP	N;INS;SG;3
през	yoluyla	през	yol	ADP	N;INS;SG;3
през	geçerek	през	geç	ADP	V;PFV;IND;POS;PRS;V.CVB
като	like	като	like	CONJ	
като	beğen	като	beğen	CONJ	
като	gibi	като	gibi	CONJ	
година	yıl	година	yıl	N;INDF;FEM;SG	
година	yılı	година	yıl	N;INDF;FEM;SG	
година	sene	година	sene	N;INDF;FEM;SG	
след	sonrası	след	sonra	ADP	
след	ardından	след	ardından	ADP	ADV
след	sonrasında	след	sonra	ADP	N;ESS;SG;3
след	sonra	след	sonra	ADP	ADV
това	bu	този	bu	PRO;NOM;NEUT;SG	
това	bunu	този	bu	PRO;NOM;NEUT;SG	PRO;ACC;SG;3
български	bulgar	български	bulga	ADJ;INDF;MASC;SG	
българия	bulgaristan	българия	bulgaristan	PROPN;INDF;FEM;SG	PROPN;NOM;SG;3
част	kısım	част	kısım	N;INDF;FEM;SG	
част	bölüm	част	bölüm	N;INDF;FEM;SG	
част	part	част	part	N;INDF;FEM;SG	
част	kısmen	част	kısmen	N;INDF;FEM;SG	
години	yıllarca	година	yıllarca	N;INDF;FEM;PL	ADV
години	yıllardır	година	yıl	N;INDF;FEM;PL	V;IPFV;IND;PL;3;POS
години	seneler	година	sene	N;INDF;FEM;PL	
време	vakit	време	vakit	N;INDF;NEUT;SG	
време	time	време	tim	N;INDF;NEUT;SG	
със	with	със	with	ADP	
със	ile	със	ile	ADP	
която	hangi	който	hangi	PRO;NOM;FEM;SG	ADJ
която	hangisi	който	hangi	PRO;NOM;FEM;SG	
което	hangi	който	hangi	PRO;NOM;NEUT;SG	ADJ
което	hangisi	който	hangi	PRO;NOM;NEUT;SG	
външни	harici	външен	harici	ADJ;INDF;PL	
препратки	referans	препратка	referans	N;INDF;FEM;PL	
град	town	град	town	N;INDF;MASC;SG	PROPN;NOM;SG;3
град	kasaba	град	kasaba	N;INDF;MASC;SG	
град	şehir	град	şehir	N;INDF;MASC;SG	
град	sehir	град	sehir	N;INDF;MASC;SG	
град	city	град	city	N;INDF;MASC;SG	PROPN;NOM;SG;3
град	şehir	град	şehir	N;INDF;MASC;SG	
много	cok	много	cok	ADV;INDF;PL	
много	çok	много	çok	ADV;INDF;PL	
много	birçok	много	birçok	ADV;INDF;PL	DET
също	ayrica	също	ayrica	ADV	
също	ayrıca	също	ayrıca	ADV	
век	yüzyıl	век	yüzyıl	N;INDF;MASC;SG	
век	asır	век	asır	N;INDF;MASC;SG	
село	köyü	село	köy	N;INDF;NEUT;SG	
село	köy	село	köy	N;INDF;NEUT;SG	
един	biri	един	biri	NUM;INDF;MASC;SG	PRO;NOM;SG;3
един	bir	един	bir	NUM;INDF;MASC;SG	
между	arasında	между	ara	ADP	ADJ;ESS;SG;3
между	arasına	между	ara	ADP	ADJ;DAT;SG;3
между	arası	между	ara	ADP	ADJ;NOM;SG;3
между	arasındaki	между	ara	ADP	ADJ;ESS;SG;3
около	çevresinde	около	çevre	ADP	N;ESS;SG;3
около	çevrede	около	çevre	ADP	N;ESS;SG;3
около	etrafta	около	etraf	ADP	N;ESS;SG;3
около	etrafında	около	etraf	ADP	N;ESS;SG;3
софия	sofia	софия	sofia	PROPN;INDF;FEM;SG	
софия	sofya	софия	sofya	PROPN;INDF;FEM;SG	
софия	sofya	софия	sofya	PROPN;INDF;FEM;SG	
софия	sophia	софия	sophia	PROPN;INDF;FEM;SG	
други	diğeri	друг	diğer	ADJ;INDF;PL	N;NOM;SG;3
други	öteki	друг	öteki	ADJ;INDF;PL	
други	diger	друг	diger	ADJ;INDF;PL	
други	diger	друг	diger	ADJ;INDF;PL	
други	diğerleri	друг	diğer	ADJ;INDF;PL	N;ACC;PL;3
други	diğerlerini	друг	diğer	ADJ;INDF;PL	N;ACC;PL;3
още	hâlâ	още	hul	ADV	
още	halen	още	halen	ADV	
още	devamı	още	devam	ADV	
още	more	още	more	ADV	
война	war	война	war	N;INDF;FEM;SG	
война	savas	война	savas	N;INDF;FEM;SG	
само	just	само	just	ADV	
област	bölge	област	bölge	N;INDF;FEM;SG	
област	oblastı	област	obla	N;INDF;FEM;SG	
област	bölge	област	bölge	N;INDF;FEM;SG	
област	bahşı	област	bahşı	N;INDF;FEM;SG	
област	ilçe	област	ilçe	N;INDF;FEM;SG	
област	bölge	област	bölge	N;INDF;FEM;SG	
област	alan	област	al	N;INDF;FEM;SG	V;PFV;IND;POS;PRS;V.PTCP
под	altında	под	alt	ADP	ADJ;ESS;SG;3
под	altinda	под	alt	ADP	ADJ;ESS;SG;3
под	altına	под	alt	ADP	ADJ;DAT;SG;3
община	belediye	община	beledi	N;INDF;FEM;SG	
община	belediyesi	община	belediye	N;INDF;FEM;SG	
вид	tipi	вид	tip	N;INDF;MASC;SG	
вид	tip	вид	tip	N;INDF;MASC;SG	
вид	türü	вид	tür	N;INDF;MASC;SG	
вид	tür	вид	tür	N;INDF;MASC;SG	
вид	type	вид	type	N;INDF;MASC;SG	
вид	tür	вид	tür	N;INDF;MASC;SG	
вид	türler	вид	tür	N;INDF;MASC;SG	N;NOM;PL;3
една	edna	един	edna	NUM;INDF;FEM;SG	
една	biri	един	biri	NUM;INDF;FEM;SG	PRO;NOM;SG;3
една	bir	един	bir	NUM;INDF;FEM;SG	
всички	all	всеки	all	PRO;NOM;PL	
всички	hepsini	всеки	hepsi	PRO;NOM;PL	PRO;ACC;PL;3
всички	tamamı	всеки	tamam	PRO;NOM;PL	
всички	hepsi	всеки	hepsi	PRO;NOM;PL	PRO;NOM;PL;3
всички	tümü	всеки	tümü	PRO;NOM;PL	
всички	herkeze	всеки	herkez	PRO;NOM;PL	N;DAT;SG;3
