और	وال	और	وَال		N;NOM;DEF;SG
से	من	से	مِن		ADP
से	f	से	!		
है	هال	है	هال	V;IND;SG;3;PRS;FIN;ACT	
है	هاي	है	هاي	V;IND;SG;3;PRS;FIN;ACT	
एक	احد	एक	أَحَد	NUM	N;NOM;INDF;SG
एक	واحدة	एक	وَاحِد	NUM	ADJ;NOM;INDF;FEM;SG
एक	واحد	एक	وَاحِد	NUM	ADJ;NOM;INDF;MASC;SG
एक	واحده	एक	واحده	NUM	PRO;NOM;MASC;SG;3
श्रेणी	مسلسلات	श्रेणी	مُسلِسِلّ	N;NOM;FEM;SG;3	N;NOM;INDF;PL
श्रेणी	الفئات	श्रेणी	فِئَة	N;NOM;FEM;SG;3	N;NOM;DEF;PL
श्रेणी	الاصناف	श्रेणी	إِصنَاف	N;NOM;FEM;SG;3	N;NOM;DEF;PL
श्रेणी	فئات	श्रेणी	فِئَة	N;NOM;FEM;SG;3	N;NOM;INDF;PL
भी	حتى	भी	حَتَّى	PART	ADV
भी	حتي	भी	حَتَّى	PART	
भी	ايضا	भी	أَيضًا	PART	ADV
भी	كمان	भी	كَمَان	PART	
भी	ايضا	भी	أَيضًا	PART	ADV
यह	هذا	यह	هٰذَا	PRO;NOM;SG;3	DET;NOM;MASC;SG
यह	هذه	यह	هٰذَا	PRO;NOM;SG;3	DET;NOM;FEM;SG
किया	معمول	कर	مَعمُول	V;PFV;MASC;SG;V.PTCP;ACT	ADJ;NOM;INDF;MASC;SG
इस	هذا	यह	هٰذَا	DET;ACC;SG;3	DET;NOM;MASC;SG
इस	هذه	यह	هٰذَا	DET;ACC;SG;3	DET;NOM;FEM;SG
कि	هذا	कि	هٰذَا		DET;NOM;MASC;SG
कि	ذلك	कि	ذلك		
भारत	انديا	भारत	أَندِيّ	PROPN;NOM;MASC;SG;3	
भारत	الهند	भारत	هِند	PROPN;NOM;MASC;SG;3	N;NOM;DEF;SG
भारत	بالهند	भारत	بِ	PROPN;NOM;MASC;SG;3	N;NOM;DEF;SG
