năm	pět	năm	pět	N	NUM;NOM;SG
của	vaše	của	tvůj	ADP	DET;NOM;SG;2
của	váš	của	tvůj	ADP	DET;NOM;MASC;SG;2
của	tvůj	của	tvůj	ADP	DET;NOM;MASC;SG;1
của	tvoje	của	tvoj	ADP	ADJ;NOM;FEM;SG;POS
của	vaši	của	tvůj	ADP	DET;NOM;FEM;SG;2
các	vy	các	ty	DET	PRO;NOM;PL;2
các	jsi	các	být	DET	V;IND;SG;2;POS;PRS;FIN;ACT
này	tento	này	tento	PROPN	DET;NOM;MASC;SG
này	toto	này	tento	PROPN	DET;NOM;NEUT;SG
này	tohle	này	tenhle	PROPN	DET;NOM;NEUT;SG
này	čau	này	čau	PROPN	INTJ
vật	zvířecí	vật	zvířecí	N	ADJ;NOM;MASC;SG;POS
thích	jako	thích	jako	V	CONJ
thích	like	thích	like	V	N;MASC;SG;POS
học	studium	học	studium	V	N;NOM;NEUT;SG;POS
học	studium	học	studium	V	N;NOM;NEUT;SG;POS
học	studijní	học	studijní	V	ADJ;NOM;MASC;PL;POS
học	studie	học	studie	V	N;NOM;FEM;PL;POS
học	školy	học	škola	V	N;NOM;FEM;PL;POS
học	školu	học	škola	V	N;ACC;FEM;SG;POS
học	škola	học	škola	V	N;NOM;FEM;SG;POS
học	učení	học	učení	V	N;NOM;NEUT;SG;POS
học	výuka	học	výuka	V	N;NOM;FEM;SG;POS
người	man	người	man	N	PROPN;ANIM;NOM;MASC;SG;POS
thực	skutečný	thực	skutečný	V	ADJ;INAN;NOM;MASC;SG;POS
thực	skutečná	thực	skutečný	V	ADJ;NOM;FEM;SG;POS
thực	skutečné	thực	skutečný	V	ADJ;NOM;MASC;PL;POS
thực	opravdový	thực	opravdový	V	ADJ;INAN;NOM;MASC;SG;POS
thực	reálné	thực	reálný	V	ADJ;NOM;NEUT;SG;POS
thực	vlastně	thực	vlastně	V	ADV
thực	závazné	thực	závazný	V	ADJ;NOM;MASC;PL;POS
thực	opravdu	thực	opravdu	V	ADV
thực	fakt	thực	fakt	V	N;INAN;NOM;MASC;SG;POS
liên	lien	liên	lien		PROPN;NOM;FEM;SG;POS
tham	kloub	tham	kloub	V	N;INAN;NOM;MASC;SG;POS
tham	společné	tham	společný	V	ADJ;NOM;NEUT;SG;POS
tham	joint	tham	joint	V	N;INAN;NOM;MASC;SG;POS
kết	ukončit	kết	ukončit	N	V;PFV;POS;NFIN
kết	end	kết	end	N	PROPN;NOM;MASC;SG;POS
đầu	nejdřív	đầu	brzy	N	ADV;RL;POS
đầu	nejprve	đầu	nejprve	N	ADV
đầu	první	đầu	první	N	ADJ;NOM;MASC;SG
đầu	nejdříve	đầu	brzy	N	ADV;RL;POS
