月	moon	月	moko	N	
日	päivä	日	päivä	PROPN	N;NOM;SG
日	päivän	日	päivä	PROPN	N;GEN;SG
和	ja	和	ja	ADP	CONJ
村	kyl	村	kyllä	N	ADV
小	asteroidit	小	asteroida	PART	N;NOM;PL
小	asteroidi	小	asteroidi	PART	N;NOM;SG
大	iso	大	iso	PART	ADJ;NOM;SG
大	isot	大	iso	PART	ADJ;NOM;PL
大	suuri	大	suuri	PART	ADJ;NOM;SG
德	tak	德	tak	PROPN	INTJ
重	raskasta	重	raskas	N	ADJ;PRT;SG
重	painava	重	painava	N	ADJ;NOM;SG
重	raskas	重	raskas	N	ADJ;NOM;SG
重	raskaat	重	raskas	N	ADJ;NOM;PL
重	painavampi	重	painava	N	ADJ;NOM;CMPR;SG
一	one	一	oni	NUM	
定	suuntaus	定	suuntaus	V	N;NOM;SG
定	suunta	定	suunta	V	N;NOM;SG
但	mutta	但	mutta	ADV	CONJ
拉	vedä	拉	vetää		V;IMP;SG;2;FIN;ACT
後	after	後	after	ADV	
市	city	市	city	N	PROPN;NOM;SG
克	grammaa	克	gramma	PROPN	N;PRT;SG
新	uudet	新	uusi	PART	ADJ;NOM;PL
新	uusi	新	uusi	PART	ADJ;NOM;SG
新	uutta	新	uusi	PART	ADJ;PRT;SG
新	uusia	新	uusi	PART	ADJ;PRT;PL
站	seistä	站	seistä	N	V;SG;NFIN;ACT
站	seiso	站	seiso	N	V;IMP;SG;2;FIN;ACT
研究	tutkimus	研究	tutkimus	V	N;NOM;SG
研究	tutkimuksen	研究	tutkimus	V	N;GEN;SG
研究	opiskelu	研究	opiskelu	V	N;NOM;SG
研究	tutkimuksessa	研究	tutkimus	V	N;IN+ESS;SG
研究	opinnot	研究	opinto	V	N;NOM;PL
研究	selvitykset	研究	selvitys	V	N;NOM;PL
研究	tutkimuksia	研究	tutkimus	V	N;PRT;PL
研究	tutkimukset	研究	tutkimus	V	N;NOM;PL
研究	tutkimus	研究	tutkimus	V	N;NOM;SG
研究	tutkimuksen	研究	tutkimus	V	N;GEN;SG
研究	tutkimukset	研究	tutkimus	V	N;NOM;PL
日本	japanista	日本	japani	PROPN	N;IN+ABL;SG
日本	japani	日本	japani	PROPN	N;NOM;SG
日本	japanissa	日本	japani	PROPN	ADJ;IN+ESS;PL
日本	japanin	日本	japani	PROPN	N;GEN;SG
